County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total Votes
Chattahoochee,0.0,292.0,496.0,184.0,1.0,973.0,126.0,222.0,87.0,2.0,437.0,1410.0
Chattooga,14143.0,1903.0,3607.0,1152.0,4.0,6666.0,730.0,1349.0,478.0,2.0,2559.0,9225.0
Cherokee,190531.0,22914.0,54017.0,27097.0,19.0,104047.0,6553.0,17686.0,7742.0,6.0,31987.0,136034.0
Clarke,76504.0,6446.0,17685.0,14035.0,39.0,38205.0,2075.0,4746.0,3452.0,12.0,10285.0,48490.0
Clay,2053.0,220.0,451.0,243.0,0.0,914.0,63.0,225.0,130.0,0.0,418.0,1332.0
Clayton,193326.0,15464.0,44618.0,21932.0,332.0,82346.0,4045.0,12873.0,7869.0,113.0,24900.0,107246.0
Clinch,4345.0,529.0,956.0,188.0,0.0,1673.0,189.0,435.0,97.0,0.0,721.0,2394.0
Cobb,537611.0,51085.0,127685.0,109313.0,341.0,288424.0,16036.0,39220.0,30811.0,117.0,86184.0,374608.0
Coffee,25114.0,2358.0,5780.0,1087.0,6.0,9231.0,967.0,2753.0,615.0,3.0,4338.0,13569.0
Colquitt,25054.0,3552.0,4965.0,1550.0,6.0,10073.0,1458.0,2425.0,778.0,5.0,4666.0,14739.0
Columbia,127380.0,13668.0,31862.0,11547.0,41.0,57118.0,4241.0,11062.0,4087.0,20.0,19410.0,76528.0
Cook,10632.0,1181.0,2751.0,640.0,0.0,4572.0,402.0,1345.0,298.0,0.0,2045.0,6617.0
Coweta,102110.0,16741.0,23297.0,13077.0,14.0,53129.0,6085.0,8622.0,4518.0,7.0,19232.0,72361.0
Crawford,8512.0,939.0,2269.0,650.0,2.0,3860.0,378.0,1009.0,353.0,0.0,1740.0,5600.0
Crisp,12554.0,1027.0,2961.0,960.0,2.0,4950.0,411.0,1478.0,529.0,2.0,2420.0,7370.0
Dade,11660.0,1598.0,2784.0,653.0,3.0,5038.0,502.0,937.0,250.0,1.0,1690.0,6728.0
Dawson,21529.0,1923.0,7183.0,2121.0,3.0,11230.0,570.0,2563.0,696.0,0.0,3829.0,15059.0
DeKalb,546711.0,35319.0,151893.0,96488.0,975.0,284675.0,9447.0,34162.0,22650.0,291.0,66550.0,351225.0
Decatur,16618.0,1422.0,4314.0,1423.0,10.0,7169.0,683.0,2155.0,732.0,3.0,3573.0,10742.0
Dodge,11439.0,1726.0,2327.0,706.0,5.0,4764.0,896.0,1143.0,427.0,0.0,2466.0,7230.0
Dooly,5949.0,602.0,1408.0,435.0,2.0,2447.0,249.0,761.0,212.0,0.0,1222.0,3669.0
Dougherty,61172.0,8413.0,9105.0,6788.0,78.0,24384.0,2810.0,3291.0,2956.0,19.0,9076.0,33460.0
Douglas,102540.0,7576.0,26142.0,13446.0,34.0,47198.0,2696.0,10604.0,5037.0,17.0,18354.0,65552.0
Early,7320.0,919.0,1594.0,708.0,1.0,3222.0,395.0,800.0,323.0,2.0,1520.0,4742.0
Echols,2156.0,163.0,609.0,84.0,0.0,856.0,75.0,322.0,49.0,0.0,446.0,1302.0
Effingham,44273.0,6702.0,11787.0,3379.0,15.0,21883.0,2098.0,4373.0,1205.0,9.0,7685.0,29568.0
Elbert,12305.0,1500.0,2947.0,1234.0,0.0,5681.0,699.0,1379.0,635.0,0.0,2713.0,8394.0
Emanuel,13715.0,1997.0,2499.0,937.0,1.0,5434.0,1029.0,1373.0,561.0,1.0,2964.0,8398.0
Evans,6135.0,497.0,1741.0,518.0,0.0,2756.0,172.0,752.0,240.0,0.0,1164.0,3920.0
Fannin,20399.0,2934.0,4493.0,2220.0,14.0,9661.0,1188.0,1761.0,850.0,7.0,3806.0,13467.0
Fayette,92307.0,7061.0,28137.0,12971.0,79.0,48248.0,2441.0,10051.0,4414.0,27.0,16933.0,65181.0
Floyd,60650.0,7259.0,13339.0,5717.0,130.0,26445.0,2450.0,5114.0,2104.0,47.0,9715.0,36160.0
Forsyth,163984.0,9776.0,61025.0,22001.0,40.0,92842.0,2911.0,19749.0,6550.0,8.0,29218.0,122060.0
Franklin,15146.0,1852.0,4061.0,1304.0,0.0,7217.0,646.0,1585.0,563.0,2.0,2796.0,10013.0
Fulton,806451.0,43539.0,237919.0,108548.0,2400.0,392406.0,12178.0,60060.0,27030.0,706.0,99974.0,492380.0
Gilmer,22264.0,3120.0,5238.0,2300.0,10.0,10668.0,1329.0,2303.0,902.0,1.0,4535.0,15203.0
Glascock,2039.0,252.0,490.0,126.0,0.0,868.0,138.0,215.0,69.0,0.0,422.0,1290.0
Glynn,61952.0,4809.0,16527.0,6773.0,30.0,28139.0,1757.0,6507.0,2602.0,17.0,10883.0,39022.0
Gordon,36429.0,5263.0,7682.0,2591.0,8.0,15544.0,2098.0,3150.0,1047.0,2.0,6297.0,21841.0
Grady,15442.0,1736.0,3644.0,1293.0,9.0,6682.0,799.0,1784.0,750.0,7.0,3340.0,10022.0
Greene,14171.0,989.0,4468.0,1856.0,7.0,7320.0,367.0,2032.0,759.0,3.0,3161.0,10481.0
Gwinnett,581467.0,52172.0,156902.0,87811.0,449.0,297334.0,17212.0,50488.0,26885.0,143.0,94728.0,392062.0
Habersham,28264.0,2138.0,8613.0,2784.0,11.0,13546.0,858.0,3476.0,1111.0,9.0,5454.0,19000.0
Hall,0.0,10876.0,37633.0,15030.0,0.0,63539.0,3583.0,13180.0,5012.0,0.0,21775.0,85314.0
Hancock,5827.0,584.0,1096.0,858.0,1.0,2539.0,219.0,472.0,408.0,2.0,1101.0,3640.0
Haralson,20667.0,3229.0,4591.0,1534.0,3.0,9357.0,1223.0,1940.0,744.0,1.0,3908.0,13265.0
Harris,25626.0,4555.0,5691.0,2856.0,15.0,13117.0,1842.0,2391.0,1037.0,1.0,5271.0,18388.0
Hart,16929.0,1969.0,4842.0,1638.0,3.0,8452.0,751.0,1777.0,634.0,1.0,3163.0,11615.0
Heard,7762.0,1191.0,1644.0,594.0,2.0,3431.0,498.0,703.0,311.0,0.0,1512.0,4943.0
Henry,171905.0,11656.0,53491.0,20103.0,60.0,85310.0,4254.0,20012.0,7589.0,25.0,31880.0,117190.0
Houston,105315.0,12274.0,23932.0,13729.0,63.0,49998.0,5037.0,10218.0,5197.0,24.0,20476.0,70474.0
Irwin,6113.0,557.0,1626.0,335.0,5.0,2523.0,269.0,837.0,236.0,0.0,1342.0,3865.0
Jackson,51951.0,4254.0,16379.0,5037.0,5.0,25675.0,1537.0,6342.0,1820.0,1.0,9700.0,35375.0
Jasper,10432.0,1300.0,2821.0,934.0,11.0,5066.0,441.0,1182.0,428.0,2.0,2053.0,7119.0
Jeff Davis,8478.0,1016.0,1931.0,462.0,0.0,3409.0,447.0,885.0,228.0,0.0,1560.0,4969.0
Jefferson,11334.0,1353.0,2267.0,1012.0,10.0,4642.0,570.0,1056.0,495.0,1.0,2122.0,6764.0
Jenkins,5066.0,558.0,1059.0,391.0,4.0,2012.0,249.0,529.0,275.0,0.0,1053.0,3065.0
Johnson,5611.0,592.0,1281.0,373.0,0.0,2246.0,293.0,791.0,221.0,0.0,1305.0,3551.0
Jones,0.0,2652.0,5237.0,1848.0,5.0,9742.0,1031.0,2328.0,890.0,1.0,4250.0,13992.0
Lamar,12839.0,1524.0,3206.0,1077.0,3.0,5810.0,599.0,1539.0,541.0,5.0,2684.0,8494.0
Lanier,5462.0,477.0,1486.0,335.0,0.0,2298.0,163.0,663.0,186.0,0.0,1012.0,3310.0
Laurens,32880.0,4708.0,6078.0,2884.0,4.0,13674.0,2392.0,3226.0,1774.0,2.0,7394.0,21068.0
Lee,22897.0,2762.0,6917.0,1537.0,4.0,11220.0,1030.0,2817.0,719.0,2.0,4568.0,15788.0
Liberty,35582.0,2411.0,8294.0,3636.0,0.0,14341.0,832.0,3262.0,1549.0,0.0,5643.0,19984.0
Lincoln,6176.0,749.0,1504.0,632.0,2.0,2887.0,331.0,695.0,298.0,1.0,1325.0,4212.0
Long,10470.0,1040.0,2131.0,496.0,12.0,3679.0,385.0,940.0,232.0,4.0,1561.0,5240.0
Lowndes,75356.0,5577.0,17878.0,6093.0,288.0,29836.0,2294.0,8456.0,2528.0,98.0,13376.0,43212.0
Lumpkin,22407.0,1696.0,6720.0,2307.0,0.0,10723.0,595.0,2548.0,777.0,1.0,3921.0,14644.0
Macon,6991.0,721.0,1623.0,530.0,0.0,2874.0,221.0,751.0,221.0,0.0,1193.0,4067.0
Madison,20720.0,2940.0,5123.0,1914.0,2.0,9979.0,1081.0,1953.0,820.0,2.0,3856.0,13835.0
Marion,4913.0,614.0,1080.0,421.0,0.0,2115.0,291.0,590.0,276.0,0.0,1157.0,3272.0
McDuffie,15033.0,1027.0,4302.0,1651.0,0.0,6980.0,357.0,1864.0,623.0,0.0,2844.0,9824.0
McIntosh,9292.0,834.0,2422.0,1023.0,1.0,4280.0,347.0,987.0,516.0,0.0,1850.0,6130.0
Meriwether,15337.0,2229.0,3141.0,1583.0,5.0,6958.0,977.0,1442.0,678.0,1.0,3098.0,10056.0
Miller,3912.0,438.0,891.0,259.0,0.0,1588.0,167.0,488.0,148.0,1.0,804.0,2392.0
Mitchell,13474.0,1590.0,2869.0,1354.0,5.0,5818.0,639.0,1241.0,685.0,2.0,2567.0,8385.0
Monroe,21138.0,2468.0,5834.0,1575.0,3.0,9880.0,1116.0,2824.0,685.0,2.0,4627.0,14507.0
Montgomery,5463.0,889.0,1151.0,386.0,0.0,2426.0,343.0,593.0,195.0,0.0,1131.0,3557.0
Morgan,14824.0,1596.0,4649.0,1290.0,3.0,7538.0,673.0,2120.0,563.0,2.0,3358.0,10896.0
Murray,22284.0,3012.0,5445.0,1284.0,0.0,9741.0,997.0,2314.0,555.0,0.0,3866.0,13607.0
Muscogee,130878.0,9572.0,30209.0,16437.0,33.0,56251.0,3027.0,10128.0,6078.0,7.0,19240.0,75491.0
Newton,78994.0,12093.0,14147.0,10175.0,20.0,36435.0,4897.0,5494.0,4309.0,8.0,14708.0,51143.0
Oconee,30071.0,2379.0,10761.0,3955.0,2.0,17097.0,922.0,4168.0,1423.0,1.0,6514.0,23611.0
Oglethorpe,10844.0,1041.0,3187.0,1175.0,3.0,5406.0,371.0,1242.0,488.0,0.0,2101.0,7507.0
Paulding,114945.0,9706.0,34883.0,13701.0,65.0,58355.0,3311.0,13280.0,5106.0,18.0,21715.0,80070.0
Peach,17996.0,1273.0,5449.0,1572.0,13.0,8307.0,414.0,2215.0,777.0,2.0,3408.0,11715.0
Pickens,23766.0,4417.0,4816.0,2084.0,5.0,11322.0,1801.0,2065.0,648.0,2.0,4516.0,15838.0
Pierce,12717.0,902.0,3985.0,757.0,0.0,5644.0,341.0,1790.0,384.0,0.0,2515.0,8159.0
Pike,0.0,1777.0,4399.0,935.0,0.0,7111.0,705.0,1823.0,430.0,0.0,2958.0,10069.0
Polk,24189.0,2396.0,7270.0,1759.0,14.0,11439.0,892.0,3093.0,781.0,5.0,4771.0,16210.0
Pulaski,5687.0,332.0,1809.0,370.0,1.0,2512.0,121.0,800.0,209.0,0.0,1130.0,3642.0
Putnam,16003.0,1419.0,4271.0,2050.0,0.0,7740.0,514.0,1896.0,988.0,1.0,3399.0,11139.0
Quitman,1547.0,197.0,306.0,103.0,1.0,607.0,98.0,187.0,98.0,0.0,383.0,990.0
Rabun,13072.0,925.0,3674.0,1753.0,0.0,6352.0,376.0,1446.0,618.0,0.0,2440.0,8792.0
Randolph,4341.0,460.0,1046.0,389.0,3.0,1898.0,208.0,490.0,233.0,0.0,931.0,2829.0
Richmond,134749.0,14858.0,26905.0,18427.0,112.0,60302.0,4926.0,9385.0,7763.0,49.0,22123.0,82425.0
Rockdale,65505.0,4443.0,18330.0,8524.0,22.0,31319.0,1482.0,6491.0,3249.0,10.0,11232.0,42551.0
Schley,2882.0,221.0,905.0,182.0,1.0,1309.0,116.0,489.0,86.0,0.0,691.0,2000.0
Screven,0.0,1252.0,2237.0,776.0,11.0,4276.0,494.0,859.0,368.0,7.0,1728.0,6004.0
Seminole,5936.0,789.0,1290.0,307.0,0.0,2386.0,351.0,613.0,179.0,0.0,1143.0,3529.0
Spalding,45985.0,5374.0,8732.0,5042.0,549.0,19697.0,2053.0,3837.0,2148.0,242.0,8280.0,27977.0
Stephens,0.0,1080.0,5133.0,1327.0,2.0,7542.0,356.0,2351.0,611.0,0.0,3318.0,10860.0
Stewart,2893.0,294.0,570.0,258.0,5.0,1127.0,134.0,249.0,137.0,5.0,525.0,1652.0
Sumter,17800.0,1696.0,4112.0,1774.0,16.0,7598.0,782.0,1997.0,892.0,1.0,3672.0,11270.0
Talbot,4563.0,681.0,836.0,670.0,0.0,2187.0,258.0,373.0,356.0,1.0,988.0,3175.0
Taliaferro,1245.0,113.0,235.0,142.0,0.0,490.0,49.0,119.0,70.0,0.0,238.0,728.0
Tattnall,12184.0,1280.0,3000.0,790.0,0.0,5070.0,512.0,1334.0,394.0,0.0,2240.0,7310.0
Taylor,5400.0,438.0,1415.0,493.0,7.0,2353.0,159.0,779.0,227.0,4.0,1169.0,3522.0
Telfair,6032.0,740.0,1134.0,615.0,6.0,2495.0,384.0,674.0,257.0,1.0,1316.0,3811.0
Terrell,6594.0,844.0,1248.0,726.0,1.0,2819.0,335.0,669.0,324.0,0.0,1328.0,4147.0
Thomas,30028.0,2887.0,8754.0,2549.0,3.0,14193.0,1067.0,3724.0,1147.0,2.0,5940.0,20133.0
Tift,24449.0,2481.0,6090.0,1665.0,19.0,10255.0,1114.0,2825.0,792.0,6.0,4737.0,14992.0
Toombs,0.0,1556.0,3977.0,1384.0,5.0,6922.0,685.0,1744.0,675.0,2.0,3106.0,10028.0
Towns,10693.0,733.0,3102.0,1278.0,4.0,5117.0,295.0,1271.0,453.0,3.0,2022.0,7139.0
Treutlen,0.0,329.0,1121.0,318.0,0.0,1768.0,164.0,607.0,192.0,0.0,963.0,2731.0
Troup,42964.0,5261.0,10692.0,4109.0,49.0,20111.0,1865.0,4267.0,1803.0,21.0,7956.0,28067.0
Turner,5582.0,483.0,1552.0,310.0,1.0,2346.0,173.0,792.0,187.0,1.0,1153.0,3499.0
Twiggs,6304.0,752.0,1291.0,609.0,1.0,2653.0,409.0,608.0,321.0,2.0,1340.0,3993.0
Union,19201.0,2536.0,5590.0,2466.0,7.0,10599.0,862.0,2025.0,793.0,2.0,3682.0,14281.0
Upson,18175.0,1424.0,5218.0,1684.0,2.0,8328.0,494.0,2362.0,834.0,1.0,3691.0,12019.0
Walker,42924.0,4872.0,11780.0,3734.0,8.0,20394.0,1385.0,3852.0,1500.0,0.0,6737.0,27131.0
Walton,70006.0,7794.0,19215.0,6830.0,0.0,33839.0,2939.0,8423.0,2852.0,0.0,14214.0,48053.0
Ware,21994.0,1921.0,4779.0,1815.0,0.0,8515.0,1049.0,2665.0,973.0,0.0,4687.0,13202.0
Warren,3785.0,321.0,871.0,425.0,0.0,1617.0,123.0,382.0,255.0,0.0,760.0,2377.0
Washington,12990.0,1554.0,2548.0,1451.0,6.0,5559.0,736.0,1294.0,788.0,2.0,2820.0,8379.0
Wayne,18104.0,1979.0,4891.0,1283.0,7.0,8160.0,778.0,2218.0,663.0,0.0,3659.0,11819.0
Webster,1705.0,171.0,409.0,180.0,0.0,760.0,88.0,255.0,118.0,0.0,461.0,1221.0
Wheeler,0.0,391.0,721.0,248.0,0.0,1360.0,191.0,396.0,105.0,0.0,692.0,2052.0
White,20622.0,2770.0,5397.0,2044.0,4.0,10215.0,975.0,1946.0,856.0,0.0,3777.0,13992.0
Whitfield,54749.0,7738.0,11513.0,4097.0,42.0,23390.0,3082.0,4903.0,1652.0,11.0,9648.0,33038.0
Wilcox,4661.0,645.0,1016.0,334.0,0.0,1995.0,311.0,538.0,164.0,0.0,1013.0,3008.0
Wilkes,6819.0,773.0,1534.0,711.0,5.0,3023.0,332.0,772.0,387.0,2.0,1493.0,4516.0
Wilkinson,6470.0,1108.0,1276.0,503.0,5.0,2892.0,575.0,624.0,265.0,1.0,1465.0,4357.0
Worth,14469.0,2188.0,2700.0,965.0,0.0,5853.0,986.0,1274.0,463.0,0.0,2723.0,8576.0
