County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total Votes
Newton,78994.0,12892.0,15176.0,11841.0,26.0,39935.0,4217.0,4652.0,2803.0,5.0,11677.0,51612.0
Oconee,30071.0,2809.0,12914.0,4791.0,3.0,20517.0,540.0,2247.0,670.0,0.0,3457.0,23974.0
Oglethorpe,10844.0,1109.0,3600.0,1430.0,3.0,6142.0,293.0,872.0,270.0,0.0,1435.0,7577.0
Paulding,114945.0,10486.0,38989.0,15930.0,62.0,65467.0,2601.0,9646.0,2940.0,22.0,15209.0,80676.0
Peach,17996.0,1316.0,5970.0,1934.0,10.0,9230.0,399.0,1761.0,460.0,5.0,2625.0,11855.0
Pickens,23766.0,4998.0,5550.0,2443.0,6.0,12997.0,1330.0,1428.0,322.0,1.0,3081.0,16078.0
Pierce,12717.0,1030.0,4636.0,948.0,0.0,6614.0,227.0,1239.0,218.0,0.0,1684.0,8298.0
Pike,0.0,2020.0,5039.0,1171.0,0.0,8230.0,493.0,1245.0,219.0,0.0,1957.0,10187.0
Polk,24189.0,2573.0,8149.0,2148.0,16.0,12886.0,736.0,2289.0,435.0,4.0,3464.0,16350.0
Pulaski,5687.0,347.0,2042.0,456.0,0.0,2845.0,104.0,582.0,135.0,1.0,822.0,3667.0
Putnam,16003.0,1556.0,4909.0,2510.0,0.0,8975.0,402.0,1364.0,562.0,0.0,2328.0,11303.0
Quitman,1547.0,192.0,329.0,140.0,1.0,662.0,106.0,165.0,60.0,0.0,331.0,993.0
Rabun,13072.0,1042.0,4311.0,2112.0,0.0,7465.0,280.0,879.0,327.0,0.0,1486.0,8951.0
Randolph,4341.0,493.0,1194.0,474.0,3.0,2164.0,179.0,360.0,154.0,0.0,693.0,2857.0
Richmond,134749.0,15285.0,28707.0,21442.0,113.0,65547.0,4640.0,7847.0,4949.0,47.0,17483.0,83030.0
Rockdale,65505.0,4466.0,19417.0,9839.0,17.0,33739.0,1422.0,5389.0,2036.0,15.0,8862.0,42601.0
Schley,2882.0,253.0,1033.0,232.0,1.0,1519.0,84.0,382.0,45.0,0.0,511.0,2030.0
Screven,0.0,1360.0,2433.0,935.0,13.0,4741.0,397.0,702.0,234.0,5.0,1338.0,6079.0
Seminole,5936.0,853.0,1481.0,380.0,0.0,2714.0,311.0,452.0,107.0,0.0,870.0,3584.0
Spalding,45985.0,5597.0,9591.0,5977.0,585.0,21750.0,1846.0,3057.0,1301.0,211.0,6415.0,28165.0
Stephens,0.0,1118.0,5769.0,1621.0,2.0,8510.0,323.0,1784.0,351.0,1.0,2459.0,10969.0
Stewart,2893.0,322.0,587.0,277.0,7.0,1193.0,103.0,229.0,121.0,3.0,456.0,1649.0
Sumter,17800.0,1854.0,4649.0,2159.0,16.0,8678.0,663.0,1520.0,532.0,2.0,2717.0,11395.0
Talbot,4563.0,712.0,925.0,778.0,1.0,2416.0,232.0,289.0,267.0,0.0,788.0,3204.0
Taliaferro,1245.0,117.0,247.0,154.0,0.0,518.0,46.0,103.0,65.0,0.0,214.0,732.0
Tattnall,12184.0,1460.0,3485.0,972.0,0.0,5917.0,354.0,912.0,241.0,0.0,1507.0,7424.0
Taylor,5400.0,440.0,1629.0,582.0,8.0,2659.0,151.0,571.0,142.0,3.0,867.0,3526.0
Telfair,6032.0,817.0,1312.0,705.0,6.0,2840.0,308.0,518.0,173.0,1.0,1000.0,3840.0
Terrell,6594.0,892.0,1431.0,818.0,1.0,3142.0,289.0,498.0,247.0,0.0,1034.0,4176.0
Thomas,30028.0,3079.0,9874.0,3063.0,3.0,16019.0,902.0,2714.0,693.0,1.0,4310.0,20329.0
Tift,24449.0,2757.0,7049.0,1955.0,17.0,11778.0,879.0,1997.0,519.0,9.0,3404.0,15182.0
Toombs,0.0,1713.0,4451.0,1654.0,6.0,7824.0,553.0,1358.0,430.0,2.0,2343.0,10167.0
Towns,10693.0,855.0,3631.0,1530.0,5.0,6021.0,183.0,840.0,241.0,1.0,1265.0,7286.0
Treutlen,0.0,368.0,1243.0,375.0,0.0,1986.0,124.0,486.0,143.0,0.0,753.0,2739.0
Troup,42964.0,5546.0,11869.0,4927.0,53.0,22395.0,1614.0,3227.0,1061.0,15.0,5917.0,28312.0
Turner,5582.0,507.0,1758.0,374.0,2.0,2641.0,140.0,593.0,114.0,0.0,847.0,3488.0
Twiggs,6304.0,844.0,1440.0,714.0,2.0,3000.0,328.0,469.0,229.0,1.0,1027.0,4027.0
Union,19201.0,2772.0,6423.0,2868.0,7.0,12070.0,646.0,1293.0,446.0,3.0,2388.0,14458.0
Upson,18175.0,1517.0,5921.0,2046.0,3.0,9487.0,402.0,1692.0,515.0,1.0,2610.0,12097.0
Walker,42924.0,5186.0,12887.0,4434.0,7.0,22514.0,1110.0,2907.0,901.0,2.0,4920.0,27434.0
Walton,70006.0,8691.0,22189.0,8198.0,0.0,39078.0,2140.0,5696.0,1607.0,0.0,9443.0,48521.0
Ware,21994.0,2053.0,5309.0,2240.0,0.0,9602.0,959.0,2249.0,610.0,0.0,3818.0,13420.0
Warren,3785.0,324.0,952.0,517.0,0.0,1793.0,127.0,324.0,168.0,0.0,619.0,2412.0
Washington,12990.0,1668.0,2803.0,1713.0,7.0,6191.0,633.0,1114.0,579.0,1.0,2327.0,8518.0
Wayne,18104.0,2207.0,5703.0,1561.0,7.0,9478.0,611.0,1553.0,394.0,0.0,2558.0,12036.0
Webster,1705.0,191.0,489.0,242.0,0.0,922.0,65.0,195.0,63.0,0.0,323.0,1245.0
Wheeler,0.0,441.0,835.0,281.0,0.0,1557.0,148.0,298.0,79.0,0.0,525.0,2082.0
White,20622.0,3003.0,6102.0,2464.0,4.0,11573.0,770.0,1309.0,469.0,0.0,2548.0,14121.0
Whitfield,54749.0,8424.0,13100.0,4870.0,39.0,26433.0,2486.0,3550.0,1005.0,15.0,7056.0,33489.0
Wilcox,4661.0,727.0,1203.0,415.0,0.0,2345.0,230.0,360.0,90.0,0.0,680.0,3025.0
Wilkes,6819.0,825.0,1783.0,857.0,5.0,3470.0,303.0,566.0,254.0,2.0,1125.0,4595.0
Wilkinson,6470.0,1187.0,1385.0,609.0,5.0,3186.0,512.0,535.0,176.0,1.0,1224.0,4410.0
Worth,14469.0,2427.0,3055.0,1151.0,0.0,6633.0,783.0,967.0,313.0,0.0,2063.0,8696.0
