index,County,Precinct,Registered Voters,Jason E. Buelterman (Rep)_Election Day Votes,Jason E. Buelterman (Rep)_Advanced Voting Votes,Jason E. Buelterman (Rep)_Absentee by Mail Votes,Jason E. Buelterman (Rep)_Provisional Votes,Jason E. Buelterman (Rep)_Choice Total,Chester A. Ellis (Dem)_Election Day Votes,Chester A. Ellis (Dem)_Advanced Voting Votes,Chester A. Ellis (Dem)_Absentee by Mail Votes,Chester A. Ellis (Dem)_Provisional Votes,Chester A. Ellis (Dem)_Choice Total,Total,
23,Chatham,3-04C First African Baptist Church1558,41,26,20,0,87,299,231,233,0,763,850,,
24,Chatham,3-05C Aldersgate Youth Center 2107,129,148,80,0,357,253,301,258,2,814,1171,,
25,Chatham,3-08C Jenkins High School,1210,100,105,60,0,265,112,222,175,0,509,774,
26,Chatham,3-09C Cokesbury Methodist,664,174,94,74,1,343,51,57,64,1,173,516,
27,Chatham,3-10C Bible Baptist Church,2640,120,96,83,1,300,373,494,415,1,1283,1583,
28,Chatham,3-11C Southside Baptist Church1481,63,77,58,1,199,230,251,186,2,669,868,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,283,208,131,0,622,155,176,190,1,522,1144,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,187,273,170,0,630,180,324,213,1,718,1348,
31,Chatham,3-14C Oglethorpe Charter Academy2381,100,196,132,0,428,234,440,412,1,1087,1515,,
32,Chatham,3-15C Eli Whitney Complex,816,65,142,126,0,333,59,117,132,0,308,641,
33,Chatham,4-02C Frank Murray Comm Center2472,361,577,250,0,1188,81,190,209,0,480,1668,,
34,Chatham,4-04C Lighthouse Baptist Church2470,509,583,342,4,1438,68,135,187,0,390,1828,,
35,Chatham,4-05C St Francis Episcopal Church2244,524,531,311,1,1367,80,134,144,0,358,1725,,
36,Chatham,4-06C First Baptist of the Island2252,518,618,320,3,1459,56,109,149,0,314,1773,,
37,Chatham,4-07C Wilmington Island UMC,3370,582,800,488,4,1874,94,218,259,0,571,2445,
38,Chatham,4-08C Wilmington Island Pres Church2678,579,755,474,1,1809,62,119,188,1,370,2179,,
39,Chatham,4-10C Guard House Comm Ctr,1469,442,303,249,1,995,47,56,49,1,153,1148,
40,Chatham,4-11C Tybee Island School Cafe1640,603,226,252,1,1082,68,56,57,0,181,1263,,
41,Chatham,4-12C St Peters Episcopal,2294,606,487,458,3,1554,61,112,217,0,390,1944,
42,Chatham,4-13C Skidaway Island Pres Church2469,525,516,567,2,1610,49,160,266,0,475,2085,,
43,Chatham,4-14C Skidaway Island Baptist 1744,379,346,371,2,1098,39,108,234,0,381,1479,,
44,Chatham,4-15C Skidaway Island State Park0,311,350,496,4,1161,30,108,241,0,379,1540,,
45,Chatham,5-01C Bartlett Middle School,1063,76,55,50,0,181,137,171,121,0,429,610,
46,Chatham,5-02C Senior Citizens Center,783,31,18,16,0,65,106,111,116,1,334,399,
47,Chatham,5-03C Butler Presbyterian Church1078,15,9,6,0,30,182,160,182,6,530,560,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,30,24,21,1,76,417,555,579,2,1553,1629,
49,Chatham,5-06C Seed Church,2598,81,90,54,2,227,262,421,333,6,1022,1249,
50,Chatham,5-07C Station 1,1856,103,105,77,1,286,214,315,223,5,757,1043,
51,Chatham,5-08C Savannah Primitive BC,1848,104,140,88,0,332,184,313,279,2,778,1110,
52,Chatham,5-10C Tatumville Community Center3507,46,55,33,0,134,530,662,666,5,1863,1997,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,88,141,199,2,430,314,599,365,7,1285,1715,
54,Chatham,6-01C White Bluff Presbyterian1919,160,173,124,3,460,175,311,205,2,693,1153,,
55,Chatham,6-02C Windsor Forest Baptist,2290,419,445,290,0,1154,126,249,242,1,618,1772,
56,Chatham,6-03C Crusader Comm Center,2736,301,369,206,1,877,205,432,390,1,1028,1905,
57,Chatham,6-05C Windsor Hall,1993,156,193,137,0,486,202,310,235,0,747,1233,
58,Chatham,6-06C The Light Church,1543,144,223,127,0,494,136,171,114,0,421,915,
59,Chatham,6-08C Christ Memorial Baptist Church2194,100,151,102,0,353,224,384,259,2,869,1222,,
60,Chatham,6-09C Trinity Lutheran Church 3319,342,477,337,1,1157,248,496,326,7,1077,2234,,
61,Chatham,6-10C Station 3,4184,410,729,375,2,1516,242,609,543,4,1398,2914,
62,Chatham,6-11C Bamboo Farms,5149,349,503,217,4,1073,419,933,618,5,1975,3048,
63,Chatham,7-01C Garden City Senior Ctr,1542,202,195,118,0,515,105,137,133,0,375,890,
64,Chatham,7-03C PB Edwards Gym,1290,319,132,82,0,533,86,58,75,0,219,752,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,206,196,65,0,467,385,703,345,1,1434,1901,
66,Chatham,7-05C Woodlawn Baptist Church 1305,134,132,49,0,315,141,176,105,0,422,737,,
67,Chatham,7-06C Pooler City Hall,3555,249,618,253,1,1121,182,492,392,1,1067,2188,
68,Chatham,7-07C Rothwell Baptist Church 3932,286,959,424,5,1674,120,423,365,3,911,2585,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,529,658,228,0,1415,74,113,122,1,310,1725,
70,Chatham,7-09C Savannah Holy C of G,2823,250,331,204,1,786,203,365,314,3,885,1671,
71,Chatham,7-10C Progressive Rec Center,4288,290,479,203,2,974,317,739,495,6,1557,2531,
72,Chatham,7-11C Seventh Day Adv Church,6469,480,772,302,6,1560,433,1188,751,7,2379,3939,
73,Chatham,7-12C Pooler Church,3334,186,576,265,4,1031,169,660,493,0,1322,2353,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,243,752,437,1,1433,58,235,335,0,628,2061,,
75,Chatham,7-14C Coastal Cathedral,7572,414,843,547,1,1805,558,1457,1108,9,3132,4937,
76,Chatham,7-15C Rice Creek School,2564,260,216,82,3,561,267,432,256,2,957,1518,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,236,889,452,7,1584,112,529,410,6,1057,2641,,
78,Chatham,8-01C Civic Center,850,21,42,25,0,88,60,89,80,3,232,320,
79,Chatham,8-02C Hellenic Center,1709,89,97,59,0,245,181,328,222,1,732,977,
80,Chatham,8-03C Silk Hope Baptist Church831,168,104,46,0,318,49,46,55,0,150,468,,
81,Chatham,8-05C W Broad St YMCA,1543,18,8,11,0,37,269,210,159,1,639,676,
82,Chatham,8-06C Tompkins Rec Center,1055,19,11,5,1,36,186,141,155,2,484,520,
83,Chatham,8-07C Woodville-Tompkins TI,630,14,5,8,0,27,121,102,83,1,307,334,
84,Chatham,8-08C Resur of Our Lord Church1704,17,12,14,0,43,308,253,265,4,830,873,,
85,Chatham,8-09C Moses Jackson Center,1362,14,10,11,0,35,260,192,200,5,657,692,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,15,17,17,0,49,342,254,338,0,934,983,,
87,Chatham,8-11C Butler Elementary,1386,15,12,9,0,36,253,309,354,0,916,952,
88,Chatham,8-12C Beach High School,1310,44,61,25,1,131,157,205,143,1,506,637,
89,Chatham,8-13C Savannah Christian,1022,108,100,61,1,270,44,42,43,1,130,400,
90,Chatham,8-15C Garden City Rec Center,1622,30,37,22,1,90,200,282,235,1,718,808,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,209,595,286,1,1091,138,494,419,2,1053,2144,
