index,County,Precinct,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,
63,Chatham,7-01C Garden City Senior Ctr,1542,199,196,120,0,515,105,133,132,0,370,885,
64,Chatham,7-03C PB Edwards Gym,1290,311,138,86,0,535,95,54,73,0,222,757,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,199,192,67,0,458,397,709,347,1,1454,1912,
66,Chatham,7-05C Woodlawn Baptist Church 1305,134,139,47,0,320,140,173,106,0,419,739,,
67,Chatham,7-06C Pooler City Hall,3555,255,617,255,1,1128,174,501,393,1,1069,2197,
68,Chatham,7-07C Rothwell Baptist Church 3932,279,960,439,3,1681,124,424,359,5,912,2593,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,508,654,235,0,1397,87,126,119,1,333,1730,
70,Chatham,7-09C Savannah Holy C of G,2823,240,323,190,2,755,214,371,331,2,918,1673,
71,Chatham,7-10C Progressive Rec Center,4288,278,471,211,2,962,329,755,497,6,1587,2549,
72,Chatham,7-11C Seventh Day Adv Church,6469,480,770,307,7,1564,441,1190,755,6,2392,3956,
73,Chatham,7-12C Pooler Church,3334,182,577,267,4,1030,174,671,490,0,1335,2365,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,240,749,468,1,1458,63,238,313,0,614,2072,,
75,Chatham,7-14C Coastal Cathedral,7572,414,828,558,1,1801,560,1488,1112,9,3169,4970,
76,Chatham,7-15C Rice Creek School,2564,269,216,85,3,573,259,432,255,2,948,1521,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,232,887,462,6,1587,119,529,409,7,1064,2651,,
78,Chatham,8-01C Civic Center,850,21,43,26,0,90,61,88,78,3,230,320,
79,Chatham,8-02C Hellenic Center,1709,83,90,70,0,243,187,339,218,1,745,988,
80,Chatham,8-03C Silk Hope Baptist Church831,161,108,52,0,321,55,43,49,0,147,468,,
81,Chatham,8-05C W Broad St YMCA,1543,22,8,9,0,39,268,208,160,1,637,676,
82,Chatham,8-06C Tompkins Rec Center,1055,15,9,7,0,31,190,147,157,4,498,529,
83,Chatham,8-07C Woodville-Tompkins TI,630,12,7,7,0,26,121,100,82,1,304,330,
84,Chatham,8-08C Resur of Our Lord Church1704,13,11,17,0,41,315,253,267,4,839,880,,
85,Chatham,8-09C Moses Jackson Center,1362,14,9,7,1,31,259,192,200,7,658,689,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,14,8,6,0,28,348,262,355,0,965,993,,
87,Chatham,8-11C Butler Elementary,1386,12,6,9,0,27,253,311,355,0,919,946,
88,Chatham,8-12C Beach High School,1310,46,59,28,1,134,156,207,140,1,504,638,
89,Chatham,8-13C Savannah Christian,1022,114,98,57,1,270,41,44,45,1,131,401,
90,Chatham,8-15C Garden City Rec Center,1622,23,30,23,0,76,208,285,233,3,729,805,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,211,594,291,1,1097,142,487,413,2,1044,2141,
