index,County,Precinct,Registered Voters,John T. Wilcher (I) (Rep)_Election Day Votes,John T. Wilcher (I) (Rep)_Advanced Voting Votes,John T. Wilcher (I) (Rep)_Absentee by Mail Votes,John T. Wilcher (I) (Rep)_Provisional Votes,John T. Wilcher (I) (Rep)_Choice Total,Total,
73,Chatham,7-12C Pooler Church,3334,297,918,518,4,1737,1737,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,269,834,556,1,1660,1660,,
75,Chatham,7-14C Coastal Cathedral,7572,756,1655,1135,7,3553,3553,
76,Chatham,7-15C Rice Creek School,2564,429,443,208,5,1085,1085,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,312,1148,634,9,2103,2103,,
78,Chatham,8-01C Civic Center,850,53,106,71,3,233,233,
79,Chatham,8-02C Hellenic Center,1709,189,268,157,0,614,614,
80,Chatham,8-03C Silk Hope Baptist Church831,198,128,78,0,404,404,,
81,Chatham,8-05C W Broad St YMCA,1543,175,123,92,1,391,391,
82,Chatham,8-06C Tompkins Rec Center,1055,124,96,87,0,307,307,
83,Chatham,8-07C Woodville-Tompkins TI,630,83,60,54,1,198,198,
84,Chatham,8-08C Resur of Our Lord Church1704,186,148,157,1,492,492,,
85,Chatham,8-09C Moses Jackson Center,1362,146,103,116,3,368,368,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,236,160,205,0,601,601,,
87,Chatham,8-11C Butler Elementary,1386,149,192,200,0,541,541,
88,Chatham,8-12C Beach High School,1310,145,178,109,2,434,434,
89,Chatham,8-13C Savannah Christian,1022,136,130,84,2,352,352,
90,Chatham,8-15C Garden City Rec Center,1622,158,178,166,2,504,504,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,294,855,497,2,1648,1648,
