index,County,Precinct,Registered Voters,"Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",Total,
79,Chatham,8-02C Hellenic Center,1709,198,314,200,1,713,713,
80,Chatham,8-03C Silk Hope Baptist Church831,139,92,79,0,310,310,,
81,Chatham,8-05C W Broad St YMCA,1543,213,155,124,1,493,493,
82,Chatham,8-06C Tompkins Rec Center,1055,158,118,123,2,401,401,
83,Chatham,8-07C Woodville-Tompkins TI,630,96,77,68,1,242,242,
84,Chatham,8-08C Resur of Our Lord Church1704,222,192,204,2,620,620,,
85,Chatham,8-09C Moses Jackson Center,1362,185,133,151,3,472,472,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,282,189,270,0,741,741,,
87,Chatham,8-11C Butler Elementary,1386,192,226,273,0,691,691,
88,Chatham,8-12C Beach High School,1310,172,196,125,2,495,495,
89,Chatham,8-13C Savannah Christian,1022,111,97,74,2,284,284,
90,Chatham,8-15C Garden City Rec Center,1622,163,231,203,2,599,599,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,262,803,515,3,1583,1583,
