index,County,Precinct,Registered Voters,Tammie Mosley (I) (Dem)_Election Day Votes,Tammie Mosley (I) (Dem)_Advanced Voting Votes,Tammie Mosley (I) (Dem)_Absentee by Mail Votes,Tammie Mosley (I) (Dem)_Provisional Votes,Tammie Mosley (I) (Dem)_Choice Total,Total,
68,Chatham,7-07C Rothwell Baptist Church 3932,295,891,606,5,1797,1797,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,381,455,256,1,1093,1093,
70,Chatham,7-09C Savannah Holy C of G,2823,346,539,442,4,1331,1331,
71,Chatham,7-10C Progressive Rec Center,4288,494,997,604,5,2100,2100,
72,Chatham,7-11C Seventh Day Adv Church,6469,725,1560,938,11,3234,3234,
73,Chatham,7-12C Pooler Church,3334,307,994,671,3,1975,1975,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,195,638,568,0,1401,1401,,
75,Chatham,7-14C Coastal Cathedral,7572,783,1872,1397,8,4060,4060,
76,Chatham,7-15C Rice Creek School,2564,418,536,286,3,1243,1243,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,270,1004,666,10,1950,1950,,
78,Chatham,8-01C Civic Center,850,74,117,95,3,289,289,
79,Chatham,8-02C Hellenic Center,1709,236,380,257,1,874,874,
80,Chatham,8-03C Silk Hope Baptist Church831,126,82,78,0,286,286,,
81,Chatham,8-05C W Broad St YMCA,1543,277,214,162,1,654,654,
82,Chatham,8-06C Tompkins Rec Center,1055,195,152,158,1,506,506,
83,Chatham,8-07C Woodville-Tompkins TI,630,128,103,86,1,318,318,
84,Chatham,8-08C Resur of Our Lord Church1704,321,258,272,3,854,854,,
85,Chatham,8-09C Moses Jackson Center,1362,264,196,203,4,667,667,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,353,264,352,0,969,969,,
87,Chatham,8-11C Butler Elementary,1386,261,308,354,0,923,923,
88,Chatham,8-12C Beach High School,1310,190,243,154,2,589,589,
89,Chatham,8-13C Savannah Christian,1022,96,87,65,2,250,250,
90,Chatham,8-15C Garden City Rec Center,1622,220,301,246,2,769,769,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,274,803,591,3,1671,1671,
