index,County,Precinct,Registered Voters,Sonya Jackson (Dem)_Election Day Votes,Sonya Jackson (Dem)_Advanced Voting Votes,Sonya Jackson (Dem)_Absentee by Mail Votes,Sonya Jackson (Dem)_Provisional Votes,Sonya Jackson (Dem)_Choice Total,Total,
78,Chatham,8-01C Civic Center,850,72,115,95,3,285,285,
79,Chatham,8-02C Hellenic Center,1709,233,382,254,1,870,870,
80,Chatham,8-03C Silk Hope Baptist Church831,128,80,76,0,284,284,,
81,Chatham,8-05C W Broad St YMCA,1543,283,215,165,1,664,664,
82,Chatham,8-06C Tompkins Rec Center,1055,198,152,162,1,513,513,
83,Chatham,8-07C Woodville-Tompkins TI,630,129,105,87,1,322,322,
84,Chatham,8-08C Resur of Our Lord Church1704,318,259,276,4,857,857,,
85,Chatham,8-09C Moses Jackson Center,1362,267,197,206,7,677,677,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,354,266,352,0,972,972,,
87,Chatham,8-11C Butler Elementary,1386,261,314,359,0,934,934,
88,Chatham,8-12C Beach High School,1310,191,241,153,2,587,587,
89,Chatham,8-13C Savannah Christian,1022,90,83,65,2,240,240,
90,Chatham,8-15C Garden City Rec Center,1622,219,300,246,2,767,767,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,273,812,589,3,1677,1677,
