index,County,Precinct,Registered Voters,Charles M. Pugh (Rep)_Election Day Votes,Charles M. Pugh (Rep)_Advanced Voting Votes,Charles M. Pugh (Rep)_Absentee by Mail Votes,Charles M. Pugh (Rep)_Provisional Votes,Charles M. Pugh (Rep)_Choice Total,David Campbell (Dem)_Election Day Votes,David Campbell (Dem)_Advanced Voting Votes,David Campbell (Dem)_Absentee by Mail Votes,David Campbell (Dem)_Provisional Votes,David Campbell (Dem)_Choice Total,Total,
22,Chatham,3-03C Savannah High School,1185,23,32,19,0,74,187,204,131,5,527,601,
23,Chatham,3-04C First African Baptist Church1558,37,16,18,0,71,311,242,233,0,786,857,,
24,Chatham,3-05C Aldersgate Youth Center 2107,119,138,69,0,326,264,312,267,2,845,1171,,
25,Chatham,3-08C Jenkins High School,1210,88,101,55,0,244,123,227,176,0,526,770,
26,Chatham,3-09C Cokesbury Methodist,664,167,85,63,1,316,61,62,72,1,196,512,
27,Chatham,3-10C Bible Baptist Church,2640,102,86,68,1,257,390,504,430,1,1325,1582,
28,Chatham,3-11C Southside Baptist Church1481,56,66,50,1,173,240,264,194,2,700,873,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,258,199,95,0,552,178,186,225,1,590,1142,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,168,251,152,0,571,202,348,225,1,776,1347,
31,Chatham,3-14C Oglethorpe Charter Academy2381,95,185,128,0,408,240,448,412,1,1101,1509,,
32,Chatham,3-15C Eli Whitney Complex,816,65,135,121,0,321,61,120,134,0,315,636,
33,Chatham,4-02C Frank Murray Comm Center2472,334,534,206,0,1074,101,228,247,0,576,1650,,
34,Chatham,4-04C Lighthouse Baptist Church2470,485,533,286,3,1307,84,177,234,1,496,1803,,
35,Chatham,4-05C St Francis Episcopal Church2244,485,486,245,1,1217,112,174,203,0,489,1706,,
36,Chatham,4-06C First Baptist of the Island2252,481,580,258,3,1322,90,145,206,0,441,1763,,
37,Chatham,4-07C Wilmington Island UMC,3370,543,773,399,4,1719,127,240,336,0,703,2422,
38,Chatham,4-08C Wilmington Island Pres Church2678,542,704,411,1,1658,93,165,241,1,500,2158,,
39,Chatham,4-10C Guard House Comm Ctr,1469,367,216,151,1,735,115,128,130,1,374,1109,
40,Chatham,4-11C Tybee Island School Cafe1640,500,180,166,1,847,145,100,133,0,378,1225,,
41,Chatham,4-12C St Peters Episcopal,2294,591,480,437,3,1511,75,118,229,0,422,1933,
42,Chatham,4-13C Skidaway Island Pres Church2469,513,522,550,2,1587,53,152,264,0,469,2056,,
43,Chatham,4-14C Skidaway Island Baptist 1744,378,344,348,2,1072,37,105,245,0,387,1459,,
44,Chatham,4-15C Skidaway Island State Park0,310,346,476,4,1136,31,113,251,0,395,1531,,
45,Chatham,5-01C Bartlett Middle School,1063,64,54,36,0,154,147,175,129,0,451,605,
46,Chatham,5-02C Senior Citizens Center,783,26,15,15,0,56,108,113,118,1,340,396,
47,Chatham,5-03C Butler Presbyterian Church1078,13,10,18,0,41,188,161,173,6,528,569,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,26,38,11,1,76,424,548,583,2,1557,1633,
49,Chatham,5-06C Seed Church,2598,81,84,50,1,216,264,424,331,7,1026,1242,
50,Chatham,5-07C Station 1,1856,108,103,72,1,284,214,321,228,5,768,1052,
51,Chatham,5-08C Savannah Primitive BC,1848,99,136,88,0,323,191,318,275,2,786,1109,
52,Chatham,5-10C Tatumville Community Center3507,43,55,35,0,133,534,664,660,5,1863,1996,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,85,152,193,2,432,315,588,364,7,1274,1706,
54,Chatham,6-01C White Bluff Presbyterian1919,148,150,111,4,413,184,328,215,2,729,1142,,
55,Chatham,6-02C Windsor Forest Baptist,2290,405,440,270,0,1115,140,252,251,1,644,1759,
56,Chatham,6-03C Crusader Comm Center,2736,286,365,190,1,842,219,440,410,1,1070,1912,
57,Chatham,6-05C Windsor Hall,1993,148,183,130,0,461,206,321,242,0,769,1230,
58,Chatham,6-06C The Light Church,1543,144,211,114,0,469,137,179,124,0,440,909,
59,Chatham,6-08C Christ Memorial Baptist Church2194,100,151,91,0,342,226,388,267,2,883,1225,,
60,Chatham,6-09C Trinity Lutheran Church 3319,325,456,295,1,1077,265,515,363,7,1150,2227,,
61,Chatham,6-10C Station 3,4184,382,694,336,2,1414,274,644,578,4,1500,2914,
62,Chatham,6-11C Bamboo Farms,5149,321,473,205,3,1002,446,964,637,6,2053,3055,
63,Chatham,7-01C Garden City Senior Ctr,1542,195,192,111,0,498,114,134,140,0,388,886,
64,Chatham,7-03C PB Edwards Gym,1290,296,130,77,0,503,113,58,80,0,251,754,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,188,188,64,0,440,404,710,341,1,1456,1896,
66,Chatham,7-05C Woodlawn Baptist Church 1305,130,124,48,0,302,142,181,102,0,425,727,,
67,Chatham,7-06C Pooler City Hall,3555,246,601,239,0,1086,185,511,401,1,1098,2184,
68,Chatham,7-07C Rothwell Baptist Church 3932,271,945,408,5,1629,137,433,373,3,946,2575,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,503,647,210,0,1360,91,131,135,1,358,1718,
70,Chatham,7-09C Savannah Holy C of G,2823,233,325,162,1,721,226,371,352,3,952,1673,
71,Chatham,7-10C Progressive Rec Center,4288,271,463,198,2,934,335,758,503,6,1602,2536,
72,Chatham,7-11C Seventh Day Adv Church,6469,458,772,296,7,1533,454,1188,754,6,2402,3935,
73,Chatham,7-12C Pooler Church,3334,183,565,250,4,1002,173,673,508,0,1354,2356,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,232,729,404,1,1366,67,258,360,0,685,2051,,
75,Chatham,7-14C Coastal Cathedral,7572,401,817,518,2,1738,572,1481,1127,8,3188,4926,
76,Chatham,7-15C Rice Creek School,2564,259,218,84,3,564,268,431,253,2,954,1518,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,220,885,420,6,1531,125,526,435,7,1093,2624,,
78,Chatham,8-01C Civic Center,850,19,35,27,0,81,63,97,76,3,239,320,
79,Chatham,8-02C Hellenic Center,1709,90,99,61,0,250,180,322,221,1,724,974,
80,Chatham,8-03C Silk Hope Baptist Church831,162,103,47,0,312,51,48,48,0,147,459,,
81,Chatham,8-05C W Broad St YMCA,1543,18,8,5,0,31,272,210,163,1,646,677,
82,Chatham,8-06C Tompkins Rec Center,1055,18,5,7,1,31,189,152,156,3,500,531,
83,Chatham,8-07C Woodville-Tompkins TI,630,11,7,3,0,21,124,103,89,1,317,338,
84,Chatham,8-08C Resur of Our Lord Church1704,20,11,14,0,45,310,256,268,4,838,883,,
85,Chatham,8-09C Moses Jackson Center,1362,11,6,4,0,21,262,195,204,8,669,690,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,15,16,20,0,51,346,260,335,0,941,992,,
87,Chatham,8-11C Butler Elementary,1386,19,12,14,0,45,250,306,349,0,905,950,
88,Chatham,8-12C Beach High School,1310,44,64,25,1,134,159,201,143,1,504,638,
89,Chatham,8-13C Savannah Christian,1022,110,104,49,1,264,39,39,52,1,131,395,
90,Chatham,8-15C Garden City Rec Center,1622,22,31,19,0,72,212,291,240,3,746,818,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,202,579,267,1,1049,149,508,425,2,1084,2133,
