index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
27,Chatham,3-10C Bible Baptist Church,2640,105,74,58,0,237,381,511,443,2,1337,1574,
28,Chatham,3-11C Southside Baptist Church1481,62,62,46,1,171,228,266,199,2,695,866,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,275,188,95,0,558,160,187,231,1,579,1137,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,180,250,148,0,578,195,346,239,2,782,1360,
31,Chatham,3-14C Oglethorpe Charter Academy2381,88,171,106,0,365,242,454,440,1,1137,1502,,
32,Chatham,3-15C Eli Whitney Complex,816,63,134,109,0,306,62,121,150,0,333,639,
33,Chatham,4-02C Frank Murray Comm Center2472,339,521,195,0,1055,104,240,271,0,615,1670,,
34,Chatham,4-04C Lighthouse Baptist Church2470,490,525,274,3,1292,87,185,254,1,527,1819,,
35,Chatham,4-05C St Francis Episcopal Church2244,488,469,232,1,1190,112,192,230,0,534,1724,,
36,Chatham,4-06C First Baptist of the Island2252,488,560,249,3,1300,82,163,219,0,464,1764,,
37,Chatham,4-07C Wilmington Island UMC,3370,550,752,375,4,1681,122,265,388,0,775,2456,
38,Chatham,4-08C Wilmington Island Pres Church2678,557,690,389,1,1637,83,183,276,1,543,2180,,
39,Chatham,4-10C Guard House Comm Ctr,1469,368,221,145,2,736,119,133,151,1,404,1140,
40,Chatham,4-11C Tybee Island School Cafe1640,506,171,144,1,822,161,108,166,0,435,1257,,
41,Chatham,4-12C St Peters Episcopal,2294,593,477,400,3,1473,77,126,281,0,484,1957,
42,Chatham,4-13C Skidaway Island Pres Church2469,515,502,516,2,1535,58,185,328,1,572,2107,,
43,Chatham,4-14C Skidaway Island Baptist 1744,374,330,342,3,1049,44,124,277,0,445,1494,,
44,Chatham,4-15C Skidaway Island State Park0,308,334,453,3,1098,38,130,286,0,454,1552,,
45,Chatham,5-01C Bartlett Middle School,1063,73,54,39,0,166,136,174,131,0,441,607,
46,Chatham,5-02C Senior Citizens Center,783,27,12,11,1,51,108,115,125,0,348,399,
47,Chatham,5-03C Butler Presbyterian Church1078,17,8,8,0,33,183,160,183,6,532,565,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,31,19,16,1,67,416,558,577,2,1553,1620,
49,Chatham,5-06C Seed Church,2598,83,76,41,1,201,262,433,347,7,1049,1250,
50,Chatham,5-07C Station 1,1856,106,98,74,1,279,215,318,225,5,763,1042,
51,Chatham,5-08C Savannah Primitive BC,1848,100,135,81,0,316,186,318,291,3,798,1114,
52,Chatham,5-10C Tatumville Community Center3507,42,44,32,0,118,531,663,678,5,1877,1995,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,84,138,186,2,410,313,601,378,6,1298,1708,
54,Chatham,6-01C White Bluff Presbyterian1919,161,155,98,3,417,173,331,235,3,742,1159,,
55,Chatham,6-02C Windsor Forest Baptist,2290,414,422,235,0,1071,136,269,299,1,705,1776,
56,Chatham,6-03C Crusader Comm Center,2736,279,347,187,1,814,220,456,424,1,1101,1915,
57,Chatham,6-05C Windsor Hall,1993,149,185,118,0,452,202,315,258,0,775,1227,
58,Chatham,6-06C The Light Church,1543,142,213,104,0,459,137,177,135,0,449,908,
59,Chatham,6-08C Christ Memorial Baptist Church2194,103,151,90,0,344,217,387,270,2,876,1220,,
60,Chatham,6-09C Trinity Lutheran Church 3319,322,438,281,1,1042,263,529,390,7,1189,2231,,
61,Chatham,6-10C Station 3,4184,401,695,342,3,1441,253,637,597,4,1491,2932,
62,Chatham,6-11C Bamboo Farms,5149,344,467,197,3,1011,429,965,657,6,2057,3068,
63,Chatham,7-01C Garden City Senior Ctr,1542,199,194,113,0,506,108,137,141,0,386,892,
64,Chatham,7-03C PB Edwards Gym,1290,310,130,81,0,521,95,62,77,0,234,755,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,214,192,63,0,469,375,701,354,1,1431,1900,
66,Chatham,7-05C Woodlawn Baptist Church 1305,139,134,47,0,320,138,179,107,0,424,744,,
67,Chatham,7-06C Pooler City Hall,3555,260,611,239,1,1111,177,497,410,1,1085,2196,
68,Chatham,7-07C Rothwell Baptist Church 3932,283,954,407,2,1646,122,432,397,5,956,2602,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,524,645,223,0,1392,84,133,134,1,352,1744,
70,Chatham,7-09C Savannah Holy C of G,2823,246,330,170,1,747,206,369,361,3,939,1686,
71,Chatham,7-10C Progressive Rec Center,4288,283,449,186,2,920,331,768,521,6,1626,2546,
72,Chatham,7-11C Seventh Day Adv Church,6469,494,767,285,6,1552,432,1185,787,8,2412,3964,
73,Chatham,7-12C Pooler Church,3334,196,569,244,4,1013,161,672,525,0,1358,2371,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,239,723,401,1,1364,62,261,383,0,706,2070,,
75,Chatham,7-14C Coastal Cathedral,7572,430,815,505,2,1752,549,1493,1166,7,3215,4967,
76,Chatham,7-15C Rice Creek School,2564,263,219,82,3,567,269,431,260,2,962,1529,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,232,864,423,7,1526,119,552,449,6,1126,2652,,
78,Chatham,8-01C Civic Center,850,21,31,16,0,68,60,101,88,3,252,320,
79,Chatham,8-02C Hellenic Center,1709,89,74,49,0,212,180,359,238,1,778,990,
80,Chatham,8-03C Silk Hope Baptist Church831,161,100,42,0,303,51,48,56,0,155,458,,
81,Chatham,8-05C W Broad St YMCA,1543,23,8,6,0,37,263,207,164,1,635,672,
82,Chatham,8-06C Tompkins Rec Center,1055,19,8,6,0,33,184,147,158,4,493,526,
83,Chatham,8-07C Woodville-Tompkins TI,630,8,9,5,1,23,126,100,86,0,312,335,
84,Chatham,8-08C Resur of Our Lord Church1704,15,9,9,0,33,308,257,274,4,843,876,,
85,Chatham,8-09C Moses Jackson Center,1362,14,11,8,0,33,258,186,204,8,656,689,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,21,8,7,0,36,329,260,356,0,945,981,,
87,Chatham,8-11C Butler Elementary,1386,20,13,6,0,39,246,302,361,0,909,948,
88,Chatham,8-12C Beach High School,1310,42,57,18,1,118,159,209,153,1,522,640,
89,Chatham,8-13C Savannah Christian,1022,113,98,52,1,264,41,42,56,1,140,404,
90,Chatham,8-15C Garden City Rec Center,1622,26,35,21,0,82,203,279,236,2,720,802,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,213,585,267,1,1066,138,501,446,2,1087,2153,
