StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,159,Jasper,Dem,Tabitha Johnson-Green,Election Day Votes,287
13,159,Jasper,Dem,Tabitha Johnson-Green,Provisional Votes,2
13,159,Jasper,Dem,Tabitha Johnson-Green,TOTAL VOTES,1646
13,163,Jefferson,I) (Rep,Jody Hice,Absentee by Mail Votes,454
13,163,Jefferson,I) (Rep,Jody Hice,Advanced Voting Votes,1950
13,163,Jefferson,I) (Rep,Jody Hice,Election Day Votes,1073
13,163,Jefferson,I) (Rep,Jody Hice,Provisional Votes,4
13,163,Jefferson,I) (Rep,Jody Hice,TOTAL VOTES,3481
13,163,Jefferson,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1204
13,163,Jefferson,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1614
13,163,Jefferson,Dem,Tabitha Johnson-Green,Election Day Votes,1008
13,163,Jefferson,Dem,Tabitha Johnson-Green,Provisional Votes,8
13,163,Jefferson,Dem,Tabitha Johnson-Green,TOTAL VOTES,3834
13,167,Johnson,I) (Rep,Jody Hice,Absentee by Mail Votes,334
13,167,Johnson,I) (Rep,Jody Hice,Advanced Voting Votes,1714
13,167,Johnson,I) (Rep,Jody Hice,Election Day Votes,753
13,167,Johnson,I) (Rep,Jody Hice,Provisional Votes,0
13,167,Johnson,I) (Rep,Jody Hice,TOTAL VOTES,2801
13,167,Johnson,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,352
13,167,Johnson,Dem,Tabitha Johnson-Green,Advanced Voting Votes,554
13,167,Johnson,Dem,Tabitha Johnson-Green,Election Day Votes,199
13,167,Johnson,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,167,Johnson,Dem,Tabitha Johnson-Green,TOTAL VOTES,1105
13,181,Lincoln,I) (Rep,Jody Hice,Absentee by Mail Votes,436
13,181,Lincoln,I) (Rep,Jody Hice,Advanced Voting Votes,1832
13,181,Lincoln,I) (Rep,Jody Hice,Election Day Votes,899
13,181,Lincoln,I) (Rep,Jody Hice,Provisional Votes,0
13,181,Lincoln,I) (Rep,Jody Hice,TOTAL VOTES,3167
13,181,Lincoln,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,607
13,181,Lincoln,Dem,Tabitha Johnson-Green,Advanced Voting Votes,489
13,181,Lincoln,Dem,Tabitha Johnson-Green,Election Day Votes,248
13,181,Lincoln,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,181,Lincoln,Dem,Tabitha Johnson-Green,TOTAL VOTES,1344
13,189,McDuffie,I) (Rep,Jody Hice,Absentee by Mail Votes,944
13,189,McDuffie,I) (Rep,Jody Hice,Advanced Voting Votes,4468
13,189,McDuffie,I) (Rep,Jody Hice,Election Day Votes,831
13,189,McDuffie,I) (Rep,Jody Hice,Provisional Votes,0
13,189,McDuffie,I) (Rep,Jody Hice,TOTAL VOTES,6243
13,189,McDuffie,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1460
13,189,McDuffie,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1937
13,189,McDuffie,Dem,Tabitha Johnson-Green,Election Day Votes,589
13,189,McDuffie,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,189,McDuffie,Dem,Tabitha Johnson-Green,TOTAL VOTES,3986
13,211,Morgan,I) (Rep,Jody Hice,Absentee by Mail Votes,1006
13,211,Morgan,I) (Rep,Jody Hice,Advanced Voting Votes,5502
13,211,Morgan,I) (Rep,Jody Hice,Election Day Votes,1904
13,211,Morgan,I) (Rep,Jody Hice,Provisional Votes,3
13,211,Morgan,I) (Rep,Jody Hice,TOTAL VOTES,8415
13,211,Morgan,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,957
13,211,Morgan,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1640
13,211,Morgan,Dem,Tabitha Johnson-Green,Election Day Votes,462
13,211,Morgan,Dem,Tabitha Johnson-Green,Provisional Votes,2
13,211,Morgan,Dem,Tabitha Johnson-Green,TOTAL VOTES,3061
13,217,Newton,I) (Rep,Jody Hice,Absentee by Mail Votes,1547
13,217,Newton,I) (Rep,Jody Hice,Advanced Voting Votes,2421
13,217,Newton,I) (Rep,Jody Hice,Election Day Votes,5161
13,217,Newton,I) (Rep,Jody Hice,Provisional Votes,0
13,217,Newton,I) (Rep,Jody Hice,TOTAL VOTES,9129
13,217,Newton,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1114
13,217,Newton,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1053
13,217,Newton,Dem,Tabitha Johnson-Green,Election Day Votes,900
13,217,Newton,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,217,Newton,Dem,Tabitha Johnson-Green,TOTAL VOTES,3068
13,219,Oconee,I) (Rep,Jody Hice,Absentee by Mail Votes,3049
13,219,Oconee,I) (Rep,Jody Hice,Advanced Voting Votes,11783
13,219,Oconee,I) (Rep,Jody Hice,Election Day Votes,2810
13,219,Oconee,I) (Rep,Jody Hice,Provisional Votes,2
13,219,Oconee,I) (Rep,Jody Hice,TOTAL VOTES,17644
13,219,Oconee,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,2643
13,219,Oconee,Dem,Tabitha Johnson-Green,Advanced Voting Votes,3911
13,219,Oconee,Dem,Tabitha Johnson-Green,Election Day Votes,635
13,219,Oconee,Dem,Tabitha Johnson-Green,Provisional Votes,2
13,219,Oconee,Dem,Tabitha Johnson-Green,TOTAL VOTES,7191
13,221,Oglethorpe,I) (Rep,Jody Hice,Absentee by Mail Votes,982
13,221,Oglethorpe,I) (Rep,Jody Hice,Advanced Voting Votes,3551
13,221,Oglethorpe,I) (Rep,Jody Hice,Election Day Votes,1052
13,221,Oglethorpe,I) (Rep,Jody Hice,Provisional Votes,2
13,221,Oglethorpe,I) (Rep,Jody Hice,TOTAL VOTES,5587
13,221,Oglethorpe,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,815
13,221,Oglethorpe,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1108
13,221,Oglethorpe,Dem,Tabitha Johnson-Green,Election Day Votes,394
13,221,Oglethorpe,Dem,Tabitha Johnson-Green,Provisional Votes,1
13,221,Oglethorpe,Dem,Tabitha Johnson-Green,TOTAL VOTES,2318
13,237,Putnam,I) (Rep,Jody Hice,Absentee by Mail Votes,1847
13,237,Putnam,I) (Rep,Jody Hice,Advanced Voting Votes,4988
13,237,Putnam,I) (Rep,Jody Hice,Election Day Votes,1557
13,237,Putnam,I) (Rep,Jody Hice,Provisional Votes,1
13,237,Putnam,I) (Rep,Jody Hice,TOTAL VOTES,8393
13,237,Putnam,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1363
13,237,Putnam,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1424
13,237,Putnam,Dem,Tabitha Johnson-Green,Election Day Votes,435
13,237,Putnam,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,237,Putnam,Dem,Tabitha Johnson-Green,TOTAL VOTES,3222
13,265,Taliaferro,I) (Rep,Jody Hice,Absentee by Mail Votes,62
13,265,Taliaferro,I) (Rep,Jody Hice,Advanced Voting Votes,199
13,265,Taliaferro,I) (Rep,Jody Hice,Election Day Votes,102
13,265,Taliaferro,I) (Rep,Jody Hice,Provisional Votes,0
13,265,Taliaferro,I) (Rep,Jody Hice,TOTAL VOTES,363
13,265,Taliaferro,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,211
13,265,Taliaferro,Dem,Tabitha Johnson-Green,Advanced Voting Votes,197
13,265,Taliaferro,Dem,Tabitha Johnson-Green,Election Day Votes,90
13,265,Taliaferro,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,265,Taliaferro,Dem,Tabitha Johnson-Green,TOTAL VOTES,498
13,297,Walton,I) (Rep,Jody Hice,Absentee by Mail Votes,6245
13,297,Walton,I) (Rep,Jody Hice,Advanced Voting Votes,22652
13,297,Walton,I) (Rep,Jody Hice,Election Day Votes,9030
13,297,Walton,I) (Rep,Jody Hice,Provisional Votes,0
13,297,Walton,I) (Rep,Jody Hice,TOTAL VOTES,37927
13,297,Walton,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,3962
13,297,Walton,Dem,Tabitha Johnson-Green,Advanced Voting Votes,5975
13,297,Walton,Dem,Tabitha Johnson-Green,Election Day Votes,2029
13,297,Walton,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,297,Walton,Dem,Tabitha Johnson-Green,TOTAL VOTES,11966
13,301,Warren,I) (Rep,Jody Hice,Absentee by Mail Votes,212
13,301,Warren,I) (Rep,Jody Hice,Advanced Voting Votes,765
13,301,Warren,I) (Rep,Jody Hice,Election Day Votes,189
13,301,Warren,I) (Rep,Jody Hice,Provisional Votes,0
13,301,Warren,I) (Rep,Jody Hice,TOTAL VOTES,1166
13,301,Warren,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,529
13,301,Warren,Dem,Tabitha Johnson-Green,Advanced Voting Votes,586
13,301,Warren,Dem,Tabitha Johnson-Green,Election Day Votes,291
13,301,Warren,Dem,Tabitha Johnson-Green,Provisional Votes,0
13,301,Warren,Dem,Tabitha Johnson-Green,TOTAL VOTES,1406
13,303,Washington,I) (Rep,Jody Hice,Absentee by Mail Votes,735
13,303,Washington,I) (Rep,Jody Hice,Advanced Voting Votes,2392
13,303,Washington,I) (Rep,Jody Hice,Election Day Votes,1407
13,303,Washington,I) (Rep,Jody Hice,Provisional Votes,4
13,303,Washington,I) (Rep,Jody Hice,TOTAL VOTES,4538
13,303,Washington,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,1726
13,303,Washington,Dem,Tabitha Johnson-Green,Advanced Voting Votes,1758
13,303,Washington,Dem,Tabitha Johnson-Green,Election Day Votes,1041
13,303,Washington,Dem,Tabitha Johnson-Green,Provisional Votes,6
13,303,Washington,Dem,Tabitha Johnson-Green,TOTAL VOTES,4531
13,317,Wilkes,I) (Rep,Jody Hice,Absentee by Mail Votes,484
13,317,Wilkes,I) (Rep,Jody Hice,Advanced Voting Votes,1638
13,317,Wilkes,I) (Rep,Jody Hice,Election Day Votes,711
13,317,Wilkes,I) (Rep,Jody Hice,Provisional Votes,4
13,317,Wilkes,I) (Rep,Jody Hice,TOTAL VOTES,2837
13,317,Wilkes,Dem,Tabitha Johnson-Green,Absentee by Mail Votes,713
13,317,Wilkes,Dem,Tabitha Johnson-Green,Advanced Voting Votes,829
13,317,Wilkes,Dem,Tabitha Johnson-Green,Election Day Votes,470
13,317,Wilkes,Dem,Tabitha Johnson-Green,Provisional Votes,3
13,317,Wilkes,Dem,Tabitha Johnson-Green,TOTAL VOTES,2015
