County,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_TOTAL VOTES,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_TOTAL VOTES,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_TOTAL VOTES,Total,
Walker,5423,3415,13805,7,22650,952,1997,2483,3,5435,303,155,425,0,883,28968,
Walton,8813,5925,22431,0,37169,2063,3932,6107,0,12102,391,275,520,0,1186,50457,
Ware,2538,1431,5864,0,9833,536,1484,1953,0,3973,81,51,137,0,269,14075,
Warren,190,215,767,0,1172,291,517,616,0,1424,11,12,23,0,46,2642,
Washington,1455,730,2441,4,4630,1020,1661,1790,6,4477,63,45,64,0,172,9279,
Wayne,2426,1280,6022,6,9734,466,705,1482,2,2655,69,55,120,0,244,12633,
Webster,136,122,478,0,736,141,215,270,0,626,2,3,5,0,10,1372,
Wheeler,444,194,924,0,1562,181,191,284,0,656,9,3,23,0,35,2253,
White,3386,2046,6634,6,12072,379,879,1015,0,2273,130,86,155,0,371,14716,
Whitfield,8713,3444,12957,44,25158,2767,2593,4799,18,10177,398,175,388,1,962,36297,
Wilcox,728,338,1303,0,2369,278,181,346,0,805,19,12,25,0,56,3230,
Wilkes,705,458,1644,3,2810,482,709,863,3,2057,26,17,35,0,78,4945,
Wilkinson,1267,239,1099,3,2608,525,575,914,3,2017,32,20,27,0,79,4704,
Worth,2730,755,3242,0,6727,580,781,966,0,2327,56,28,73,0,157,9211,
