index,County,Precinct,Registered Voters,Debra DeBerry (I) (Dem)_Election Day Votes,Debra DeBerry (I) (Dem)_Advanced Voting Votes,Debra DeBerry (I) (Dem)_Absentee by Mail Votes,Debra DeBerry (I) (Dem)_Provisional Votes,Debra DeBerry (I) (Dem)_Choice Total,Total,
120,DeKalb,North Decatur,2166,123,636,527,12,1298,1298,
121,DeKalb,North Hairston,2329,228,646,408,8,1290,1290,
122,DeKalb,Northlake,1509,124,454,405,1,984,984,
123,DeKalb,North Peachtree,1916,158,527,299,5,989,989,
124,DeKalb,Oak Grove Elem,2253,167,694,588,0,1449,1449,
125,DeKalb,Oakcliff Elem,2125,280,463,289,9,1041,1041,
126,DeKalb,Oakhurst,2398,111,1050,697,2,1860,1860,
127,DeKalb,Oak View Elem,5011,361,1731,745,18,2855,2855,
128,DeKalb,Peachcrest,2458,175,620,436,4,1235,1235,
129,DeKalb,Peachtree Middle,3502,246,1207,604,5,2062,2062,
130,DeKalb,Princeton Elem,2376,173,866,448,5,1492,1492,
131,DeKalb,Pine Lake,632,244,136,70,0,450,450,
132,DeKalb,Pleasantdale Road,4538,437,1179,594,9,2219,2219,
133,DeKalb,Ponce de Leon,3766,117,909,814,13,1853,1853,
134,DeKalb,Panola,1586,139,472,324,2,937,937,
135,DeKalb,Panola Way Elem,2252,204,594,317,20,1135,1135,
136,DeKalb,Piney Grove,2018,164,531,333,7,1035,1035,
137,DeKalb,Panola Road,2884,192,1031,561,8,1792,1792,
138,DeKalb,Rainbow Elem,3768,263,1203,826,8,2300,2300,
139,DeKalb,Redan Elem,3020,208,1159,581,8,1956,1956,
140,DeKalb,Rehoboth,1813,102,490,545,2,1139,1139,
141,DeKalb,Rockbridge Elem,3595,321,954,509,19,1803,1803,
142,DeKalb,Rock Chapel Elem,2910,215,1116,515,7,1853,1853,
143,DeKalb,Rowland Elem,3765,290,923,581,9,1803,1803,
144,DeKalb,Redan-Trotti Library,3990,275,1277,738,21,2311,2311,
145,DeKalb,Rockbridge Road,3965,306,1483,965,7,2761,2761,
146,DeKalb,Rowland Road,2080,188,591,414,7,1200,1200,
147,DeKalb,Redan Road,2932,232,898,501,12,1643,1643,
148,DeKalb,Rock Chapel Road,4178,258,1629,805,19,2711,2711,
149,DeKalb,Redan Middle,2496,154,869,511,5,1539,1539,
150,DeKalb,Sagamore Hills Elem,2925,192,924,840,0,1956,1956,
151,DeKalb,Scott,2805,119,831,871,1,1822,1822,
152,DeKalb,Shaw-Robert Shaw Elem,2892,251,860,581,3,1695,1695,
153,DeKalb,Stone Mountain Elem,2338,162,525,575,3,1265,1265,
154,DeKalb,Silver Lake,4979,240,1544,942,2,2728,2728,
155,DeKalb,Skyland,2100,179,687,380,6,1252,1252,
156,DeKalb,Snapfinger Elem,1894,164,607,499,0,1270,1270,
157,DeKalb,Smoke Rise,2108,146,673,502,1,1322,1322,
158,DeKalb,Stone Mtn Middle,3247,291,620,319,14,1244,1244,
159,DeKalb,Stone Mill Elem,3714,344,679,450,14,1487,1487,
160,DeKalb,Shadow Rock Elem,4347,291,1574,1018,12,2895,2895,
161,DeKalb,Stoneview Elem,1988,169,490,248,8,915,915,
162,DeKalb,Salem Middle,3519,222,1406,823,7,2458,2458,
163,DeKalb,Shamrock,1600,138,469,477,4,1088,1088,
164,DeKalb,South Deshon,3470,258,1281,625,11,2175,2175,
165,DeKalb,Stone Mtn Champion,3098,309,781,465,9,1564,1564,
166,DeKalb,Stone Mtn,1711,184,370,309,2,865,865,
167,DeKalb,Snapfinger Road N,2705,240,689,469,6,1404,1404,
168,DeKalb,Snapfinger Road S,1960,156,716,432,3,1307,1307,
169,DeKalb,Stephenson Middle,3822,301,1402,784,1,2488,2488,
170,DeKalb,South Hairston,3814,361,1095,630,11,2097,2097,
171,DeKalb,Stephenson High,3555,263,1205,801,6,2275,2275,
172,DeKalb,Stonecrest Library,3720,220,1543,538,13,2314,2314,
173,DeKalb,Snapfinger Road,4872,220,2217,1066,10,3513,3513,
174,DeKalb,Terry Mill,2808,228,969,594,5,1796,1796,
175,DeKalb,Toney Elem,1729,155,459,349,5,968,968,
176,DeKalb,Tucker Library,3506,137,1233,729,4,2103,2103,
177,DeKalb,Tilly Mill Road,1552,116,496,287,0,899,899,
178,DeKalb,Tucker,2932,136,970,609,6,1721,1721,
179,DeKalb,Valley Brook,1037,124,306,252,6,688,688,
180,DeKalb,Wadsworth,3159,280,877,638,10,1805,1805,
181,DeKalb,Wesley Chapel Library,2922,199,1118,706,7,2030,2030,
182,DeKalb,Woodrow Road,3493,255,1101,484,12,1852,1852,
183,DeKalb,Winnona Park,2020,52,877,568,2,1499,1499,
184,DeKalb,Woodridge Elem,3851,326,1028,751,12,2117,2117,
185,DeKalb,Warren Tech,1364,168,362,219,4,753,753,
186,DeKalb,Woodward,3193,176,996,804,2,1978,1978,
187,DeKalb,White Oak,2951,314,730,424,7,1475,1475,
188,DeKalb,Winters Chapel,1434,104,446,322,2,874,874,
189,DeKalb,Wynbrooke Elem,3496,290,1334,814,12,2450,2450,
190,DeKalb,Young Road,1951,107,771,424,8,1310,1310,
