index,County,Precinct,Registered Voters,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Total,
32,DeKalb,Doraville North,3065,102,217,94,0,413,413,
33,DeKalb,Dresden Elem,5141,313,1170,719,5,2207,2207,
34,DeKalb,Decatur,1937,86,888,483,0,1457,1457,
35,DeKalb,Dunaire Elem,2268,190,633,421,4,1248,1248,
36,DeKalb,Dunwoody,3003,169,976,563,7,1715,1715,
37,DeKalb,Dunwoody 2,2044,105,682,374,3,1164,1164,
38,DeKalb,Druid Hills High,2725,134,656,638,2,1430,1430,
39,DeKalb,Dunwoody Library,2570,90,900,472,2,1464,1464,
40,DeKalb,East Lake,4139,236,1541,907,6,2690,2690,
41,DeKalb,Emory South,3241,189,1042,888,6,2125,2125,
42,DeKalb,Emory Road,2290,124,640,427,6,1197,1197,
43,DeKalb,Fernbank Elem,2125,122,693,706,1,1522,1522,
44,DeKalb,Flat Shoals Elem,2409,199,632,406,4,1241,1241,
45,DeKalb,Flat Shoals,2649,189,650,454,5,1298,1298,
46,DeKalb,Glennwood,2715,85,875,802,5,1767,1767,
47,DeKalb,Gresham Road,3601,217,1160,776,16,2169,2169,
48,DeKalb,Georgetown Sq,4155,263,1367,638,7,2275,2275,
49,DeKalb,Hambrick Elem,3776,310,1109,631,8,2058,2058,
50,DeKalb,Hawthorne Elem,3884,293,1216,682,5,2196,2196,
51,DeKalb,Huntley Hills Elem,3508,319,1189,528,4,2040,2040,
52,DeKalb,Harris-Narvie J Harris Elem,4031,51,550,267,2,870,870,
53,DeKalb,Harris-Margaret Harris ED,1462,128,493,308,4,933,933,
54,DeKalb,Indian Creek,2318,173,506,362,10,1051,1051,
55,DeKalb,Johnson Estates,1600,49,519,536,0,1104,1104,
56,DeKalb,Jolly Elem,3679,260,896,610,11,1777,1777,
57,DeKalb,Kelley Lake Elem,3015,269,758,568,2,1597,1597,
58,DeKalb,Kingsley Elem,2490,169,682,556,9,1416,1416,
59,DeKalb,Kittredge Elem,2161,126,739,471,4,1340,1340,
60,DeKalb,Lakeside High,3216,87,344,193,0,624,624,
61,DeKalb,Lavista Road,2223,139,582,625,3,1349,1349,
62,DeKalb,Lavista,3223,206,879,638,8,1731,1731,
63,DeKalb,Lin-Mary Lin Elem,3009,138,1095,895,8,2136,2136,
64,DeKalb,McNair High,4160,271,1409,943,5,2628,2628,
65,DeKalb,McNair,2794,40,168,102,1,311,311,
66,DeKalb,McLendon,3607,188,1040,856,9,2093,2093,
67,DeKalb,Medlock,2208,141,698,667,2,1508,1508,
68,DeKalb,Montclair Elem,2194,219,655,240,7,1121,1121,
69,DeKalb,Meadowview,3511,228,992,759,11,1990,1990,
70,DeKalb,Memorial South,3138,252,724,373,16,1365,1365,
71,DeKalb,McNair Academy,1900,136,616,436,3,1191,1191,
72,DeKalb,Mount Vernon East,2651,170,879,470,2,1521,1521,
73,DeKalb,Mount Vernon West,2303,105,850,415,8,1378,1378,
74,DeKalb,Metropolitan,3405,181,1357,740,7,2285,2285,
75,DeKalb,Montgomery Elem,2446,161,812,522,5,1500,1500,
76,DeKalb,North Decatur,2166,119,630,509,12,1270,1270,
77,DeKalb,Northlake,1509,124,453,400,1,978,978,
78,DeKalb,North Peachtree,1916,156,524,304,5,989,989,
79,DeKalb,Oak Grove Elem,2253,166,690,583,0,1439,1439,
80,DeKalb,Oakhurst,2398,110,1048,700,2,1860,1860,
81,DeKalb,Oak View Elem,5011,357,1727,744,10,2838,2838,
82,DeKalb,Peachtree Middle,3502,244,1189,598,2,2033,2033,
83,DeKalb,Ponce de Leon,3766,117,898,813,11,1839,1839,
84,DeKalb,Piney Grove,2018,163,522,336,5,1026,1026,
85,DeKalb,Sagamore Hills Elem,2925,191,923,832,0,1946,1946,
86,DeKalb,Scott,2805,118,821,876,1,1816,1816,
87,DeKalb,Shaw-Robert Shaw Elem,2892,250,849,572,3,1674,1674,
88,DeKalb,Silver Lake,4979,235,1533,922,4,2694,2694,
89,DeKalb,Skyland,2100,176,679,379,6,1240,1240,
90,DeKalb,Shamrock,1600,137,466,471,4,1078,1078,
91,DeKalb,Terry Mill,2808,223,958,600,4,1785,1785,
92,DeKalb,Tilly Mill Road,1552,116,493,289,0,898,898,
93,DeKalb,Valley Brook,1037,120,304,239,6,669,669,
94,DeKalb,Winnona Park,2020,50,874,570,2,1496,1496,
95,DeKalb,Woodward,3193,172,993,798,2,1965,1965,
96,DeKalb,Winters Chapel,1434,104,432,317,2,855,855,
