index,County,Precinct,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,
69,DeKalb,Glennwood,2715,86,885,816,6,1793,1793,
70,DeKalb,Glenhaven,1880,225,489,325,4,1043,1043,
71,DeKalb,Gresham Road,3601,219,1164,778,16,2177,2177,
72,DeKalb,Georgetown Sq,4155,256,1389,646,6,2297,2297,
73,DeKalb,Glenwood Road,2293,205,555,396,4,1160,1160,
74,DeKalb,Hambrick Elem,3776,314,1094,647,10,2065,2065,
75,DeKalb,Hawthorne Elem,3884,302,1219,681,7,2209,2209,
76,DeKalb,Henderson Mill,3104,186,986,708,2,1882,1882,
77,DeKalb,Huntley Hills Elem,3508,327,1184,535,5,2051,2051,
78,DeKalb,Hugh Howell,1773,164,577,356,1,1098,1098,
79,DeKalb,Harris-Narvie J Harris Elem,4031,179,1614,779,10,2582,2582,
80,DeKalb,Harris-Margaret Harris ED,1462,129,493,306,4,932,932,
81,DeKalb,Idlewood Elem,2472,225,753,433,8,1419,1419,
82,DeKalb,Indian Creek,2318,176,522,366,12,1076,1076,
83,DeKalb,Johnson Estates,1600,50,523,538,0,1111,1111,
84,DeKalb,Jolly Elem,3679,270,917,633,13,1833,1833,
85,DeKalb,Kelley Lake Elem,3015,280,769,585,3,1637,1637,
86,DeKalb,Kingsley Elem,2490,168,715,575,9,1467,1467,
87,DeKalb,Kelley Chapel Road,1337,127,459,317,1,904,904,
88,DeKalb,Knollwood,2546,267,673,468,11,1419,1419,
89,DeKalb,Kittredge Elem,2161,127,741,487,3,1358,1358,
90,DeKalb,Lakeside High,3216,215,1058,721,0,1994,1994,
91,DeKalb,Lavista Road,2223,142,585,626,3,1356,1356,
92,DeKalb,Lavista,3223,209,884,640,9,1742,1742,
93,DeKalb,Lithonia,1730,240,397,217,2,856,856,
94,DeKalb,Lin-Mary Lin Elem,3009,139,1089,893,8,2129,2129,
95,DeKalb,Lithonia High,3610,345,1084,536,13,1978,1978,
96,DeKalb,Livsey Elem,1350,84,484,306,0,874,874,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,309,956,714,7,1986,1986,,
98,DeKalb,McNair High,4160,275,1413,945,6,2639,2639,
99,DeKalb,Marbut Elem,4234,323,1418,623,19,2383,2383,
100,DeKalb,McNair,2794,186,825,603,5,1619,1619,
101,DeKalb,McLendon,3607,188,1050,888,10,2136,2136,
102,DeKalb,McWilliams,2517,151,983,554,4,1692,1692,
103,DeKalb,Medlock,2208,149,706,666,2,1523,1523,
104,DeKalb,Midvale Elem,2747,165,869,673,3,1710,1710,
105,DeKalb,Miller Grove,4747,348,1395,691,15,2449,2449,
106,DeKalb,Montclair Elem,2194,222,657,242,8,1129,1129,
107,DeKalb,Montreal,2586,202,830,521,2,1555,1555,
108,DeKalb,Meadowview,3511,229,997,768,11,2005,2005,
109,DeKalb,Memorial South,3138,245,712,379,19,1355,1355,
110,DeKalb,Midway,3139,183,759,628,7,1577,1577,
111,DeKalb,McNair Academy,1900,137,615,443,5,1200,1200,
112,DeKalb,Mount Vernon East,2651,177,911,479,3,1570,1570,
113,DeKalb,Mathis-Bob Mathis Elem,2789,224,958,716,5,1903,1903,
114,DeKalb,Mount Vernon West,2303,110,862,432,9,1413,1413,
115,DeKalb,Metropolitan,3405,179,1359,738,10,2286,2286,
116,DeKalb,Montgomery Elem,2446,166,817,538,5,1526,1526,
117,DeKalb,Miller Grove Road,2151,184,744,499,4,1431,1431,
118,DeKalb,Midvale Road,1832,153,649,333,2,1137,1137,
119,DeKalb,Miller Grove High,3470,283,976,453,10,1722,1722,
120,DeKalb,North Decatur,2166,121,632,515,12,1280,1280,
121,DeKalb,North Hairston,2329,231,644,420,8,1303,1303,
122,DeKalb,Northlake,1509,133,456,407,1,997,997,
123,DeKalb,North Peachtree,1916,156,525,304,5,990,990,
124,DeKalb,Oak Grove Elem,2253,172,689,594,0,1455,1455,
125,DeKalb,Oakcliff Elem,2125,274,464,292,9,1039,1039,
126,DeKalb,Oakhurst,2398,108,1044,691,2,1845,1845,
127,DeKalb,Oak View Elem,5011,356,1722,742,18,2838,2838,
128,DeKalb,Peachcrest,2458,181,634,441,4,1260,1260,
129,DeKalb,Peachtree Middle,3502,243,1203,598,6,2050,2050,
130,DeKalb,Princeton Elem,2376,168,866,456,5,1495,1495,
131,DeKalb,Pine Lake,632,243,137,70,0,450,450,
132,DeKalb,Pleasantdale Road,4538,434,1179,598,9,2220,2220,
133,DeKalb,Ponce de Leon,3766,123,903,830,13,1869,1869,
134,DeKalb,Panola,1586,140,478,325,2,945,945,
135,DeKalb,Panola Way Elem,2252,203,587,319,21,1130,1130,
136,DeKalb,Piney Grove,2018,165,533,342,7,1047,1047,
137,DeKalb,Panola Road,2884,192,1024,570,8,1794,1794,
138,DeKalb,Rainbow Elem,3768,262,1211,846,9,2328,2328,
139,DeKalb,Redan Elem,3020,204,1155,586,8,1953,1953,
140,DeKalb,Rehoboth,1813,103,493,559,3,1158,1158,
141,DeKalb,Rockbridge Elem,3595,315,947,518,17,1797,1797,
142,DeKalb,Rock Chapel Elem,2910,212,1111,512,7,1842,1842,
143,DeKalb,Rowland Elem,3765,289,916,591,9,1805,1805,
144,DeKalb,Redan-Trotti Library,3990,272,1272,746,21,2311,2311,
145,DeKalb,Rockbridge Road,3965,300,1485,971,6,2762,2762,
146,DeKalb,Rowland Road,2080,187,591,417,7,1202,1202,
147,DeKalb,Redan Road,2932,230,902,503,11,1646,1646,
148,DeKalb,Rock Chapel Road,4178,254,1610,806,19,2689,2689,
149,DeKalb,Redan Middle,2496,153,864,526,5,1548,1548,
150,DeKalb,Sagamore Hills Elem,2925,193,919,861,0,1973,1973,
151,DeKalb,Scott,2805,120,834,883,1,1838,1838,
152,DeKalb,Shaw-Robert Shaw Elem,2892,253,864,584,3,1704,1704,
153,DeKalb,Stone Mountain Elem,2338,158,528,593,3,1282,1282,
154,DeKalb,Silver Lake,4979,232,1554,945,3,2734,2734,
155,DeKalb,Skyland,2100,178,684,380,6,1248,1248,
156,DeKalb,Snapfinger Elem,1894,164,609,501,0,1274,1274,
157,DeKalb,Smoke Rise,2108,150,676,513,1,1340,1340,
158,DeKalb,Stone Mtn Middle,3247,290,613,325,16,1244,1244,
159,DeKalb,Stone Mill Elem,3714,344,676,458,14,1492,1492,
160,DeKalb,Shadow Rock Elem,4347,289,1569,1028,12,2898,2898,
161,DeKalb,Stoneview Elem,1988,164,490,250,10,914,914,
162,DeKalb,Salem Middle,3519,222,1399,840,6,2467,2467,
163,DeKalb,Shamrock,1600,147,477,479,4,1107,1107,
164,DeKalb,South Deshon,3470,257,1268,633,11,2169,2169,
165,DeKalb,Stone Mtn Champion,3098,303,775,472,10,1560,1560,
166,DeKalb,Stone Mtn,1711,182,381,313,2,878,878,
167,DeKalb,Snapfinger Road N,2705,240,694,474,6,1414,1414,
168,DeKalb,Snapfinger Road S,1960,161,721,436,3,1321,1321,
169,DeKalb,Stephenson Middle,3822,295,1405,785,2,2487,2487,
170,DeKalb,South Hairston,3814,355,1095,633,11,2094,2094,
171,DeKalb,Stephenson High,3555,261,1198,809,7,2275,2275,
172,DeKalb,Stonecrest Library,3720,214,1531,541,11,2297,2297,
173,DeKalb,Snapfinger Road,4872,216,2217,1069,9,3511,3511,
174,DeKalb,Terry Mill,2808,226,966,598,5,1795,1795,
175,DeKalb,Toney Elem,1729,154,466,360,6,986,986,
176,DeKalb,Tucker Library,3506,142,1242,731,4,2119,2119,
177,DeKalb,Tilly Mill Road,1552,122,499,295,0,916,916,
178,DeKalb,Tucker,2932,134,971,606,6,1717,1717,
179,DeKalb,Valley Brook,1037,121,305,248,6,680,680,
180,DeKalb,Wadsworth,3159,279,878,659,10,1826,1826,
181,DeKalb,Wesley Chapel Library,2922,196,1115,718,7,2036,2036,
182,DeKalb,Woodrow Road,3493,249,1100,493,12,1854,1854,
183,DeKalb,Winnona Park,2020,52,878,569,2,1501,1501,
184,DeKalb,Woodridge Elem,3851,324,1034,760,12,2130,2130,
185,DeKalb,Warren Tech,1364,174,362,215,4,755,755,
186,DeKalb,Woodward,3193,170,992,811,2,1975,1975,
187,DeKalb,White Oak,2951,314,729,423,7,1473,1473,
188,DeKalb,Winters Chapel,1434,109,443,328,2,882,882,
189,DeKalb,Wynbrooke Elem,3496,284,1324,812,13,2433,2433,
190,DeKalb,Young Road,1951,107,769,425,8,1309,1309,
