index,County,Precinct,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
78,DeKalb,Hugh Howell,1773,104,218,161,1,484,124,473,316,0,913,1397,
79,DeKalb,Harris-Narvie J Harris Elem,4031,12,43,16,0,71,172,1592,787,10,2561,2632,
80,DeKalb,Harris-Margaret Harris ED,1462,54,74,62,1,191,104,452,287,4,847,1038,
81,DeKalb,Idlewood Elem,2472,87,128,78,1,294,183,704,384,6,1277,1571,
82,DeKalb,Indian Creek,2318,54,78,62,1,195,142,475,344,11,972,1167,
83,DeKalb,Johnson Estates,1600,52,151,111,0,314,33,483,512,0,1028,1342,
84,DeKalb,Jolly Elem,3679,85,160,111,2,358,228,849,598,14,1689,2047,
85,DeKalb,Kelley Lake Elem,3015,20,35,21,0,76,271,750,573,3,1597,1673,
86,DeKalb,Kingsley Elem,2490,184,568,294,3,1049,88,457,475,6,1026,2075,
87,DeKalb,Kelley Chapel Road,1337,8,11,9,0,28,123,462,316,1,902,930,
88,DeKalb,Knollwood,2546,45,46,16,1,108,238,650,467,10,1365,1473,
89,DeKalb,Kittredge Elem,2161,133,448,187,2,770,63,533,411,2,1009,1779,
90,DeKalb,Lakeside High,3216,158,406,264,2,830,142,901,649,0,1692,2522,
91,DeKalb,Lavista Road,2223,92,179,156,1,428,102,522,618,3,1245,1673,
92,DeKalb,Lavista,3223,112,236,168,2,518,170,795,591,7,1563,2081,
93,DeKalb,Lithonia,1730,23,33,16,1,73,227,376,214,2,819,892,
94,DeKalb,Lin-Mary Lin Elem,3009,63,177,123,2,365,116,1017,860,6,1999,2364,
95,DeKalb,Lithonia High,3610,18,32,15,0,65,340,1065,536,13,1954,2019,
96,DeKalb,Livsey Elem,1350,70,206,107,0,383,57,381,275,0,713,1096,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,39,57,40,0,136,287,929,695,8,1919,2055,,
98,DeKalb,McNair High,4160,40,79,56,0,175,261,1400,946,7,2614,2789,
99,DeKalb,Marbut Elem,4234,17,41,15,1,74,312,1397,622,18,2349,2423,
100,DeKalb,McNair,2794,18,48,17,0,83,172,804,606,6,1588,1671,
101,DeKalb,McLendon,3607,64,212,120,0,396,160,977,854,10,2001,2397,
102,DeKalb,McWilliams,2517,16,30,12,0,58,140,959,552,4,1655,1713,
103,DeKalb,Medlock,2208,74,137,104,0,315,121,650,662,2,1435,1750,
104,DeKalb,Midvale Elem,2747,160,482,271,0,913,95,659,578,3,1335,2248,
105,DeKalb,Miller Grove,4747,18,40,19,1,78,338,1376,688,14,2416,2494,
106,DeKalb,Montclair Elem,2194,66,88,25,0,179,181,613,235,8,1037,1216,
107,DeKalb,Montreal,2586,74,169,103,1,347,169,757,499,2,1427,1774,
108,DeKalb,Meadowview,3511,24,36,34,1,95,214,982,753,12,1961,2056,
109,DeKalb,Memorial South,3138,31,64,26,1,122,236,691,367,17,1311,1433,
110,DeKalb,Midway,3139,26,65,47,1,139,168,730,610,6,1514,1653,
111,DeKalb,McNair Academy,1900,18,34,12,1,65,128,609,448,4,1189,1254,
112,DeKalb,Mount Vernon East,2651,193,660,246,1,1100,81,602,396,3,1082,2182,
113,DeKalb,Mathis-Bob Mathis Elem,2789,13,36,29,0,78,215,926,698,5,1844,1922,
114,DeKalb,Mount Vernon West,2303,115,523,187,6,831,47,627,345,4,1023,1854,
115,DeKalb,Metropolitan,3405,37,115,54,0,206,162,1329,725,9,2225,2431,
116,DeKalb,Montgomery Elem,2446,159,448,202,2,811,89,606,475,4,1174,1985,
117,DeKalb,Miller Grove Road,2151,15,32,12,0,59,172,732,501,5,1410,1469,
118,DeKalb,Midvale Road,1832,43,115,55,0,213,126,596,313,2,1037,1250,
119,DeKalb,Miller Grove High,3470,14,29,16,0,59,276,963,445,9,1693,1752,
120,DeKalb,North Decatur,2166,40,72,73,1,186,103,608,492,12,1215,1401,
121,DeKalb,North Hairston,2329,35,65,41,1,142,205,615,400,6,1226,1368,
122,DeKalb,Northlake,1509,101,117,110,0,328,87,413,377,1,878,1206,
123,DeKalb,North Peachtree,1916,77,175,89,2,343,121,442,267,4,834,1177,
124,DeKalb,Oak Grove Elem,2253,124,258,155,1,538,114,585,561,0,1260,1798,
125,DeKalb,Oakcliff Elem,2125,91,158,88,1,338,234,386,262,9,891,1229,
126,DeKalb,Oakhurst,2398,47,79,56,0,182,91,1030,713,2,1836,2018,
127,DeKalb,Oak View Elem,5011,16,43,19,1,79,348,1708,747,18,2821,2900,
128,DeKalb,Peachcrest,2458,27,63,30,0,120,163,595,443,4,1205,1325,
129,DeKalb,Peachtree Middle,3502,110,332,158,2,602,196,1049,541,5,1791,2393,
130,DeKalb,Princeton Elem,2376,16,36,16,0,68,164,842,450,4,1460,1528,
131,DeKalb,Pine Lake,632,35,5,6,0,46,221,135,70,0,426,472,
132,DeKalb,Pleasantdale Road,4538,80,198,103,0,381,390,1091,560,10,2051,2432,
133,DeKalb,Ponce de Leon,3766,47,89,80,0,216,101,885,833,14,1833,2049,
134,DeKalb,Panola,1586,18,25,14,0,57,123,469,328,2,922,979,
135,DeKalb,Panola Way Elem,2252,14,17,17,0,48,196,580,308,21,1105,1153,
136,DeKalb,Piney Grove,2018,12,34,19,0,65,157,515,333,7,1012,1077,
137,DeKalb,Panola Road,2884,12,37,12,0,61,184,998,575,8,1765,1826,
138,DeKalb,Rainbow Elem,3768,19,53,32,0,104,248,1178,834,8,2268,2372,
139,DeKalb,Redan Elem,3020,19,33,14,1,67,199,1131,588,7,1925,1992,
140,DeKalb,Rehoboth,1813,103,158,150,1,412,65,420,515,2,1002,1414,
141,DeKalb,Rockbridge Elem,3595,35,68,39,2,144,292,916,503,17,1728,1872,
142,DeKalb,Rock Chapel Elem,2910,13,44,22,0,79,203,1099,504,7,1813,1892,
143,DeKalb,Rowland Elem,3765,27,66,38,0,131,281,890,584,9,1764,1895,
144,DeKalb,Redan-Trotti Library,3990,13,40,25,0,78,265,1255,738,21,2279,2357,
145,DeKalb,Rockbridge Road,3965,30,59,31,1,121,280,1462,959,8,2709,2830,
146,DeKalb,Rowland Road,2080,28,47,44,1,120,170,563,397,7,1137,1257,
147,DeKalb,Redan Road,2932,16,28,30,0,74,222,884,503,11,1620,1694,
148,DeKalb,Rock Chapel Road,4178,29,111,72,2,214,237,1578,790,17,2622,2836,
149,DeKalb,Redan Middle,2496,15,48,24,1,88,147,849,517,5,1518,1606,
150,DeKalb,Sagamore Hills Elem,2925,159,325,267,0,751,133,779,789,0,1701,2452,
151,DeKalb,Scott,2805,63,163,107,2,335,95,750,866,1,1712,2047,
152,DeKalb,Shaw-Robert Shaw Elem,2892,36,88,38,0,162,238,808,570,3,1619,1781,
153,DeKalb,Stone Mountain Elem,2338,31,97,224,0,352,145,493,527,3,1168,1520,
154,DeKalb,Silver Lake,4979,187,986,355,1,1529,149,1103,802,3,2057,3586,
155,DeKalb,Skyland,2100,145,385,150,2,682,99,497,312,5,913,1595,
156,DeKalb,Snapfinger Elem,1894,21,22,11,1,55,151,602,507,0,1260,1315,
157,DeKalb,Smoke Rise,2108,131,298,208,1,638,88,541,440,0,1069,1707,
158,DeKalb,Stone Mtn Middle,3247,30,43,45,1,119,279,591,305,14,1189,1308,
159,DeKalb,Stone Mill Elem,3714,31,47,34,0,112,322,652,442,15,1431,1543,
160,DeKalb,Shadow Rock Elem,4347,29,52,46,0,127,275,1549,1010,12,2846,2973,
161,DeKalb,Stoneview Elem,1988,8,32,16,0,56,164,479,246,10,899,955,
162,DeKalb,Salem Middle,3519,21,49,17,2,89,205,1372,828,5,2410,2499,
163,DeKalb,Shamrock,1600,79,127,87,0,293,106,419,465,4,994,1287,
164,DeKalb,South Deshon,3470,25,44,27,0,96,244,1253,622,11,2130,2226,
165,DeKalb,Stone Mtn Champion,3098,68,58,50,1,177,270,749,451,9,1479,1656,
166,DeKalb,Stone Mtn,1711,53,93,39,1,186,154,333,299,2,788,974,
167,DeKalb,Snapfinger Road N,2705,13,40,29,0,82,228,666,461,6,1361,1443,
168,DeKalb,Snapfinger Road S,1960,21,23,9,0,53,147,712,437,3,1299,1352,
169,DeKalb,Stephenson Middle,3822,48,63,33,0,144,269,1374,780,2,2425,2569,
170,DeKalb,South Hairston,3814,31,44,25,3,103,343,1070,627,11,2051,2154,
171,DeKalb,Stephenson High,3555,23,80,34,1,138,248,1157,794,6,2205,2343,
172,DeKalb,Stonecrest Library,3720,18,60,18,2,98,208,1505,536,12,2261,2359,
173,DeKalb,Snapfinger Road,4872,11,70,25,0,106,211,2177,1077,11,3476,3582,
174,DeKalb,Terry Mill,2808,22,62,25,1,110,215,939,587,5,1746,1856,
175,DeKalb,Toney Elem,1729,13,20,18,1,52,150,454,343,5,952,1004,
176,DeKalb,Tucker Library,3506,122,561,254,2,939,92,1003,656,3,1754,2693,
177,DeKalb,Tilly Mill Road,1552,121,349,130,1,601,55,345,251,0,651,1252,
178,DeKalb,Tucker,2932,65,335,186,0,586,96,836,554,8,1494,2080,
179,DeKalb,Valley Brook,1037,41,51,41,2,135,110,282,240,4,636,771,
180,DeKalb,Wadsworth,3159,19,29,23,0,71,264,860,649,12,1785,1856,
181,DeKalb,Wesley Chapel Library,2922,9,33,19,1,62,195,1102,709,6,2012,2074,
182,DeKalb,Woodrow Road,3493,10,58,35,0,103,249,1072,478,12,1811,1914,
183,DeKalb,Winnona Park,2020,25,97,59,0,181,42,850,573,2,1467,1648,
184,DeKalb,Woodridge Elem,3851,23,61,40,0,124,309,1005,750,11,2075,2199,
185,DeKalb,Warren Tech,1364,78,113,63,2,256,131,313,199,2,645,901,
186,DeKalb,Woodward,3193,75,281,175,1,532,130,877,751,2,1760,2292,
187,DeKalb,White Oak,2951,21,19,13,2,55,302,717,428,5,1452,1507,
188,DeKalb,Winters Chapel,1434,117,282,137,0,536,60,318,258,2,638,1174,
189,DeKalb,Wynbrooke Elem,3496,35,74,46,0,155,266,1287,789,13,2355,2510,
190,DeKalb,Young Road,1951,9,34,11,2,56,100,758,432,6,1296,1352,
