index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
167,DeKalb,Snapfinger Road N,2705,192,550,338,4,1084,49,141,132,1,323,1407,
168,DeKalb,Snapfinger Road S,1960,135,596,316,2,1049,34,131,112,1,278,1327,
169,DeKalb,Stephenson Middle,3822,273,1159,630,1,2063,50,256,175,1,482,2545,
170,DeKalb,South Hairston,3814,295,890,513,12,1710,72,205,126,3,406,2116,
171,DeKalb,Stephenson High,3555,224,1014,617,5,1860,41,209,183,2,435,2295,
172,DeKalb,Stonecrest Library,3720,189,1235,428,12,1864,32,311,116,2,461,2325,
173,DeKalb,Snapfinger Road,4872,180,1797,817,9,2803,40,420,257,1,718,3521,
174,DeKalb,Terry Mill,2808,186,837,465,2,1490,47,141,131,3,322,1812,
175,DeKalb,Toney Elem,1729,124,368,245,5,742,38,89,95,1,223,965,
176,DeKalb,Tucker Library,3506,157,1225,725,3,2110,61,307,170,2,540,2650,
177,DeKalb,Tilly Mill Road,1552,128,532,303,1,964,48,142,81,0,271,1235,
178,DeKalb,Tucker,2932,129,911,553,6,1599,34,228,155,2,419,2018,
179,DeKalb,Valley Brook,1037,125,268,235,4,632,28,58,37,2,125,757,
180,DeKalb,Wadsworth,3159,225,722,493,10,1450,50,155,156,1,362,1812,
181,DeKalb,Wesley Chapel Library,2922,166,901,526,2,1595,41,209,173,5,428,2023,
182,DeKalb,Woodrow Road,3493,196,869,366,7,1438,58,237,127,5,427,1865,
183,DeKalb,Winnona Park,2020,55,826,569,2,1452,16,89,58,0,163,1615,
184,DeKalb,Woodridge Elem,3851,253,812,596,10,1671,78,231,167,1,477,2148,
185,DeKalb,Warren Tech,1364,162,343,217,2,724,46,78,44,2,170,894,
186,DeKalb,Woodward,3193,166,956,748,3,1873,35,182,149,0,366,2239,
187,DeKalb,White Oak,2951,258,599,315,5,1177,58,132,107,2,299,1476,
188,DeKalb,Winters Chapel,1434,130,434,322,1,887,38,135,58,1,232,1119,
189,DeKalb,Wynbrooke Elem,3496,233,1052,624,10,1919,65,287,195,2,549,2468,
190,DeKalb,Young Road,1951,90,629,342,5,1066,20,152,92,1,265,1331,
