County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
DeKalb,McNair,2794,155,676,491,5,1327,34,167,109,0,310,1637,
DeKalb,McLendon,3607,167,914,769,7,1857,62,254,186,1,503,2360,
DeKalb,McWilliams,2517,126,801,461,3,1391,30,172,95,0,297,1688,
DeKalb,Medlock,2208,138,598,599,2,1337,50,174,147,0,371,1708,
DeKalb,Midvale Elem,2747,178,864,637,1,1680,74,279,204,2,559,2239,
DeKalb,Miller Grove,4747,300,1165,566,9,2040,49,232,127,4,412,2452,
DeKalb,Montclair Elem,2194,203,546,214,5,968,39,149,43,0,231,1199,
DeKalb,Montreal,2586,200,714,438,2,1354,45,194,138,1,378,1732,
DeKalb,Meadowview,3511,189,797,591,10,1587,44,197,170,3,414,2001,
DeKalb,Memorial South,3138,221,620,302,14,1157,45,132,80,2,259,1416,
DeKalb,Midway,3139,152,612,519,5,1288,45,165,124,2,336,1624,
DeKalb,McNair Academy,1900,122,523,369,4,1018,25,106,78,1,210,1228,
DeKalb,Mount Vernon East,2651,202,876,471,2,1551,63,351,156,2,572,2123,
DeKalb,Mathis-Bob Mathis Elem,2789,182,773,542,2,1499,38,190,152,2,382,1881,
DeKalb,Mount Vernon West,2303,108,814,407,7,1336,54,296,109,2,461,1797,
DeKalb,Metropolitan,3405,152,1211,633,7,2003,42,218,150,4,414,2417,
DeKalb,Montgomery Elem,2446,172,760,515,4,1451,74,273,157,3,507,1958,
DeKalb,Miller Grove Road,2151,154,627,407,3,1191,34,134,93,1,262,1453,
DeKalb,Midvale Road,1832,136,571,287,2,996,39,133,80,0,252,1248,
DeKalb,Miller Grove High,3470,239,803,355,7,1404,54,178,89,2,323,1727,
DeKalb,North Decatur,2166,111,554,459,11,1135,31,120,94,2,247,1382,
DeKalb,North Hairston,2329,191,526,334,6,1057,48,138,99,3,288,1345,
DeKalb,Northlake,1509,129,387,394,0,910,51,131,94,1,277,1187,
