Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total
1106,1064,1611,4335.0,44383.0,762.0,1315.0,303.0,371.0,978.0,23895.0,536.0,127000.0
93,146,89,220.0,2258.0,42.0,63.0,17.0,31.0,100.0,613.0,27.0,10586.0
13034,1855,13866,20103.0,83515.0,6742.0,3423.0,1743.0,2390.0,1905.0,263323.0,3426.0,517482.0
49,165,84,272.0,4908.0,53.0,105.0,21.0,21.0,93.0,1897.0,36.0,16201.0
10,22,5,17.0,819.0,1.0,7.0,1.0,13.0,10.0,84.0,1.0,1500.0
743,982,949,1430.0,11810.0,524.0,285.0,130.0,207.0,635.0,7272.0,207.0,40767.0
140,318,197,447.0,9539.0,93.0,167.0,33.0,46.0,340.0,2619.0,68.0,23470.0
241,130,316,294.0,2719.0,103.0,44.0,16.0,39.0,145.0,1406.0,70.0,10406.0
67,36,80,173.0,3349.0,34.0,40.0,16.0,14.0,40.0,2572.0,38.0,11123.0
9864,3655,16098,16037.0,88613.0,4758.0,3197.0,1191.0,1743.0,2487.0,142968.0,3204.0,402715.0
120,149,147,326.0,5371.0,67.0,171.0,32.0,31.0,142.0,2133.0,61.0,20122.0
818,553,1066,1826.0,21957.0,552.0,769.0,211.0,195.0,567.0,14879.0,307.0,89413.0
103,15,117,89.0,608.0,44.0,7.0,4.0,30.0,14.0,2129.0,38.0,4089.0
51,299,85,167.0,6533.0,34.0,99.0,14.0,12.0,211.0,1200.0,29.0,13969.0
141,141,196,291.0,7090.0,61.0,129.0,36.0,48.0,156.0,3776.0,67.0,19738.0
199,163,174,340.0,2080.0,89.0,61.0,20.0,43.0,107.0,1302.0,37.0,12354.0
14,75,26,54.0,2542.0,17.0,33.0,10.0,8.0,60.0,592.0,19.0,5247.0
3290,637,3291,3063.0,26824.0,1462.0,687.0,440.0,416.0,685.0,49407.0,800.0,121470.0
1436,499,1203,1502.0,22327.0,475.0,552.0,164.0,269.0,646.0,21945.0,425.0,73818.0
43,51,79,42.0,1459.0,13.0,15.0,5.0,6.0,48.0,606.0,19.0,4093.0
259,317,311,598.0,12593.0,161.0,317.0,58.0,58.0,412.0,4783.0,94.0,37156.0
60,65,79,91.0,3246.0,28.0,37.0,11.0,6.0,73.0,1218.0,21.0,7537.0
68,99,49,55.0,1719.0,19.0,26.0,11.0,9.0,769.0,590.0,7.0,5603.0
184,42,205,145.0,1847.0,51.0,24.0,5.0,175.0,40.0,2487.0,32.0,7462.0
77,34,45,55.0,1104.0,11.0,8.0,4.0,30.0,33.0,806.0,27.0,3366.0
43,40,72,25.0,1376.0,18.0,14.0,4.0,10.0,35.0,763.0,10.0,3961.0
184,126,143,235.0,5397.0,71.0,68.0,11.0,34.0,132.0,3496.0,60.0,14754.0
78,86,74,113.0,3243.0,30.0,51.0,18.0,14.0,82.0,1994.0,43.0,8943.0
44,51,107,101.0,1191.0,21.0,29.0,10.0,18.0,79.0,365.0,18.0,3428.0
329,160,305,304.0,6592.0,130.0,76.0,23.0,66.0,174.0,5334.0,88.0,22323.0
171,128,196,299.0,6365.0,80.0,101.0,30.0,45.0,193.0,2970.0,60.0,16458.0
765,192,710,670.0,3755.0,307.0,163.0,83.0,114.0,210.0,7713.0,146.0,20913.0
84,39,50,84.0,1725.0,24.0,31.0,8.0,114.0,29.0,803.0,16.0,4561.0
119,95,134,111.0,1708.0,40.0,47.0,25.0,15.0,99.0,1233.0,28.0,5520.0
1514,451,1468,1524.0,12607.0,679.0,334.0,114.0,413.0,775.0,7931.0,273.0,45145.0
57,136,65,304.0,4366.0,57.0,181.0,24.0,18.0,115.0,2042.0,44.0,15324.0
95,29,83,118.0,823.0,25.0,12.0,5.0,20.0,21.0,1987.0,31.0,4553.0
97,119,113,249.0,4808.0,59.0,92.0,33.0,26.0,113.0,2284.0,57.0,14674.0
44,35,41,69.0,1078.0,32.0,18.0,6.0,23.0,37.0,849.0,16.0,3550.0
225,82,195,165.0,3503.0,68.0,54.0,16.0,232.0,82.0,2387.0,60.0,10307.0
109,93,96,169.0,2117.0,51.0,24.0,16.0,18.0,52.0,1545.0,32.0,6494.0
161,90,208,131.0,3255.0,54.0,34.0,19.0,23.0,83.0,3018.0,66.0,10694.0
40,41,41,64.0,881.0,16.0,12.0,4.0,11.0,37.0,271.0,13.0,2643.0
141,48,179,164.0,2090.0,54.0,20.0,9.0,16.0,62.0,2598.0,72.0,8810.0
147,161,126,227.0,6077.0,65.0,94.0,25.0,25.0,114.0,3197.0,53.0,15345.0
45,46,44,51.0,1332.0,17.0,14.0,3.0,5.0,106.0,582.0,11.0,3838.0
79,66,107,166.0,4360.0,43.0,57.0,21.0,18.0,78.0,2392.0,46.0,11565.0
107,253,125,354.0,6300.0,72.0,112.0,20.0,42.0,257.0,765.0,53.0,14731.0
2004,391,2048,2432.0,15307.0,900.0,488.0,233.0,677.0,422.0,32560.0,631.0,79348.0
1348,345,1429,1076.0,13443.0,501.0,310.0,132.0,179.0,321.0,20450.0,352.0,53572.0
149,159,246,603.0,9914.0,89.0,258.0,50.0,70.0,174.0,5448.0,128.0,24909.0
61,68,94,132.0,2901.0,31.0,74.0,20.0,20.0,103.0,1720.0,28.0,7970.0
1338,762,1424,1750.0,30597.0,604.0,759.0,204.0,181.0,931.0,19118.0,375.0,83986.0
243,77,244,235.0,3358.0,87.0,78.0,24.0,58.0,83.0,4032.0,85.0,12352.0
48,137,70,190.0,6003.0,47.0,127.0,28.0,17.0,132.0,2076.0,31.0,16836.0
68,147,68,121.0,2821.0,37.0,50.0,10.0,10.0,308.0,478.0,14.0,8786.0
39,137,39,86.0,4965.0,26.0,52.0,14.0,14.0,86.0,1118.0,14.0,10576.0
165,199,163,300.0,6942.0,84.0,100.0,22.0,34.0,207.0,2331.0,52.0,17018.0
42,31,52,50.0,1480.0,20.0,14.0,6.0,8.0,32.0,815.0,14.0,3979.0
101,84,92,157.0,4208.0,53.0,48.0,20.0,24.0,61.0,2445.0,53.0,11694.0
18,11,21,27.0,285.0,23.0,1.0,3.0,8.0,8.0,283.0,7.0,1077.0
42,74,53,207.0,2475.0,41.0,71.0,17.0,26.0,69.0,1223.0,21.0,9386.0
38,16,62,37.0,706.0,38.0,5.0,0.0,10.0,10.0,1179.0,10.0,3022.0
2709,453,2386,2086.0,15394.0,1030.0,505.0,241.0,6624.0,396.0,34331.0,775.0,85744.0
1274,155,1395,1052.0,7323.0,551.0,208.0,114.0,188.0,196.0,21942.0,360.0,44212.0
11,25,16,17.0,774.0,13.0,9.0,1.0,2.0,29.0,315.0,0.0,2226.0
113,66,129,128.0,2078.0,35.0,27.0,7.0,21.0,55.0,1685.0,25.0,6457.0
80,49,84,108.0,1021.0,37.0,14.0,9.0,18.0,48.0,419.0,38.0,3743.0
470,217,453,431.0,9759.0,196.0,182.0,52.0,53.0,211.0,8543.0,109.0,29713.0
127,102,99,222.0,2126.0,54.0,85.0,23.0,25.0,103.0,1144.0,31.0,11638.0
37,7,31,64.0,327.0,22.0,5.0,5.0,8.0,6.0,764.0,13.0,1906.0
190,74,240,270.0,2553.0,71.0,36.0,13.0,57.0,78.0,4474.0,58.0,11978.0
60,26,84,50.0,677.0,29.0,14.0,3.0,20.0,16.0,1531.0,27.0,3452.0
18,6,12,16.0,178.0,11.0,0.0,1.0,5.0,2.0,343.0,4.0,884.0
98,95,102,130.0,3047.0,36.0,41.0,13.0,18.0,160.0,1200.0,23.0,7937.0
37,42,41,50.0,1173.0,13.0,13.0,7.0,12.0,34.0,962.0,20.0,3769.0
40,42,110,62.0,1187.0,19.0,8.0,3.0,3.0,93.0,1003.0,15.0,4189.0
71,32,117,93.0,1058.0,42.0,18.0,4.0,17.0,27.0,1508.0,42.0,4348.0
557,277,567,692.0,5725.0,229.0,109.0,34.0,112.0,293.0,3809.0,111.0,21253.0
200,136,359,289.0,5603.0,100.0,89.0,17.0,34.0,147.0,3284.0,79.0,15987.0
116,139,183,175.0,3456.0,40.0,53.0,17.0,21.0,315.0,1760.0,33.0,10651.0
27,48,43,163.0,2036.0,31.0,29.0,7.0,12.0,45.0,1017.0,17.0,7847.0
43,30,46,51.0,965.0,11.0,9.0,3.0,4.0,38.0,551.0,10.0,2965.0
427,259,581,616.0,9163.0,183.0,156.0,56.0,72.0,256.0,7472.0,144.0,29538.0
59,31,93,65.0,1310.0,30.0,25.0,2.0,10.0,36.0,866.0,25.0,3717.0
68,34,62,64.0,1271.0,32.0,17.0,3.0,9.0,31.0,1508.0,30.0,4344.0
47,91,61,240.0,3945.0,49.0,72.0,23.0,35.0,96.0,1904.0,42.0,15362.0
174,97,135,168.0,4239.0,66.0,70.0,15.0,26.0,110.0,3079.0,40.0,12723.0
299,529,261,928.0,12258.0,182.0,295.0,74.0,153.0,633.0,2113.0,144.0,28536.0
491,426,529,666.0,22678.0,218.0,414.0,82.0,67.0,425.0,8417.0,189.0,50136.0
365,169,353,321.0,3323.0,118.0,72.0,27.0,54.0,322.0,1762.0,65.0,13846.0
72,16,89,62.0,635.0,23.0,8.0,5.0,85.0,9.0,829.0,17.0,2613.0
178,62,271,143.0,2376.0,50.0,18.0,12.0,56.0,43.0,3046.0,55.0,9197.0
146,238,110,171.0,4791.0,56.0,60.0,27.0,15.0,265.0,1660.0,54.0,12473.0
18,7,29,25.0,324.0,10.0,1.0,0.0,6.0,8.0,443.0,10.0,1359.0
17,34,34,31.0,688.0,12.0,7.0,0.0,6.0,51.0,460.0,7.0,2228.0
50,114,61,209.0,4033.0,33.0,114.0,28.0,12.0,95.0,1604.0,35.0,14646.0
552,555,661,1314.0,12905.0,356.0,328.0,104.0,178.0,500.0,3876.0,256.0,35593.0
31,22,70,48.0,1155.0,13.0,10.0,2.0,1.0,47.0,538.0,17.0,3218.0
106,38,94,101.0,1493.0,45.0,18.0,5.0,38.0,19.0,1257.0,24.0,4906.0
88,27,52,57.0,1407.0,36.0,14.0,2.0,3.0,29.0,1539.0,28.0,4689.0
72,88,146,102.0,3541.0,50.0,31.0,15.0,17.0,77.0,1589.0,32.0,9129.0
