Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total
80,42,114,12,0,168,11,44,23,0,78,43.0,155.0,67.0,1.0,266.0,943.0,3496.0,820.0,1.0,5260.0,17.0,27.0,6.0,0.0,50.0,38.0,73.0,15.0,0.0,126.0,7.0,19.0,5.0,0.0,31.0,3.0,12.0,12.0,0.0,27.0,39.0,96.0,19.0,0.0,154.0,121.0,669.0,716.0,0.0,1506.0,1.0,17.0,9.0,0.0,27.0,15853.0
9516,253,513,204,15,985,1783,6086,2388,88,10345,1818.0,7255.0,3048.0,26.0,12147.0,6719.0,17785.0,9846.0,74.0,34424.0,950.0,2960.0,527.0,24.0,4461.0,559.0,953.0,566.0,12.0,2090.0,221.0,553.0,304.0,9.0,1087.0,194.0,749.0,648.0,6.0,1597.0,229.0,490.0,189.0,9.0,917.0,20606.0,116533.0,88691.0,592.0,226422.0,467.0,1422.0,725.0,27.0,2641.0,367038.0
297,34,67,15,0,116,75,184,97,1,357,56.0,225.0,109.0,1.0,391.0,611.0,1986.0,380.0,3.0,2980.0,34.0,75.0,15.0,0.0,124.0,18.0,26.0,10.0,0.0,54.0,8.0,11.0,4.0,0.0,23.0,14.0,40.0,25.0,0.0,79.0,40.0,94.0,9.0,0.0,143.0,232.0,813.0,693.0,0.0,1738.0,12.0,45.0,17.0,0.0,74.0,11319.0
65,36,41,3,0,80,20,51,17,0,88,30.0,28.0,17.0,0.0,75.0,1195.0,1286.0,412.0,4.0,2897.0,18.0,20.0,5.0,0.0,43.0,16.0,11.0,4.0,0.0,31.0,2.0,4.0,2.0,0.0,8.0,4.0,5.0,6.0,0.0,15.0,45.0,37.0,3.0,0.0,85.0,362.0,660.0,398.0,1.0,1421.0,11.0,15.0,3.0,0.0,29.0,7890.0
79,12,19,1,0,32,24,27,24,0,75,22.0,35.0,20.0,0.0,77.0,230.0,669.0,142.0,0.0,1041.0,8.0,15.0,5.0,0.0,28.0,3.0,13.0,1.0,0.0,17.0,3.0,1.0,0.0,0.0,4.0,1.0,7.0,6.0,0.0,14.0,11.0,12.0,2.0,0.0,25.0,271.0,593.0,324.0,0.0,1188.0,15.0,29.0,4.0,0.0,48.0,4005.0
830,82,35,12,0,129,411,416,354,5,1186,342.0,281.0,229.0,2.0,854.0,2224.0,1989.0,1396.0,9.0,5618.0,164.0,146.0,33.0,1.0,344.0,62.0,35.0,11.0,1.0,109.0,27.0,16.0,14.0,0.0,57.0,44.0,61.0,55.0,1.0,161.0,72.0,38.0,22.0,1.0,133.0,4698.0,6465.0,6004.0,48.0,17215.0,122.0,126.0,107.0,1.0,356.0,34874.0
2130,99,159,40,0,298,396,1060,473,1,1930,366.0,828.0,421.0,1.0,1616.0,2386.0,8272.0,3288.0,4.0,13950.0,189.0,411.0,103.0,2.0,705.0,144.0,164.0,63.0,0.0,371.0,61.0,85.0,47.0,0.0,193.0,47.0,102.0,74.0,0.0,223.0,102.0,173.0,47.0,0.0,322.0,3224.0,15740.0,10384.0,27.0,29375.0,87.0,241.0,133.0,1.0,462.0,68154.0
126,21,21,4,0,46,35,68,32,0,135,36.0,67.0,52.0,0.0,155.0,324.0,637.0,171.0,1.0,1133.0,30.0,44.0,9.0,0.0,83.0,9.0,11.0,3.0,0.0,23.0,13.0,5.0,4.0,0.0,22.0,3.0,10.0,6.0,0.0,19.0,18.0,28.0,8.0,1.0,55.0,228.0,417.0,360.0,0.0,1005.0,9.0,21.0,8.0,0.0,38.0,4969.0
10,3,27,3,0,33,8,11,2,0,21,3.0,18.0,4.0,0.0,25.0,94.0,412.0,52.0,0.0,558.0,3.0,5.0,1.0,0.0,9.0,1.0,3.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,6.0,5.0,19.0,0.0,0.0,24.0,3.0,27.0,6.0,0.0,36.0,1.0,0.0,1.0,0.0,2.0,1381.0
262,161,241,34,1,437,101,183,91,1,376,157.0,264.0,144.0,1.0,566.0,4010.0,7235.0,1492.0,5.0,12742.0,41.0,82.0,34.0,1.0,158.0,156.0,125.0,43.0,0.0,324.0,31.0,28.0,13.0,0.0,72.0,10.0,22.0,20.0,0.0,52.0,165.0,245.0,28.0,1.0,439.0,1093.0,2311.0,1534.0,5.0,4943.0,18.0,40.0,16.0,0.0,74.0,30974.0
