County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Bibb,107979.0,52.0,43.0,87.0,0.0,182.0,59.0,70.0,77.0,0.0,206.0,2741.0,5312.0,2118.0,23.0,10194.0,52.0,60.0,44.0,2.0,158.0,174.0,164.0,79.0,3.0,420.0,64.0,56.0,31.0,1.0,152.0,159.0,195.0,77.0,3.0,434.0,1290.0,2278.0,1309.0,25.0,4902.0,518.0,970.0,454.0,10.0,1952.0,148.0,174.0,93.0,1.0,416.0,350.0,678.0,377.0,8.0,1413.0,419.0,706.0,455.0,2.0,1582.0,4374.0,7066.0,3130.0,14.0,14584.0,209.0,309.0,101.0,3.0,622.0,142.0,142.0,61.0,0.0,345.0,45.0,46.0,36.0,0.0,127.0,61.0,115.0,151.0,2.0,329.0,114.0,140.0,28.0,2.0,284.0,5578.0,14770.0,10487.0,61.0,30896.0,233.0,330.0,174.0,5.0,742.0,69940.0
Bleckley,0.0,3.0,8.0,4.0,0.0,15.0,6.0,11.0,3.0,0.0,20.0,362.0,1280.0,284.0,1.0,1927.0,3.0,1.0,4.0,0.0,8.0,24.0,34.0,12.0,0.0,70.0,5.0,5.0,3.0,0.0,13.0,9.0,23.0,2.0,0.0,34.0,49.0,89.0,42.0,0.0,180.0,17.0,27.0,15.0,0.0,59.0,16.0,26.0,5.0,0.0,47.0,6.0,15.0,8.0,0.0,29.0,18.0,33.0,19.0,0.0,70.0,494.0,1336.0,302.0,1.0,2133.0,5.0,9.0,1.0,0.0,15.0,11.0,16.0,2.0,0.0,29.0,3.0,3.0,0.0,0.0,6.0,1.0,4.0,5.0,0.0,10.0,11.0,33.0,2.0,0.0,46.0,190.0,392.0,294.0,0.0,876.0,4.0,12.0,10.0,0.0,26.0,5613.0
Brantley,11888.0,11.0,17.0,6.0,0.0,34.0,18.0,20.0,10.0,1.0,49.0,823.0,1986.0,316.0,3.0,3128.0,10.0,7.0,4.0,0.0,21.0,103.0,158.0,28.0,0.0,289.0,13.0,9.0,3.0,0.0,25.0,60.0,106.0,22.0,0.0,188.0,40.0,87.0,36.0,0.0,163.0,10.0,16.0,11.0,0.0,37.0,82.0,129.0,16.0,0.0,227.0,10.0,19.0,7.0,0.0,36.0,32.0,67.0,32.0,0.0,131.0,638.0,1513.0,256.0,3.0,2410.0,6.0,10.0,3.0,0.0,19.0,17.0,28.0,2.0,0.0,47.0,7.0,3.0,4.0,0.0,14.0,2.0,8.0,7.0,0.0,17.0,109.0,179.0,16.0,0.0,304.0,48.0,110.0,77.0,1.0,236.0,1.0,6.0,6.0,0.0,13.0,7388.0
Brooks,11154.0,10.0,7.0,10.0,0.0,27.0,11.0,10.0,7.0,0.0,28.0,546.0,986.0,214.0,4.0,1750.0,7.0,7.0,4.0,0.0,18.0,56.0,82.0,15.0,0.0,153.0,9.0,7.0,4.0,0.0,20.0,31.0,42.0,12.0,0.0,85.0,165.0,309.0,210.0,0.0,684.0,43.0,90.0,59.0,2.0,194.0,23.0,42.0,6.0,0.0,71.0,54.0,105.0,51.0,1.0,211.0,55.0,113.0,91.0,0.0,259.0,661.0,1029.0,261.0,2.0,1953.0,15.0,39.0,22.0,0.0,76.0,13.0,16.0,2.0,0.0,31.0,2.0,9.0,2.0,0.0,13.0,19.0,35.0,37.0,1.0,92.0,37.0,57.0,10.0,0.0,104.0,127.0,377.0,520.0,0.0,1024.0,8.0,11.0,23.0,0.0,42.0,6835.0
Bryan,30608.0,22.0,51.0,18.0,0.0,91.0,30.0,59.0,16.0,0.0,105.0,804.0,3372.0,597.0,2.0,4775.0,17.0,27.0,24.0,0.0,68.0,81.0,218.0,39.0,0.0,338.0,19.0,36.0,9.0,0.0,64.0,67.0,202.0,30.0,0.0,299.0,158.0,549.0,263.0,2.0,972.0,32.0,163.0,73.0,0.0,268.0,93.0,186.0,11.0,1.0,291.0,65.0,224.0,88.0,0.0,377.0,81.0,323.0,124.0,0.0,528.0,1334.0,5706.0,909.0,1.0,7950.0,31.0,78.0,20.0,0.0,129.0,67.0,124.0,42.0,0.0,233.0,14.0,31.0,15.0,0.0,60.0,4.0,29.0,24.0,0.0,57.0,64.0,179.0,25.0,0.0,268.0,442.0,2195.0,1303.0,1.0,3941.0,8.0,33.0,29.0,0.0,70.0,20884.0
Bulloch,44738.0,35.0,37.0,18.0,1.0,91.0,68.0,65.0,46.0,1.0,180.0,2667.0,3931.0,1250.0,6.0,7854.0,37.0,39.0,33.0,0.0,109.0,162.0,167.0,40.0,0.0,369.0,36.0,39.0,12.0,0.0,87.0,150.0,131.0,24.0,2.0,307.0,418.0,901.0,432.0,5.0,1756.0,146.0,254.0,126.0,3.0,529.0,160.0,123.0,24.0,2.0,309.0,169.0,265.0,129.0,3.0,566.0,165.0,319.0,172.0,0.0,656.0,3158.0,4327.0,1449.0,10.0,8944.0,69.0,127.0,27.0,0.0,223.0,111.0,92.0,43.0,1.0,247.0,25.0,29.0,18.0,0.0,72.0,13.0,42.0,46.0,1.0,102.0,157.0,162.0,43.0,1.0,363.0,1309.0,3038.0,2303.0,15.0,6665.0,34.0,50.0,44.0,1.0,129.0,29558.0
Burke,16556.0,6.0,7.0,5.0,0.0,18.0,13.0,10.0,10.0,0.0,33.0,634.0,1059.0,223.0,0.0,1916.0,6.0,1.0,12.0,0.0,19.0,41.0,35.0,15.0,0.0,91.0,7.0,5.0,2.0,0.0,14.0,32.0,29.0,10.0,0.0,71.0,283.0,303.0,196.0,0.0,782.0,74.0,74.0,77.0,0.0,225.0,54.0,44.0,2.0,0.0,100.0,60.0,72.0,41.0,0.0,173.0,86.0,95.0,40.0,0.0,221.0,1081.0,1540.0,397.0,0.0,3018.0,41.0,44.0,10.0,0.0,95.0,21.0,21.0,6.0,0.0,48.0,3.0,11.0,3.0,0.0,17.0,50.0,83.0,211.0,0.0,344.0,32.0,31.0,5.0,0.0,68.0,848.0,1134.0,1176.0,0.0,3158.0,20.0,23.0,11.0,0.0,54.0,10465.0
Butts,17154.0,6.0,11.0,6.0,0.0,23.0,6.0,17.0,13.0,0.0,36.0,300.0,2436.0,454.0,1.0,3191.0,4.0,15.0,7.0,0.0,26.0,26.0,86.0,15.0,0.0,127.0,6.0,17.0,3.0,0.0,26.0,26.0,75.0,9.0,0.0,110.0,66.0,284.0,87.0,0.0,437.0,26.0,82.0,27.0,0.0,135.0,26.0,87.0,11.0,0.0,124.0,15.0,107.0,33.0,1.0,156.0,34.0,101.0,51.0,0.0,186.0,396.0,3513.0,630.0,1.0,4540.0,11.0,35.0,8.0,0.0,54.0,12.0,41.0,7.0,0.0,60.0,2.0,14.0,7.0,0.0,23.0,1.0,13.0,4.0,0.0,18.0,10.0,78.0,6.0,0.0,94.0,216.0,1292.0,699.0,0.0,2207.0,4.0,20.0,10.0,0.0,34.0,11607.0
Calhoun,3184.0,2.0,1.0,6.0,0.0,9.0,4.0,2.0,1.0,0.0,7.0,106.0,209.0,44.0,0.0,359.0,3.0,3.0,0.0,0.0,6.0,7.0,10.0,4.0,0.0,21.0,6.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,7.0,60.0,65.0,54.0,0.0,179.0,13.0,16.0,13.0,0.0,42.0,5.0,3.0,1.0,0.0,9.0,15.0,21.0,19.0,0.0,55.0,16.0,27.0,14.0,0.0,57.0,149.0,262.0,99.0,0.0,510.0,12.0,9.0,7.0,0.0,28.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,5.0,3.0,3.0,0.0,0.0,6.0,220.0,308.0,291.0,0.0,819.0,8.0,7.0,9.0,0.0,24.0,2156.0
Camden,34950.0,43.0,56.0,26.0,0.0,125.0,55.0,79.0,35.0,0.0,169.0,1311.0,3754.0,847.0,1.0,5913.0,34.0,35.0,28.0,0.0,97.0,230.0,530.0,109.0,0.0,869.0,37.0,66.0,13.0,0.0,116.0,153.0,295.0,54.0,1.0,503.0,252.0,939.0,589.0,1.0,1781.0,110.0,269.0,144.0,0.0,523.0,117.0,245.0,50.0,0.0,412.0,121.0,287.0,141.0,1.0,550.0,143.0,466.0,266.0,0.0,875.0,1436.0,4137.0,1057.0,1.0,6631.0,65.0,173.0,58.0,0.0,296.0,121.0,162.0,50.0,0.0,333.0,28.0,53.0,23.0,0.0,104.0,21.0,42.0,46.0,0.0,109.0,109.0,271.0,40.0,0.0,420.0,343.0,1429.0,1194.0,1.0,2967.0,19.0,63.0,42.0,0.0,124.0,22917.0
Candler,6300.0,6.0,2.0,3.0,0.0,11.0,7.0,7.0,2.0,0.0,16.0,608.0,512.0,131.0,0.0,1251.0,3.0,3.0,3.0,0.0,9.0,40.0,25.0,5.0,0.0,70.0,3.0,7.0,4.0,0.0,14.0,20.0,15.0,3.0,0.0,38.0,92.0,58.0,47.0,0.0,197.0,27.0,14.0,15.0,1.0,57.0,38.0,15.0,3.0,0.0,56.0,24.0,17.0,8.0,0.0,49.0,31.0,30.0,26.0,0.0,87.0,788.0,544.0,224.0,0.0,1556.0,13.0,9.0,4.0,0.0,26.0,18.0,2.0,2.0,0.0,22.0,2.0,1.0,0.0,0.0,3.0,5.0,4.0,3.0,0.0,12.0,35.0,21.0,4.0,0.0,60.0,317.0,212.0,249.0,0.0,778.0,6.0,3.0,2.0,0.0,11.0,4323.0
