County,Registered Voters,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Choice Total,Total Votes
Early,7320.0,2796.0,2232.0,77.0,5105.0
Echols,2156.0,1232.0,162.0,24.0,1418.0
Effingham,44273.0,22832.0,7627.0,828.0,31287.0
Elbert,12305.0,6225.0,2717.0,133.0,9075.0
Emanuel,13715.0,6513.0,2720.0,135.0,9368.0
Evans,6135.0,2876.0,1251.0,64.0,4191.0
Fannin,20399.0,11972.0,2415.0,299.0,14686.0
Fayette,92307.0,36850.0,30362.0,1511.0,68723.0
Floyd,60650.0,26726.0,10484.0,1008.0,38218.0
Forsyth,163984.0,85652.0,39229.0,3386.0,128267.0
Franklin,15146.0,8993.0,1465.0,187.0,10645.0
Fulton,806451.0,146425.0,363183.0,11042.0,520650.0
Gilmer,22264.0,13206.0,2715.0,386.0,16307.0
Glascock,2039.0,1366.0,150.0,24.0,1540.0
Glynn,61952.0,25560.0,14938.0,970.0,41468.0
Gordon,36429.0,19011.0,4182.0,573.0,23766.0
Grady,15442.0,6969.0,3465.0,146.0,10580.0
Greene,14171.0,7247.0,3763.0,152.0,11162.0
Gwinnett,581467.0,166754.0,233551.0,10901.0,411206.0
Habersham,28264.0,16385.0,3340.0,534.0,20259.0
Hall,0.0,63775.0,23461.0,2459.0,89695.0
Hancock,5827.0,1173.0,2858.0,66.0,4097.0
Haralson,20667.0,12016.0,1764.0,336.0,14116.0
Harris,25626.0,14279.0,5192.0,383.0,19854.0
Hart,16929.0,9377.0,2937.0,218.0,12532.0
Heard,7762.0,4413.0,802.0,113.0,5328.0
Henry,171905.0,47486.0,71592.0,2631.0,121709.0
Houston,105315.0,41428.0,30955.0,1779.0,74162.0
Irwin,6113.0,3095.0,982.0,67.0,4144.0
Jackson,51951.0,29166.0,7262.0,955.0,37383.0
Jasper,10432.0,5751.0,1690.0,151.0,7592.0
Jeff Davis,8478.0,4574.0,1013.0,111.0,5698.0
Jefferson,11334.0,3539.0,3913.0,102.0,7554.0
Jenkins,5066.0,2155.0,1194.0,51.0,3400.0
Johnson,5611.0,2801.0,1158.0,75.0,4034.0
Jones,0.0,9854.0,4687.0,301.0,14842.0
Lamar,12839.0,6280.0,2511.0,197.0,8988.0
Lanier,5462.0,2481.0,944.0,94.0,3519.0
Laurens,32880.0,14363.0,7698.0,413.0,22474.0
Lee,22897.0,11862.0,4424.0,273.0,16559.0
Liberty,35582.0,7728.0,12695.0,608.0,21031.0
Lincoln,6176.0,3139.0,1371.0,83.0,4593.0
Long,10470.0,3389.0,2029.0,163.0,5581.0
Lowndes,75356.0,25620.0,19124.0,1028.0,45772.0
Lumpkin,22407.0,11941.0,2926.0,496.0,15363.0
Macon,6991.0,1787.0,2727.0,79.0,4593.0
Madison,20720.0,11136.0,3303.0,359.0,14798.0
Marion,4913.0,2248.0,1267.0,84.0,3599.0
McDuffie,15033.0,6198.0,3968.0,204.0,10370.0
McIntosh,9292.0,3967.0,2498.0,137.0,6602.0
Meriwether,15337.0,6432.0,4135.0,195.0,10762.0
Miller,3912.0,2047.0,687.0,47.0,2781.0
Mitchell,13474.0,4921.0,3832.0,118.0,8871.0
Monroe,21138.0,10929.0,4205.0,294.0,15428.0
Montgomery,5463.0,2927.0,931.0,62.0,3920.0
Morgan,14824.0,8259.0,3151.0,217.0,11627.0
Murray,22284.0,12493.0,2296.0,362.0,15151.0
Muscogee,130878.0,30226.0,47552.0,1772.0,79550.0
Newton,78994.0,23408.0,29220.0,1150.0,53778.0
Oconee,30071.0,17108.0,7465.0,569.0,25142.0
Oglethorpe,10844.0,5500.0,2323.0,234.0,8057.0
Paulding,114945.0,53485.0,28755.0,2308.0,84548.0
Peach,17996.0,6483.0,5702.0,247.0,12432.0
Pickens,23766.0,13860.0,2678.0,431.0,16969.0
Pierce,12717.0,7810.0,1002.0,129.0,8941.0
Pike,0.0,9045.0,1430.0,174.0,10649.0
Polk,24189.0,13282.0,3537.0,416.0,17235.0
Pulaski,5687.0,2787.0,1139.0,79.0,4005.0
Putnam,16003.0,8279.0,3299.0,189.0,11767.0
Quitman,1547.0,600.0,470.0,15.0,1085.0
Rabun,13072.0,7392.0,1825.0,255.0,9472.0
Randolph,4341.0,1404.0,1606.0,31.0,3041.0
Richmond,134749.0,27052.0,56786.0,2130.0,85968.0
Rockdale,65505.0,12716.0,30641.0,906.0,44263.0
Schley,2882.0,1783.0,439.0,34.0,2256.0
Screven,0.0,3893.0,2589.0,65.0,6547.0
Seminole,5936.0,2597.0,1187.0,54.0,3838.0
Spalding,45985.0,17768.0,11355.0,641.0,29764.0
Stephens,0.0,9353.0,2187.0,228.0,11768.0
Stewart,2893.0,803.0,1115.0,35.0,1953.0
Sumter,17800.0,5743.0,6114.0,165.0,12022.0
Talbot,4563.0,1386.0,2013.0,51.0,3450.0
Taliaferro,1245.0,366.0,521.0,15.0,902.0
Tattnall,12184.0,5954.0,1978.0,159.0,8091.0
Taylor,5400.0,2399.0,1312.0,81.0,3792.0
Telfair,6032.0,2751.0,1435.0,69.0,4255.0
Terrell,6594.0,2040.0,2277.0,58.0,4375.0
Thomas,30028.0,13020.0,8158.0,422.0,21600.0
Tift,24449.0,10814.0,4956.0,305.0,16075.0
Toombs,0.0,7793.0,2832.0,173.0,10798.0
Towns,10693.0,6291.0,1451.0,146.0,7888.0
Treutlen,0.0,2078.0,893.0,52.0,3023.0
Troup,42964.0,18162.0,11111.0,536.0,29809.0
Turner,5582.0,2334.0,1345.0,62.0,3741.0
Twiggs,6304.0,2313.0,1981.0,87.0,4381.0
Union,19201.0,12423.0,2616.0,339.0,15378.0
Upson,18175.0,8568.0,4000.0,216.0,12784.0
Walker,42924.0,22650.0,5435.0,883.0,28968.0
Walton,70006.0,37169.0,12102.0,1186.0,50457.0
Ware,21994.0,9833.0,3973.0,269.0,14075.0
Warren,3785.0,1172.0,1424.0,46.0,2642.0
Washington,12990.0,4630.0,4477.0,172.0,9279.0
Wayne,18104.0,9734.0,2655.0,244.0,12633.0
Webster,1705.0,736.0,626.0,10.0,1372.0
Wheeler,0.0,1562.0,657.0,35.0,2254.0
White,20622.0,12072.0,2273.0,371.0,14716.0
Whitfield,54749.0,25158.0,10177.0,962.0,36297.0
Wilcox,4661.0,2369.0,805.0,56.0,3230.0
Wilkes,6819.0,2810.0,2057.0,78.0,4945.0
Wilkinson,6470.0,2608.0,2017.0,79.0,4704.0
Worth,14469.0,6726.0,2327.0,157.0,9210.0
detail,134749.0,27052.0,56786.0,2130.0,85968.0
