County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Bibb,107979.0,7871.0,13275.0,5453.0,46.0,26645.0,8604.0,19864.0,13346.0,114.0,41928.0,440.0,604.0,367.0,3.0,1414.0,69987.0
Bleckley,0.0,931.0,2745.0,603.0,2.0,4281.0,292.0,574.0,383.0,0.0,1249.0,33.0,60.0,21.0,0.0,114.0,5644.0
Brantley,11888.0,1924.0,4218.0,663.0,7.0,6812.0,163.0,334.0,190.0,1.0,688.0,46.0,58.0,12.0,0.0,116.0,7616.0
Brooks,11154.0,1401.0,2312.0,531.0,6.0,4250.0,505.0,1088.0,1010.0,4.0,2607.0,36.0,57.0,26.0,0.0,119.0,6976.0
Bryan,30608.0,2518.0,9983.0,1562.0,4.0,14067.0,853.0,3679.0,1962.0,3.0,6497.0,146.0,345.0,108.0,0.0,599.0,21163.0
Bulloch,44738.0,6562.0,8898.0,2751.0,21.0,18232.0,2402.0,5115.0,3295.0,34.0,10846.0,272.0,304.0,139.0,0.0,715.0,29793.0
Burke,16556.0,1934.0,2810.0,663.0,0.0,5407.0,1448.0,1790.0,1751.0,0.0,4989.0,63.0,58.0,43.0,0.0,164.0,10560.0
Butts,17154.0,823.0,6380.0,1123.0,2.0,8328.0,372.0,1863.0,892.0,1.0,3128.0,29.0,140.0,46.0,0.0,215.0,11671.0
Calhoun,3184.0,281.0,503.0,149.0,0.0,933.0,348.0,444.0,419.0,0.0,1211.0,15.0,10.0,3.0,0.0,28.0,2172.0
Camden,34950.0,3495.0,9355.0,2133.0,4.0,14987.0,1143.0,3839.0,2482.0,3.0,7467.0,284.0,432.0,179.0,0.0,895.0,23349.0
Candler,6300.0,1570.0,1147.0,361.0,0.0,3078.0,517.0,357.0,358.0,1.0,1233.0,33.0,17.0,10.0,0.0,60.0,4371.0
Carroll,83847.0,10850.0,21525.0,4597.0,25.0,36997.0,2960.0,8328.0,4251.0,10.0,15549.0,496.0,653.0,273.0,5.0,1427.0,53973.0
Catoosa,45715.0,5017.0,16704.0,2835.0,15.0,24571.0,964.0,3695.0,1934.0,6.0,6599.0,303.0,561.0,139.0,1.0,1004.0,32174.0
Charlton,6552.0,1097.0,1865.0,394.0,1.0,3357.0,222.0,540.0,254.0,0.0,1016.0,31.0,58.0,15.0,0.0,104.0,4477.0
Chatham,200388.0,18198.0,22904.0,11846.0,88.0,53036.0,17738.0,30625.0,27457.0,163.0,75983.0,1241.0,938.0,788.0,22.0,2989.0,132008.0
Chattahoochee,0.0,279.0,445.0,124.0,2.0,850.0,149.0,333.0,152.0,2.0,636.0,20.0,25.0,15.0,0.0,60.0,1546.0
Chattooga,14143.0,2378.0,4350.0,1045.0,4.0,7777.0,391.0,865.0,628.0,2.0,1886.0,86.0,129.0,60.0,0.0,275.0,9938.0
Cherokee,190531.0,23455.0,56129.0,19782.0,18.0,99384.0,6345.0,17989.0,15587.0,7.0,39928.0,1438.0,1737.0,1038.0,1.0,4214.0,143526.0
Clarke,76504.0,3469.0,7253.0,4307.0,13.0,15042.0,5123.0,15905.0,13409.0,34.0,34471.0,431.0,506.0,380.0,4.0,1321.0,50834.0
Clay,2053.0,128.0,406.0,113.0,0.0,647.0,166.0,316.0,266.0,0.0,748.0,5.0,6.0,10.0,0.0,21.0,1416.0
Clayton,193326.0,3007.0,7687.0,4109.0,38.0,14841.0,16666.0,50780.0,25825.0,428.0,93699.0,658.0,1129.0,704.0,14.0,2505.0,111045.0
Clinch,4345.0,605.0,1264.0,213.0,1.0,2083.0,212.0,318.0,130.0,0.0,660.0,16.0,30.0,8.0,0.0,54.0,2797.0
Cobb,537611.0,37848.0,78099.0,53545.0,166.0,169658.0,29604.0,92520.0,88396.0,329.0,210849.0,3122.0,3649.0,3470.0,22.0,10263.0,390770.0
Coffee,25114.0,2535.0,6981.0,899.0,9.0,10424.0,1067.0,2298.0,913.0,3.0,4281.0,85.0,155.0,46.0,0.0,286.0,14991.0
Colquitt,25054.0,4205.0,6098.0,1332.0,9.0,11644.0,1083.0,1799.0,1105.0,3.0,3990.0,109.0,101.0,47.0,0.0,257.0,15891.0
Columbia,127380.0,13296.0,29810.0,7069.0,45.0,50220.0,4837.0,14116.0,8779.0,27.0,27759.0,678.0,880.0,366.0,4.0,1928.0,79907.0
Cook,10632.0,1104.0,3288.0,472.0,0.0,4864.0,521.0,960.0,481.0,1.0,1963.0,41.0,79.0,25.0,0.0,145.0,6972.0
Coweta,102110.0,18105.0,23787.0,9404.0,3.0,51299.0,5199.0,9201.0,8503.0,12.0,22915.0,786.0,621.0,496.0,5.0,1908.0,76122.0
Crawford,8512.0,1126.0,2671.0,532.0,1.0,4330.0,262.0,806.0,492.0,1.0,1561.0,39.0,64.0,32.0,0.0,135.0,6026.0
Crisp,12554.0,978.0,3277.0,795.0,4.0,5054.0,545.0,1434.0,829.0,1.0,2809.0,33.0,53.0,19.0,0.0,105.0,7968.0
Dade,11660.0,1942.0,3310.0,614.0,5.0,5871.0,268.0,637.0,346.0,2.0,1253.0,70.0,110.0,28.0,0.0,208.0,7332.0
Dawson,21529.0,2279.0,9009.0,1927.0,2.0,13217.0,250.0,1096.0,941.0,2.0,2289.0,113.0,227.0,78.0,0.0,418.0,15924.0
DeKalb,546711.0,12225.0,31688.0,17729.0,208.0,61850.0,33155.0,159487.0,104602.0,1129.0,298373.0,1728.0,3283.0,2234.0,57.0,7302.0,367525.0
Decatur,16618.0,1448.0,4426.0,816.0,6.0,6696.0,777.0,2414.0,1366.0,6.0,4563.0,43.0,99.0,48.0,0.0,190.0,11449.0
Dodge,11439.0,2306.0,2781.0,701.0,5.0,5793.0,530.0,970.0,520.0,1.0,2021.0,48.0,69.0,21.0,0.0,138.0,7952.0
Dooly,5949.0,467.0,1422.0,266.0,3.0,2158.0,460.0,923.0,441.0,2.0,1826.0,24.0,38.0,13.0,0.0,75.0,4059.0
Dougherty,61172.0,4271.0,3882.0,2407.0,23.0,10583.0,7206.0,8914.0,7623.0,79.0,23822.0,222.0,156.0,123.0,1.0,502.0,34907.0
Douglas,102540.0,4547.0,14997.0,5324.0,10.0,24878.0,5785.0,22525.0,13290.0,41.0,41641.0,446.0,731.0,453.0,4.0,1634.0,68153.0
Early,7320.0,817.0,1550.0,426.0,3.0,2796.0,595.0,1002.0,635.0,0.0,2232.0,29.0,37.0,11.0,0.0,77.0,5105.0
Echols,2156.0,221.0,897.0,114.0,0.0,1232.0,31.0,101.0,30.0,0.0,162.0,5.0,14.0,5.0,0.0,24.0,1418.0
Effingham,44273.0,7167.0,13273.0,2376.0,16.0,22832.0,1781.0,3590.0,2247.0,9.0,7627.0,352.0,322.0,153.0,1.0,828.0,31287.0
Elbert,12305.0,1836.0,3399.0,990.0,0.0,6225.0,500.0,1211.0,1006.0,0.0,2717.0,44.0,68.0,21.0,0.0,133.0,9075.0
Emanuel,13715.0,2510.0,3110.0,892.0,1.0,6513.0,814.0,1179.0,727.0,0.0,2720.0,51.0,57.0,26.0,1.0,135.0,9368.0
Evans,6135.0,463.0,1922.0,491.0,0.0,2876.0,227.0,719.0,305.0,0.0,1251.0,16.0,33.0,15.0,0.0,64.0,4191.0
Fannin,20399.0,4070.0,5678.0,2204.0,20.0,11972.0,383.0,977.0,1055.0,0.0,2415.0,113.0,105.0,79.0,2.0,299.0,14686.0
Fayette,92307.0,6331.0,22862.0,7602.0,55.0,36850.0,3344.0,16672.0,10282.0,64.0,30362.0,386.0,761.0,362.0,2.0,1511.0,68723.0
Floyd,60650.0,7718.0,14508.0,4340.0,160.0,26726.0,2159.0,4621.0,3669.0,35.0,10484.0,350.0,414.0,244.0,0.0,1008.0,38218.0
Forsyth,163984.0,9587.0,61047.0,14990.0,28.0,85652.0,3244.0,21855.0,14107.0,23.0,39229.0,668.0,1988.0,728.0,2.0,3386.0,128267.0
Franklin,15146.0,2269.0,5345.0,1379.0,0.0,8993.0,323.0,603.0,537.0,2.0,1465.0,65.0,82.0,40.0,0.0,187.0,10645.0
Fulton,806451.0,19785.0,92484.0,33275.0,881.0,146425.0,37138.0,216836.0,106841.0,2368.0,363183.0,2342.0,5848.0,2712.0,140.0,11042.0,520650.0
Gilmer,22264.0,4271.0,6787.0,2137.0,11.0,13206.0,435.0,1151.0,1128.0,1.0,2715.0,140.0,151.0,94.0,1.0,386.0,16307.0
Glascock,2039.0,396.0,775.0,195.0,0.0,1366.0,42.0,59.0,49.0,0.0,150.0,7.0,16.0,1.0,0.0,24.0,1540.0
Glynn,61952.0,4620.0,16497.0,4413.0,30.0,25560.0,2084.0,7589.0,5244.0,21.0,14938.0,266.0,488.0,215.0,1.0,970.0,41468.0
Gordon,36429.0,6814.0,9713.0,2471.0,13.0,19011.0,1011.0,1848.0,1323.0,0.0,4182.0,219.0,250.0,102.0,2.0,573.0,23766.0
Grady,15442.0,2002.0,3887.0,1073.0,7.0,6969.0,620.0,1797.0,1038.0,10.0,3465.0,51.0,66.0,29.0,0.0,146.0,10580.0
Greene,14171.0,864.0,5057.0,1323.0,3.0,7247.0,544.0,1832.0,1380.0,7.0,3763.0,43.0,71.0,38.0,0.0,152.0,11162.0
Gwinnett,581467.0,34576.0,90661.0,41296.0,221.0,166754.0,35117.0,121145.0,76886.0,403.0,233551.0,3126.0,4671.0,3070.0,34.0,10901.0,411206.0
Habersham,28264.0,2551.0,10964.0,2851.0,19.0,16385.0,493.0,1647.0,1197.0,3.0,3340.0,140.0,286.0,107.0,1.0,534.0,20259.0
Hall,0.0,10855.0,40901.0,12019.0,0.0,63775.0,3778.0,11362.0,8321.0,0.0,23461.0,682.0,1210.0,567.0,0.0,2459.0,89695.0
Hancock,5827.0,287.0,639.0,247.0,0.0,1173.0,601.0,1096.0,1158.0,3.0,2858.0,14.0,32.0,20.0,0.0,66.0,4097.0
Haralson,20667.0,4195.0,6107.0,1710.0,4.0,12016.0,407.0,740.0,617.0,0.0,1764.0,123.0,142.0,71.0,0.0,336.0,14116.0
Harris,25626.0,5527.0,6622.0,2117.0,13.0,14279.0,1264.0,2025.0,1899.0,4.0,5192.0,170.0,109.0,103.0,1.0,383.0,19854.0
Hart,16929.0,2306.0,5671.0,1399.0,1.0,9377.0,543.0,1376.0,1016.0,2.0,2937.0,73.0,108.0,37.0,0.0,218.0,12532.0
Heard,7762.0,1611.0,2145.0,656.0,1.0,4413.0,192.0,338.0,271.0,1.0,802.0,31.0,57.0,25.0,0.0,113.0,5328.0
Henry,171905.0,7902.0,31581.0,7976.0,27.0,47486.0,8215.0,43606.0,19706.0,65.0,71592.0,572.0,1401.0,655.0,3.0,2631.0,121709.0
Houston,105315.0,11487.0,21645.0,8252.0,44.0,41428.0,6274.0,13621.0,11016.0,44.0,30955.0,632.0,623.0,521.0,3.0,1779.0,74162.0
Irwin,6113.0,634.0,2085.0,373.0,3.0,3095.0,241.0,504.0,236.0,1.0,982.0,15.0,47.0,5.0,0.0,67.0,4144.0
Jackson,51951.0,4867.0,19969.0,4324.0,6.0,29166.0,1026.0,3685.0,2550.0,1.0,7262.0,256.0,490.0,209.0,0.0,955.0,37383.0
Jasper,10432.0,1503.0,3438.0,798.0,12.0,5751.0,296.0,759.0,634.0,1.0,1690.0,56.0,59.0,36.0,0.0,151.0,7592.0
Jeff Davis,8478.0,1377.0,2681.0,516.0,0.0,4574.0,249.0,502.0,262.0,0.0,1013.0,40.0,54.0,17.0,0.0,111.0,5698.0
Jefferson,11334.0,1103.0,1988.0,444.0,4.0,3539.0,1028.0,1679.0,1199.0,7.0,3913.0,32.0,46.0,24.0,0.0,102.0,7554.0
Jenkins,5066.0,576.0,1245.0,331.0,3.0,2155.0,280.0,530.0,383.0,1.0,1194.0,22.0,15.0,14.0,0.0,51.0,3400.0
Johnson,5611.0,754.0,1711.0,336.0,0.0,2801.0,210.0,574.0,374.0,0.0,1158.0,16.0,40.0,19.0,0.0,75.0,4034.0
Jones,0.0,2954.0,5609.0,1287.0,4.0,9854.0,835.0,2282.0,1568.0,2.0,4687.0,109.0,133.0,59.0,0.0,301.0,14842.0
Lamar,12839.0,1713.0,3762.0,797.0,8.0,6280.0,471.0,1160.0,877.0,3.0,2511.0,74.0,80.0,43.0,0.0,197.0,8988.0
Lanier,5462.0,469.0,1764.0,248.0,0.0,2481.0,187.0,488.0,269.0,0.0,944.0,32.0,46.0,16.0,0.0,94.0,3519.0
Laurens,32880.0,5596.0,6472.0,2292.0,3.0,14363.0,1809.0,3294.0,2593.0,2.0,7698.0,150.0,162.0,101.0,0.0,413.0,22474.0
Lee,22897.0,2989.0,7681.0,1188.0,4.0,11862.0,889.0,2376.0,1157.0,2.0,4424.0,102.0,124.0,47.0,0.0,273.0,16559.0
Liberty,35582.0,1624.0,4866.0,1238.0,0.0,7728.0,1668.0,7005.0,4022.0,0.0,12695.0,162.0,274.0,172.0,0.0,608.0,21031.0
Lincoln,6176.0,901.0,1816.0,421.0,1.0,3139.0,253.0,521.0,595.0,2.0,1371.0,22.0,36.0,25.0,0.0,83.0,4593.0
Long,10470.0,1068.0,2054.0,258.0,9.0,3389.0,392.0,1147.0,484.0,6.0,2029.0,62.0,76.0,24.0,1.0,163.0,5581.0
Lowndes,75356.0,5299.0,16803.0,3357.0,161.0,25620.0,2786.0,10617.0,5479.0,242.0,19124.0,282.0,532.0,190.0,24.0,1028.0,45772.0
Lumpkin,22407.0,1973.0,7993.0,1974.0,1.0,11941.0,303.0,1492.0,1131.0,0.0,2926.0,122.0,275.0,99.0,0.0,496.0,15363.0
Macon,6991.0,348.0,1301.0,138.0,0.0,1787.0,669.0,1395.0,663.0,0.0,2727.0,22.0,39.0,18.0,0.0,79.0,4593.0
Madison,20720.0,3436.0,6039.0,1659.0,2.0,11136.0,721.0,1455.0,1126.0,1.0,3303.0,140.0,127.0,92.0,0.0,359.0,14798.0
Marion,4913.0,724.0,1222.0,302.0,0.0,2248.0,232.0,595.0,440.0,0.0,1267.0,32.0,38.0,14.0,0.0,84.0,3599.0
McDuffie,15033.0,841.0,4447.0,910.0,0.0,6198.0,574.0,1955.0,1439.0,0.0,3968.0,47.0,119.0,38.0,0.0,204.0,10370.0
McIntosh,9292.0,800.0,2364.0,802.0,1.0,3967.0,424.0,1266.0,808.0,0.0,2498.0,51.0,54.0,32.0,0.0,137.0,6602.0
Meriwether,15337.0,2164.0,3281.0,985.0,2.0,6432.0,1177.0,1575.0,1378.0,5.0,4135.0,78.0,70.0,47.0,0.0,195.0,10762.0
Miller,3912.0,525.0,1258.0,262.0,2.0,2047.0,166.0,321.0,200.0,0.0,687.0,14.0,21.0,12.0,0.0,47.0,2781.0
Mitchell,13474.0,1539.0,2690.0,690.0,2.0,4921.0,794.0,1622.0,1411.0,5.0,3832.0,43.0,50.0,25.0,0.0,118.0,8871.0
Monroe,21138.0,3005.0,6858.0,1060.0,6.0,10929.0,701.0,2244.0,1258.0,2.0,4205.0,112.0,127.0,55.0,0.0,294.0,15428.0
Montgomery,5463.0,1085.0,1488.0,354.0,0.0,2927.0,251.0,398.0,282.0,0.0,931.0,30.0,23.0,9.0,0.0,62.0,3920.0
Morgan,14824.0,1876.0,5450.0,930.0,3.0,8259.0,467.0,1721.0,962.0,1.0,3151.0,59.0,96.0,62.0,0.0,217.0,11627.0
Murray,22284.0,3756.0,7462.0,1275.0,0.0,12493.0,569.0,1090.0,637.0,0.0,2296.0,105.0,194.0,63.0,0.0,362.0,15151.0
Muscogee,130878.0,6417.0,17160.0,6631.0,18.0,30226.0,6498.0,24577.0,16449.0,28.0,47552.0,460.0,822.0,487.0,3.0,1772.0,79550.0
Newton,78994.0,10672.0,8008.0,4713.0,15.0,23408.0,6759.0,12419.0,10025.0,17.0,29220.0,481.0,325.0,340.0,4.0,1150.0,53778.0
Oconee,30071.0,2718.0,11514.0,2874.0,2.0,17108.0,658.0,4108.0,2697.0,2.0,7465.0,158.0,303.0,107.0,1.0,569.0,25142.0
Oglethorpe,10844.0,1046.0,3534.0,918.0,2.0,5500.0,405.0,1103.0,813.0,2.0,2323.0,46.0,125.0,63.0,0.0,234.0,8057.0
Paulding,114945.0,9418.0,34709.0,9301.0,57.0,53485.0,3744.0,15138.0,9837.0,36.0,28755.0,604.0,1128.0,572.0,4.0,2308.0,84548.0
Peach,17996.0,957.0,4709.0,808.0,9.0,6483.0,799.0,3259.0,1638.0,6.0,5702.0,50.0,152.0,44.0,1.0,247.0,12432.0
Pickens,23766.0,5867.0,6209.0,1776.0,8.0,13860.0,655.0,1003.0,1020.0,0.0,2678.0,223.0,138.0,70.0,0.0,431.0,16969.0
Pierce,12717.0,1184.0,5700.0,926.0,0.0,7810.0,124.0,575.0,303.0,0.0,1002.0,28.0,78.0,23.0,0.0,129.0,8941.0
Pike,0.0,2318.0,5834.0,893.0,0.0,9045.0,272.0,677.0,481.0,0.0,1430.0,60.0,79.0,35.0,0.0,174.0,10649.0
Polk,24189.0,2762.0,8862.0,1645.0,13.0,13282.0,614.0,1914.0,1004.0,5.0,3537.0,112.0,214.0,89.0,1.0,416.0,17235.0
Pulaski,5687.0,332.0,2141.0,314.0,0.0,2787.0,153.0,677.0,309.0,0.0,1139.0,17.0,48.0,14.0,0.0,79.0,4005.0
Putnam,16003.0,1536.0,4978.0,1764.0,1.0,8279.0,461.0,1464.0,1374.0,0.0,3299.0,56.0,73.0,60.0,0.0,189.0,11767.0
Quitman,1547.0,158.0,349.0,93.0,0.0,600.0,156.0,188.0,125.0,1.0,470.0,8.0,4.0,3.0,0.0,15.0,1085.0
Rabun,13072.0,1167.0,4573.0,1652.0,0.0,7392.0,188.0,843.0,794.0,0.0,1825.0,66.0,111.0,78.0,0.0,255.0,9472.0
Randolph,4341.0,321.0,866.0,217.0,0.0,1404.0,395.0,771.0,437.0,3.0,1606.0,9.0,16.0,6.0,0.0,31.0,3041.0
Richmond,134749.0,8524.0,12128.0,6365.0,35.0,27052.0,11595.0,25080.0,19973.0,138.0,56786.0,699.0,769.0,652.0,10.0,2130.0,85968.0
Rockdale,65505.0,2418.0,7335.0,2949.0,14.0,12716.0,3574.0,18083.0,8964.0,20.0,30641.0,217.0,462.0,227.0,0.0,906.0,44263.0
Schley,2882.0,303.0,1325.0,154.0,1.0,1783.0,63.0,234.0,142.0,0.0,439.0,7.0,18.0,9.0,0.0,34.0,2256.0
Screven,0.0,1243.0,2117.0,524.0,9.0,3893.0,601.0,1251.0,729.0,8.0,2589.0,29.0,29.0,7.0,0.0,65.0,6547.0
Seminole,5936.0,934.0,1392.0,271.0,0.0,2597.0,291.0,657.0,239.0,0.0,1187.0,21.0,26.0,7.0,0.0,54.0,3838.0
Spalding,45985.0,5118.0,8720.0,3413.0,517.0,17768.0,2550.0,4498.0,3957.0,350.0,11355.0,237.0,190.0,193.0,21.0,641.0,29764.0
Stephens,0.0,1204.0,6766.0,1379.0,4.0,9353.0,289.0,1211.0,687.0,0.0,2187.0,54.0,118.0,56.0,0.0,228.0,11768.0
Stewart,2893.0,225.0,457.0,116.0,5.0,803.0,282.0,477.0,349.0,7.0,1115.0,13.0,18.0,4.0,0.0,35.0,1953.0
Sumter,17800.0,1510.0,3381.0,840.0,12.0,5743.0,1122.0,3056.0,1930.0,6.0,6114.0,49.0,86.0,30.0,0.0,165.0,12022.0
Talbot,4563.0,465.0,680.0,240.0,1.0,1386.0,528.0,611.0,874.0,0.0,2013.0,18.0,18.0,15.0,0.0,51.0,3450.0
Taliaferro,1245.0,99.0,201.0,66.0,0.0,366.0,97.0,214.0,210.0,0.0,521.0,2.0,5.0,8.0,0.0,15.0,902.0
Tattnall,12184.0,1492.0,3658.0,804.0,0.0,5954.0,412.0,1058.0,508.0,0.0,1978.0,57.0,73.0,29.0,0.0,159.0,8091.0
Taylor,5400.0,346.0,1743.0,298.0,12.0,2399.0,273.0,586.0,451.0,2.0,1312.0,12.0,53.0,16.0,0.0,81.0,3792.0
Telfair,6032.0,932.0,1461.0,356.0,2.0,2751.0,309.0,541.0,578.0,7.0,1435.0,25.0,32.0,11.0,1.0,69.0,4255.0
Terrell,6594.0,675.0,1092.0,273.0,0.0,2040.0,548.0,923.0,805.0,1.0,2277.0,18.0,26.0,14.0,0.0,58.0,4375.0
Thomas,30028.0,2708.0,8646.0,1665.0,1.0,13020.0,1387.0,4568.0,2199.0,4.0,8158.0,138.0,202.0,82.0,0.0,422.0,21600.0
Tift,24449.0,2703.0,6853.0,1247.0,11.0,10814.0,1048.0,2590.0,1304.0,14.0,4956.0,104.0,145.0,54.0,2.0,305.0,16075.0
Toombs,0.0,1778.0,4820.0,1191.0,4.0,7793.0,574.0,1251.0,1001.0,6.0,2832.0,43.0,85.0,45.0,0.0,173.0,10798.0
Towns,10693.0,955.0,4129.0,1199.0,8.0,6291.0,123.0,672.0,655.0,1.0,1451.0,34.0,63.0,49.0,0.0,146.0,7888.0
Treutlen,0.0,405.0,1393.0,280.0,0.0,2078.0,119.0,505.0,269.0,0.0,893.0,18.0,26.0,8.0,0.0,52.0,3023.0
Troup,42964.0,4656.0,10556.0,2903.0,47.0,18162.0,2736.0,5118.0,3231.0,26.0,11111.0,205.0,214.0,114.0,3.0,536.0,29809.0
Turner,5582.0,366.0,1733.0,234.0,1.0,2334.0,322.0,753.0,269.0,1.0,1345.0,20.0,34.0,8.0,0.0,62.0,3741.0
Twiggs,6304.0,807.0,1190.0,316.0,0.0,2313.0,431.0,862.0,686.0,2.0,1981.0,35.0,33.0,19.0,0.0,87.0,4381.0
Union,19201.0,3327.0,6901.0,2184.0,11.0,12423.0,292.0,1155.0,1169.0,0.0,2616.0,102.0,146.0,91.0,0.0,339.0,15378.0
Upson,18175.0,1355.0,6038.0,1170.0,5.0,8568.0,616.0,1910.0,1474.0,0.0,4000.0,54.0,107.0,55.0,0.0,216.0,12784.0
Walker,42924.0,5423.0,13805.0,3415.0,7.0,22650.0,952.0,2483.0,1997.0,3.0,5435.0,303.0,425.0,155.0,0.0,883.0,28968.0
Walton,70006.0,8813.0,22431.0,5925.0,0.0,37169.0,2063.0,6107.0,3932.0,0.0,12102.0,391.0,520.0,275.0,0.0,1186.0,50457.0
Ware,21994.0,2538.0,5864.0,1431.0,0.0,9833.0,536.0,1953.0,1484.0,0.0,3973.0,81.0,137.0,51.0,0.0,269.0,14075.0
Warren,3785.0,190.0,767.0,215.0,0.0,1172.0,291.0,616.0,517.0,0.0,1424.0,11.0,23.0,12.0,0.0,46.0,2642.0
Washington,12990.0,1455.0,2441.0,730.0,4.0,4630.0,1020.0,1790.0,1661.0,6.0,4477.0,63.0,64.0,45.0,0.0,172.0,9279.0
Wayne,18104.0,2426.0,6022.0,1280.0,6.0,9734.0,466.0,1482.0,705.0,2.0,2655.0,69.0,120.0,55.0,0.0,244.0,12633.0
Webster,1705.0,136.0,478.0,122.0,0.0,736.0,141.0,270.0,215.0,0.0,626.0,2.0,5.0,3.0,0.0,10.0,1372.0
Wheeler,0.0,444.0,924.0,194.0,0.0,1562.0,181.0,284.0,192.0,0.0,657.0,9.0,23.0,3.0,0.0,35.0,2254.0
White,20622.0,3386.0,6634.0,2046.0,6.0,12072.0,379.0,1015.0,879.0,0.0,2273.0,130.0,155.0,86.0,0.0,371.0,14716.0
Whitfield,54749.0,8713.0,12957.0,3444.0,44.0,25158.0,2767.0,4799.0,2593.0,18.0,10177.0,398.0,388.0,175.0,1.0,962.0,36297.0
Wilcox,4661.0,728.0,1303.0,338.0,0.0,2369.0,278.0,346.0,181.0,0.0,805.0,19.0,25.0,12.0,0.0,56.0,3230.0
Wilkes,6819.0,705.0,1644.0,458.0,3.0,2810.0,482.0,863.0,709.0,3.0,2057.0,26.0,35.0,17.0,0.0,78.0,4945.0
Wilkinson,6470.0,1267.0,1099.0,239.0,3.0,2608.0,525.0,914.0,575.0,3.0,2017.0,32.0,27.0,20.0,0.0,79.0,4704.0
Worth,14469.0,2729.0,3242.0,755.0,0.0,6726.0,580.0,966.0,781.0,0.0,2327.0,56.0,73.0,28.0,0.0,157.0,9210.0
