index,County,Precinct,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
244,Fulton,JC10,2641,139,885,483,11,1518,1518,
245,Fulton,JC11,3497,209,1115,515,0,1839,1839,
246,Fulton,JC12,2832,72,823,464,4,1363,1363,
247,Fulton,JC13A,2317,90,731,316,1,1138,1138,
248,Fulton,JC13B,282,4,98,36,1,139,139,
249,Fulton,JC14,2608,96,958,391,2,1447,1447,
250,Fulton,JC15,959,53,353,135,0,541,541,
251,Fulton,JC16,2707,133,973,414,1,1521,1521,
252,Fulton,JC18,2857,103,1012,443,3,1561,1561,
253,Fulton,JC19,4174,160,1442,696,13,2311,2311,
254,Fulton,ML01A,2795,143,1076,376,25,1620,1620,
255,Fulton,ML01B,708,35,232,94,0,361,361,
256,Fulton,ML02A,2580,178,706,329,2,1215,1215,
257,Fulton,ML02B,1914,104,596,244,1,945,945,
258,Fulton,ML03,3718,226,1148,496,5,1875,1875,
259,Fulton,ML03A,301,13,95,14,0,122,122,
260,Fulton,ML04,3322,171,1061,426,21,1679,1679,
261,Fulton,ML05,4843,273,1531,747,9,2560,2560,
262,Fulton,ML06A,2181,155,704,252,5,1116,1116,
263,Fulton,ML06B,3119,188,1046,500,3,1737,1737,
264,Fulton,ML07A,836,86,228,109,0,423,423,
265,Fulton,ML07B,1675,155,442,214,1,812,812,
266,Fulton,MP01,472,149,44,59,5,257,257,
267,Fulton,PA01,3006,202,938,366,15,1521,1521,
268,Fulton,RW01,5010,176,1580,996,11,2763,2763,
269,Fulton,RW02,4061,215,1336,757,9,2317,2317,
270,Fulton,RW03,5041,347,1472,746,8,2573,2573,
271,Fulton,RW04,1861,61,674,368,1,1104,1104,
272,Fulton,RW05,2910,242,826,396,10,1474,1474,
273,Fulton,RW06,3071,164,1077,468,7,1716,1716,
274,Fulton,RW07A,1773,215,452,160,2,829,829,
275,Fulton,RW07B,449,56,101,64,14,235,235,
276,Fulton,RW08,2429,129,613,428,6,1176,1176,
277,Fulton,RW09,4450,225,1333,927,2,2487,2487,
278,Fulton,RW09A,1892,102,595,102,2,801,801,
279,Fulton,RW10,3653,153,1213,643,9,2018,2018,
280,Fulton,RW11A,2865,191,821,498,9,1519,1519,
281,Fulton,RW12,3899,239,1258,920,4,2421,2421,
282,Fulton,RW12A,2458,136,783,128,3,1050,1050,
283,Fulton,RW13,3764,242,1349,536,6,2133,2133,
284,Fulton,RW16,2101,104,733,316,4,1157,1157,
285,Fulton,RW17,3100,231,1002,435,4,1672,1672,
286,Fulton,RW19,2147,112,727,338,1,1178,1178,
287,Fulton,RW20,2701,82,1015,422,6,1525,1525,
288,Fulton,RW21,3362,123,1127,501,13,1764,1764,
289,Fulton,RW22A,4788,278,1661,580,11,2530,2530,
290,Fulton,SC01A,41,2,39,7,0,48,48,
291,Fulton,SC01B,2088,126,1123,298,14,1561,1561,
292,Fulton,SC01C,2249,83,1055,451,8,1597,1597,
293,Fulton,SC02,1426,41,717,259,3,1020,1020,
294,Fulton,SC04,1080,79,351,155,4,589,589,
295,Fulton,SC05A,721,55,321,85,5,466,466,
296,Fulton,SC05B,3646,180,1772,490,7,2449,2449,
297,Fulton,SC05D,2808,186,1294,347,2,1829,1829,
298,Fulton,SC05E,688,44,256,130,3,433,433,
299,Fulton,SC07A,4506,243,1867,1001,10,3121,3121,
300,Fulton,SC07C,41,1,9,3,0,13,13,
301,Fulton,SC07D,2038,132,854,89,3,1078,1078,
302,Fulton,SC08B,4096,279,1542,642,12,2475,2475,
303,Fulton,SC08C,91,6,46,17,0,69,69,
304,Fulton,SC08D,605,39,228,79,0,346,346,
305,Fulton,SC08E,724,59,303,63,4,429,429,
306,Fulton,SC08F,793,43,282,98,1,424,424,
307,Fulton,SC08G,14,0,3,0,0,3,3,
308,Fulton,SC08H,1,0,0,0,0,0,0,
309,Fulton,SC09A,1865,180,537,227,9,953,953,
310,Fulton,SC09B,1920,124,721,354,2,1201,1201,
311,Fulton,SC09C,1852,179,537,289,2,1007,1007,
312,Fulton,SC10,1912,156,422,184,9,771,771,
313,Fulton,SC11A,1656,145,537,261,24,967,967,
314,Fulton,SC11B,1691,114,541,312,4,971,971,
315,Fulton,SC13,2895,167,1346,416,5,1934,1934,
316,Fulton,SC14A,1030,67,323,98,0,488,488,
317,Fulton,SC15,4522,275,1989,806,6,3076,3076,
318,Fulton,SC15A,2482,135,1296,103,0,1534,1534,
319,Fulton,SC16A,5175,287,2451,854,0,3592,3592,
320,Fulton,SC17A,60,1,32,10,0,43,43,
321,Fulton,SC17B,10,0,1,0,2,3,3,
322,Fulton,SC17C,1293,76,495,178,0,749,749,
323,Fulton,SC18A,570,42,220,118,0,380,380,
324,Fulton,SC18B,915,40,463,157,0,660,660,
325,Fulton,SC18C,2100,79,1010,406,0,1495,1495,
326,Fulton,SC19A,213,6,86,42,1,135,135,
327,Fulton,SC19B,1628,135,424,212,7,778,778,
328,Fulton,SC20,2562,107,1479,359,26,1971,1971,
329,Fulton,SC211,1828,102,827,290,0,1219,1219,
330,Fulton,SC212,4244,262,1734,597,10,2603,2603,
331,Fulton,SC23A,3854,339,1126,638,10,2113,2113,
332,Fulton,SC23B,558,53,168,109,2,332,332,
333,Fulton,SC23C,2606,210,887,390,2,1489,1489,
334,Fulton,SC27,2361,148,732,463,0,1343,1343,
335,Fulton,SC29A,3154,270,934,532,9,1745,1745,
336,Fulton,SC30A,157,5,45,58,5,113,113,
337,Fulton,SC30B,1110,58,360,145,0,563,563,
338,Fulton,SS01,4846,156,1437,892,5,2490,2490,
339,Fulton,SS02A,1206,47,415,233,5,700,700,
340,Fulton,SS02B,1318,66,470,206,5,747,747,
341,Fulton,SS03,1577,91,576,257,2,926,926,
342,Fulton,SS04,3763,214,1287,627,16,2144,2144,
343,Fulton,SS05,1853,91,657,362,3,1113,1113,
344,Fulton,SS06,1667,60,571,309,50,990,990,
345,Fulton,SS07A,1254,40,397,239,0,676,676,
346,Fulton,SS07B,793,45,266,142,1,454,454,
347,Fulton,SS07C,809,24,170,164,14,372,372,
348,Fulton,SS08A,1891,142,666,238,11,1057,1057,
349,Fulton,SS08B,696,26,240,144,0,410,410,
350,Fulton,SS08C,716,33,237,141,0,411,411,
351,Fulton,SS08D,1555,85,509,241,0,835,835,
352,Fulton,SS09A,3193,143,927,661,0,1731,1731,
353,Fulton,SS09B,3611,116,1254,721,2,2093,2093,
354,Fulton,SS11A,4026,283,1290,586,11,2170,2170,
