index,County,Precinct,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,
294,Fulton,SC04,1080,81,321,139,4,545,545,
295,Fulton,SC05A,721,52,292,81,4,429,429,
296,Fulton,SC05B,3646,163,1572,410,5,2150,2150,
297,Fulton,SC05D,2808,160,1134,311,2,1607,1607,
298,Fulton,SC05E,688,41,232,112,3,388,388,
299,Fulton,SC07A,4506,215,1659,878,9,2761,2761,
300,Fulton,SC07C,41,1,8,3,0,12,12,
301,Fulton,SC07D,2038,118,771,75,3,967,967,
302,Fulton,SC08B,4096,239,1355,570,8,2172,2172,
303,Fulton,SC08C,91,5,40,14,0,59,59,
304,Fulton,SC08D,605,33,195,64,0,292,292,
305,Fulton,SC08E,724,49,260,55,2,366,366,
306,Fulton,SC08F,793,36,253,88,1,378,378,
307,Fulton,SC08G,14,0,3,0,0,3,3,
308,Fulton,SC08H,1,0,0,0,0,0,0,
309,Fulton,SC09A,1865,141,431,201,8,781,781,
310,Fulton,SC09B,1920,107,643,315,0,1065,1065,
311,Fulton,SC09C,1852,150,434,242,1,827,827,
312,Fulton,SC10,1912,140,359,165,6,670,670,
313,Fulton,SC11A,1656,127,462,239,19,847,847,
314,Fulton,SC11B,1691,100,473,286,4,863,863,
315,Fulton,SC13,2895,153,1184,346,4,1687,1687,
316,Fulton,SC14A,1030,61,276,79,0,416,416,
317,Fulton,SC15,4522,249,1750,686,1,2686,2686,
318,Fulton,SC15A,2482,115,1148,92,0,1355,1355,
319,Fulton,SC16A,5175,250,2179,732,0,3161,3161,
320,Fulton,SC17A,60,1,31,9,0,41,41,
321,Fulton,SC17B,10,0,1,0,2,3,3,
322,Fulton,SC17C,1293,66,435,161,0,662,662,
323,Fulton,SC18A,570,38,190,94,0,322,322,
324,Fulton,SC18B,915,34,421,141,0,596,596,
325,Fulton,SC18C,2100,68,894,336,0,1298,1298,
326,Fulton,SC19A,213,6,70,40,1,117,117,
327,Fulton,SC19B,1628,121,375,191,8,695,695,
328,Fulton,SC20,2562,98,1322,310,20,1750,1750,
329,Fulton,SC211,1828,90,728,251,0,1069,1069,
330,Fulton,SC212,4244,225,1537,499,4,2265,2265,
331,Fulton,SC23A,3854,284,942,566,8,1800,1800,
332,Fulton,SC23B,558,54,155,97,0,306,306,
333,Fulton,SC23C,2606,183,727,337,1,1248,1248,
334,Fulton,SC27,2361,124,614,402,0,1140,1140,
335,Fulton,SC29A,3154,233,821,450,6,1510,1510,
336,Fulton,SC30A,157,5,41,47,5,98,98,
337,Fulton,SC30B,1110,53,308,121,0,482,482,
338,Fulton,SS01,4846,173,1515,852,4,2544,2544,
339,Fulton,SS02A,1206,45,362,216,2,625,625,
340,Fulton,SS02B,1318,57,406,188,5,656,656,
341,Fulton,SS03,1577,82,560,253,3,898,898,
342,Fulton,SS04,3763,205,1152,570,13,1940,1940,
343,Fulton,SS05,1853,90,647,331,3,1071,1071,
344,Fulton,SS06,1667,58,548,286,47,939,939,
345,Fulton,SS07A,1254,44,365,253,0,662,662,
346,Fulton,SS07B,793,43,257,133,1,434,434,
347,Fulton,SS07C,809,21,172,157,11,361,361,
348,Fulton,SS08A,1891,135,600,222,11,968,968,
349,Fulton,SS08B,696,24,234,143,0,401,401,
350,Fulton,SS08C,716,28,198,127,0,353,353,
351,Fulton,SS08D,1555,77,466,215,0,758,758,
352,Fulton,SS09A,3193,157,890,599,0,1646,1646,
353,Fulton,SS09B,3611,114,1248,684,1,2047,2047,
354,Fulton,SS11A,4026,281,1188,541,10,2020,2020,
355,Fulton,SS11B,1412,86,385,178,1,650,650,
356,Fulton,SS11C,361,27,105,23,1,156,156,
357,Fulton,SS11D,397,18,134,75,0,227,227,
358,Fulton,SS12,2897,142,908,508,9,1567,1567,
359,Fulton,SS13A,2103,124,695,278,2,1099,1099,
360,Fulton,SS13B,1278,72,456,149,0,677,677,
361,Fulton,SS14,1412,68,503,225,1,797,797,
362,Fulton,SS15A,2756,221,707,236,5,1169,1169,
363,Fulton,SS15B,1730,161,496,181,2,840,840,
364,Fulton,SS16,2116,91,674,432,2,1199,1199,
365,Fulton,SS17,3686,239,1084,554,12,1889,1889,
366,Fulton,SS18A,657,31,222,120,0,373,373,
367,Fulton,SS18B,241,6,72,46,1,125,125,
368,Fulton,SS19A,3299,171,977,357,9,1514,1514,
369,Fulton,SS19B,2342,113,767,302,77,1259,1259,
370,Fulton,SS20,2404,144,612,312,9,1077,1077,
371,Fulton,SS22,2834,150,618,406,2,1176,1176,
372,Fulton,SS26,3824,217,1102,342,16,1677,1677,
373,Fulton,SS29A,2842,162,875,441,6,1484,1484,
374,Fulton,SS31,1703,71,540,279,0,890,890,
375,Fulton,UC01A,4234,287,1064,282,8,1641,1641,
376,Fulton,UC01B,428,30,118,26,3,177,177,
377,Fulton,UC01D,6,0,0,0,0,0,0,
378,Fulton,UC01E,512,38,242,62,0,342,342,
379,Fulton,UC02A,5609,289,1869,925,16,3099,3099,
380,Fulton,UC02B,32,2,14,3,0,19,19,
381,Fulton,UC02C,3614,125,1066,108,14,1313,1313,
382,Fulton,UC031,2745,136,582,396,19,1133,1133,
383,Fulton,UC032,393,21,128,65,0,214,214,
