index,County,Precinct,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,
124,Fulton,10K,1614,7,28,6,0,41,107,542,307,5,961,1002,
125,Fulton,10M,2880,23,34,27,1,85,232,849,415,13,1509,1594,
126,Fulton,10P,1607,10,19,6,0,35,143,323,233,3,702,737,
127,Fulton,10R,928,9,11,0,0,20,88,189,84,11,372,392,
128,Fulton,11B,4395,17,40,17,4,78,331,1327,837,25,2520,2598,
129,Fulton,11B1,894,10,8,0,0,18,66,289,30,5,390,408,
130,Fulton,11C,3149,10,43,8,2,63,152,1328,582,11,2073,2136,
131,Fulton,11E1,1340,14,16,4,3,37,110,387,166,15,678,715,
132,Fulton,11E2,1003,9,12,0,0,21,70,336,164,2,572,593,
133,Fulton,11E3,3605,17,42,8,3,70,265,1353,351,13,1982,2052,
134,Fulton,11G,2556,11,26,10,4,51,108,474,317,24,923,974,
135,Fulton,11H,753,10,10,10,0,30,45,179,131,7,362,392,
136,Fulton,11J,2092,13,22,8,2,45,179,493,332,20,1024,1069,
137,Fulton,11K,2045,12,24,7,4,47,138,607,387,11,1143,1190,
138,Fulton,11M,1380,14,14,5,1,34,94,564,356,7,1021,1055,
139,Fulton,11M1,2190,7,24,0,2,33,138,514,54,24,730,763,
140,Fulton,11N,2431,21,29,17,2,69,180,803,438,2,1423,1492,
141,Fulton,11P,2095,7,15,12,2,36,127,539,389,14,1069,1105,
142,Fulton,11R,2253,8,21,7,1,37,116,437,229,5,787,824,
143,Fulton,12A,4971,48,115,45,2,210,262,1573,728,25,2588,2798,
144,Fulton,12A1,690,8,18,2,0,28,35,290,21,8,354,382,
145,Fulton,12D,1408,15,21,4,0,40,94,340,140,2,576,616,
146,Fulton,12E1,1906,11,22,25,1,59,115,293,235,3,646,705,
147,Fulton,12F,1229,6,14,4,0,24,107,294,87,2,490,514,
148,Fulton,12G,885,6,17,10,0,33,53,173,182,1,409,442,
149,Fulton,12H1,1170,9,15,6,1,31,93,163,76,13,345,376,
150,Fulton,12H2,2998,19,28,11,1,59,272,678,394,9,1353,1412,
151,Fulton,12I,1079,3,8,5,7,23,54,217,147,35,453,476,
152,Fulton,12J,3154,28,34,12,2,76,243,689,340,30,1302,1378,
153,Fulton,12K,3620,17,74,30,3,124,195,909,346,7,1457,1581,
154,Fulton,12L,774,3,8,4,2,17,54,133,70,2,259,276,
155,Fulton,12M,2990,32,27,8,2,69,344,627,305,20,1296,1365,
156,Fulton,12N,1134,7,9,5,1,22,88,214,81,12,395,417,
157,Fulton,12S,2079,8,24,7,1,40,160,560,237,13,970,1010,
158,Fulton,CP011,1353,16,105,30,1,152,84,358,150,8,600,752,
159,Fulton,CP012,1469,15,120,38,2,175,77,474,191,4,746,921,
160,Fulton,CP01B,422,7,50,15,0,72,19,123,41,1,184,256,
161,Fulton,CP02,1208,19,51,19,0,89,70,341,164,1,576,665,
162,Fulton,CP04A,13,0,1,1,0,2,0,2,0,0,2,4,
163,Fulton,CP04B,38,0,2,1,0,3,2,6,8,0,16,19,
164,Fulton,CP051,1756,10,24,7,0,41,143,517,245,0,905,946,
165,Fulton,CP05B,153,2,3,1,1,7,18,36,9,3,66,73,
166,Fulton,CP07B,7,0,1,0,0,1,2,1,0,0,3,4,
167,Fulton,CP07C,323,1,4,0,0,5,17,42,10,0,69,74,
168,Fulton,CP07D,790,5,7,2,0,14,60,120,40,0,220,234,
169,Fulton,CP07E,127,0,2,0,0,2,19,18,3,0,40,42,
170,Fulton,CP07F,266,0,1,0,0,1,22,35,6,0,63,64,
171,Fulton,EP01A,2978,32,94,37,1,164,166,940,333,14,1453,1617,
172,Fulton,EP01B,3473,33,88,27,1,149,201,919,452,9,1581,1730,
173,Fulton,EP02A,2407,20,39,18,3,80,146,528,311,19,1004,1084,
174,Fulton,EP02B,1679,24,108,43,0,175,80,598,275,1,954,1129,
175,Fulton,EP02C,522,6,29,14,0,49,15,180,63,0,258,307,
176,Fulton,EP02D,420,3,8,2,0,13,30,153,49,0,232,245,
177,Fulton,EP02E,1668,9,39,12,0,60,100,422,165,0,687,747,
178,Fulton,EP03A,4925,44,82,60,1,187,292,1524,808,7,2631,2818,
179,Fulton,EP03B,1547,10,39,13,0,62,70,596,345,6,1017,1079,
180,Fulton,EP04A,5020,34,48,21,1,104,448,1314,673,27,2462,2566,
181,Fulton,FC01,325,4,2,2,0,8,19,128,25,2,174,182,
182,Fulton,FC02,585,4,5,2,0,11,11,28,7,2,48,59,
183,Fulton,FC03,17,0,1,0,0,1,1,7,0,8,16,17,
184,Fulton,HP01,3824,152,311,112,1,576,261,875,432,7,1575,2151,
185,Fulton,SC01A,41,0,2,0,0,2,2,41,7,0,50,52,
186,Fulton,SC01B,2088,11,27,9,2,49,117,1122,298,13,1550,1599,
187,Fulton,SC01C,2249,3,35,23,0,61,84,1039,449,2,1574,1635,
188,Fulton,SC02,1426,2,27,5,0,34,41,712,267,3,1023,1057,
189,Fulton,SC14A,1030,6,17,0,0,23,63,312,103,0,478,501,
190,Fulton,SC16A,5175,27,62,22,0,111,274,2425,869,0,3568,3679,
191,Fulton,SC18A,570,3,16,1,0,20,39,212,121,0,372,392,
192,Fulton,SC30A,157,0,2,0,1,3,5,43,59,8,115,118,
193,Fulton,SC30B,1110,6,20,4,0,30,56,351,151,0,558,588,
