index,County,Precinct,Registered Voters,Barbara J. Gresham (Rep)_Election Day Votes,Barbara J. Gresham (Rep)_Advanced Voting Votes,Barbara J. Gresham (Rep)_Absentee by Mail Votes,Barbara J. Gresham (Rep)_Provisional Votes,Barbara J. Gresham (Rep)_Choice Total,Natalie Hall (I) (Dem)_Election Day Votes,Natalie Hall (I) (Dem)_Advanced Voting Votes,Natalie Hall (I) (Dem)_Absentee by Mail Votes,Natalie Hall (I) (Dem)_Provisional Votes,Natalie Hall (I) (Dem)_Choice Total,Total,
60,Fulton,09K1,1518,7,17,0,0,24,104,307,41,1,453,477,
61,Fulton,09M,2578,48,256,58,0,362,81,1086,334,0,1501,1863,
62,Fulton,10D,4968,33,36,20,13,102,288,1109,528,139,2064,2166,
63,Fulton,10E,1084,5,10,6,0,21,92,295,181,3,571,592,
64,Fulton,10F,1208,9,17,3,1,30,113,291,199,13,616,646,
65,Fulton,10J,1238,10,9,8,1,28,134,183,122,11,450,478,
66,Fulton,10K,1614,8,23,7,0,38,107,548,300,5,960,998,
67,Fulton,10M,2880,21,43,19,1,84,234,837,417,11,1499,1583,
68,Fulton,10P,1607,7,12,7,1,27,147,332,226,3,708,735,
69,Fulton,11H,753,5,9,6,0,20,51,179,132,5,367,387,
70,Fulton,11K,2045,10,23,7,2,42,138,605,384,3,1130,1172,
71,Fulton,11M,1380,8,10,5,1,24,98,566,351,2,1017,1041,
72,Fulton,11M1,2190,11,27,0,3,41,132,515,53,15,715,756,
73,Fulton,11R,2253,9,19,3,1,32,114,443,234,5,796,828,
