index,County,Precinct,Registered Voters,Zan Fort_Election Day Votes,Zan Fort_Advanced Voting Votes,Zan Fort_Absentee by Mail Votes,Zan Fort_Provisional Votes,Zan Fort_Choice Total,Sonya Halpern_Election Day Votes,Sonya Halpern_Advanced Voting Votes,Sonya Halpern_Absentee by Mail Votes,Sonya Halpern_Provisional Votes,Sonya Halpern_Choice Total,Jo Anna Potts_Election Day Votes,Jo Anna Potts_Advanced Voting Votes,Jo Anna Potts_Absentee by Mail Votes,Jo Anna Potts_Provisional Votes,Jo Anna Potts_Choice Total,Linda Pritchett_Election Day Votes,Linda Pritchett_Advanced Voting Votes,Linda Pritchett_Absentee by Mail Votes,Linda Pritchett_Provisional Votes,Linda Pritchett_Choice Total,Total,
65,Fulton,SC08F,793,2,18,7,0,27,13,112,48,0,173,7,29,11,0,47,8,92,19,0,119,366,
66,Fulton,SC08G,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,3,
67,Fulton,SC08H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,Fulton,SC09A,1865,9,35,29,0,73,28,231,94,0,353,11,70,30,0,111,25,149,56,0,230,767,
69,Fulton,SC09B,1920,2,63,37,0,102,24,283,153,0,460,1,93,31,0,125,13,230,118,0,361,1048,
70,Fulton,SC09C,1852,13,37,29,0,79,84,206,110,0,400,14,68,22,0,104,39,177,100,0,316,899,
71,Fulton,SC10,1912,18,32,21,0,71,45,170,59,0,274,16,58,27,0,101,29,141,65,0,235,681,
72,Fulton,SC11A,1656,6,50,24,0,80,19,206,101,4,330,4,49,35,1,89,21,179,89,7,296,795,
73,Fulton,SC11B,1691,14,72,48,0,134,32,163,106,0,301,9,62,27,0,98,26,182,110,0,318,851,
74,Fulton,SC17A,60,0,0,1,0,1,0,14,4,0,18,0,3,4,0,7,1,11,1,0,13,39,
75,Fulton,SC17B,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,Fulton,SC17C,1293,7,29,25,0,61,26,211,80,0,317,15,93,24,0,132,25,101,40,0,166,676,
77,Fulton,SC19A,213,0,7,3,0,10,4,35,20,1,60,0,11,3,0,14,3,22,14,0,39,123,
78,Fulton,SC19B,1628,10,28,29,0,67,73,179,75,0,327,18,69,35,0,122,30,123,57,0,210,726,
79,Fulton,SC23A,3854,1,99,91,1,192,5,456,223,4,688,1,111,59,0,171,6,337,226,5,574,1625,
80,Fulton,SC23B,558,7,18,12,0,37,14,57,30,0,101,8,20,13,0,41,10,62,52,1,125,304,
81,Fulton,SC23C,2606,13,74,37,0,124,70,272,124,2,468,16,89,33,0,138,67,353,177,0,597,1327,
82,Fulton,SC27,2361,12,55,42,0,109,66,286,169,0,521,19,84,43,0,146,30,224,174,0,428,1204,
83,Fulton,UC01B,428,2,11,2,0,15,11,64,10,1,86,5,15,2,1,23,6,39,15,1,61,185,
84,Fulton,UC01D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Fulton,UC01E,512,2,13,9,0,24,7,120,32,0,159,4,41,8,0,53,9,74,17,0,100,336,
