County,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_TOTAL VOTES,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_TOTAL VOTES,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_TOTAL VOTES,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_TOTAL VOTES,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_TOTAL VOTES,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_TOTAL VOTES,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_TOTAL VOTES,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_TOTAL VOTES,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_TOTAL VOTES,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_TOTAL VOTES,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_TOTAL VOTES,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_TOTAL VOTES,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_TOTAL VOTES,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_TOTAL VOTES,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_TOTAL VOTES,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_TOTAL VOTES,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_TOTAL VOTES,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_TOTAL VOTES,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_TOTAL VOTES,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_TOTAL VOTES,Total,
Bleckley,3,4,8,0,15,6,3,11,0,20,362,284,1280,1,1927,3,4,1,0,8,24,12,34,0,70,5,3,5,0,13,9,2,23,0,34,49,42,89,0,180,17,15,27,0,59,16,5,26,0,47,6,8,15,0,29,18,19,33,0,70,494,302,1336,1,2133,5,1,9,0,15,11,2,16,0,29,3,0,3,0,6,1,5,4,0,10,11,2,33,0,46,190,294,392,0,876,4,10,12,0,26,5613,
Brantley,11,6,17,0,34,18,10,20,1,49,823,316,1986,3,3128,10,4,7,0,21,103,28,158,0,289,13,3,9,0,25,60,22,106,0,188,40,36,87,0,163,10,11,16,0,37,82,16,129,0,227,10,7,19,0,36,32,32,67,0,131,638,256,1513,3,2410,6,3,10,0,19,17,2,28,0,47,7,4,3,0,14,2,7,8,0,17,109,16,179,0,304,48,77,110,1,236,1,6,6,0,13,7388,
Brooks,10,10,7,0,27,11,7,10,0,28,546,214,986,4,1750,7,4,7,0,18,56,15,82,0,153,9,4,7,0,20,31,12,42,0,85,165,210,309,0,684,43,59,90,2,194,23,6,42,0,71,54,51,105,1,211,55,91,113,0,259,661,261,1029,2,1953,15,22,39,0,76,13,2,16,0,31,2,2,9,0,13,19,37,35,1,92,37,10,57,0,104,127,520,377,0,1024,8,23,11,0,42,6835,
Bryan,22,18,51,0,91,30,16,59,0,105,804,597,3372,2,4775,17,24,27,0,68,81,39,218,0,338,19,9,36,0,64,67,30,202,0,299,158,263,549,2,972,32,73,163,0,268,93,11,186,1,291,65,88,224,0,377,81,124,323,0,528,1334,909,5706,1,7950,31,20,78,0,129,67,42,124,0,233,14,15,31,0,60,4,24,29,0,57,64,25,179,0,268,442,1303,2195,1,3941,8,29,33,0,70,20884,
Bulloch,35,18,37,1,91,68,46,65,1,180,2667,1250,3931,6,7854,37,33,39,0,109,162,40,167,0,369,36,12,39,0,87,150,24,131,2,307,418,432,901,5,1756,146,126,254,3,529,160,24,123,2,309,169,129,265,3,566,165,172,319,0,656,3158,1449,4327,10,8944,69,27,127,0,223,111,43,92,1,247,25,18,29,0,72,13,46,42,1,102,157,43,162,1,363,1309,2303,3038,15,6665,34,44,50,1,129,29558,
Burke,6,5,7,0,18,13,10,10,0,33,634,223,1059,0,1916,6,12,1,0,19,41,15,35,0,91,7,2,5,0,14,32,10,29,0,71,283,196,303,0,782,74,77,74,0,225,54,2,44,0,100,60,41,72,0,173,86,40,95,0,221,1081,397,1540,0,3018,41,10,44,0,95,21,6,21,0,48,3,3,11,0,17,50,211,83,0,344,32,5,31,0,68,848,1176,1134,0,3158,20,11,23,0,54,10465,
Butts,6,6,11,0,23,6,13,17,0,36,300,454,2436,1,3191,4,7,15,0,26,26,15,86,0,127,6,3,17,0,26,26,9,75,0,110,66,87,284,0,437,26,27,82,0,135,26,11,87,0,124,15,33,107,1,156,34,51,101,0,186,396,630,3513,1,4540,11,8,35,0,54,12,7,41,0,60,2,7,14,0,23,1,4,13,0,18,10,6,78,0,94,216,699,1292,0,2207,4,10,20,0,34,11607,
Calhoun,2,6,1,0,9,4,1,2,0,7,106,44,209,0,359,3,0,3,0,6,7,4,10,0,21,6,0,0,0,6,4,3,0,0,7,60,54,65,0,179,13,13,16,0,42,5,1,3,0,9,15,19,21,0,55,16,14,27,0,57,149,99,262,0,510,12,7,9,0,28,3,0,1,0,4,2,0,1,0,3,1,2,2,0,5,3,0,3,0,6,220,291,308,0,819,8,9,7,0,24,2156,
Camden,43,26,56,0,125,55,35,79,0,169,1311,847,3754,1,5913,34,28,35,0,97,230,109,530,0,869,37,13,66,0,116,153,54,295,1,503,252,589,939,1,1781,110,144,269,0,523,117,50,245,0,412,121,141,287,1,550,143,266,466,0,875,1436,1057,4137,1,6631,65,58,173,0,296,121,50,162,0,333,28,23,53,0,104,21,46,42,0,109,109,40,271,0,420,343,1194,1429,1,2967,19,42,63,0,124,22917,
Candler,6,3,2,0,11,7,2,7,0,16,608,131,512,0,1251,3,3,3,0,9,40,5,25,0,70,3,4,7,0,14,20,3,15,0,38,92,47,58,0,197,27,15,14,1,57,38,3,15,0,56,24,8,17,0,49,31,26,30,0,87,788,224,544,0,1556,13,4,9,0,26,18,2,2,0,22,2,0,1,0,3,5,3,4,0,12,35,4,21,0,60,317,249,212,0,778,6,2,3,0,11,4323,
Carroll,48,28,56,2,134,58,46,78,0,182,4048,1737,8423,13,14221,51,30,71,0,152,245,83,319,2,649,55,19,89,1,164,193,52,309,1,555,462,517,1119,3,2101,137,145,378,0,660,190,30,261,1,482,176,145,430,1,752,233,227,562,0,1022,5811,2739,11611,6,20167,86,36,197,0,319,185,49,206,0,440,37,22,57,0,116,19,30,45,2,96,199,34,332,2,567,1835,3220,5624,9,10688,66,53,101,0,220,53687,
Catoosa,30,33,41,0,104,34,38,51,0,123,1570,939,5724,5,8238,33,26,59,0,118,212,97,522,0,831,56,36,120,1,213,183,59,490,3,735,216,367,824,1,1408,57,75,204,0,336,151,54,363,2,570,68,84,202,0,354,165,308,662,3,1138,2621,1765,9187,4,13577,56,21,133,0,210,139,30,183,2,354,26,11,49,0,86,19,63,88,0,170,164,40,393,2,599,292,848,1274,1,2415,23,48,64,0,135,31714,
Charlton,5,3,11,0,19,8,10,8,0,26,495,183,941,2,1621,4,1,4,0,9,66,20,95,0,181,10,2,9,0,21,39,12,38,0,89,69,82,193,0,344,18,15,32,0,65,54,9,71,0,134,29,14,35,0,78,23,23,53,0,99,346,135,614,0,1095,14,3,16,0,33,13,4,17,0,34,4,1,3,0,8,4,1,7,0,12,38,5,57,0,100,47,119,168,0,334,4,7,10,0,21,4323,
Chatham,159,130,116,1,406,190,172,137,1,500,5575,4574,8285,34,18468,157,187,131,9,484,466,222,413,9,1110,156,74,112,1,343,492,189,423,8,1112,2719,2523,3834,30,9106,711,647,1002,16,2376,368,103,287,1,759,1014,749,1510,10,3283,1105,1115,1688,4,3912,10470,6976,12992,34,30472,474,200,582,3,1259,455,196,326,7,984,124,90,117,1,332,97,253,174,1,525,350,138,349,5,842,11407,21814,21398,96,54715,161,229,207,3,600,131588,
Chattahoochee,2,3,6,0,11,2,2,3,0,7,116,53,202,1,372,1,0,2,0,3,12,7,7,0,26,1,0,1,0,2,6,3,10,0,19,19,26,61,0,106,6,13,17,0,36,7,0,8,0,15,3,11,12,0,26,13,6,18,0,37,130,59,199,0,388,3,2,6,0,11,10,6,4,0,20,3,1,7,0,11,2,4,1,0,7,4,4,12,0,20,102,96,210,2,410,2,1,4,0,7,1534,
Chattooga,11,9,21,0,41,18,9,20,0,47,834,388,1660,1,2883,6,12,13,0,31,79,31,121,0,231,31,8,46,0,85,51,12,76,1,140,61,79,110,0,250,26,35,33,1,95,64,16,81,0,161,30,15,28,0,73,56,61,110,0,227,1149,588,2121,0,3858,13,10,24,0,47,32,9,29,0,70,9,3,11,0,23,2,7,9,0,18,72,22,165,0,259,217,404,507,1,1129,5,12,18,0,35,9703,
Cherokee,137,100,161,0,398,192,155,239,1,587,7309,7369,20188,8,34874,121,177,183,0,481,512,291,899,1,1703,138,79,157,1,375,548,284,900,0,1732,867,1577,2618,3,5065,255,337,546,0,1138,364,154,607,0,1125,335,410,634,1,1380,759,1081,1798,0,3638,13728,11672,31965,7,57372,192,147,440,0,779,699,311,703,0,1713,113,73,153,0,339,51,183,99,0,333,385,208,682,0,1275,3773,11927,11759,2,27461,93,183,196,0,472,142240,
Clarke,39,43,49,0,131,57,60,51,1,169,1209,1748,2829,6,5792,71,115,111,2,299,88,79,142,0,309,47,25,38,2,112,99,50,132,2,283,915,1194,2127,9,4245,259,261,496,2,1018,69,26,91,0,186,345,357,686,5,1393,342,470,791,0,1603,1840,2316,3868,7,8031,134,82,262,1,479,168,104,172,1,445,40,51,55,0,146,33,111,91,0,235,73,45,88,0,206,2932,10723,10901,12,24568,111,373,462,1,947,50597,
Clay,1,0,2,0,3,0,2,4,0,6,46,37,176,0,259,2,0,3,0,5,5,3,10,0,18,2,2,6,0,10,3,5,8,0,16,39,44,59,0,142,7,9,15,0,31,8,1,7,0,16,10,10,13,0,33,11,8,10,0,29,58,61,186,0,305,8,5,9,0,22,3,1,2,0,6,0,1,1,0,2,3,4,1,0,8,4,2,7,0,13,81,192,201,0,474,3,4,4,0,11,1409,
Clayton,113,112,104,3,332,81,126,105,4,316,915,1501,2928,17,5361,62,82,109,4,257,149,145,258,5,557,96,41,104,1,242,176,95,273,4,548,3315,2980,7352,91,13738,1032,1080,2255,30,4397,107,41,203,0,351,1102,985,2171,37,4295,750,479,1608,9,2846,1309,2179,3592,7,7087,568,255,1106,6,1935,127,72,128,0,327,260,278,584,3,1125,89,155,193,1,438,104,69,144,3,320,9552,20214,35680,235,65681,294,220,585,10,1109,111262,
Clinch,4,0,7,0,11,6,1,7,0,14,216,81,445,0,742,1,0,4,0,5,27,8,37,0,72,3,0,3,0,6,12,2,23,0,37,66,33,119,0,218,11,4,21,0,36,14,3,26,0,43,17,19,33,0,69,11,4,25,0,40,298,111,657,0,1066,9,1,7,0,17,4,2,5,0,11,4,0,2,0,6,7,2,3,0,12,17,5,16,0,38,67,56,116,0,239,5,7,6,0,18,2700,
Cobb,326,479,385,3,1193,419,662,476,12,1569,11438,19338,27032,55,57863,402,659,513,5,1579,850,802,1257,13,2922,343,290,426,6,1065,967,850,1506,13,3336,5423,8676,13620,80,27799,1745,2445,4290,30,8510,630,385,873,6,1894,1805,2483,4204,25,8517,2430,4436,6040,11,12917,22138,31238,45108,50,98534,1067,707,2400,5,4179,1337,1012,1335,8,3692,368,384,450,3,1205,230,824,572,0,1626,702,544,1012,8,2266,16398,69202,60331,150,146081,414,808,987,6,2215,388962,
Coffee,15,7,24,1,47,25,9,28,0,62,1098,378,3373,4,4853,7,6,16,0,29,84,16,138,1,239,12,1,29,0,42,41,7,77,0,125,191,173,457,0,821,58,47,129,0,234,60,11,108,1,180,97,54,149,0,300,76,51,180,0,307,1039,445,2840,0,4324,37,7,43,0,87,18,3,30,0,51,9,8,9,0,26,15,17,18,0,50,99,25,302,1,427,588,549,1315,3,2455,20,9,34,0,63,14722,
Colquitt,20,10,14,0,44,20,7,15,0,42,1508,500,2327,1,4336,17,3,10,0,30,88,24,103,0,215,6,5,25,0,36,49,15,68,2,134,164,181,308,2,655,30,43,89,0,162,50,9,77,1,137,55,67,106,0,228,72,65,123,0,260,2377,799,3380,6,6562,20,8,34,0,62,37,9,29,0,75,7,4,6,0,17,12,14,12,0,38,58,15,83,0,156,728,688,1114,1,2531,12,26,24,0,62,15782,
Columbia,87,75,111,1,274,102,77,124,0,303,4274,2795,11213,17,18299,82,73,101,0,256,315,134,458,2,909,94,36,105,0,235,300,115,451,0,866,728,1178,2189,5,4100,236,375,600,2,1213,249,71,352,1,673,282,328,625,3,1238,459,494,1100,1,2054,7728,4073,16781,24,28606,142,93,329,0,564,298,100,349,1,748,62,55,89,0,206,203,650,692,0,1545,227,93,365,0,685,2526,5476,8227,16,16245,90,109,186,1,386,79405,
Cook,3,6,10,0,19,8,10,14,0,32,377,186,1199,0,1762,3,3,7,0,13,31,9,63,0,103,6,5,7,0,18,16,5,47,0,68,114,92,194,0,400,28,23,55,0,106,16,4,40,0,60,36,17,53,0,106,43,25,77,0,145,616,271,1815,1,2703,16,10,24,0,50,16,4,19,0,39,3,3,6,0,12,10,16,19,0,45,29,6,90,0,125,275,272,538,0,1085,3,4,16,0,23,6914,
Coweta,77,61,59,0,197,85,76,71,0,232,6237,3537,9049,1,18824,67,76,69,1,213,423,122,396,0,941,67,33,45,0,145,329,124,342,0,795,707,822,1200,3,2732,206,230,300,1,737,269,65,255,0,589,237,248,386,2,873,395,462,668,1,1526,10210,5583,13132,2,28927,148,77,186,0,411,352,125,207,2,686,62,45,46,0,153,27,80,39,0,146,274,98,263,1,636,3485,6652,6450,6,16593,97,90,99,0,286,75642,
Crawford,6,5,6,0,17,12,9,15,0,36,431,195,1145,0,1771,4,1,4,0,9,23,6,48,0,77,5,2,3,0,10,8,3,19,0,30,27,50,102,0,179,16,16,23,0,55,23,2,39,0,64,7,11,35,0,53,21,19,47,0,87,594,326,1360,1,2281,8,3,17,0,28,14,2,13,0,29,1,0,4,0,5,1,5,4,0,10,17,8,30,0,55,184,401,586,1,1172,6,10,14,0,30,5998,
Crisp,10,8,16,0,34,3,5,9,0,17,395,380,1539,2,2316,4,2,5,0,11,27,12,50,0,89,9,0,4,0,13,15,8,33,0,56,140,148,280,1,569,26,33,59,0,118,12,5,28,0,45,35,40,74,0,149,25,29,78,0,132,464,373,1492,1,2330,26,15,32,0,73,9,4,14,0,27,2,3,5,0,10,6,4,12,0,22,29,8,50,1,88,289,531,918,0,1738,8,14,26,0,48,7885,
Dade,9,4,19,0,32,21,10,11,0,42,636,236,1188,3,2063,12,3,14,0,29,76,17,111,0,204,22,9,23,0,54,66,8,83,1,158,46,61,131,0,238,16,14,18,0,48,52,12,62,0,126,14,17,46,0,77,56,54,107,1,218,989,348,1750,1,3088,9,8,24,0,41,28,6,38,0,72,9,2,7,0,18,3,7,15,0,25,48,6,80,0,134,84,155,222,0,461,7,7,15,0,29,7157,
