"","state","county","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019"
"28","Georgia","Cherokee County",215197,217732,220643,224314,230167,235329,241795,247763,253914,258773
"29","Georgia","Clarke County",117403,118229,119891,120888,120386,123561,124905,126815,127268,128331
"30","Georgia","Clay County",3177,3162,3106,3015,3072,3077,3005,2955,2884,2834
"31","Georgia","Clayton County",259877,262031,265294,264015,266629,272720,279333,284184,289197,292256
"32","Georgia","Clinch County",6764,6718,6690,6758,6781,6826,6742,6643,6603,6618
"33","Georgia","Cobb County",689495,696507,706322,716017,727543,739052,748178,752649,756070,760141
"34","Georgia","Coffee County",42728,42996,43124,43078,42884,42987,42908,42880,43055,43273
"35","Georgia","Colquitt County",45634,45772,46013,46126,45864,45466,45429,45480,45455,45600
"36","Georgia","Columbia County",124955,128804,132541,136141,139104,143837,147370,151529,154077,156714
"37","Georgia","Cook County",17185,17033,16904,17051,17297,17070,17162,17213,17171,17270
"38","Georgia","Coweta County",127937,129374,130593,132944,135140,138145,140497,143153,145998,148509
"39","Georgia","Crawford County",12587,12585,12579,12483,12401,12354,12268,12263,12334,12404
"40","Georgia","Crisp County",23433,23753,23589,23298,23061,22959,22905,22710,22617,22372
"41","Georgia","Dade County",16630,16600,16518,16453,16289,16162,16224,16254,16227,16116
"42","Georgia","Dawson County",22328,22340,22513,22732,23022,23369,23668,24406,25127,26108
"43","Georgia","Decatur County",27817,27651,27442,27391,27167,27049,26679,26706,26573,26404
"44","Georgia","DeKalb County",692443,698329,710557,717740,724892,734434,746802,751176,754906,759297
"45","Georgia","Dodge County",21761,21614,21517,21429,21173,21142,20854,20749,20793,20605
"46","Georgia","Dooly County",14854,14612,14415,14372,14246,14034,13853,13691,13709,13390
"47","Georgia","Dougherty County",94513,95063,94694,93411,92742,91513,90389,89457,89200,87956
"48","Georgia","Douglas County",132573,133106,133555,136024,138007,140173,141664,143376,145024,146343
"49","Georgia","Early County",10983,10790,10640,10540,10450,10462,10306,10317,10286,10190
"50","Georgia","Echols County",4015,4064,3967,3993,4032,4030,3956,3914,4000,4006
"51","Georgia","Effingham County",52464,52692,53330,54419,55410,57076,58699,60086,62228,64296
"52","Georgia","Elbert County",20100,19820,19576,19490,19387,19302,19136,19102,19095,19194
"53","Georgia","Emanuel County",22607,22492,22732,22631,22482,22471,22406,22533,22607,22646
"54","Georgia","Evans County",11021,10980,10678,10794,10811,10690,10648,10741,10702,10654
"55","Georgia","Fannin County",23685,23648,23615,23831,23863,24442,25032,25332,25981,26188
"56","Georgia","Fayette County",106938,107156,107315,108054,109199,110141,111218,112553,113181,114421
"57","Georgia","Floyd County",96431,96161,95940,95880,95868,96186,96698,97500,97964,98498
"58","Georgia","Forsyth County",176723,181794,186793,193801,202598,211250,220481,228940,236993,244252
"59","Georgia","Franklin County",22074,21972,21916,22045,22175,22267,22316,22864,23034,23349
"60","Georgia","Fulton County",925632,947469,973221,981472,991847,1005127,1022866,1038938,1050131,1063937
"61","Georgia","Gilmer County",28339,28325,28288,28717,28994,29514,29911,30443,30835,31369
"62","Georgia","Glascock County",3079,3103,3107,3060,3008,3020,2978,3032,2977,2971
"63","Georgia","Glynn County",79744,80111,80866,81497,82177,83311,84099,84675,84975,85292
"64","Georgia","Gordon County",55257,55520,55687,55761,55836,56324,56933,57164,57628,57963
"65","Georgia","Grady County",25021,25097,25270,25101,25215,25089,24869,24773,24774,24633
"66","Georgia","Greene County",15976,16050,16118,16243,16418,16617,16869,17203,17733,18324
"67","Georgia","Gwinnett County",808007,822415,836844,853459,870986,888494,904962,918186,927337,936250
"68","Georgia","Habersham County",43061,43043,43377,43154,43564,43792,44104,44535,45373,45328
"69","Georgia","Hall County",180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
"70","Georgia","Hancock County",9433,9395,9079,8952,8571,8578,8633,8539,8368,8457
"71","Georgia","Haralson County",28758,28465,28310,28335,28487,28702,28830,29248,29561,29792
"72","Georgia","Harris County",32149,32307,32570,32532,32737,33155,33633,33943,34560,35236
"73","Georgia","Hart County",25240,25417,25513,25456,25362,25410,25471,25710,26071,26205
"74","Georgia","Heard County",11841,11731,11652,11564,11623,11556,11579,11751,11871,11923
"75","Georgia","Henry County",205039,206911,208005,210012,212957,216414,220896,225182,229728,234561
"76","Georgia","Houston County",140651,143775,145827,147527,148575,149323,151622,153202,155523,157863
"77","Georgia","Irwin County",9577,9676,9597,9345,9078,9135,9302,9352,9396,9416
"78","Georgia","Jackson County",60696,60974,60844,61268,62101,63418,65061,67644,70325,72977
"79","Georgia","Jasper County",13889,13832,13640,13597,13531,13683,13767,13882,14029,14219
"80","Georgia","Jeff Davis County",15111,15158,15192,15042,14927,15013,14965,15039,15048,15115
"81","Georgia","Jefferson County",16869,16769,16347,16240,16119,15917,15755,15630,15424,15362
"82","Georgia","Jenkins County",8320,8125,9108,9194,9034,8899,8812,8813,8765,8676
"83","Georgia","Johnson County",9986,9999,10004,9900,9803,9708,9660,9737,9706,9643
"84","Georgia","Jones County",28646,28740,28624,28576,28652,28441,28574,28466,28680,28735
"85","Georgia","Lamar County",18265,18160,18030,17929,18189,18236,18484,18600,18961,19077
"86","Georgia","Lanier County",10104,10482,10466,10412,10369,10269,10430,10425,10355,10423
"87","Georgia","Laurens County",48384,47891,47842,47733,47569,47486,47279,47376,47336,47546
"88","Georgia","Lee County",28414,28578,28708,29039,29122,29173,29184,29410,29751,29992
"89","Georgia","Liberty County",62765,65179,64412,62341,64091,61611,61473,61619,60606,61435
"90","Georgia","Lincoln County",7970,7872,7764,7734,7644,7722,7855,7856,7925,7921
"91","Georgia","Long County",14574,15088,15994,16484,17029,17658,18372,18780,19091,19559
"92","Georgia","Lowndes County",109689,111479,114071,112883,113506,113342,114360,115404,116309,117406
"93","Georgia","Lumpkin County",30282,30457,30686,30873,31120,31285,31415,32801,32899,33610
"94","Georgia","McDuffie County",21803,21614,21630,21499,21524,21462,21456,21511,21532,21312
"95","Georgia","McIntosh County",14311,14223,13883,14027,14064,14031,14057,14080,14322,14378
"96","Georgia","Macon County",14645,14454,14301,13976,13819,13688,13478,13254,13160,12947
"97","Georgia","Madison County",28212,28174,28070,28202,28362,28419,28856,29295,29642,29880
"98","Georgia","Marion County",8741,8701,8672,8580,8632,8558,8468,8403,8373,8359
"99","Georgia","Meriwether County",21818,21598,21335,21217,21208,21173,21074,21021,21094,21167
"100","Georgia","Miller County",6133,6071,6004,5899,5944,5848,5874,5813,5684,5718
"101","Georgia","Mitchell County",23502,23400,23086,22992,22715,22449,22455,22317,22135,21863
"102","Georgia","Monroe County",26179,26344,26373,26619,26667,26708,26905,27163,27503,27578
"103","Georgia","Montgomery County",9144,9030,8887,8957,8982,8942,8985,9024,9168,9172
"104","Georgia","Morgan County",17901,17907,17809,17682,17896,17948,18107,18373,18831,19276
"105","Georgia","Murray County",39533,39365,39311,39178,39215,39430,39347,39803,39943,40096
"106","Georgia","Muscogee County",191101,195271,198965,203225,200563,198702,196219,193836,194169,195769
"107","Georgia","Newton County",100133,100444,100956,102040,103441,104884,106499,107846,109421,111744
"108","Georgia","Oconee County",32925,33264,33514,34077,35072,35853,36929,38122,39478,40280
"109","Georgia","Oglethorpe County",14899,14708,14509,14423,14541,14732,14712,14874,15080,15259
"110","Georgia","Paulding County",142837,143606,144738,146753,148532,151649,155246,159509,164053,168667
"111","Georgia","Peach County",27857,27786,27765,27162,27142,26970,26885,26961,27363,27546
"112","Georgia","Pickens County",29436,29390,29260,29387,29807,30136,30652,31541,32014,32591
"113","Georgia","Pierce County",18815,18774,18905,19017,19010,19094,19104,19197,19388,19465
"114","Georgia","Pike County",17922,17785,17770,17774,17765,17925,17897,18204,18647,18962
"115","Georgia","Polk County",41547,41281,41101,40977,40879,41207,41555,41818,42346,42613
"116","Georgia","Pulaski County",11969,11839,11699,11563,11509,11395,11288,11181,11080,11137
"117","Georgia","Putnam County",21191,21240,21133,21280,21143,21307,21515,21692,21820,22119
"118","Georgia","Quitman County",2512,2453,2406,2367,2285,2275,2320,2333,2260,2299
"119","Georgia","Rabun County",16277,16257,16304,16184,16158,16223,16465,16545,16857,17137
"120","Georgia","Randolph County",7668,7567,7308,7201,7314,7150,7155,6969,6812,6778
"121","Georgia","Richmond County",201115,200568,201742,201335,201287,201451,201949,201673,201667,202518
"122","Georgia","Rockdale County",85354,85409,85427,86480,87164,88354,88987,89843,90505,90896
"123","Georgia","Schley County",5020,5044,5024,5095,5189,5209,5173,5235,5230,5257
"124","Georgia","Screven County",14501,14405,14168,14145,14002,14059,14003,13956,13960,13966
"125","Georgia","Seminole County",8727,8767,8871,8848,8603,8565,8427,8253,8270,8090
"126","Georgia","Spalding County",64096,64044,63691,63508,63692,63818,64546,65358,66107,66703
"127","Georgia","Stephens County",26117,25750,25703,25551,25406,25446,25637,25736,26007,25925
"128","Georgia","Stewart County",6102,6067,6109,5559,5887,5973,6122,6314,6435,6621
"129","Georgia","Sumter County",32684,32068,31582,31335,31161,30696,30403,29901,29796,29524
"130","Georgia","Talbot County",6880,6850,6640,6554,6534,6498,6366,6256,6290,6195
"131","Georgia","Taliaferro County",1703,1705,1674,1690,1693,1642,1611,1613,1612,1537
"132","Georgia","Tattnall County",25475,25436,25463,25635,25321,25387,25342,25409,25485,25286
"133","Georgia","Taylor County",8777,8440,8361,8380,8380,8243,8189,8110,8020,8020
"134","Georgia","Telfair County",16518,16243,16367,16633,16454,16451,15962,15929,15974,15860
"135","Georgia","Terrell County",9526,9392,9225,9165,9079,9013,8861,8695,8587,8531
"136","Georgia","Thomas County",44747,44590,44528,44770,44765,44796,44950,44619,44334,44451
"137","Georgia","Tift County",40251,41159,40945,40180,40453,40536,40554,40431,40542,40644
"138","Georgia","Toombs County",27244,27195,27168,27189,27135,27150,27121,26859,26902,26830
"139","Georgia","Towns County",10535,10580,10563,10787,11084,11212,11419,11553,11866,12037
"140","Georgia","Treutlen County",6894,6824,6789,6687,6811,6803,6710,6746,6813,6901
"141","Georgia","Troup County",67054,67629,68282,68801,69278,69595,69939,70062,70078,69922
"142","Georgia","Turner County",8910,8940,8445,8206,8066,7982,7944,7895,7908,7985
"143","Georgia","Twiggs County",8973,8827,8552,8516,8392,8347,8249,8253,8174,8120
"144","Georgia","Union County",21370,21252,21328,21424,21764,22007,22640,23376,23905,24511
"145","Georgia","Upson County",27054,26920,26562,26421,26161,26231,26245,26201,26185,26320
"146","Georgia","Walker County",68870,68801,68452,68594,68659,68537,68455,68999,69443,69761
"147","Georgia","Walton County",83992,84630,84975,86041,87526,88333,89786,91296,93202,94593
"148","Georgia","Ware County",36308,36274,35893,35743,35513,35327,35648,35668,35587,35734
"149","Georgia","Warren County",5782,5677,5544,5518,5458,5374,5345,5265,5247,5254
"150","Georgia","Washington County",21093,20969,20790,20573,20548,20736,20347,20311,20410,20374
"151","Georgia","Wayne County",30074,30294,30320,29990,29891,29430,29974,29797,29810,29927
"152","Georgia","Webster County",2781,2764,2765,2669,2611,2631,2616,2589,2606,2607
"153","Georgia","Wheeler County",7769,8079,7933,7935,7984,7911,8015,7960,7898,7855
"154","Georgia","White County",27203,27401,27626,27830,28021,28387,28828,29445,29988,30798
"155","Georgia","Whitfield County",102745,102920,102948,102728,103083,103669,104406,104234,104249,104628
"156","Georgia","Wilcox County",9314,9252,9074,9061,8937,9024,8841,8791,8827,8635
"157","Georgia","Wilkes County",10388,10229,10086,9920,9949,9911,9809,9860,9864,9777
"158","Georgia","Wilkinson County",9529,9416,9484,9363,9284,9080,9020,8954,9043,8954
"159","Georgia","Worth County",21692,21512,21349,21052,21006,20688,20703,20528,20302,20247
