county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Bibb County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,117,119,3,3700,4090,27,151,185,0,2032,2098,23,154,190,4,382,295,13,10,13,0,70,58,0,2807,3312,13,83,120,1,1648,1734,5,102,131,0,346,271,3,17,16,0,74,61,0,2431,3183,0,59,69,0,1579,1686,1,83,87,1,290,262,6,8,11,1,60,54,0,2020,2733,1,34,68,0,1437,1501,1,64,71,1,257,268,2,9,5,0,65,66,0,1959,2667,1,42,52,1,1288,1368,2,45,64,1,218,211,1,12,15,0,52,61,0,1866,2452,1,35,47,0,1395,1479,2,35,60,0,240,227,2,7,8,0,64,54,0,1798,2371,0,36,45,0,1517,1670,4,43,51,0,249,213,8,5,9,0,41,48,0,1989,2616,2,33,35,0,1739,1900,3,23,44,0,247,223,3,11,8,0,56,44,0,1905,2532,0,21,40,0,1790,2025,3,36,41,0,234,211,4,12,14,0,116,103,1,3634,5626,4,46,46,0,5347,7048,4,43,68,0,486,572,3
Bleckley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,111,106,0,5,4,0,301,309,1,4,11,0,23,22,0,0,0,0,3,1,0,69,108,0,6,2,0,184,195,1,1,0,0,11,17,1,0,0,0,1,3,0,54,86,0,0,8,0,193,196,0,2,4,0,15,13,0,0,1,0,1,1,0,56,66,0,3,0,0,178,209,0,1,2,0,4,13,0,0,0,0,0,0,0,46,78,0,1,3,0,203,213,0,2,4,0,12,12,0,1,0,0,4,2,0,41,50,0,0,2,0,195,226,0,3,1,0,13,7,0,2,1,0,1,3,0,44,76,0,2,2,0,214,228,0,1,0,0,8,8,0,0,1,0,2,2,0,58,94,0,3,2,0,266,279,0,3,5,0,11,9,0,2,0,0,3,1,0,46,73,0,0,2,0,252,256,0,2,1,0,12,8,0,0,0,0,6,8,0,97,147,0,4,1,0,697,816,0,5,3,0,29,28,0
Brantley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,0,14,14,0,5,9,0,580,552,5,7,9,0,74,49,0,1,0,0,0,2,0,8,8,0,3,3,0,390,450,2,4,4,0,36,33,0,3,0,0,0,0,0,6,14,0,2,2,0,378,430,0,3,10,0,22,13,0,1,1,0,3,0,0,11,11,0,2,5,0,364,401,1,5,3,0,19,16,1,2,0,0,1,0,0,11,12,0,5,3,0,366,421,0,1,0,0,28,21,1,1,0,0,0,0,0,13,7,0,3,1,0,455,470,0,4,1,0,22,13,0,0,2,0,2,0,0,9,15,0,1,0,0,435,522,0,1,2,0,28,16,0,3,1,0,0,0,0,10,12,0,0,2,0,492,494,0,1,5,0,30,12,0,2,1,0,0,1,0,11,15,0,2,1,0,404,469,0,1,2,0,22,18,0,3,1,0,0,5,0,30,40,0,5,6,0,1038,1173,0,2,6,0,52,38,0
Brooks County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,0,230,226,0,24,39,0,299,264,0,6,14,1,21,29,0,0,1,0,0,3,0,179,218,0,13,16,0,220,225,0,10,11,0,19,29,0,1,0,0,1,3,0,164,201,0,6,11,0,218,213,0,5,5,0,30,26,0,1,0,0,1,2,0,126,192,0,9,7,0,221,242,0,4,3,0,32,24,0,1,2,0,2,1,0,137,141,0,2,4,0,211,180,1,2,6,0,17,15,0,1,1,0,0,0,0,139,172,0,8,2,0,215,230,0,2,1,0,25,24,0,0,3,0,0,2,0,142,181,0,4,9,0,241,238,0,5,4,0,19,29,0,0,1,0,3,4,0,138,187,0,6,7,0,296,322,1,5,4,0,26,27,0,1,0,0,0,2,0,145,182,0,4,5,0,326,334,0,4,3,0,35,28,0,0,2,0,1,4,0,340,484,0,4,8,0,816,992,1,6,4,0,69,69,0
Bryan County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,41,52,1,293,251,1,90,100,1,1267,1197,10,68,72,1,212,161,7,7,1,0,11,16,0,187,232,1,40,62,0,820,885,0,18,43,0,134,102,2,6,5,0,25,27,1,140,214,1,61,58,0,920,1108,1,28,34,0,146,118,3,8,4,0,19,41,0,159,227,2,64,82,0,1013,1206,4,33,42,0,153,182,5,8,5,0,22,35,0,174,219,1,69,80,0,996,1092,2,22,38,1,146,179,1,2,7,0,28,34,0,169,206,0,53,60,0,1019,1052,4,22,19,0,158,149,3,9,3,0,26,30,0,201,207,1,40,48,0,874,931,0,12,23,0,115,114,1,3,3,0,21,13,0,165,187,1,29,29,0,896,925,1,13,15,0,110,109,1,3,4,0,9,9,0,139,156,0,15,15,0,777,864,2,5,11,0,79,84,0,2,2,0,17,19,0,232,306,0,20,35,1,1716,1972,4,15,16,0,158,186,2
Bulloch County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,38,46,0,859,1098,4,105,127,0,1944,2041,17,86,122,0,528,390,6,4,1,0,18,20,0,593,720,0,52,46,1,1285,1359,6,47,49,1,332,270,4,1,3,0,20,20,0,433,695,3,36,35,0,1249,1253,4,18,31,0,235,180,2,3,3,0,11,15,0,369,556,0,18,27,0,1129,1148,0,27,23,0,161,179,2,5,1,0,13,20,0,355,514,0,24,27,0,962,1073,1,12,23,0,158,150,1,2,1,0,12,21,0,314,428,0,19,28,0,1000,1108,2,10,11,0,176,144,0,2,3,0,14,15,0,282,383,1,9,9,0,994,1151,2,14,13,0,185,157,0,3,4,1,20,16,0,314,466,1,12,12,0,1080,1130,3,10,10,0,164,150,1,3,1,0,9,10,0,305,368,1,9,9,0,1000,1154,0,4,7,0,175,135,0,5,5,0,15,19,0,611,876,1,15,15,0,2675,3323,1,10,14,0,291,301,1
Burke County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,2,0,434,498,2,16,13,1,384,391,5,17,23,1,152,76,0,3,1,0,3,2,0,308,375,1,6,5,0,255,312,2,10,12,0,99,62,2,1,0,0,5,6,0,278,390,1,5,6,0,263,311,0,6,3,0,45,37,0,2,0,0,2,2,0,246,344,0,10,13,0,278,282,1,5,8,0,50,44,0,4,1,0,1,3,0,251,312,0,6,3,0,269,301,0,3,7,0,56,33,0,3,3,0,4,0,0,249,292,0,7,5,0,293,324,0,5,3,0,49,35,1,1,1,0,0,1,0,244,312,0,5,9,0,329,353,0,4,8,0,52,42,0,1,1,0,0,4,0,279,412,1,4,7,0,366,361,1,2,4,0,48,50,0,1,0,0,2,1,0,285,365,0,3,4,0,340,341,0,1,3,0,61,47,0,1,0,0,8,6,0,577,833,0,12,10,0,934,984,1,8,9,0,91,91,0
Butts County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,4,4,0,229,250,2,24,18,0,630,648,5,24,19,0,112,80,2,4,2,0,0,1,0,167,182,1,12,16,0,509,471,1,17,11,0,52,60,0,1,0,0,2,4,0,153,202,0,12,9,0,443,467,0,8,8,0,55,51,0,1,0,0,5,3,0,166,164,0,7,8,0,420,465,1,8,8,0,48,54,1,1,2,0,2,5,0,137,179,0,9,10,0,391,432,0,7,9,0,57,49,0,4,0,0,1,0,0,123,151,0,13,7,0,449,501,2,3,1,0,65,56,0,1,4,0,0,5,0,136,166,0,8,8,0,518,513,0,6,3,0,49,57,0,3,3,0,0,5,0,154,182,0,5,4,0,534,582,1,1,5,1,74,65,1,3,2,0,2,0,0,153,190,1,3,6,0,488,507,0,7,3,0,55,56,0,6,3,0,2,5,0,290,377,1,13,15,0,1210,1446,2,4,3,0,118,121,1
Calhoun County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,94,113,0,5,6,0,46,39,1,2,1,0,20,16,2,0,0,0,0,0,0,69,74,1,1,1,0,26,33,0,0,2,0,7,6,1,0,0,0,1,0,0,61,71,0,1,2,0,25,36,0,0,0,0,6,9,2,0,0,0,1,1,0,54,86,1,0,1,0,39,34,0,1,0,0,5,1,0,0,0,0,2,1,0,54,92,0,1,0,0,33,44,0,1,1,0,3,3,0,0,0,0,1,5,0,70,76,0,2,0,0,48,37,0,1,0,0,4,7,0,0,0,0,2,0,0,63,78,0,1,0,0,57,48,0,0,0,0,2,5,0,0,0,0,0,1,0,67,92,0,1,1,0,51,60,0,1,1,0,7,3,0,0,0,0,1,0,0,73,125,0,0,0,0,44,48,0,0,0,0,3,4,0,0,0,0,0,4,0,168,257,0,0,0,0,179,219,0,0,0,0,15,12,0
Camden County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,23,35,1,293,316,1,80,86,0,996,1085,8,59,78,0,558,417,3,5,8,0,27,19,0,258,312,2,52,72,0,818,912,1,39,43,0,467,393,2,5,7,0,16,18,0,253,355,0,46,57,0,815,1008,0,21,40,0,315,287,1,6,3,0,11,19,0,197,298,0,34,39,0,792,951,0,33,29,0,297,295,0,1,0,0,17,27,0,174,225,0,30,39,1,724,760,0,20,19,0,249,204,1,3,4,0,18,25,0,175,246,0,29,34,0,660,828,0,14,14,0,224,241,0,3,6,0,7,27,0,226,278,0,18,43,0,811,879,2,11,13,0,276,230,2,4,7,0,8,16,0,221,304,0,26,33,0,989,1063,0,10,23,0,219,254,0,1,3,0,9,16,0,197,267,0,22,22,1,937,1084,0,16,18,0,206,221,3,2,1,0,28,46,0,423,554,0,25,45,0,2504,2621,4,18,29,0,514,553,1
