County,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_TOTAL VOTES,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_TOTAL VOTES,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_TOTAL VOTES,Total,
Hart,2338,1437,5687,2,9464,560,1128,1467,2,3157,43,20,43,0,106,12727,
Heard,1641,677,2197,1,4516,184,296,343,1,824,21,11,19,0,51,5391,
Henry,8143,8134,31879,31,48187,8191,20858,44156,71,73276,322,310,645,2,1279,122742,
Houston,11644,8163,21677,50,41534,6349,11867,13970,46,32232,422,294,339,2,1057,74823,
Irwin,655,369,2106,4,3134,227,257,523,1,1008,8,1,17,0,26,4168,
Jackson,4961,4395,20135,6,29497,1053,2797,3791,1,7642,157,116,258,0,531,37670,
Jasper,1547,808,3455,12,5822,294,680,785,2,1761,22,18,21,0,61,7644,
Jeff Davis,1418,528,2749,0,4695,248,273,507,0,1028,18,13,17,0,48,5771,
Jefferson,1096,446,1992,3,3537,1056,1274,1723,8,4061,18,6,20,0,44,7642,
Jenkins,579,335,1244,3,2161,292,416,557,1,1266,15,5,8,0,28,3455,
Johnson,771,331,1748,0,2850,209,420,593,0,1222,9,6,13,0,28,4100,
Jones,3023,1272,5666,4,9965,841,1689,2356,2,4888,47,18,47,1,113,14966,
Lamar,1743,807,3772,8,6330,472,936,1204,3,2615,40,14,40,0,94,9039,
Lanier,481,250,1778,0,2509,204,298,517,0,1019,13,10,25,0,48,3576,
Laurens,5660,2351,6479,3,14493,1884,2735,3451,3,8073,62,38,63,0,163,22729,
Lee,3054,1221,7728,4,12007,895,1243,2418,2,4558,62,19,68,0,149,16714,
Liberty,1704,1299,4941,0,7944,1666,4256,7129,0,13051,102,93,136,0,331,21326,
Lincoln,904,439,1832,0,3175,264,628,540,0,1432,13,10,13,0,36,4643,
Long,1126,290,2102,10,3528,379,500,1148,6,2033,33,14,48,0,95,5656,
Lowndes,5351,3379,16795,166,25691,2892,5929,11017,279,20117,168,122,249,8,547,46355,
Lumpkin,2002,2020,8138,0,12160,332,1241,1549,0,3122,63,48,131,0,242,15524,
Macon,348,139,1296,0,1783,692,706,1459,0,2857,10,2,10,0,22,4662,
Madison,3502,1718,6103,3,11326,740,1192,1478,1,3411,83,40,77,0,200,14937,
Marion,759,295,1221,0,2275,220,471,620,0,1311,12,6,20,0,38,3624,
McDuffie,826,898,4445,0,6169,600,1522,2046,0,4168,40,23,55,0,118,10455,
McIntosh,810,834,2371,1,4016,442,853,1317,0,2612,34,15,19,0,68,6696,
Meriwether,2230,980,3312,2,6524,1189,1489,1604,5,4287,25,17,24,0,66,10877,
Miller,530,264,1269,3,2066,174,221,354,0,749,7,2,11,0,20,2835,
Mitchell,1551,681,2701,2,4935,818,1499,1673,5,3995,17,9,7,0,33,8963,
Monroe,3102,1062,6890,6,11060,690,1372,2320,2,4384,52,27,69,0,148,15592,
Montgomery,1109,356,1495,0,2960,250,310,419,0,979,12,3,12,0,27,3966,
Morgan,1865,938,5424,3,8230,496,1042,1815,2,3355,50,19,53,0,122,11707,
Murray,3893,1361,7689,0,12943,530,679,1093,0,2302,50,22,72,0,144,15389,
Muscogee,6527,6368,17106,17,30018,6579,17586,25227,33,49425,305,257,397,2,961,80404,
Newton,10888,4859,8103,17,23867,6745,10459,12556,21,29781,289,158,129,0,576,54224,
Oconee,2680,2696,11216,3,16595,723,2993,4444,2,8162,113,76,222,0,411,25168,
Oglethorpe,1061,946,3584,2,5593,417,868,1150,1,2436,26,28,47,1,102,8131,
Paulding,9710,9576,35174,0,54460,3763,10519,15376,0,29658,327,278,550,0,1155,85273,
Peach,954,810,4728,10,6502,809,1741,3364,6,5920,44,12,66,1,123,12545,
Pickens,5994,1786,6287,8,14075,645,1119,1044,0,2808,135,34,64,0,233,17116,
Pierce,1208,923,5768,0,7899,122,368,610,0,1100,14,6,29,0,49,9048,
Pike,2341,922,5864,0,9127,285,525,695,0,1505,27,20,41,0,88,10720,
Polk,2849,1707,9021,12,13589,607,1088,1957,6,3658,58,24,67,3,152,17399,
Pulaski,336,313,2155,1,2805,165,337,715,0,1217,10,9,18,0,37,4059,
Putnam,1547,1760,4983,1,8291,470,1478,1500,0,3448,35,34,47,0,116,11855,
Quitman,163,88,353,0,604,163,137,196,1,497,3,1,1,0,5,1106,
Rabun,1207,1663,4604,0,7474,199,888,897,0,1984,28,33,49,0,110,9568,
Randolph,321,214,856,0,1391,402,464,802,3,1671,6,2,4,0,12,3074,
Richmond,8584,6192,11931,0,26707,11839,21160,25777,0,58776,428,314,359,0,1101,86584,
Rockdale,2526,3005,7466,15,13012,3543,9429,18248,24,31244,126,115,189,0,430,44686,
Schley,304,154,1341,1,1800,65,157,240,0,462,4,3,6,0,13,2275,
Screven,1260,505,2140,10,3915,601,789,1264,7,2661,24,5,22,0,51,6627,
Seminole,944,277,1390,0,2611,294,269,691,0,1254,15,1,3,0,19,3884,
Spalding,5234,3490,8801,532,18057,2554,4264,4600,366,11784,132,53,78,12,275,30116,
Stephens,1234,1365,6765,4,9368,291,806,1288,0,2385,33,24,75,0,132,11885,
Stewart,229,105,462,5,801,292,378,505,7,1182,2,2,3,0,7,1990,
Sumter,1524,837,3358,13,5732,1139,2023,3150,6,6318,26,18,56,0,100,12150,
Talbot,464,241,686,1,1392,541,955,618,0,2114,9,2,5,0,16,3522,
Taliaferro,96,64,200,0,360,100,237,223,1,561,4,1,2,0,7,928,
Tattnall,1536,818,3699,0,6053,412,546,1103,0,2061,34,10,25,0,69,8183,
Taylor,349,292,1764,13,2418,272,489,624,2,1387,13,3,18,0,34,3839,
Telfair,958,358,1506,3,2825,317,618,545,6,1486,10,2,9,0,21,4332,
Terrell,665,270,1069,0,2004,567,839,969,1,2376,15,12,9,0,36,4416,
Thomas,2718,1670,8565,1,12954,1473,2412,4819,4,8708,65,35,91,0,191,21853,
Tift,2721,1221,6833,9,10784,1110,1464,2732,16,5322,54,33,88,2,177,16283,
Toombs,1797,1217,4852,6,7872,569,1078,1288,4,2939,49,16,38,0,103,10914,
Towns,984,1227,4165,8,6384,118,711,720,1,1550,17,10,18,0,45,7979,
Treutlen,418,274,1409,0,2101,123,303,526,0,952,10,4,10,0,24,3077,
Troup,4673,2908,10519,46,18146,2809,3466,5276,34,11585,139,60,129,0,328,30059,
Turner,377,233,1738,1,2349,332,289,788,1,1410,6,5,22,0,33,3792,
Twiggs,841,310,1219,0,2370,426,736,878,4,2044,15,7,8,0,30,4444,
Union,3400,2232,7008,11,12651,300,1303,1198,0,2801,49,23,36,0,108,15560,
Upson,1364,1175,6063,6,8608,646,1572,1983,0,4201,28,20,48,0,96,12905,
Walker,5560,3517,14089,8,23174,994,2206,2567,2,5769,162,76,173,0,411,29354,
Walton,8977,6047,22593,0,37617,2096,4266,6272,0,12634,215,111,235,0,561,50812,
Ware,2577,1453,5900,0,9930,563,1620,2066,0,4249,46,19,52,0,117,14296,
Warren,190,216,771,0,1177,297,559,632,0,1488,6,1,9,0,16,2681,
Washington,1481,719,2458,5,4663,1071,1811,1843,5,4730,25,14,27,0,66,9459,
Wayne,2495,1354,6131,7,9987,460,736,1489,2,2687,35,16,53,0,104,12778,
Webster,139,121,488,0,748,142,227,270,0,639,0,2,1,0,3,1390,
Wheeler,438,202,943,0,1583,197,194,297,0,688,5,1,7,0,13,2284,
White,3448,2088,6680,6,12222,372,973,1066,0,2411,80,27,76,0,183,14816,
Whitfield,8963,3544,13084,45,25636,2814,2840,4997,19,10670,194,84,162,0,440,36746,
Wilcox,743,343,1317,0,2403,285,212,365,0,862,8,2,6,0,16,3281,
Wilkes,704,467,1649,3,2823,504,754,897,4,2159,16,11,20,0,47,5029,
Wilkinson,1293,259,1109,3,2664,528,602,942,3,2075,17,4,10,0,31,4770,
Worth,2780,766,3285,0,6831,581,820,994,0,2395,22,10,28,0,60,9286,
