County,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_TOTAL VOTES",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_TOTAL VOTES,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_TOTAL VOTES,Total,
Cook,1075,471,3184,0,4730,485,482,934,0,1901,48,29,67,1,145,6776,
Coweta,17718,9513,23360,3,50594,4637,8230,8615,14,21496,1058,551,837,4,2450,74540,
Crawford,1092,525,2596,1,4214,236,492,761,1,1490,47,33,62,0,142,5846,
Crisp,943,784,3162,3,4892,510,791,1344,1,2646,49,33,72,0,154,7692,
Dade,1849,615,3182,4,5650,211,320,599,2,1132,113,36,124,0,273,7055,
Dawson,2248,1962,8764,2,12976,201,870,956,0,2027,145,97,339,1,582,15585,
Decatur,1384,793,4232,4,6413,733,1401,2336,8,4478,56,45,113,0,214,11105,
DeKalb,11758,18097,31488,167,61510,31327,101948,153531,1125,287931,2539,2973,5211,63,10786,360227,
Dodge,2189,684,2659,5,5537,500,512,917,0,1929,69,33,55,0,157,7623,
Dooly,443,256,1359,2,2060,431,446,877,2,1756,20,7,32,0,59,3875,
Dougherty,4097,2356,3758,20,10231,6889,7600,8642,79,23210,334,136,214,4,688,34129,
Douglas,4450,5408,14742,12,24612,5496,13264,21901,42,40703,574,462,889,2,1927,67242,
Early,739,407,1472,0,2618,592,638,965,0,2195,29,15,37,0,81,4894,
Echols,204,115,879,0,1198,33,27,92,0,152,4,4,9,0,17,1367,
Effingham,7058,2463,13003,15,22539,1531,2099,3298,10,6938,432,166,395,0,993,30470,
Elbert,1726,959,3309,0,5994,488,1018,1161,0,2667,67,29,81,0,177,8838,
Emanuel,2382,875,2953,1,6211,750,723,1105,0,2578,76,29,72,1,178,8967,
Evans,445,474,1834,0,2753,217,301,680,0,1198,24,20,46,0,90,4041,
Fannin,3860,2154,5427,19,11460,333,1010,917,1,2261,147,93,152,2,394,14115,
Fayette,6244,7656,22577,0,36477,2999,9890,15719,0,28608,529,509,1082,0,2120,67205,
Floyd,7468,4396,14201,99,26164,1971,3497,4271,12,9751,446,222,501,3,1172,37087,
Forsyth,9419,15270,60248,33,84970,2783,13244,19921,17,35965,851,1038,2992,3,4884,125819,
Franklin,2201,1386,5220,1,8808,301,548,545,1,1395,77,40,129,0,246,10449,
Fulton,18935,33992,91702,851,145480,33885,102871,205888,2243,344887,3263,3768,8960,215,16206,506573,
Gilmer,4056,2122,6579,11,12768,392,1126,1048,0,2566,166,81,178,1,426,15760,
Glascock,382,183,740,0,1305,37,47,56,0,140,6,7,10,0,23,1468,
Glynn,4432,4330,15992,28,24782,1930,5168,7159,19,14276,365,235,652,2,1254,40312,
Gordon,6514,2401,9327,11,18253,920,1299,1713,1,3933,278,127,325,1,731,22917,
Grady,1925,1074,3762,0,6761,592,1027,1737,0,3356,67,30,97,0,194,10311,
Greene,828,1327,5000,1,7156,520,1346,1715,7,3588,54,52,110,1,217,10961,
Gwinnett,33626,41555,89020,213,164414,32709,73948,116743,365,223765,4127,3554,6338,49,14068,402247,
Habersham,2487,2855,10676,19,16037,432,1128,1494,2,3056,167,131,367,1,666,19759,
Hall,10566,12043,40045,0,62654,3325,7982,10390,0,21697,911,678,1764,0,3353,87704,
Hancock,248,235,599,0,1082,576,1148,1037,3,2764,26,18,26,0,70,3916,
Haralson,4039,1703,5917,4,11663,396,621,722,0,1739,146,66,163,0,375,13777,
Harris,5435,2134,6484,13,14066,1087,1825,1910,4,4826,228,109,150,1,488,19380,
Hart,2202,1412,5458,2,9074,507,966,1293,2,2768,90,39,138,0,267,12109,
Heard,1546,650,2040,1,4237,168,276,306,1,751,44,27,66,0,137,5125,
Henry,7702,7999,30887,24,46612,7775,19833,42371,68,70047,780,626,1802,5,3213,119872,
Houston,11254,8154,21311,43,40762,5929,10949,13135,44,30057,778,514,776,5,2073,72892,
Irwin,620,368,2044,3,3035,217,238,478,1,934,21,5,31,0,57,4026,
Jackson,4774,4382,19605,6,28767,873,2432,3297,1,6603,320,252,715,0,1287,36657,
Jasper,1475,806,3358,11,5650,270,618,690,1,1579,58,40,91,1,190,7419,
Jeff Davis,1275,494,2514,0,4283,223,258,460,0,941,47,19,62,0,128,5352,
Jefferson,1047,440,1886,4,3377,964,1183,1577,7,3731,40,18,69,1,128,7236,
Jenkins,535,337,1184,3,2059,275,376,500,1,1152,26,7,19,0,52,3263,
Johnson,724,307,1667,0,2698,197,338,535,0,1070,18,9,34,0,61,3829,
Jones,2851,1285,5495,5,9636,777,1546,2154,0,4477,123,52,146,1,322,14435,
Lamar,1655,792,3635,7,6089,450,873,1112,3,2438,90,34,105,0,229,8756,
Lanier,455,246,1678,0,2379,172,270,470,0,912,28,16,59,0,103,3394,
Laurens,5413,2309,6304,2,14028,1763,2550,3194,3,7510,155,83,159,1,398,21936,
Lee,2943,1202,7570,4,11719,799,1133,2225,2,4159,137,52,188,0,377,16255,
Liberty,1597,1235,4690,0,7522,1531,4023,6740,0,12294,206,151,356,0,713,20529,
Lincoln,862,414,1767,0,3043,242,586,487,0,1315,32,25,47,0,104,4462,
Long,1046,274,2001,9,3330,348,467,1069,7,1891,65,21,97,0,183,5404,
Lowndes,5155,3357,16448,163,25123,2627,5442,10235,237,18541,337,225,629,28,1219,44883,
Lumpkin,1899,1977,7817,0,11693,255,1083,1352,0,2690,166,112,345,0,623,15006,
Macon,309,131,1203,0,1643,629,672,1309,0,2610,21,7,35,0,63,4316,
Madison,3349,1693,5880,1,10923,656,1082,1332,2,3072,168,71,173,0,412,14407,
Marion,696,292,1161,0,2149,218,432,558,0,1208,21,20,34,0,75,3432,
McDuffie,792,904,4333,0,6029,551,1433,1889,0,3873,70,37,145,0,252,10154,
McIntosh,771,805,2256,1,3833,383,786,1202,0,2371,64,36,74,0,174,6378,
Meriwether,2094,958,3148,2,6202,1120,1395,1513,5,4033,81,50,100,0,231,10466,
Miller,479,253,1161,2,1895,154,201,297,0,652,17,8,27,0,52,2599,
Mitchell,1485,681,2610,3,4779,776,1411,1547,4,3738,43,25,65,0,133,8650,
Monroe,2957,1064,6713,6,10740,615,1248,2081,2,3946,145,55,185,0,385,15071,
Montgomery,1039,342,1432,0,2813,227,274,364,0,865,35,6,24,0,65,3743,
Morgan,1829,939,5343,2,8113,439,939,1599,1,2978,92,49,134,2,277,11368,
Murray,3540,1274,7070,0,11884,476,614,951,0,2041,135,69,197,0,401,14326,
Muscogee,6212,6554,16825,18,29609,6072,16215,23699,26,46012,633,528,1038,3,2202,77823,
Newton,10408,4801,7852,16,23077,6423,9931,12041,18,28413,665,334,424,2,1425,52915,
Oconee,2668,2897,11480,1,17046,562,2551,3697,2,6812,206,162,454,1,823,24681,
Oglethorpe,996,931,3425,2,5354,364,790,1057,1,2212,77,49,146,0,272,7838,
Paulding,9195,9284,34061,0,52540,3417,9660,14403,0,27480,789,664,1532,0,2985,83005,
Peach,897,800,4532,9,6238,763,1603,3164,4,5534,68,53,156,3,280,12052,
Pickens,5640,1751,6008,8,13407,555,968,932,0,2455,262,87,211,0,560,16422,
Pierce,1153,897,5474,0,7524,112,299,557,0,968,30,37,99,0,166,8658,
Pike,2248,911,5667,0,8826,237,477,638,0,1352,86,38,130,0,254,10432,
Polk,2671,1616,8572,13,12872,542,1003,1816,5,3366,140,63,238,2,443,16681,
Pulaski,307,308,2081,0,2696,149,304,619,0,1072,22,14,42,0,78,3846,
Putnam,1484,1762,4874,0,8120,419,1359,1366,0,3144,69,53,122,0,244,11508,
Quitman,143,84,312,0,539,155,130,180,1,466,11,3,12,0,26,1031,
Rabun,1132,1650,4432,0,7214,168,760,774,0,1702,63,81,141,0,285,9201,
Randolph,300,213,827,0,1340,380,430,742,3,1555,12,3,19,0,34,2929,
Richmond,8191,6314,11753,0,26258,10977,19785,24216,0,54978,918,608,962,0,2488,83724,
Rockdale,2322,2973,7215,12,12522,3415,8930,17589,19,29953,301,236,560,2,1099,43574,
Schley,292,144,1271,1,1708,57,144,216,0,417,13,7,22,0,42,2167,
Screven,1195,496,2038,7,3736,562,740,1169,7,2478,40,12,41,2,95,6309,
Seminole,877,259,1340,0,2476,262,241,625,0,1128,23,9,23,0,55,3659,
Spalding,4955,3373,8456,488,17272,2398,3926,4284,330,10938,321,195,277,35,828,29038,
Stephens,1148,1340,6505,3,8996,272,670,1106,0,2048,73,60,200,0,333,11377,
Stewart,199,100,416,4,719,254,351,443,8,1056,9,1,12,0,22,1797,
Sumter,1463,824,3288,11,5586,1066,1905,2964,7,5942,68,43,90,0,201,11729,
Talbot,435,239,644,1,1319,507,853,578,0,1938,34,18,22,0,74,3331,
Taliaferro,91,55,188,0,334,93,207,189,0,489,3,2,7,0,12,835,
Tattnall,1459,792,3508,0,5759,361,486,965,0,1812,51,41,92,0,184,7755,
Taylor,332,287,1670,11,2300,251,443,555,2,1251,15,10,60,0,85,3636,
Telfair,851,339,1372,3,2565,284,590,516,5,1395,30,10,30,0,70,4030,
Terrell,646,261,1044,0,1951,525,815,904,0,2244,35,11,29,0,75,4270,
Thomas,2592,1667,8355,1,12615,1313,2185,4399,4,7901,155,74,235,0,464,20980,
Tift,2624,1217,6701,13,10555,986,1314,2375,14,4689,113,53,201,0,367,15611,
Toombs,1712,1183,4646,5,7546,520,965,1165,4,2654,79,41,108,0,228,10428,
Towns,917,1171,3956,7,6051,108,632,622,1,1363,46,36,79,0,161,7575,
Treutlen,377,263,1323,0,1963,104,271,459,0,834,18,10,28,0,56,2853,
Troup,4535,2910,10300,47,17792,2560,3184,4851,27,10622,243,118,319,1,681,29095,
Turner,352,224,1670,2,2248,307,270,729,0,1306,26,12,45,0,83,3637,
Twiggs,756,288,1130,0,2174,405,696,822,4,1927,39,22,37,0,98,4199,
Union,3178,2159,6697,9,12043,266,1150,1077,0,2493,127,89,167,1,384,14920,
Upson,1289,1159,5800,4,8252,608,1440,1809,0,3857,80,61,135,0,276,12385,
Walker,5155,3407,13327,7,21896,848,1905,2272,2,5027,405,184,523,0,1112,28035,
Walton,8668,5936,21952,0,36556,1867,3849,5769,0,11485,497,287,730,0,1514,49555,
Ware,2413,1353,5598,0,9364,505,1527,1917,0,3949,114,75,166,0,355,13668,
Warren,182,195,735,0,1112,284,507,572,0,1363,8,17,27,0,52,2527,
Washington,1353,692,2326,4,4375,983,1676,1683,5,4347,62,29,60,1,152,8874,
Wayne,2317,1270,5832,6,9425,437,700,1377,0,2514,86,44,137,0,267,12206,
Webster,128,119,460,0,707,132,221,244,0,597,3,1,8,0,12,1316,
Wheeler,420,194,888,0,1502,185,173,272,0,630,12,6,20,0,38,2170,
White,3293,2023,6432,4,11752,311,877,928,0,2116,200,88,240,0,528,14396,
Whitfield,8297,3435,12387,40,24159,2473,2500,4394,16,9383,515,199,513,3,1230,34772,
Wilcox,702,327,1264,0,2293,258,190,338,0,786,20,14,17,0,51,3130,
Wilkes,685,460,1594,2,2741,452,703,814,3,1972,35,15,43,2,95,4808,
Wilkinson,1216,242,1038,3,2499,481,569,870,2,1922,35,17,28,1,81,4502,
Worth,2673,748,3174,0,6595,532,775,910,0,2217,58,21,63,0,142,8954,
