OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edited_date
18,13,059,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.203125,121.02700043,CLARKE,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},1970/01/01 00:00:00+00
19,13,169,13169,Jones,Jones County,28669,N,N,N,N,N,N,N,Middle Georgia,253036,395.36801147,JONES,{47C8BCE7-694F-497E-BF2F-4406B91159A1},1970/01/01 00:00:00+00
20,13,045,13045,Carroll,Carroll County,110527,N,N,N,Partial,Y,N,N,Three Rivers,322447,503.82400513,CARROLL,{33DEDEB8-8E54-40A7-A237-847405D84720},2015/10/14 17:21:50+00
21,13,247,13247,Rockdale,Rockdale County,85215,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,84525.703125,132.07099915,ROCKDALE,{1146BC41-D714-4074-BFCC-B1EA52C17B96},1970/01/01 00:00:00+00
22,13,083,13083,Dade,Dade County,16633,N,N,N,N,N,N,N,Northwest Georgia,111481,174.18899536,DADE,{D5415141-E21E-4F67-9733-4D5F064EC36E},1970/01/01 00:00:00+00
23,13,213,13213,Murray,Murray County,39628,N,N,N,N,N,N,N,Northwest Georgia,221860,346.65701294,MURRAY,{E8ABF5B5-2273-4AC1-87D9-5AFBA20BF4B4},1970/01/01 00:00:00+00
24,13,067,13067,Cobb,Cobb County,688078,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,220455,344.45999146,COBB,{670FE76B-423B-4211-BFB0-8A9145225470},1970/01/01 00:00:00+00
25,13,073,13073,Columbia,Columbia County,124053,N,N,N,N,N,N,N,Central Savannah River Area,196979,307.7789917,COLUMBIA,{6A0F3E6B-D37E-419D-B8A9-ADDF6744F3B0},1970/01/01 00:00:00+00
26,13,117,13117,Forsyth,Forsyth County,175511,N,N,Y,Y,Y,Y,Y,Georgia Mountains,158154,247.11599731,FORSYTH,{4C27E78B-AD23-45A7-853A-CF98F6F55554},1970/01/01 00:00:00+00
27,13,009,13009,Baldwin,Baldwin County,45720,N,N,N,N,N,N,N,Middle Georgia,171139,267.40499878,BALDWIN,{C55236A9-D42A-4314-A269-80306559B470},1970/01/01 00:00:00+00
28,13,295,13295,Walker,Walker County,68756,N,N,N,N,N,N,N,Northwest Georgia,286115,447.0539856,WALKER,{2247BB29-7B35-4419-AA88-7F169BE9F6AD},1970/01/01 00:00:00+00
29,13,107,13107,Emanuel,Emanuel County,22598,N,N,N,N,N,N,N,Heart of Georgia Altamaha,441961,690.56500244,EMANUEL,{8A6825E9-8F50-4281-B367-0F85B7C6548F},1970/01/01 00:00:00+00
30,13,123,13123,Gilmer,Gilmer County,28292,N,N,N,N,N,N,N,Northwest Georgia,275947,431.16699219,GILMER,{F5584E0A-B932-4A72-BE96-EEF5D3233611},1970/01/01 00:00:00+00
31,13,301,13301,Warren,Warren County,5834,N,N,N,N,N,N,N,Central Savannah River Area,183530,286.76599121,WARREN,{CEABC8FF-02A8-45E2-A9D6-0696012F1CA8},1970/01/01 00:00:00+00
32,13,105,13105,Elbert,Elbert County,20166,N,N,N,N,N,N,N,Northeast Georgia,239539,374.2789917,ELBERT,{EAFB2FBC-0B45-4BC7-82F7-84E54BFC4D68},1970/01/01 00:00:00+00
33,13,063,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.1015625,144.30299377,CLAYTON,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},1970/01/01 00:00:00+00
34,13,025,13025,Brantley,Brantley County,18411,N,N,N,N,N,N,N,Southern Georgia,286458,447.59100342,BRANTLEY,{B067B5E4-BDF5-4B2C-9751-501DEA4C3A2F},1970/01/01 00:00:00+00
35,13,051,13051,Chatham,Chatham County,265128,N,N,N,N,N,N,N,Coastal Regional Commission,405410,633.45300293,CHATHAM,{112314AE-92CD-4EAB-A236-C661FDCE4F27},1970/01/01 00:00:00+00
36,13,225,13225,Peach,Peach County,27695,N,N,N,N,N,N,N,Middle Georgia,96815.203125,151.27400208,PEACH,{2045C7C2-70D3-454C-AC60-1BDED3BF882A},1970/01/01 00:00:00+00
37,13,101,13101,Echols,Echols County,4034,N,N,N,N,N,N,N,Southern Georgia,269306,420.79000854,ECHOLS,{98261A81-3DA9-481E-B18E-D511B4A7824E},1970/01/01 00:00:00+00
38,13,109,13109,Evans,Evans County,11000,N,N,N,N,N,N,N,Heart of Georgia Altamaha,119709,187.04499817,EVANS,{785FAC0C-F74C-4E4D-8CB3-B8CB8F85851D},1970/01/01 00:00:00+00
39,13,239,13239,Quitman,Quitman County,2513,N,N,N,N,N,N,N,River Valley,102757,160.55799866,QUITMAN,{752BEFA6-7539-4065-8BBA-6CB502AB5B58},1970/01/01 00:00:00+00
40,13,155,13155,Irwin,Irwin County,9538,N,N,N,N,N,N,N,Southern Georgia,232163,362.7539978,IRWIN,{D40870BC-FC2D-4302-AB06-FBDF877A7BA4},1970/01/01 00:00:00+00
41,13,033,13033,Burke,Burke County,23316,N,N,N,N,N,N,N,Central Savannah River Area,534823,835.66101074,BURKE,{56423785-DD7F-429D-B00E-356D32A5FEFF},1970/01/01 00:00:00+00
42,13,151,13151,Henry,Henry County,203922,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,208948,326.48098755,HENRY,{35264E7E-E781-4C21-B4CC-C812B3B58FDE},1970/01/01 00:00:00+00
43,13,179,13179,Liberty,Liberty County,63453,N,N,N,N,N,N,N,Coastal Regional Commission,386169,603.38897705,LIBERTY,{CB7E330B-433F-46AB-9326-7292530CC621},1970/01/01 00:00:00+00
44,13,195,13195,Madison,Madison County,28120,N,N,N,N,N,N,N,Northeast Georgia,182774,285.58499146,MADISON,{FB984A70-A6A1-4095-8F0F-604A4143F984},1970/01/01 00:00:00+00
45,13,279,13279,Toombs,Toombs County,27223,N,N,N,N,N,N,N,Heart of Georgia Altamaha,237563,371.19198608,TOOMBS,{F37CE267-116E-4ECC-8FFC-82697ED17E8D},1970/01/01 00:00:00+00
46,13,207,13207,Monroe,Monroe County,26424,N,N,N,N,N,N,N,Middle Georgia,254551,397.73599243,MONROE,{6675314D-9931-4C36-8957-FA8A905F2F0E},1970/01/01 00:00:00+00
47,13,065,13065,Clinch,Clinch County,6798,N,N,N,N,N,N,N,Southern Georgia,527504,824.22497559,CLINCH,{D7037AD7-9079-4D7B-8A90-535F548AD7C7},1970/01/01 00:00:00+00
48,13,219,13219,Oconee,Oconee County,32808,N,N,N,N,N,N,N,Northeast Georgia,119267,186.35499573,OCONEE,{97F649C5-231F-42D8-A3F0-25E6535FE925},1970/01/01 00:00:00+00
49,13,019,13019,Berrien,Berrien County,19286,N,N,N,N,N,N,N,Southern Georgia,293043,457.88000488,BERRIEN,{0E14972B-097C-4986-B5EB-B72787E7DF71},1970/01/01 00:00:00+00
50,13,049,13049,Charlton,Charlton County,12171,N,N,N,N,N,N,N,Southern Georgia,501087,782.94897461,CHARLTON,{4C51DF2F-CF01-4556-BDC2-8F0316390F6C},1970/01/01 00:00:00+00
51,13,075,13075,Cook,Cook County,17212,N,N,N,N,N,N,N,Southern Georgia,149238,233.18400574,COOK,{AB9A8BC5-5668-430F-A0B1-4E6FBE6021D6},1970/01/01 00:00:00+00
52,13,229,13229,Pierce,Pierce County,18758,N,N,N,N,N,N,N,Southern Georgia,219810,343.45300293,PIERCE,{21233D79-91A5-4D21-940E-1183FA00724A},1970/01/01 00:00:00+00
53,13,099,13099,Early,Early County,11008,N,N,N,N,N,N,N,Southwest Georgia,330435,516.30499268,EARLY,{73632B13-4725-4782-B10F-9E56936CC762},1970/01/01 00:00:00+00
54,13,167,13167,Johnson,Johnson County,9980,N,N,N,N,N,N,N,Heart of Georgia Altamaha,196277,306.68200684,JOHNSON,{310C9260-45FD-45B1-B65D-2581497BE8F8},1970/01/01 00:00:00+00
55,13,269,13269,Taylor,Taylor County,8906,N,N,N,N,N,N,N,River Valley,242959,379.62298584,TAYLOR,{A190BC27-F52A-4478-BC60-09CA0019FCA0},1970/01/01 00:00:00+00
56,13,093,13093,Dooly,Dooly County,14918,N,N,N,N,N,N,N,River Valley,254218,397.21600342,DOOLY,{1959E5F7-6836-4ACE-AACF-27F1A298C95E},1970/01/01 00:00:00+00
57,13,085,13085,Dawson,Dawson County,22330,N,N,N,Partial,Y,N,N,Georgia Mountains,137194,214.36500549,DAWSON,{7561741B-1026-4F5F-9DA1-43FF485FD57A},2015/10/14 17:36:02+00
58,13,177,13177,Lee,Lee County,28298,N,N,N,N,N,N,N,Southwest Georgia,231462,361.66000366,LEE,{D408FBF3-943B-49FD-B1ED-F763009654EE},1970/01/01 00:00:00+00
59,13,015,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.06298828,BARTOW,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015/10/14 17:35:02+00
60,13,317,13317,Wilkes,Wilkes County,10593,N,N,N,N,N,N,N,Central Savannah River Area,303489,474.20199585,WILKES,{3C1AC31B-C7CA-4E09-ABBF-17E4A09438E7},1970/01/01 00:00:00+00
61,13,171,13171,Lamar,Lamar County,18317,N,N,N,N,Y,N,N,Three Rivers,118910,185.79699707,LAMAR,{C0B4C373-058F-4823-A88A-FA256FA27E49},1970/01/01 00:00:00+00
62,13,143,13143,Haralson,Haralson County,28780,N,N,N,N,Y,N,N,Northwest Georgia,181237,283.18301392,HARALSON,{62868793-F549-4DA3-9B5D-1566905D1A3E},1970/01/01 00:00:00+00
63,13,069,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.76202393,COFFEE,{FFD327B3-3942-4407-AB3E-2F27A45835CD},1970/01/01 00:00:00+00
64,13,125,13125,Glascock,Glascock County,3082,N,N,N,N,N,N,N,Central Savannah River Area,92479.203125,144.49899292,GLASCOCK,{8199F11E-0ED9-4369-AA85-C0FD36931EA9},1970/01/01 00:00:00+00
65,13,245,13245,Richmond,Richmond County,200549,N,N,N,N,N,N,N,Central Savannah River Area,210453,328.83200073,RICHMOND,{EB8758B7-47F1-4A60-8504-488DC673CB9F},1970/01/01 00:00:00+00
66,13,289,13289,Twiggs,Twiggs County,9023,N,N,N,N,N,N,N,Middle Georgia,232066,362.60400391,TWIGGS,{645541C3-33AF-4D0D-B8DB-BE00D4DE1C31},1970/01/01 00:00:00+00
67,13,311,13311,White,White County,27144,N,N,N,N,N,N,N,Georgia Mountains,154987,242.16700745,WHITE,{8FCD416E-9AA1-45F3-8C5C-A8E9C7BADC6B},1970/01/01 00:00:00+00
68,13,201,13201,Miller,Miller County,6125,N,N,N,N,N,N,N,Southwest Georgia,181521,283.62600708,MILLER,{8B65AAE7-89E9-4C09-9041-FF0F8C610A6D},1970/01/01 00:00:00+00
69,13,199,13199,Meriwether,Meriwether County,21992,N,N,N,N,Y,N,N,Three Rivers,323414,505.33401489,MERIWETHER,{0C1E48E5-A825-44A8-A87E-909FEA58A2A1},1970/01/01 00:00:00+00
70,13,217,13217,Newton,Newton County,99958,N,N,N,Partial,Y,N,Y,Northeast Georgia,178654,279.14700317,NEWTON,{1F769E87-A151-4C25-A232-00FBB6CBFEED},1970/01/01 00:00:00+00
71,13,205,13205,Mitchell,Mitchell County,23498,N,N,N,N,N,N,N,Southwest Georgia,328781,513.7210083,MITCHELL,{4703A79E-8222-4DCF-BF8B-476DF69F167C},1970/01/01 00:00:00+00
72,13,135,13135,Gwinnett,Gwinnett County,805321,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,279481,436.68899536,GWINNETT,{3BBB29C1-CFA9-4906-B2DA-6D86E4FB8DAD},1970/01/01 00:00:00+00
73,13,133,13133,Greene,Greene County,15994,N,N,N,N,N,N,N,Northeast Georgia,259978,406.21499634,GREENE,{B39D245F-639F-4437-A2A6-2B35C3417444},1970/01/01 00:00:00+00
74,13,261,13261,Sumter,Sumter County,32819,N,N,N,N,N,N,N,River Valley,315235,492.55499268,SUMTER,{F2152F4B-9DA6-4A23-91FF-BDB106343A61},1970/01/01 00:00:00+00
75,13,243,13243,Randolph,Randolph County,7719,N,N,N,N,N,N,N,River Valley,275724,430.81900024,RANDOLPH,{006D74B8-4B64-492A-BAAD-CF923E764E15},1970/01/01 00:00:00+00
76,13,119,13119,Franklin,Franklin County,22084,N,N,N,N,N,N,N,Georgia Mountains,170525,266.4460144,FRANKLIN,{90A13E0D-41EC-437E-B1DF-65E0F66B586A},1970/01/01 00:00:00+00
77,13,235,13235,Pulaski,Pulaski County,12010,N,N,N,N,N,N,N,Middle Georgia,160756,251.18200684,PULASKI,{AA2DAF88-E6AB-4BE1-B531-A7BA55417771},1970/01/01 00:00:00+00
78,13,027,13027,Brooks,Brooks County,16243,N,N,N,N,N,N,N,Southern Georgia,318553,497.73800659,BROOKS,{68A5C241-8D02-41D4-A0E8-B1560DCF0CE2},1970/01/01 00:00:00+00
79,13,055,13055,Chattooga,Chattooga County,26015,N,N,N,N,N,N,N,Northwest Georgia,200695,313.58599854,CHATTOOGA,{DFD7AF90-CB9C-449E-9B69-871235851369},1970/01/01 00:00:00+00
80,13,005,13005,Bacon,Bacon County,11096,N,N,N,N,N,N,N,Southern Georgia,183009,285.95098877,BACON,{86253CB1-B939-4D23-9DFF-2C420FE78199},1970/01/01 00:00:00+00
81,13,287,13287,Turner,Turner County,8930,N,N,N,N,N,N,N,Southern Georgia,185562,289.94100952,TURNER,{756EE73A-9935-47B9-AA23-0E0CA7F9E899},1970/01/01 00:00:00+00
82,13,185,13185,Lowndes,Lowndes County,109233,N,N,N,N,N,N,N,Southern Georgia,326762,510.56600952,LOWNDES,{05D18CAE-4CCE-40B6-8BCA-D76DB368CCAA},1970/01/01 00:00:00+00
83,13,003,13003,Atkinson,Atkinson County,8375,N,N,N,N,N,N,N,Southern Georgia,220539,344.5920105,ATKINSON,{3005BA95-23DA-44BC-B08A-80E02A660277},1970/01/01 00:00:00+00
84,13,281,13281,Towns,Towns County,10471,N,N,N,N,N,N,N,Georgia Mountains,110050,171.95399475,TOWNS,{BAE93DAB-8E71-44DC-A3E0-0BF72F77904E},1970/01/01 00:00:00+00
85,13,251,13251,Screven,Screven County,14593,N,N,N,N,N,N,N,Coastal Regional Commission,420265,656.66400146,SCREVEN,{192A8056-8500-484D-9F1F-FF4C683D6632},1970/01/01 00:00:00+00
86,13,285,13285,Troup,Troup County,67044,N,N,N,N,N,N,N,Three Rivers,285404,445.94299316,TROUP,{508E597B-8439-4F96-BA8E-4B5F018CB3C0},1970/01/01 00:00:00+00
87,13,175,13175,Laurens,Laurens County,48434,N,N,N,N,N,N,N,Heart of Georgia Altamaha,523893,818.58197021,LAURENS,{C58FE63F-0E74-4E02-95D0-609CF2740D8C},1970/01/01 00:00:00+00
88,13,111,13111,Fannin,Fannin County,23682,N,N,N,N,N,N,N,Northwest Georgia,250807,391.88598633,FANNIN,{DDA9CEBF-AC90-491D-A59C-CF6626051D43},1970/01/01 00:00:00+00
89,13,275,13275,Thomas,Thomas County,44720,N,N,N,N,N,N,N,Southwest Georgia,353353,552.11401367,THOMAS,{95B6C347-3BCE-472D-B48C-F87673E7435E},1970/01/01 00:00:00+00
90,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.22900391,FULTON,{44A3942A-9608-4E68-A927-A38721FF266D},1970/01/01 00:00:00+00
91,13,043,13043,Candler,Candler County,10998,N,N,N,N,N,N,N,Heart of Georgia Altamaha,159389,249.04499817,CANDLER,{A1003CD4-E916-4F58-A82C-9D91BC643391},1970/01/01 00:00:00+00
92,13,037,13037,Calhoun,Calhoun County,6694,N,N,N,N,N,N,N,Southwest Georgia,181462,283.53399658,CALHOUN,{224CCDA8-41B9-40B9-8444-A0F5458DFD5C},1970/01/01 00:00:00+00
93,13,007,13007,Baker,Baker County,3451,N,N,N,N,N,N,N,Southwest Georgia,223407,349.07400513,BAKER,{58F5A8F1-0D97-4CEA-A1BC-A17B637A01CD},1970/01/01 00:00:00+00
94,13,181,13181,Lincoln,Lincoln County,7996,N,N,N,N,N,N,N,Central Savannah River Area,164740,257.40600586,LINCOLN,{03E63D7A-A977-42ED-B19E-F1E099E4580B},1970/01/01 00:00:00+00
95,13,081,13081,Crisp,Crisp County,23439,N,N,N,N,N,N,N,River Valley,179779,280.9039917,CRISP,{3B14D541-3E98-43CD-9E91-18177FD28631},1970/01/01 00:00:00+00
96,13,153,13153,Houston,Houston County,139900,N,N,N,N,N,N,N,Middle Georgia,243113,379.86499023,HOUSTON,{5A48AFDF-AB1F-4894-AE69-8F918A0F3BDE},1970/01/01 00:00:00+00
97,13,227,13227,Pickens,Pickens County,29431,N,N,N,N,Y,N,N,Northwest Georgia,148909,232.66999817,PICKENS,{A1F6DFDD-7168-4BF9-A01F-215DCC1E865D},1970/01/01 00:00:00+00
98,13,307,13307,Webster,Webster County,2799,N,N,N,N,N,N,N,River Valley,134546,210.227005,WEBSTER,{5DFC00B1-BAD5-4AEA-88BD-9FD653AFAE28},1970/01/01 00:00:00+00
99,13,305,13305,Wayne,Wayne County,30099,N,N,N,N,N,N,N,Heart of Georgia Altamaha,415614,649.39697266,WAYNE,{11969B4A-2AFE-4932-AADB-7C59856DFD3E},1970/01/01 00:00:00+00
100,13,103,13103,Effingham,Effingham County,52250,N,N,N,N,N,N,N,Coastal Regional Commission,309552,483.67498779,EFFINGHAM,{7A882334-7BCB-42B3-A580-4F946FA096E1},1970/01/01 00:00:00+00
101,13,139,13139,Hall,Hall County,179684,N,N,Y,N,N,N,N,Georgia Mountains,274700,429.21899414,HALL,{07D5978F-9EDF-47D0-BBEE-B9DBF7387AD2},2015/10/14 17:21:59+00
102,13,271,13271,Telfair,Telfair County,16500,N,N,N,N,N,N,N,Heart of Georgia Altamaha,284203,444.06698608,TELFAIR,{55B32696-DA1F-4779-9509-775FBCE03593},1970/01/01 00:00:00+00
103,13,221,13221,Oglethorpe,Oglethorpe County,14899,N,N,N,N,N,N,N,Northeast Georgia,282918,442.05899048,OGLETHORPE,{8DDF8E69-3F25-4805-97B0-8661545E8CCD},1970/01/01 00:00:00+00
104,13,303,13303,Washington,Washington County,21187,N,N,N,N,N,N,N,Central Savannah River Area,438077,684.49597168,WASHINGTON,{4CADD5B1-A996-4373-9943-1A69445C1175},1970/01/01 00:00:00+00
105,13,021,13021,Bibb,Bibb County,155547,N,N,N,N,N,N,N,Middle Georgia,163409,255.32600403,BIBB,{8B314E60-365A-4E45-BC35-BE723D7DBFDD},1970/01/01 00:00:00+00
106,13,255,13255,Spalding,Spalding County,64073,N,N,N,Partial,Y,N,N,Three Rivers,127712,199.55099487,SPALDING,{A2D20EDB-3EDE-4795-8F48-66BB0B94AA3E},2015/10/14 17:22:06+00
107,13,091,13091,Dodge,Dodge County,21796,N,N,N,N,N,N,N,Heart of Georgia Altamaha,321998,503.12200928,DODGE,{2B76B73F-BE10-467B-9F6A-BA2124AB2611},1970/01/01 00:00:00+00
108,13,265,13265,Taliaferro,Taliaferro County,1717,N,N,N,N,N,N,N,Central Savannah River Area,125041,195.3769989,TALIAFERRO,{C5790EB2-5AA4-423E-B967-929009DEBC7F},1970/01/01 00:00:00+00
109,13,087,13087,Decatur,Decatur County,27842,N,N,N,N,N,N,N,Southwest Georgia,398763,623.0670166,DECATUR,{FF2DFAA5-67FF-42B1-979F-51CC7515DC0F},1970/01/01 00:00:00+00
110,13,187,13187,Lumpkin,Lumpkin County,29966,N,N,N,N,N,N,N,Georgia Mountains,181850,284.14099121,LUMPKIN,{D12A86E2-69BF-46F8-AAFF-519B92C808B0},1970/01/01 00:00:00+00
111,13,047,13047,Catoosa,Catoosa County,63942,N,N,N,N,N,N,N,Northwest Georgia,103974,162.45899963,CATOOSA,{633200AA-0748-4ED4-BC90-1FFF0337287B},1970/01/01 00:00:00+00
112,13,031,13031,Bulloch,Bulloch County,70217,N,N,N,N,N,N,N,Coastal Regional Commission,441197,689.37097168,BULLOCH,{5CFE37C0-CC59-410B-984E-425F2ADCE59D},1970/01/01 00:00:00+00
113,13,165,13165,Jenkins,Jenkins County,8340,N,N,N,N,N,N,N,Central Savannah River Area,225774,352.77200317,JENKINS,{533801E5-30B7-4F8D-844B-CCA7B97FC3B8},1970/01/01 00:00:00+00
114,13,141,13141,Hancock,Hancock County,9429,N,N,N,N,N,N,N,Central Savannah River Area,306383,478.72299194,HANCOCK,{C780F6D6-D03D-401B-961F-941F421473AA},1970/01/01 00:00:00+00
115,13,293,13293,Upson,Upson County,27153,N,N,N,N,N,N,N,Three Rivers,209593,327.48901367,UPSON,{AC01E945-D8B9-4A65-81C9-5D7981CB6E88},1970/01/01 00:00:00+00
116,13,095,13095,Dougherty,Dougherty County,94565,N,N,N,N,N,N,N,Southwest Georgia,214122,334.56600952,DOUGHERTY,{7E027852-CB83-4163-9093-E07B845D73AE},1970/01/01 00:00:00+00
117,13,215,13215,Muscogee,Muscogee County,189885,N,N,N,N,N,N,N,River Valley,141431,220.98599243,MUSCOGEE,{FA2E5E90-DF78-4059-B9F0-393C463D63B7},1970/01/01 00:00:00+00
118,13,061,13061,Clay,Clay County,3183,N,N,N,N,N,N,N,River Valley,139024,217.2250061,CLAY,{7598358A-F893-4408-9762-6E3AF3BC9A49},1970/01/01 00:00:00+00
119,13,197,13197,Marion,Marion County,8742,N,N,N,N,N,N,N,River Valley,235146,367.41598511,MARION,{2FE1444A-0604-4091-A436-99B24025F20F},1970/01/01 00:00:00+00
120,13,097,13097,Douglas,Douglas County,132403,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,128641,201.00100708,DOUGLAS,{3429ADB5-8FED-490F-AFFD-F56DE8AF28B8},1970/01/01 00:00:00+00
121,13,077,13077,Coweta,Coweta County,127317,N,N,Y,Y,Y,Y,Y,Three Rivers,285287,445.76098633,COWETA,{A5D715F1-B2A9-4EDB-AFAA-FFC194FC6311},1970/01/01 00:00:00+00
122,13,259,13259,Stewart,Stewart County,6058,N,N,N,N,N,N,N,River Valley,296681,463.56500244,STEWART,{337304A8-5C63-41D6-9A8E-245BC66F83BF},1970/01/01 00:00:00+00
123,13,149,13149,Heard,Heard County,11834,N,N,N,N,Y,N,N,Three Rivers,192700,301.09298706,HEARD,{A4F8FA00-665E-4449-87E5-61E444760A28},1970/01/01 00:00:00+00
124,13,319,13319,Wilkinson,Wilkinson County,9563,N,N,N,N,N,N,N,Middle Georgia,289252,451.95599365,WILKINSON,{5705A98C-D403-4C10-850C-08F8E6D3D1CB},1970/01/01 00:00:00+00
125,13,309,13309,Wheeler,Wheeler County,7421,N,N,N,N,N,N,N,Heart of Georgia Altamaha,192221,300.34500122,WHEELER,{2D08C461-BD1B-4DEF-8D12-ACE43EDE812A},1970/01/01 00:00:00+00
126,13,191,13191,McIntosh,McIntosh County,14333,N,N,N,N,N,N,N,Coastal Regional Commission,367856,574.77502441,MCINTOSH,{C629F784-D328-46B5-8E5E-B98A2071CF9B},1970/01/01 00:00:00+00
127,13,321,13321,Worth,Worth County,21679,N,N,N,N,N,N,N,Southwest Georgia,367777,574.65197754,WORTH,{D6CF35B2-3C1E-4ACD-898E-DE3D7D7E011D},1970/01/01 00:00:00+00
128,13,035,13035,Butts,Butts County,23655,N,N,N,N,Y,N,N,Three Rivers,120323,188.00500488,BUTTS,{BC658D13-5EB1-42E5-B457-F24A504FCDD0},1970/01/01 00:00:00+00
129,13,159,13159,Jasper,Jasper County,13900,N,N,N,N,Y,N,N,Northeast Georgia,238981,373.40701294,JASPER,{2927FA68-4F29-4DCC-B55C-7FE229551690},1970/01/01 00:00:00+00
130,13,193,13193,Macon,Macon County,14740,N,N,N,N,N,N,N,River Valley,259783,405.91101074,MACON,{87504DF1-CF95-4BDD-A0A3-38044DEA4314},1970/01/01 00:00:00+00
