index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
78,Gwinnett,CATES K,2810,248,491,229,2,970,166,575,397,0,1138,10,10,5,1,26,2134,
79,Gwinnett,BAYCREEK C,6499,318,1035,354,3,1710,361,1791,934,0,3086,21,24,8,0,53,4849,
80,Gwinnett,CATES L,4185,228,584,314,0,1126,264,977,596,3,1840,11,18,13,1,43,3009,
81,Gwinnett,DULUTH E,4814,207,515,240,3,965,419,1174,774,5,2372,15,13,13,1,42,3379,
82,Gwinnett,GOODWINS D,4406,394,653,307,1,1355,330,750,574,4,1658,18,20,14,0,52,3065,
83,Gwinnett,LAWRENCEVILLE G,3046,114,306,142,1,563,259,774,423,1,1457,3,8,9,0,20,2040,
84,Gwinnett,LAWRENCEVILLE H,4296,303,780,342,4,1429,228,843,619,2,1692,17,19,16,0,52,3173,
85,Gwinnett,MARTINS F,2570,147,163,108,3,421,237,485,350,4,1076,4,7,7,0,18,1515,
86,Gwinnett,PINCKNEYVILLE S,3374,182,340,226,3,751,345,611,458,4,1418,15,9,13,0,37,2206,
87,Gwinnett,ROCKBRIDGE E,4638,147,330,142,1,620,386,1169,754,2,2311,10,19,10,1,40,2971,
88,Gwinnett,SUGAR HILL E,3589,325,754,290,4,1373,154,664,418,2,1238,17,24,10,1,52,2663,
89,Gwinnett,LAWRENCEVILLE I,3312,217,370,186,1,774,261,655,450,2,1368,11,18,12,0,41,2183,
90,Gwinnett,BAYCREEK D,4609,309,835,337,0,1481,201,1069,651,1,1922,17,21,14,0,52,3455,
91,Gwinnett,BERKSHIRE J,2731,160,563,265,2,990,112,570,466,2,1150,4,11,7,0,22,2162,
92,Gwinnett,CATES M,3988,255,851,426,1,1533,173,842,630,2,1647,18,13,15,0,46,3226,
93,Gwinnett,CATES N,2567,233,551,343,1,1128,133,397,301,0,831,9,11,11,0,31,1990,
94,Gwinnett,DULUTH F,6161,195,403,265,5,868,467,1418,972,15,2872,15,16,14,2,47,3787,
95,Gwinnett,DULUTH G,3067,280,533,322,2,1137,168,497,479,2,1146,15,12,16,0,43,2326,
96,Gwinnett,GOODWINS E,5491,421,845,415,1,1682,328,1046,815,1,2190,27,31,15,0,73,3945,
97,Gwinnett,GOODWINS F,3212,194,455,228,0,877,185,620,520,0,1325,14,11,12,0,37,2239,
98,Gwinnett,PINCKNEYVILLE T,3201,208,334,257,3,802,232,581,441,3,1257,13,19,13,0,45,2104,
99,Gwinnett,SUWANEE B,4656,240,1073,411,1,1725,133,1030,655,0,1818,14,19,26,0,59,3602,
100,Gwinnett,PINCKNEYVILLE U,2090,193,203,132,0,528,231,409,310,5,955,7,2,3,0,12,1495,
101,Gwinnett,PUCKETTS B,3096,295,855,240,1,1391,118,526,313,0,957,8,7,8,0,23,2371,
102,Gwinnett,BERKSHIRE L,3265,146,245,160,0,551,353,709,451,1,1514,8,16,13,0,37,2102,
103,Gwinnett,ROCKBRIDGE F,5795,89,442,215,1,747,299,2176,890,5,3370,4,13,8,0,25,4142,
104,Gwinnett,SUGAR HILL F,4112,387,850,322,9,1568,220,638,519,2,1379,18,21,14,0,53,3000,
105,Gwinnett,SUWANEE C,5675,334,1048,471,6,1859,231,1030,927,2,2190,13,22,20,0,55,4104,
106,Gwinnett,CATES O,1434,167,232,119,3,521,98,264,225,2,589,4,4,1,0,9,1119,
107,Gwinnett,BAYCREEK E,3265,193,442,202,2,839,228,757,438,2,1425,10,14,3,1,28,2292,
108,Gwinnett,BERKSHIRE M,1864,162,330,177,2,671,115,340,278,1,734,5,2,10,0,17,1422,
109,Gwinnett,MARTINS G,2425,138,199,98,2,437,258,512,293,2,1065,11,8,4,0,23,1525,
110,Gwinnett,DULUTH H,2813,157,455,279,3,894,155,476,533,3,1167,10,14,13,0,37,2098,
