index,County,Precinct,Registered Voters,Richard Steele (I) (Rep)_Election Day Votes,Richard Steele (I) (Rep)_Advanced Voting Votes,Richard Steele (I) (Rep)_Absentee by Mail Votes,Richard Steele (I) (Rep)_Provisional Votes,Richard Steele (I) (Rep)_Choice Total,Tiffany Porter (Dem)_Election Day Votes,Tiffany Porter (Dem)_Advanced Voting Votes,Tiffany Porter (Dem)_Absentee by Mail Votes,Tiffany Porter (Dem)_Provisional Votes,Tiffany Porter (Dem)_Choice Total,Total,
82,Gwinnett,GOODWINS D,4406,408,697,354,1,1460,318,692,518,2,1530,2990,
83,Gwinnett,LAWRENCEVILLE G,3046,116,341,152,1,610,241,723,400,1,1365,1975,
84,Gwinnett,LAWRENCEVILLE H,4296,314,821,410,4,1549,213,792,527,2,1534,3083,
85,Gwinnett,MARTINS F,2570,141,168,110,2,421,232,473,333,3,1041,1462,
86,Gwinnett,PINCKNEYVILLE S,3374,194,354,250,4,802,323,585,405,3,1316,2118,
87,Gwinnett,ROCKBRIDGE E,4638,157,357,165,1,680,380,1151,722,3,2256,2936,
88,Gwinnett,SUGAR HILL E,3589,337,808,348,4,1497,143,616,352,3,1114,2611,
89,Gwinnett,LAWRENCEVILLE I,3312,218,401,227,0,846,262,624,399,2,1287,2133,
90,Gwinnett,BAYCREEK D,4609,320,896,386,0,1602,193,1003,584,0,1780,3382,
91,Gwinnett,BERKSHIRE J,2731,177,618,352,0,1147,99,520,357,2,978,2125,
92,Gwinnett,CATES M,3988,299,948,540,1,1788,140,735,510,2,1387,3175,
93,Gwinnett,CATES N,2567,249,584,390,1,1224,115,368,261,0,744,1968,
94,Gwinnett,DULUTH F,6161,207,419,298,5,929,453,1385,877,14,2729,3658,
95,Gwinnett,DULUTH G,3067,298,568,378,1,1245,147,452,403,2,1004,2249,
96,Gwinnett,GOODWINS E,5491,446,931,497,1,1875,307,960,682,1,1950,3825,
97,Gwinnett,GOODWINS F,3212,206,485,290,0,981,175,576,434,0,1185,2166,
98,Gwinnett,PINCKNEYVILLE T,3201,219,342,287,3,851,213,569,382,2,1166,2017,
99,Gwinnett,SUWANEE B,4656,266,1181,495,0,1942,111,904,529,0,1544,3486,
100,Gwinnett,PINCKNEYVILLE U,2090,207,216,160,0,583,214,393,267,5,879,1462,
101,Gwinnett,PUCKETTS B,3096,300,895,275,1,1471,106,468,261,0,835,2306,
102,Gwinnett,BERKSHIRE L,3265,170,284,173,0,627,323,665,423,1,1412,2039,
103,Gwinnett,ROCKBRIDGE F,5795,84,484,250,1,819,306,2116,826,5,3253,4072,
104,Gwinnett,SUGAR HILL F,4112,399,910,384,6,1699,203,568,432,2,1205,2904,
105,Gwinnett,SUWANEE C,5675,364,1123,595,5,2087,194,933,750,2,1879,3966,
106,Gwinnett,CATES O,1434,180,244,152,1,577,81,245,190,3,519,1096,
107,Gwinnett,BAYCREEK E,3265,198,458,211,1,868,214,734,395,4,1347,2215,
108,Gwinnett,BERKSHIRE M,1864,184,364,225,2,775,94,305,223,0,622,1397,
109,Gwinnett,MARTINS G,2425,141,208,110,0,459,251,497,272,1,1021,1480,
110,Gwinnett,DULUTH H,2813,182,483,340,3,1008,134,441,451,2,1028,2036,
111,Gwinnett,BERKSHIRE N,3128,113,785,413,1,1312,88,594,442,0,1124,2436,
112,Gwinnett,PINCKNEYVILLE V,1706,109,200,117,0,426,111,331,188,2,632,1058,
113,Gwinnett,PINCKNEYVILLE W,4253,255,552,450,2,1259,256,743,509,5,1513,2772,
114,Gwinnett,MARTINS H,5037,257,544,393,6,1200,384,1037,645,8,2074,3274,
115,Gwinnett,MARTINS I,4078,176,357,235,3,771,343,809,504,3,1659,2430,
116,Gwinnett,MARTINS J,3923,169,251,130,4,554,443,921,487,6,1857,2411,
117,Gwinnett,GARNERS F,1796,123,359,181,1,664,96,333,226,2,657,1321,
118,Gwinnett,BERKSHIRE O,2589,191,545,333,0,1069,120,401,326,3,850,1919,
119,Gwinnett,BERKSHIRE P,1476,100,156,84,1,341,122,243,173,1,539,880,
120,Gwinnett,PINCKNEYVILLE X,3412,252,618,449,10,1329,157,561,546,7,1271,2600,
121,Gwinnett,ROCKBRIDGE G,5799,145,429,230,5,809,378,1834,903,11,3126,3935,
122,Gwinnett,PINCKNEYVILLE Y,3272,112,178,100,0,390,351,643,329,2,1325,1715,
123,Gwinnett,GOODWINS G,2661,166,291,110,3,570,228,566,344,1,1139,1709,
124,Gwinnett,PINCKNEYVILLE Z,1898,316,385,342,0,1043,75,189,291,0,555,1598,
125,Gwinnett,PINCKNEYVILLE A1,2694,332,625,552,0,1509,75,306,378,0,759,2268,
126,Gwinnett,LAWRENCEVILLE J,2249,156,225,119,0,500,178,538,274,3,993,1493,
127,Gwinnett,GOODWINS H,2796,227,508,214,0,949,156,515,354,2,1027,1976,
128,Gwinnett,DUNCANS B,5387,586,1698,536,3,2823,199,729,446,3,1377,4200,
129,Gwinnett,SUWANEE D,4732,461,1363,583,1,2408,136,656,544,2,1338,3746,
130,Gwinnett,SUWANEE E,4256,378,1167,541,1,2087,111,696,469,1,1277,3364,
131,Gwinnett,LAWRENCEVILLE K,3282,273,615,340,0,1228,167,613,431,0,1211,2439,
132,Gwinnett,HARBINS B,4845,342,1287,337,1,1967,192,854,412,3,1461,3428,
133,Gwinnett,BAYCREEK F,4608,253,598,267,5,1123,262,1313,625,6,2206,3329,
134,Gwinnett,PUCKETTS C,3367,269,906,270,1,1446,119,501,294,0,914,2360,
135,Gwinnett,HOG MOUNTAIN C,4292,359,969,360,1,1689,184,657,463,1,1305,2994,
136,Gwinnett,ROCKYCREEK B,5061,386,1286,418,1,2091,211,916,453,2,1582,3673,
137,Gwinnett,DULUTH I,5105,323,1001,746,0,2070,165,684,786,1,1636,3706,
138,Gwinnett,MARTINS K,5352,225,432,287,0,944,469,1329,755,4,2557,3501,
139,Gwinnett,SUWANEE H,3785,343,1219,529,0,2091,98,489,371,1,959,3050,
140,Gwinnett,SUGAR HILL G,2814,303,821,297,0,1421,67,363,330,1,761,2182,
141,Gwinnett,SUWANEE F,3966,313,836,371,2,1522,158,686,519,2,1365,2887,
142,Gwinnett,LAWRENCEVILLE L,4802,240,788,398,0,1426,267,1089,649,2,2007,3433,
143,Gwinnett,LAWRENCEVILLE M,7255,258,622,310,3,1193,515,2003,1007,5,3530,4723,
144,Gwinnett,BAYCREEK G,6241,280,823,341,0,1444,307,1918,850,1,3076,4520,
145,Gwinnett,BAYCREEK H,6811,385,1400,589,2,2376,306,1697,841,3,2847,5223,
146,Gwinnett,BAYCREEK I,5899,265,833,393,6,1497,313,1461,739,5,2518,4015,
147,Gwinnett,BERKSHIRE Q,1802,168,318,186,1,673,97,276,216,1,590,1263,
148,Gwinnett,GOODWINS I,2501,253,419,316,0,988,147,439,315,0,901,1889,
149,Gwinnett,DULUTH K,2786,80,168,92,1,341,227,548,299,1,1075,1416,
150,Gwinnett,HARBINS C,2850,392,636,196,2,1226,156,583,260,1,1000,2226,
151,Gwinnett,ROCKYCREEK C,4806,348,1251,400,0,1999,219,902,496,4,1621,3620,
152,Gwinnett,LAWRENCEVILLE N,2573,187,309,165,0,661,190,453,269,7,919,1580,
153,Gwinnett,PUCKETTS D,3622,265,988,374,4,1631,135,544,351,1,1031,2662,
154,Gwinnett,SUWANEE G,3904,322,766,330,0,1418,190,783,502,1,1476,2894,
155,Gwinnett,BAYCREEK J,4567,205,552,278,0,1035,298,1264,603,5,2170,3205,
