index,County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,
34,Gwinnett,CATES D,3755,234,646,363,0,1243,180,798,538,2,1518,2761,
35,Gwinnett,CATES E,2942,227,584,359,1,1171,138,574,430,1,1143,2314,
36,Gwinnett,PINCKNEYVILLE E,2184,119,118,68,3,308,225,474,267,6,972,1280,
37,Gwinnett,PINCKNEYVILLE F,2546,109,237,127,1,474,237,463,314,2,1016,1490,
38,Gwinnett,DUNCANS D,7153,620,2139,797,3,3559,276,918,645,0,1839,5398,
39,Gwinnett,PINCKNEYVILLE H,4536,351,767,513,0,1631,219,847,733,3,1802,3433,
40,Gwinnett,BAYCREEK B,5969,270,665,310,3,1248,422,1707,773,7,2909,4157,
41,Gwinnett,LAWRENCEVILLE C,3037,298,626,290,0,1214,133,474,325,1,933,2147,
42,Gwinnett,MARTINS D,2402,96,129,102,3,330,266,447,286,1,1000,1330,
43,Gwinnett,ROCKBRIDGE B,4177,141,346,199,0,686,296,1144,570,1,2011,2697,
44,Gwinnett,GARNERS B,3178,122,406,251,4,783,181,840,449,2,1472,2255,
45,Gwinnett,CATES F,1787,214,333,257,0,804,103,279,204,2,588,1392,
46,Gwinnett,CATES G,2875,209,698,429,0,1336,115,504,370,0,989,2325,
47,Gwinnett,DULUTH B,3551,263,558,398,3,1222,179,506,511,1,1197,2419,
48,Gwinnett,GARNERS C,2030,133,304,163,1,601,122,438,243,1,804,1405,
49,Gwinnett,PINCKNEYVILLE I,2635,110,204,135,0,449,246,557,303,2,1108,1557,
50,Gwinnett,PINCKNEYVILLE J,2613,77,136,70,1,284,261,620,267,3,1151,1435,
51,Gwinnett,BERKSHIRE G,2419,168,536,266,0,970,107,514,281,0,902,1872,
52,Gwinnett,CATES H,3924,111,398,207,0,716,303,935,483,2,1723,2439,
53,Gwinnett,SUGAR HILL C,5085,601,1259,476,1,2337,226,752,503,0,1481,3818,
54,Gwinnett,SUGAR HILL D,4624,314,1205,353,5,1877,197,724,433,3,1357,3234,
55,Gwinnett,DULUTH C,2229,197,331,232,3,763,142,359,298,1,800,1563,
56,Gwinnett,DULUTH D,5077,244,675,326,7,1252,294,1014,643,11,1962,3214,
57,Gwinnett,PINCKNEYVILLE K,3754,135,223,138,2,498,379,811,438,10,1638,2136,
58,Gwinnett,PINCKNEYVILLE N,3819,121,198,83,1,403,460,941,472,5,1878,2281,
59,Gwinnett,LAWRENCEVILLE D,5012,164,279,204,5,652,429,1071,526,8,2034,2686,
60,Gwinnett,LAWRENCEVILLE E,2355,161,397,283,1,842,149,380,277,2,808,1650,
61,Gwinnett,PINCKNEYVILLE L,2330,309,473,529,1,1312,91,236,352,0,679,1991,
62,Gwinnett,PINCKNEYVILLE M,2673,354,670,495,0,1519,75,288,331,0,694,2213,
63,Gwinnett,GARNERS D,3490,93,284,234,0,611,237,909,573,0,1719,2330,
64,Gwinnett,BERKSHIRE H,1987,104,178,157,3,442,154,340,240,2,736,1178,
65,Gwinnett,PINCKNEYVILLE O,3359,108,257,131,1,497,285,776,331,5,1397,1894,
66,Gwinnett,PUCKETTS E,5660,285,1079,445,1,1810,248,1111,648,3,2010,3820,
67,Gwinnett,CATES I,3537,272,631,359,1,1263,180,779,502,1,1462,2725,
68,Gwinnett,CATES J,3478,237,460,330,3,1030,192,785,503,1,1481,2511,
69,Gwinnett,GOODWINS B,3960,325,916,396,1,1638,190,604,473,0,1267,2905,
70,Gwinnett,LAWRENCEVILLE F,4061,181,352,177,1,711,285,1135,593,3,2016,2727,
71,Gwinnett,MARTINS E,6193,151,246,114,0,511,601,1399,681,7,2688,3199,
72,Gwinnett,PINCKNEYVILLE P,2185,174,270,276,0,720,183,379,331,2,895,1615,
73,Gwinnett,PINCKNEYVILLE Q,1915,76,72,42,1,191,273,426,220,2,921,1112,
74,Gwinnett,ROCKBRIDGE C,5125,138,351,222,2,713,286,1720,960,5,2971,3684,
75,Gwinnett,ROCKBRIDGE D,3642,76,389,209,1,675,195,1151,623,6,1975,2650,
76,Gwinnett,GOODWINS C,5804,316,642,377,0,1335,400,1188,852,1,2441,3776,
77,Gwinnett,BAYCREEK K,3824,165,707,385,0,1257,150,936,498,1,1585,2842,
78,Gwinnett,CATES K,2810,259,525,291,3,1078,146,536,329,0,1011,2089,
79,Gwinnett,BAYCREEK C,6499,324,1077,408,3,1812,355,1726,857,0,2938,4750,
80,Gwinnett,CATES L,4185,232,622,347,0,1201,255,939,537,4,1735,2936,
81,Gwinnett,DULUTH E,4814,226,543,268,0,1037,396,1137,722,7,2262,3299,
82,Gwinnett,GOODWINS D,4406,388,679,340,1,1408,339,701,538,2,1580,2988,
83,Gwinnett,LAWRENCEVILLE G,3046,114,317,146,1,578,243,742,413,1,1399,1977,
84,Gwinnett,LAWRENCEVILLE H,4296,303,797,403,4,1507,219,809,543,2,1573,3080,
85,Gwinnett,MARTINS F,2570,144,167,108,3,422,231,469,340,3,1043,1465,
86,Gwinnett,PINCKNEYVILLE S,3374,192,337,252,2,783,325,593,412,5,1335,2118,
87,Gwinnett,ROCKBRIDGE E,4638,155,356,169,1,681,382,1143,724,3,2252,2933,
88,Gwinnett,SUGAR HILL E,3589,330,779,343,3,1455,149,643,362,4,1158,2613,
89,Gwinnett,LAWRENCEVILLE I,3312,213,394,224,0,831,263,631,410,2,1306,2137,
90,Gwinnett,BAYCREEK D,4609,317,881,379,0,1577,196,1016,597,0,1809,3386,
91,Gwinnett,BERKSHIRE J,2731,172,614,345,0,1131,104,522,372,2,1000,2131,
92,Gwinnett,CATES M,3988,287,909,514,1,1711,153,770,536,2,1461,3172,
93,Gwinnett,CATES N,2567,242,579,382,1,1204,127,364,271,0,762,1966,
94,Gwinnett,DULUTH F,6161,195,408,283,6,892,466,1388,908,14,2776,3668,
95,Gwinnett,DULUTH G,3067,294,553,381,1,1229,155,463,399,2,1019,2248,
96,Gwinnett,GOODWINS E,5491,432,888,491,1,1812,311,1005,696,1,2013,3825,
97,Gwinnett,GOODWINS F,3212,200,471,275,0,946,180,592,450,0,1222,2168,
98,Gwinnett,PINCKNEYVILLE T,3201,213,335,292,4,844,217,572,383,1,1173,2017,
99,Gwinnett,SUWANEE B,4656,255,1154,465,0,1874,119,933,562,0,1614,3488,
100,Gwinnett,PINCKNEYVILLE U,2090,205,213,164,0,582,215,398,264,5,882,1464,
101,Gwinnett,PUCKETTS B,3096,296,904,285,1,1486,111,459,260,0,830,2316,
102,Gwinnett,BERKSHIRE L,3265,162,268,174,0,604,331,677,421,1,1430,2034,
103,Gwinnett,ROCKBRIDGE F,5795,84,466,246,1,797,306,2121,836,4,3267,4064,
104,Gwinnett,SUGAR HILL F,4112,404,893,373,5,1675,198,588,447,2,1235,2910,
105,Gwinnett,SUWANEE C,5675,360,1089,570,6,2025,198,960,787,2,1947,3972,
106,Gwinnett,CATES O,1434,167,241,153,3,564,90,252,193,2,537,1101,
107,Gwinnett,BAYCREEK E,3265,197,451,204,1,853,214,735,409,4,1362,2215,
108,Gwinnett,BERKSHIRE M,1864,182,365,218,2,767,96,304,235,0,635,1402,
109,Gwinnett,MARTINS G,2425,134,207,111,1,453,254,496,277,0,1027,1480,
110,Gwinnett,DULUTH H,2813,174,466,323,3,966,143,450,475,2,1070,2036,
111,Gwinnett,BERKSHIRE N,3128,117,768,409,1,1295,85,604,454,0,1143,2438,
112,Gwinnett,PINCKNEYVILLE V,1706,108,199,111,1,419,110,334,195,1,640,1059,
113,Gwinnett,PINCKNEYVILLE W,4253,248,530,421,2,1201,257,752,537,5,1551,2752,
114,Gwinnett,MARTINS H,5037,248,533,377,6,1164,383,1033,675,8,2099,3263,
115,Gwinnett,MARTINS I,4078,159,367,238,3,767,361,800,508,3,1672,2439,
116,Gwinnett,MARTINS J,3923,154,248,129,4,535,463,923,501,5,1892,2427,
117,Gwinnett,GARNERS F,1796,122,354,180,1,657,93,337,231,2,663,1320,
118,Gwinnett,BERKSHIRE O,2589,190,522,331,1,1044,119,422,331,2,874,1918,
119,Gwinnett,BERKSHIRE P,1476,101,152,80,1,334,122,239,181,1,543,877,
120,Gwinnett,PINCKNEYVILLE X,3412,234,591,433,8,1266,174,584,573,9,1340,2606,
121,Gwinnett,ROCKBRIDGE G,5799,141,416,232,2,791,382,1832,910,14,3138,3929,
122,Gwinnett,PINCKNEYVILLE Y,3272,105,171,99,2,377,348,648,329,0,1325,1702,
123,Gwinnett,GOODWINS G,2661,144,279,108,3,534,256,580,345,1,1182,1716,
124,Gwinnett,PINCKNEYVILLE Z,1898,310,380,349,0,1039,79,195,283,0,557,1596,
125,Gwinnett,PINCKNEYVILLE A1,2694,315,602,522,0,1439,90,330,407,0,827,2266,
126,Gwinnett,LAWRENCEVILLE J,2249,149,227,107,0,483,187,538,285,3,1013,1496,
127,Gwinnett,GOODWINS H,2796,216,496,205,0,917,164,526,366,2,1058,1975,
128,Gwinnett,DUNCANS B,5387,565,1682,512,4,2763,213,742,468,2,1425,4188,
129,Gwinnett,SUWANEE D,4732,438,1317,560,1,2316,158,694,561,2,1415,3731,
130,Gwinnett,SUWANEE E,4256,369,1131,500,1,2001,118,722,512,1,1353,3354,
131,Gwinnett,LAWRENCEVILLE K,3282,269,614,337,0,1220,175,616,438,0,1229,2449,
132,Gwinnett,HARBINS B,4845,340,1271,351,1,1963,192,869,408,3,1472,3435,
133,Gwinnett,BAYCREEK F,4608,238,582,267,6,1093,281,1325,627,6,2239,3332,
134,Gwinnett,PUCKETTS C,3367,264,901,256,1,1422,122,505,314,0,941,2363,
135,Gwinnett,HOG MOUNTAIN C,4292,351,930,360,0,1641,190,684,467,2,1343,2984,
136,Gwinnett,ROCKYCREEK B,5061,371,1263,402,1,2037,225,932,470,2,1629,3666,
137,Gwinnett,DULUTH I,5105,301,946,696,0,1943,178,724,836,1,1739,3682,
138,Gwinnett,MARTINS K,5352,209,402,292,0,903,478,1345,759,4,2586,3489,
139,Gwinnett,SUWANEE H,3785,336,1206,513,0,2055,106,500,396,1,1003,3058,
140,Gwinnett,SUGAR HILL G,2814,288,799,282,0,1369,79,374,347,1,801,2170,
141,Gwinnett,SUWANEE F,3966,305,819,353,2,1479,166,702,538,2,1408,2887,
142,Gwinnett,LAWRENCEVILLE L,4802,228,772,395,0,1395,270,1089,655,2,2016,3411,
143,Gwinnett,LAWRENCEVILLE M,7255,252,591,302,3,1148,509,2016,1021,5,3551,4699,
144,Gwinnett,BAYCREEK G,6241,264,811,322,0,1397,323,1927,876,1,3127,4524,
145,Gwinnett,BAYCREEK H,6811,367,1403,577,1,2348,326,1689,865,4,2884,5232,
146,Gwinnett,BAYCREEK I,5899,260,814,394,6,1474,312,1478,745,5,2540,4014,
147,Gwinnett,BERKSHIRE Q,1802,156,307,190,1,654,109,285,212,1,607,1261,
148,Gwinnett,GOODWINS I,2501,249,413,310,0,972,150,444,330,0,924,1896,
149,Gwinnett,DULUTH K,2786,86,160,93,1,340,219,557,303,1,1080,1420,
150,Gwinnett,HARBINS C,2850,386,633,196,2,1217,163,584,259,1,1007,2224,
151,Gwinnett,ROCKYCREEK C,4806,344,1218,393,0,1955,227,930,509,4,1670,3625,
152,Gwinnett,LAWRENCEVILLE N,2573,174,294,174,1,643,202,462,264,6,934,1577,
153,Gwinnett,PUCKETTS D,3622,255,967,366,4,1592,141,559,365,1,1066,2658,
154,Gwinnett,SUWANEE G,3904,304,760,300,0,1364,208,787,531,1,1527,2891,
155,Gwinnett,BAYCREEK J,4567,198,543,274,0,1015,306,1264,617,5,2192,3207,
