index,County,Precinct,Registered Voters,Travys Harper_Election Day Votes,Travys Harper_Advanced Voting Votes,Travys Harper_Absentee by Mail Votes,Travys Harper_Provisional Votes,Travys Harper_Choice Total,Ellis R. Lamme (I)_Election Day Votes,Ellis R. Lamme (I)_Advanced Voting Votes,Ellis R. Lamme (I)_Absentee by Mail Votes,Ellis R. Lamme (I)_Provisional Votes,Ellis R. Lamme (I)_Choice Total,Matthew R. Retter (I)_Election Day Votes,Matthew R. Retter (I)_Advanced Voting Votes,Matthew R. Retter (I)_Absentee by Mail Votes,Matthew R. Retter (I)_Provisional Votes,Matthew R. Retter (I)_Choice Total,Total,
40,Gwinnett,BAYCREEK B,5969,279,912,465,4,1660,460,1530,540,4,2534,378,1300,542,4,2224,6418,
41,Gwinnett,LAWRENCEVILLE C,3037,113,349,196,1,659,302,722,408,0,1432,268,634,384,0,1286,3377,
42,Gwinnett,MARTINS D,2402,166,257,169,3,595,214,361,204,0,779,180,265,170,1,616,1990,
43,Gwinnett,ROCKBRIDGE B,4177,181,560,322,1,1064,264,950,416,1,1631,232,772,392,0,1396,4091,
44,Gwinnett,GARNERS B,3178,104,424,262,2,792,188,809,403,3,1403,146,620,366,1,1133,3328,
45,Gwinnett,CATES F,1787,85,179,134,2,400,207,415,287,0,909,182,343,265,1,791,2100,
46,Gwinnett,CATES G,2875,81,318,256,0,655,239,865,546,0,1650,199,773,482,0,1454,3759,
47,Gwinnett,DULUTH B,3551,138,355,355,2,850,303,704,551,2,1560,266,613,496,0,1375,3785,
48,Gwinnett,GARNERS C,2030,84,230,171,1,486,148,469,241,0,858,132,407,215,0,754,2098,
49,Gwinnett,PINCKNEYVILLE I,2635,161,298,209,1,669,216,516,239,1,972,194,367,209,1,771,2412,
50,Gwinnett,PINCKNEYVILLE J,2613,161,334,161,2,658,231,508,178,2,919,161,387,153,0,701,2278,
51,Gwinnett,BERKSHIRE G,2419,62,335,177,0,574,175,701,350,0,1226,154,613,308,0,1075,2875,
52,Gwinnett,CATES H,3924,190,496,290,0,976,247,846,366,1,1460,189,663,341,0,1193,3629,
53,Gwinnett,SUGAR HILL C,5085,225,575,343,0,1143,571,1376,597,0,2544,538,1276,565,0,2379,6066,
54,Gwinnett,SUGAR HILL D,4624,178,591,292,2,1063,341,1351,470,3,2165,315,1159,444,6,1924,5152,
55,Gwinnett,DULUTH C,2229,105,233,201,1,540,239,463,294,2,998,208,414,293,0,915,2453,
56,Gwinnett,DULUTH D,5077,198,634,377,5,1214,374,1104,564,8,2050,310,915,492,10,1727,4991,
57,Gwinnett,PINCKNEYVILLE K,3754,220,484,280,7,991,345,664,305,5,1319,240,522,253,3,1018,3328,
58,Gwinnett,PINCKNEYVILLE N,3819,243,472,286,2,1003,405,776,276,4,1461,325,599,257,2,1183,3647,
59,Gwinnett,LAWRENCEVILLE D,5012,227,540,297,6,1070,388,858,385,4,1635,300,675,376,3,1354,4059,
60,Gwinnett,LAWRENCEVILLE E,2355,99,224,162,0,485,199,502,370,2,1073,185,454,359,1,999,2557,
61,Gwinnett,PINCKNEYVILLE L,2330,73,146,231,0,450,279,522,588,1,1390,281,475,515,1,1272,3112,
62,Gwinnett,PINCKNEYVILLE M,2673,71,184,240,0,495,318,719,542,0,1579,307,660,497,0,1464,3538,
63,Gwinnett,GARNERS D,3490,147,482,335,0,964,212,785,447,0,1444,156,636,397,0,1189,3597,
64,Gwinnett,BERKSHIRE H,1987,101,189,159,3,452,161,313,209,0,683,139,274,219,2,634,1769,
65,Gwinnett,PINCKNEYVILLE O,3359,167,426,205,3,801,262,669,248,4,1183,197,520,221,3,941,2925,
66,Gwinnett,PUCKETTS E,5660,175,710,419,3,1307,366,1432,646,3,2447,308,1220,596,1,2125,5879,
67,Gwinnett,CATES I,3537,121,432,329,1,883,312,957,576,0,1845,288,843,466,1,1598,4326,
68,Gwinnett,CATES J,3478,139,439,303,1,882,299,797,514,1,1611,252,686,495,1,1434,3927,
69,Gwinnett,GOODWINS B,3960,147,409,317,1,874,351,1061,561,0,1973,323,979,511,0,1813,4660,
70,Gwinnett,LAWRENCEVILLE F,4061,182,531,368,1,1082,296,904,409,1,1610,256,775,385,3,1419,4111,
71,Gwinnett,MARTINS E,6193,382,752,391,2,1527,483,1094,401,2,1980,362,788,335,2,1487,4994,
72,Gwinnett,PINCKNEYVILLE P,2185,107,223,200,1,531,232,464,366,1,1063,205,362,354,1,922,2516,
73,Gwinnett,PINCKNEYVILLE Q,1915,147,209,124,1,481,218,336,141,2,697,183,251,126,0,560,1738,
74,Gwinnett,ROCKBRIDGE C,5125,154,823,559,4,1540,274,1378,579,1,2232,204,1121,540,3,1868,5640,
75,Gwinnett,ROCKBRIDGE D,3642,118,614,340,3,1075,187,1030,418,3,1638,146,836,419,1,1402,4115,
76,Gwinnett,GOODWINS C,5804,274,702,529,0,1505,436,1248,742,0,2426,418,1007,635,1,2061,5992,
77,Gwinnett,BAYCREEK K,3824,112,551,309,0,972,216,1140,568,0,1924,186,978,514,0,1678,4574,
78,Gwinnett,CATES K,2810,114,305,211,0,630,275,753,407,3,1438,255,651,403,3,1312,3380,
79,Gwinnett,BAYCREEK C,6499,250,1034,546,1,1831,460,1856,715,0,3031,409,1589,674,0,2672,7534,
80,Gwinnett,CATES L,4185,194,530,332,2,1058,320,1041,523,2,1886,247,854,474,1,1576,4520,
81,Gwinnett,DULUTH E,4814,228,649,401,4,1282,439,1160,549,1,2149,370,940,515,3,1828,5259,
82,Gwinnett,GOODWINS D,4406,217,436,341,1,995,484,892,542,1,1919,420,775,470,2,1667,4581,
83,Gwinnett,LAWRENCEVILLE G,3046,120,390,243,1,754,229,681,294,0,1204,196,555,291,1,1043,3001,
84,Gwinnett,LAWRENCEVILLE H,4296,164,483,354,1,1002,337,1029,583,3,1952,282,917,534,3,1736,4690,
85,Gwinnett,MARTINS F,2570,161,304,189,3,657,221,391,236,1,849,195,296,219,3,713,2219,
86,Gwinnett,PINCKNEYVILLE S,3374,225,346,260,2,833,329,614,372,2,1317,240,485,342,2,1069,3219,
87,Gwinnett,ROCKBRIDGE E,4638,216,576,431,1,1224,356,945,478,2,1781,266,809,399,1,1475,4480,
88,Gwinnett,SUGAR HILL E,3589,150,425,269,2,846,339,992,469,3,1803,287,848,410,4,1549,4198,
89,Gwinnett,LAWRENCEVILLE I,3312,205,344,247,1,797,317,695,386,0,1398,245,568,341,0,1154,3349,
90,Gwinnett,BAYCREEK D,4609,155,636,344,0,1135,355,1286,582,0,2223,296,1125,542,0,1963,5321,
91,Gwinnett,BERKSHIRE J,2731,79,305,249,1,634,202,800,500,2,1504,170,697,429,0,1296,3434,
92,Gwinnett,CATES M,3988,114,486,327,2,929,317,1205,703,3,2228,290,1072,634,1,1997,5154,
93,Gwinnett,CATES N,2567,104,280,196,1,581,258,645,419,0,1322,233,594,404,0,1231,3134,
94,Gwinnett,DULUTH F,6161,290,756,539,6,1591,430,1174,636,9,2249,368,936,549,9,1862,5702,
95,Gwinnett,DULUTH G,3067,137,316,275,1,729,304,685,482,3,1474,262,618,442,2,1324,3527,
96,Gwinnett,GOODWINS E,5491,268,634,437,1,1340,495,1283,717,0,2495,438,1104,596,0,2138,5973,
97,Gwinnett,GOODWINS F,3212,121,350,314,0,785,241,681,397,0,1319,200,598,395,0,1193,3297,
98,Gwinnett,PINCKNEYVILLE T,3201,155,353,255,2,765,292,595,403,2,1292,241,480,372,1,1094,3151,
99,Gwinnett,SUWANEE B,4656,112,621,399,0,1132,261,1454,612,0,2327,217,1234,552,0,2003,5462,
100,Gwinnett,PINCKNEYVILLE U,2090,119,231,164,1,515,290,434,278,1,1003,240,362,217,4,823,2341,
