




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
PINCKNEYVILLE B               3485                          129                           264                           136                           3                             532                           292                           757                           394                           4                             1447                          8                             8                             1                             0                             17                            1996                          
PINCKNEYVILLE C               2082                          237                           271                           232                           1                             741                           130                           350                           405                           4                             889                           5                             3                             11                            0                             19                            1649                          
PINCKNEYVILLE D               2264                          94                            149                           82                            2                             327                           264                           449                           219                           3                             935                           6                             2                             6                             1                             15                            1277                          
SUGAR HILL A                  4654                          405                           860                           331                           2                             1598                          245                           661                           480                           3                             1389                          18                            16                            13                            0                             47                            3034                          
SUGAR HILL B                  5596                          504                           1162                          408                           13                            2087                          288                           950                           611                           5                             1854                          20                            28                            26                            0                             74                            4015                          
HOG MOUNTAIN A                5011                          308                           727                           290                           1                             1326                          334                           1102                          673                           1                             2110                          14                            22                            15                            0                             51                            3487                          
HOG MOUNTAIN B                4583                          391                           1063                          426                           3                             1883                          179                           782                           659                           2                             1622                          11                            9                             16                            0                             36                            3541                          
ROCKYCREEK A                  5939                          454                           1441                          382                           0                             2277                          288                           1180                          667                           4                             2139                          23                            25                            18                            0                             66                            4482                          
CATES B                       1587                          145                           319                           174                           1                             639                           77                            244                           209                           1                             531                           10                            13                            2                             0                             25                            1195                          
CATES C                       2903                          168                           309                           193                           1                             671                           174                           785                           436                           3                             1398                          11                            9                             9                             0                             29                            2098                          
HOG MOUNTAIN D                3179                          272                           670                           249                           1                             1192                          151                           502                           404                           1                             1058                          11                            14                            6                             0                             31                            2281                          
BERKSHIRE D                   2945                          140                           469                           282                           4                             895                           117                           630                           543                           3                             1293                          12                            23                            14                            0                             49                            2237                          
BERKSHIRE E                   1997                          155                           442                           192                           0                             789                           86                            374                           306                           1                             767                           6                             8                             10                            0                             24                            1580                          
BERKSHIRE F                   2254                          173                           222                           169                           0                             564                           181                           379                           312                           1                             873                           14                            7                             7                             0                             28                            1465                          
CATES D                       3755                          234                           624                           309                           0                             1167                          183                           843                           609                           2                             1637                          7                             12                            11                            0                             30                            2834                          
CATES E                       2942                          213                           542                           285                           1                             1041                          154                           617                           515                           1                             1287                          13                            18                            14                            0                             45                            2373                          
PINCKNEYVILLE E               2184                          113                           105                           57                            2                             277                           240                           487                           283                           7                             1017                          1                             8                             10                            1                             20                            1314                          
PINCKNEYVILLE F               2546                          116                           221                           113                           2                             452                           242                           480                           341                           2                             1065                          2                             12                            13                            0                             27                            1544                          
DUNCANS D                     7153                          607                           2087                          690                           3                             3387                          294                           991                           769                           0                             2054                          17                            35                            16                            0                             68                            5509                          
PINCKNEYVILLE H               4536                          332                           721                           431                           1                             1485                          235                           906                           836                           3                             1980                          9                             17                            16                            0                             42                            3507                          
BAYCREEK B                    5969                          260                           638                           278                           3                             1179                          426                           1751                          814                           7                             2998                          19                            13                            14                            0                             46                            4223                          
LAWRENCEVILLE C               3037                          288                           615                           271                           0                             1174                          142                           493                           346                           1                             982                           15                            14                            13                            0                             42                            2198                          
MARTINS D                     2402                          104                           131                           102                           5                             342                           268                           457                           297                           1                             1023                          4                             1                             4                             0                             9                             1374                          
ROCKBRIDGE B                  4177                          146                           331                           164                           1                             642                           298                           1163                          620                           1                             2082                          6                             13                            6                             0                             25                            2749                          
GARNERS B                     3178                          114                           399                           224                           5                             742                           196                           857                           495                           1                             1549                          4                             6                             6                             0                             16                            2307                          
CATES F                       1787                          207                           318                           224                           1                             750                           104                           300                           247                           1                             652                           9                             6                             3                             0                             18                            1420                          
CATES G                       2875                          201                           657                           351                           0                             1209                          125                           559                           449                           0                             1133                          4                             11                            10                            0                             25                            2367                          
DULUTH B                      3551                          247                           543                           352                           3                             1145                          198                           533                           578                           3                             1312                          9                             8                             15                            0                             32                            2489                          
GARNERS C                     2030                          134                           294                           131                           1                             560                           124                           458                           273                           0                             855                           8                             9                             7                             1                             25                            1440                          
PINCKNEYVILLE I               2635                          115                           192                           127                           0                             434                           249                           576                           328                           1                             1154                          8                             9                             2                             1                             20                            1608                          
PINCKNEYVILLE J               2613                          77                            127                           61                            0                             265                           268                           646                           283                           3                             1200                          8                             6                             1                             0                             15                            1480                          
BERKSHIRE G                   2419                          159                           488                           228                           1                             876                           113                           562                           332                           1                             1008                          7                             21                            3                             0                             31                            1915                          
