




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
McEachern 01                  3549                          2720                          76.64%
McCleskey 01                  1736                          1459                          84.04%
McClure 01                    3290                          2640                          80.24%
Marietta 1A                   4468                          2413                          54.01%
Marietta 2A                   2059                          1756                          85.28%
Marietta 2B                   4447                          3146                          70.74%
Marietta 3A                   4388                          3272                          74.57%
Marietta 3B                   2218                          1379                          62.17%
Marietta 4A                   1956                          1711                          87.47%
Marietta 4B                   2056                          1565                          76.12%
Marietta 4C                   2781                          2297                          82.60%
Marietta 5A                   3324                          2110                          63.48%
Marietta 5B                   3084                          1669                          54.12%
Marietta 6A                   2647                          1580                          59.69%
Marietta 6B                   2910                          2325                          79.90%
Marietta 7A                   3745                          1860                          49.67%
Mars Hill 01                  3633                          2785                          76.66%
Mars Hill 02                  2916                          2133                          73.15%
Mt Bethel 01                  4125                          3488                          84.56%
Mt Bethel 03                  3294                          2701                          82.00%
Mt Bethel 04                  2981                          2468                          82.79%
North Cobb 01                 2317                          1704                          73.54%
Nickajack 01                  4889                          3552                          72.65%
Norton Park 01                4922                          3225                          65.52%
Nicholson 01                  2455                          1867                          76.05%
Oakdale 01                    3944                          3091                          78.37%
Oregon 01                     1614                          1365                          84.57%
Oregon 02                     5671                          3880                          68.42%
Oregon 03                     5713                          3210                          56.19%
Oregon 04                     4673                          3269                          69.96%
Oregon 05                     3846                          3111                          80.89%
Pebblebrook 01                5218                          3361                          64.41%
Powers Ferry 01               3504                          2582                          73.69%
Pine Mountain 01              3491                          2879                          82.47%
Pine Mountain 02              3127                          2660                          85.07%
Post Oak 01                   3660                          3030                          82.79%
Pope 01                       3153                          2596                          82.33%
Palmer 01                     2760                          2061                          74.67%
Powders Springs 1A            4755                          3657                          76.91%
Powders Springs 2A            3536                          2322                          65.67%
Powders Springs 3A            3991                          2750                          68.91%
Pitner 01                     2814                          2144                          76.19%
Rocky Mount 01                3390                          2742                          80.88%
Riverside 01                  2133                          1137                          53.31%
Roswell 01                    5374                          4622                          86.01%
Roswell 02                    3701                          3147                          85.03%
Sandy Plains 01               2933                          2383                          81.25%
Shallowford Falls 01          3387                          2866                          84.62%
Simpson 01                    1868                          1529                          81.85%
Sewell Mill 01                3493                          2872                          82.22%
Sewell Mill 03                4759                          3198                          67.20%
Smyrna 1A                     4152                          2539                          61.15%
Smyrna 2A                     5539                          3737                          67.47%
Smyrna 3A                     4573                          3227                          70.57%
Smyrna 3B                     2496                          1964                          78.69%
Smyrna 4A                     5842                          4806                          82.27%
Smyrna 5A                     4319                          2894                          67.01%
Smyrna 6A                     5936                          4647                          78.29%
Smyrna 7A                     6378                          5267                          82.58%
Sope Creek 01                 2163                          1855                          85.76%
Sope Creek 02                 4729                          3702                          78.28%
Sope Creek 03                 2886                          2335                          80.91%
Sweetwater 01                 3235                          2352                          72.70%
Sweetwater 02                 3367                          2001                          59.43%
Terrell Mill 01               5816                          3604                          61.97%
Timber Ridge 01               2448                          2091                          85.42%
Vaughan 01                    3146                          2579                          81.98%
Vinings 01                    3260                          2362                          72.45%
Vinings 02                    6400                          4506                          70.41%
Vinings 03                    4407                          3298                          74.84%
Vinings 04                    3405                          2692                          79.06%
Wade Green 02                 4718                          3559                          75.43%
Willeo 01                     2836                          2416                          85.19%
Total:                        537611                        396549                        73.76%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Acworth 1A                    5458                          260                           1075                          584                           0                             1919                          224                           883                           927                           3                             2037                          8                             14                            26                            0                             48                            4004                          
Acworth 1B                    5214                          411                           990                           538                           2                             1941                          276                           716                           686                           4                             1682                          17                            18                            20                            0                             55                            3678                          
Acworth 1C                    5110                          208                           689                           285                           1                             1183                          293                           1107                          840                           9                             2249                          19                            28                            12                            0                             59                            3491                          
Addison 01                    2444                          237                           353                           340                           0                             930                           131                           343                           513                           3                             990                           12                            12                            12                            0                             36                            1956                          
Austell 1A                    5329                          165                           285                           186                           2                             638                           380                           1312                          981                           10                            2683                          6                             2                             9                             0                             17                            3338                          
Bells Ferry 02                3127                          312                           499                           315                           1                             1127                          163                           428                           535                           1                             1127                          22                            16                            13                            0                             51                            2305                          
Bells Ferry 03                2436                          274                           321                           171                           2                             768                           186                           315                           369                           1                             871                           17                            13                            12                            0                             42                            1681                          
Bells Ferry 04                3646                          456                           611                           378                           1                             1446                          198                           469                           509                           4                             1180                          31                            16                            20                            0                             67                            2693                          
Big Shanty 01                 2385                          210                           360                           251                           6                             827                           151                           304                           291                           1                             747                           14                            7                             9                             0                             30                            1604                          
Big Shanty 02                 3236                          295                           558                           376                           2                             1231                          191                           489                           547                           2                             1229                          14                            14                            10                            0                             38                            2498                          
Baker 01                      4773                          350                           682                           284                           3                             1319                          299                           1008                          671                           6                             1984                          24                            25                            16                            0                             65                            3368                          
Birney 01                     2727                          139                           241                           255                           6                             641                           217                           475                           452                           8                             1152                          9                             8                             11                            0                             28                            1821                          
Birney 02                     3894                          181                           402                           345                           1                             929                           200                           886                           880                           4                             1970                          11                            11                            5                             0                             27                            2926                          
Bryant 01                     2142                          30                            45                            26                            0                             101                           189                           711                           474                           3                             1377                          1                             7                             2                             0                             10                            1488                          
Bryant 02                     6209                          73                            110                           61                            0                             244                           520                           1493                          796                           7                             2816                          10                            11                            10                            0                             31                            3091                          
Blackwell 01                  2698                          208                           429                           267                           4                             908                           188                           385                           540                           0                             1113                          21                            12                            9                             0                             42                            2063                          
Chattahoochee 01              5969                          257                           494                           231                           4                             986                           432                           1427                          995                           6                             2860                          24                            32                            21                            0                             77                            3923                          
Cheatham Hill 02              3085                          302                           696                           410                           0                             1408                          125                           407                           529                           1                             1062                          19                            12                            14                            0                             45                            2515                          
Cheatham Hill 03              4029                          310                           796                           492                           1                             1599                          155                           749                           741                           0                             1645                          11                            22                            17                            0                             50                            3294                          
Chalker 01                    6065                          312                           617                           419                           1                             1349                          489                           1160                          815                           3                             2467                          30                            19                            18                            0                             67                            3883                          
Clarkdale 01                  1937                          117                           208                           152                           1                             478                           124                           330                           308                           2                             764                           3                             7                             6                             0                             16                            1258                          
Clarkdale 02                  5372                          275                           476                           277                           2                             1030                          447                           1278                          866                           5                             2596                          15                            14                            12                            0                             41                            3667                          
Cooper 01                     5252                          140                           320                           234                           0                             694                           421                           1248                          938                           4                             2611                          9                             7                             12                            0                             28                            3333                          
Chestnut Ridge 01             3162                          317                           596                           533                           0                             1446                          135                           392                           688                           0                             1215                          10                            6                             24                            0                             40                            2701                          
Dickerson 01                  2828                          258                           543                           402                           6                             1209                          104                           366                           679                           0                             1149                          9                             9                             16                            0                             34                            2392                          
Dobbins 01                    3024                          109                           134                           116                           7                             366                           250                           426                           361                           6                             1043                          9                             7                             8                             2                             26                            1435                          
Dobbins 02                    3984                          183                           295                           132                           1                             611                           367                           869                           553                           7                             1796                          23                            11                            9                             0                             43                            2450                          
Dowell 01                     3197                          246                           534                           291                           0                             1071                          178                           591                           612                           4                             1385                          11                            22                            21                            0                             54                            2510                          
Dodgen 01                     2100                          237                           358                           324                           2                             921                           100                           275                           434                           1                             810                           13                            8                             20                            0                             41                            1772                          
Durham 01                     4256                          385                           1339                          557                           2                             2283                          103                           537                           538                           1                             1179                          12                            18                            23                            0                             53                            3515                          
Davis 01                      2093                          310                           340                           207                           0                             857                           142                           293                           371                           1                             807                           15                            5                             20                            0                             40                            1704                          
Eastside 01                   3040                          299                           540                           494                           2                             1335                          127                           366                           705                           2                             1200                          11                            5                             18                            0                             34                            2569                          
Eastside 02                   4074                          301                           689                           706                           2                             1698                          138                           510                           952                           1                             1601                          17                            21                            35                            0                             73                            3372                          
Elizabeth 01                  4065                          225                           327                           169                           1                             722                           333                           824                           560                           4                             1721                          12                            9                             17                            0                             38                            2481                          
Elizabeth 02                  2434                          256                           381                           383                           2                             1022                          130                           318                           414                           2                             864                           6                             7                             13                            0                             26                            1912                          
Elizabeth 03                  2767                          302                           446                           476                           2                             1226                          127                           384                           503                           0                             1014                          20                            5                             15                            0                             40                            2280                          
Elizabeth 04                  3011                          242                           269                           203                           1                             715                           282                           479                           556                           0                             1317                          13                            10                            14                            0                             37                            2069                          
Elizabeth 05                  2884                          327                           444                           332                           0                             1103                          160                           395                           612                           1                             1168                          16                            6                             10                            0                             32                            2303                          
East Piedmont 01              2627                          259                           301                           221                           1                             782                           203                           421                           453                           0                             1077                          12                            10                            5                             0                             27                            1886                          
Fair Oaks 02                  5779                          251                           396                           304                           5                             956                           495                           1079                          970                           7                             2551                          13                            9                             10                            0                             32                            3539                          
Fair Oaks 04                  5322                          284                           307                           265                           0                             856                           510                           657                           649                           9                             1825                          17                            11                            9                             1                             38                            2719                          
Fullers Park 01               3452                          341                           602                           493                           0                             1436                          158                           451                           765                           0                             1374                          12                            10                            16                            0                             38                            2848                          
Ford 01                       3161                          307                           955                           401                           1                             1664                          87                            383                           396                           0                             866                           12                            10                            12                            0                             34                            2564                          
Frey 01                       2582                          172                           812                           303                           0                             1287                          73                            343                           315                           1                             732                           4                             11                            11                            0                             26                            2045                          
Garrison Mill 01              2872                          319                           556                           335                           1                             1211                          148                           403                           554                           0                             1105                          18                            12                            7                             0                             37                            2353                          
Gritters 01                   4033                          433                           671                           473                           1                             1578                          248                           486                           624                           1                             1359                          24                            20                            29                            0                             73                            3010                          
Harmony-Leland 01             6394                          135                           349                           221                           0                             705                           356                           1969                          1487                          5                             3817                          10                            12                            22                            0                             44                            4566                          
Harrison 01                   3122                          333                           875                           457                           0                             1665                          104                           348                           364                           0                             816                           25                            7                             15                            0                             47                            2528                          
Hightower 01                  4262                          371                           724                           763                           0                             1858                          127                           511                           1002                          0                             1640                          23                            23                            32                            0                             78                            3576                          
Hayes 01                      4111                          362                           1055                          596                           1                             2014                          131                           493                           591                           1                             1216                          16                            16                            17                            0                             49                            3279                          
Kennesaw 1A                   2499                          205                           349                           189                           7                             750                           200                           421                           248                           7                             876                           18                            13                            9                             2                             42                            1668                          
Kennesaw 2A                   3944                          312                           684                           332                           1                             1329                          212                           613                           550                           4                             1379                          16                            16                            12                            0                             44                            2752                          
Kennesaw 3A                   6477                          293                           840                           417                           4                             1554                          390                           1290                          981                           4                             2665                          28                            29                            29                            0                             86                            4305                          
Kennesaw 4A                   3783                          238                           641                           369                           3                             1251                          197                           609                           590                           0                             1396                          10                            21                            21                            0                             52                            2699                          
