




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Dunwoody                      3003                          120                           443                           184                           1                             748                           109                           791                           536                           7                             1443                          2191                          
Dunwoody 2                    2044                          128                           479                           215                           2                             824                           43                            528                           321                           2                             894                           1718                          
Dunwoody Library              2570                          104                           766                           271                           1                             1142                          37                            588                           399                           2                             1026                          2168                          
Georgetown Sq                 4155                          161                           575                           196                           3                             935                           190                           1114                          573                           4                             1881                          2816                          
Huntley Hills Elem            3508                          96                            195                           78                            2                             371                           183                           703                           332                           1                             1219                          1590                          
Kingsley Elem                 2490                          194                           594                           321                           3                             1112                          84                            444                           457                           6                             991                           2103                          
Mount Vernon East             2651                          197                           681                           257                           1                             1136                          81                            598                           393                           1                             1073                          2209                          
Mount Vernon West             2303                          113                           549                           195                           5                             862                           49                            619                           343                           5                             1016                          1878                          
North Peachtree               1916                          87                            183                           93                            3                             366                           113                           443                           273                           3                             832                           1198                          
Peachtree Middle              3502                          120                           363                           178                           2                             663                           186                           1032                          528                           2                             1748                          2411                          
Tilly Mill Road               1552                          125                           354                           149                           1                             629                           53                            350                           238                           0                             641                           1270                          
Winters Chapel                1434                          121                           296                           137                           1                             555                           59                            307                           261                           1                             628                           1183                          
Totals:                       39094                         1990                          6443                          2724                          28                            11185                         1586                          9288                          5690                          38                            16602                         27787                         

                                                                                                                                                             State House District 80
                                                            Alan Cole (Rep)                                                                                                                                       Matthew Wilson (I) (Dem)                                                                                                                              
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Ashford Dunwoody Rd           2966                          205                           650                           241                           4                             1100                          60                            757                           515                           2                             1334                          2434                          
Ashford Parkside              3664                          190                           642                           293                           1                             1126                          97                            782                           699                           5                             1583                          2709                          
Briarwood                     2428                          122                           410                           132                           1                             665                           99                            570                           407                           0                             1076                          1741                          
Brookhaven                    3444                          246                           703                           235                           1                             1185                          142                           822                           559                           2                             1525                          2710                          
Cross Keys High               2260                          103                           269                           142                           0                             514                           105                           500                           463                           3                             1071                          1585                          
Chamblee 2                    3137                          18                            74                            17                            0                             109                           8                             92                            83                            0                             183                           292                           
Huntley Hills Elem            3508                          54                            150                           52                            0                             256                           72                            333                           158                           0                             563                           819                           
Kittredge Elem                2161                          141                           482                           197                           2                             822                           55                            512                           403                           2                             972                           1794                          
Montgomery Elem               2446                          172                           482                           246                           3                             903                           77                            587                           442                           3                             1109                          2012                          
Silver Lake                   4979                          201                           1027                          383                           1                             1612                          136                           1074                          785                           2                             1997                          3609                          
Skyland                       2100                          3                             1                             0                             0                             4                             1                             1                             4                             0                             6                             10                            
Woodward                      3193                          54                            214                           127                           0                             395                           79                            527                           470                           2                             1078                          1473                          
Totals:                       36286                         1509                          5104                          2065                          13                            8691                          931                           6557                          4988                          21                            12497                         21188                         

                                                                                  State House District 81
                                                            Scott Holcomb (I) (Dem)                                                                                                                               
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Ashford Park Elem             2432                          183                           776                           458                           0                             1417                          1417                          
Chamblee                      2231                          159                           751                           404                           2                             1316                          1316                          
Chamblee 2                    3137                          151                           1057                          544                           0                             1752                          1752                          
Doraville North               3065                          119                           185                           165                           1                             470                           470                           
Doraville South               1255                          126                           332                           217                           2                             677                           677                           
Dresden Elem                  5141                          91                            269                           257                           0                             617                           617                           
Embry Hills                   1721                          70                            355                           250                           0                             675                           675                           
Evansdale Elem                3441                          228                           896                           603                           2                             1729                          1729                          
Henderson Mill                3104                          185                           991                           753                           2                             1931                          1931                          
Livsey Elem                   1350                          82                            488                           324                           0                             894                           894                           
Midvale Elem                  2747                          126                           674                           513                           3                             1316                          1316                          
Oakcliff Elem                 2125                          280                           464                           305                           5                             1054                          1054                          
Pleasantdale Road             4538                          18                            120                           127                           0                             265                           265                           
Skyland                       2100                          175                           687                           387                           4                             1253                          1253                          
Tucker Library                3506                          0                             19                            9                             0                             28                            28                            
Warren Tech                   1364                          173                           366                           235                           3                             777                           777                           
Totals:                       43257                         2166                          8430                          5551                          24                            16171                         16171                         

                                                                                  State House District 82
                                                            Mary Margaret Oliver (I) (Dem)                                                                                                                        
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Briarcliff                    3122                          161                           791                           823                           5                             1780                          1780                          
Clairemont East               3226                          113                           1151                          1178                          3                             2445                          2445                          
Dresden Elem                  5141                          302                           1133                          723                           4                             2162                          2162                          
Druid Hills High              2725                          142                           676                           680                           2                             1500                          1500                          
Emory Road                    2290                          126                           646                           439                           6                             1217                          1217                          
Fernbank Elem                 2125                          0                             0                             1                             0                             1                             1                             
Hawthorne Elem                3884                          292                           1218                          714                           3                             2227                          2227                          
Harris-Margaret Harris ED     1462                          133                           496                           318                           4                             951                           951                           
Lakeside High                 3216                          88                            352                           199                           0                             639                           639                           
Lavista Road                  2223                          141                           596                           664                           3                             1404                          1404                          
Lavista                       3223                          211                           878                           677                           7                             1773                          1773                          
Montclair Elem                2194                          220                           655                           245                           4                             1124                          1124                          
Oak Grove Elem                2253                          166                           690                           619                           0                             1475                          1475                          
Sagamore Hills Elem           2925                          199                           932                           878                           0                             2009                          2009                          
Woodward                      3193                          62                            372                           295                           0                             729                           729                           
Totals:                       43202                         2356                          10586                         8453                          41                            21436                         21436                         

                                                                                  State House District 83
                                                            Becky Evans (I) (Dem)                                                                                                                                 
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Briar Vista Elem              2965                          197                           863                           851                           1                             1912                          1912                          
Clifton                       1731                          125                           529                           327                           4                             985                           985                           
Cedar Grove Middle            1896                          132                           501                           263                           1                             897                           897                           
Decatur                       1937                          85                            896                           499                           0                             1480                          1480                          
East Lake                     4139                          218                           1506                          925                           5                             2654                          2654                          
Emory South                   3241                          191                           1061                          924                           6                             2182                          2182                          
Fernbank Elem                 2125                          124                           721                           770                           2                             1617                          1617                          
Flat Shoals Elem              2409                          203                           638                           414                           3                             1258                          1258                          
Flat Shoals                   2649                          189                           655                           456                           4                             1304                          1304                          
Harris-Narvie J Harris Elem   4031                          180                           1613                          791                           2                             2586                          2586                          
Johnson Estates               1600                          52                            530                           556                           0                             1138                          1138                          
Kelley Lake Elem              3015                          281                           759                           558                           1                             1599                          1599                          
McNair                        2794                          180                           835                           595                           6                             1616                          1616                          
McNair Academy                1900                          132                           624                           443                           2                             1201                          1201                          
Oakhurst                      2398                          113                           1055                          719                           1                             1888                          1888                          
Oak View Elem                 5011                          358                           1725                          745                           9                             2837                          2837                          
Ponce de Leon                 3766                          120                           915                           846                           9                             1890                          1890                          
Totals:                       47607                         2880                          15426                         10682                         56                            29044                         29044                         

                                                                                  State House District 84
                                                            Renitta Shannon (I) (Dem)                                                                                                                             
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Avondale High                 3151                          58                            517                           389                           3                             967                           967                           
Columbia Elem                 1794                          149                           334                           238                           3                             724                           724                           
Chapel Hill Elem              3349                          262                           1208                          683                           3                             2156                          2156                          
Clairemont West               3264                          137                           1180                          1056                          2                             2375                          2375                          
Clairmont Road                3223                          189                           903                           929                           6                             2027                          2027                          
Columbia Middle               2178                          154                           605                           341                           3                             1103                          1103                          
Candler                       3537                          250                           1022                          592                           8                             1872                          1872                          
East Lake                     4139                          0                             2                             2                             0                             4                             4                             
Flat Shoals Parkway           3449                          202                           1305                          740                           1                             2248                          2248                          
Flakes Mill Fire Station      2103                          120                           744                           425                           3                             1292                          1292                          
Flat Shoals Library           2788                          244                           728                           416                           1                             1389                          1389                          
Glennwood                     2715                          75                            754                           710                           2                             1541                          1541                          
Medlock                       2208                          145                           706                           682                           1                             1534                          1534                          
Mathis-Bob Mathis Elem        2789                          227                           943                           698                           2                             1870                          1870                          
Scott                         2805                          118                           828                           894                           0                             1840                          1840                          
Shamrock                      1600                          137                           468                           483                           2                             1090                          1090                          
Snapfinger Road               4872                          220                           2209                          1067                          5                             3501                          3501                          
Toney Elem                    1729                          154                           452                           350                           2                             958                           958                           
Winnona Park                  2020                          50                            866                           580                           2                             1498                          1498                          
Totals:                       53713                         2891                          15774                         11275                         49                            29989                         29989                         

                                                                                  State House District 85
                                                            Karla Drenner (I) (Dem)                                                                                                                               
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Avondale                      2906                          299                           1009                          793                           1                             2102                          2102                          
Avondale High                 3151                          74                            650                           546                           0                             1270                          1270                          
Columbia Drive                2526                          216                           584                           468                           7                             1275                          1275                          
Clairemont West               3264                          3                             23                            14                            0                             40                            40                            
Clarkston                     3878                          149                           322                           210                           2                             683                           683                           
Covington Hwy                 995                           54                            101                           61                            1                             217                           217                           
Covington                     2376                          141                           699                           375                           3                             1218                          1218                          
Clarkston Community Center    2495                          225                           610                           376                           5                             1216                          1216                          
Glennwood                     2715                          9                             126                           102                           0                             237                           237                           
Indian Creek                  2318                          179                           519                           375                           9                             1082                          1082                          
Jolly Elem                    3679                          0                             8                             2                             0                             10                            10                            
Knollwood                     2546                          262                           665                           467                           7                             1401                          1401                          
McLendon                      3607                          186                           1057                          896                           7                             2146                          2146                          
Midway                        3139                          181                           755                           624                           2                             1562                          1562                          
North Decatur                 2166                          123                           637                           530                           12                            1302                          1302                          
Shaw-Robert Shaw Elem         2892                          250                           858                           579                           2                             1689                          1689                          
Snapfinger Elem               1894                          163                           604                           498                           0                             1265                          1265                          
Snapfinger Road N             2705                          240                           677                           467                           2                             1386                          1386                          
Valley Brook                  1037                          120                           304                           257                           5                             686                           686                           
Wadsworth                     3159                          277                           873                           652                           8                             1810                          1810                          
Winnona Park                  2020                          2                             16                            6                             0                             24                            24                            
Totals:                       55468                         3153                          11097                         8298                          73                            22621                         22621                         

                                                                                  State House District 86
                                                            Zulma Lopez (Dem)                                                                                                                                     
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Allgood Elem                  2858                          255                           903                           610                           1                             1769                          1769                          
Austin Drive                  2536                          204                           641                           452                           10                            1307                          1307                          
Briarlake Elem                1752                          128                           526                           473                           1                             1128                          1128                          
Clarkston                     3878                          220                           595                           217                           2                             1034                          1034                          
Coralwood                     3153                          150                           1032                          953                           1                             2136                          2136                          
Clarkston Community Center    2495                          3                             18                            11                            0                             32                            32                            
Dunaire Elem                  2268                          190                           634                           432                           3                             1259                          1259                          
Glenhaven                     1880                          225                           488                           323                           0                             1036                          1036                          
Glenwood Road                 2293                          202                           546                           400                           3                             1151                          1151                          
Jolly Elem                    3679                          268                           921                           638                           9                             1836                          1836                          
Lakeside High                 3216                          122                           695                           541                           1                             1359                          1359                          
Montreal                      2586                          174                           732                           468                           2                             1376                          1376                          
Memorial South                3138                          252                           728                           391                           14                            1385                          1385                          
Northlake                     1509                          123                           456                           415                           1                             995                           995                           
Peachcrest                    2458                          176                           623                           448                           2                             1249                          1249                          
Rehoboth                      1813                          100                           490                           568                           0                             1158                          1158                          
Rowland Elem                  3765                          291                           920                           585                           3                             1799                          1799                          
Rowland Road                  2080                          187                           591                           418                           2                             1198                          1198                          
Totals:                       47357                         3270                          11539                         8343                          55                            23207                         23207                         

                                                                                  State House District 87
                                                            Viola Davis (I) (Dem)                                                                                                                                 
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Brockett Elem                 2752                          169                           848                           581                           5                             1603                          1603                          
Brockett                      2681                          229                           773                           534                           4                             1540                          1540                          
Clarkston                     3878                          23                            61                            12                            1                             97                            97                            
Crossroads                    2898                          201                           774                           580                           2                             1557                          1557                          
Evansdale Elem                3441                          29                            177                           144                           0                             350                           350                           
Freedom Middle                3227                          298                           876                           560                           9                             1743                          1743                          
Hambrick Elem                 3776                          307                           1113                          645                           8                             2073                          2073                          
Idlewood Elem                 2472                          226                           758                           428                           7                             1419                          1419                          
Midvale Elem                  2747                          36                            182                           155                           0                             373                           373                           
Miller Grove                  4747                          1                             7                             2                             2                             12                            12                            
Montreal                      2586                          30                            88                            62                            1                             181                           181                           
Midvale Road                  1832                          150                           643                           330                           0                             1123                          1123                          
