




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
101                           896                           661                           73.77%
102                           1278                          664                           51.96%
103                           1428                          791                           55.39%
104                           2976                          1677                          56.35%
105                           832                           552                           66.35%
106                           1182                          520                           43.99%
107                           1800                          1304                          72.44%
108                           517                           337                           65.18%
109                           1052                          636                           60.46%
111                           1578                          898                           56.91%
112                           882                           546                           61.90%
114                           856                           451                           52.69%
201                           581                           795                           136.83%
115                           1332                          262                           19.67%
202                           4492                          2563                          57.06%
203                           991                           548                           55.30%
204                           1578                          1105                          70.03%
207                           2705                          1391                          51.42%
208                           2651                          1452                          54.77%
210                           1507                          984                           65.30%
301                           2409                          1957                          81.24%
302                           1032                          618                           59.88%
303                           1417                          1168                          82.43%
304                           365                           278                           76.16%
305                           428                           390                           91.12%
306                           3934                          2604                          66.19%
307                           1642                          1221                          74.36%
308                           622                           397                           63.83%
309                           3340                          2478                          74.19%
310                           5163                          3608                          69.88%
401                           2093                          1537                          73.44%
402                           3311                          1730                          52.25%
404                           1748                          1186                          67.85%
405                           4424                          3214                          72.65%
406                           3221                          2368                          73.52%
501                           3549                          2148                          60.52%
502                           4138                          2578                          62.30%
503                           4021                          2469                          61.40%
504                           2339                          1275                          54.51%
506                           416                           236                           56.73%
507                           968                           648                           66.94%
509                           2172                          1463                          67.36%
601                           3988                          2256                          56.57%
603                           3570                          2272                          63.64%
604                           1811                          1056                          58.31%
605                           3880                          2300                          59.28%
607                           1812                          1244                          68.65%
608                           1472                          1031                          70.04%
701                           2403                          1844                          76.74%
702                           1943                          1419                          73.03%
703                           4644                          2903                          62.51%
705                           2276                          1698                          74.60%
706                           3315                          2489                          75.08%
707                           2122                          1386                          65.32%
708                           305                           235                           77.05%
709                           576                           414                           71.88%
801                           523                           368                           70.36%
801B                          523                           372                           71.13%
802                           3251                          2103                          64.69%
803                           252                           113                           44.84%
804                           2096                          1388                          66.22%
804H                          2863                          1940                          67.76%
805                           798                           550                           68.92%
806                           1212                          835                           68.89%
807                           1578                          944                           59.82%
808                           2366                          1709                          72.23%
809                           879                           638                           72.58%
810                           425                           315                           74.12%
Total:                        134749                        87530                         64.96%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
304                           365                           56                            62                            40                            0                             158                           14                            50                            48                            0                             112                           0                             3                             2                             0                             5                             275                           
305                           428                           44                            153                           78                            1                             276                           10                            44                            47                            0                             101                           0                             4                             1                             0                             5                             382                           
306                           3934                          221                           378                           268                           0                             867                           271                           833                           574                           3                             1681                          16                            16                            11                            0                             43                            2591                          
307                           1642                          176                           360                           166                           0                             702                           65                            188                           219                           0                             472                           7                             7                             11                            0                             25                            1199                          
308                           622                           42                            69                            41                            0                             152                           48                            107                           79                            1                             235                           5                             2                             1                             0                             8                             395                           
309                           3340                          91                            135                           80                            1                             307                           296                           1097                          740                           2                             2135                          10                            9                             7                             0                             26                            2468                          
310                           5163                          242                           379                           179                           1                             801                           393                           1363                          976                           4                             2736                          20                            20                            13                            0                             53                            3590                          
401                           2093                          29                            44                            21                            0                             94                            232                           701                           491                           0                             1424                          1                             3                             5                             0                             9                             1527                          
402                           3311                          72                            67                            50                            0                             189                           419                           531                           541                           4                             1495                          10                            13                            11                            0                             34                            1718                          
404                           1748                          39                            52                            50                            1                             142                           229                           459                           339                           3                             1030                          6                             2                             2                             0                             10                            1182                          
405                           4424                          56                            118                           90                            0                             264                           341                           1462                          1109                          5                             2917                          2                             9                             9                             0                             20                            3201                          
406                           3221                          58                            82                            64                            1                             205                           319                           1007                          800                           4                             2130                          9                             10                            4                             0                             23                            2358                          
501                           3549                          65                            100                           104                           0                             269                           368                           737                           752                           4                             1861                          4                             5                             2                             0                             11                            2141                          
502                           4138                          87                            96                            66                            0                             249                           458                           958                           872                           8                             2296                          16                            4                             6                             0                             26                            2571                          
503                           4021                          93                            185                           84                            1                             363                           373                           903                           781                           4                             2061                          7                             13                            7                             0                             27                            2451                          
504                           2339                          142                           107                           85                            2                             336                           246                           366                           293                           4                             909                           8                             7                             5                             0                             20                            1265                          
506                           416                           14                            44                            11                            0                             69                            39                            77                            43                            3                             162                           0                             1                             0                             0                             1                             232                           
507                           968                           41                            67                            39                            0                             147                           139                           208                           139                           1                             487                           5                             5                             2                             0                             12                            646                           
509                           2172                          55                            84                            57                            1                             197                           200                           609                           435                           4                             1248                          5                             2                             2                             0                             9                             1454                          
601                           3988                          157                           258                           104                           4                             523                           330                           795                           555                           13                            1693                          11                            12                            12                            0                             35                            2251                          
603                           3570                          392                           390                           256                           0                             1038                          298                           470                           411                           2                             1181                          12                            12                            8                             0                             32                            2251                          
604                           1811                          163                           83                            67                            0                             313                           185                           311                           228                           0                             724                           4                             1                             7                             0                             12                            1049                          
605                           3880                          235                           318                           202                           0                             755                           312                           644                           549                           3                             1508                          16                            6                             9                             0                             31                            2294                          
