county,precinct_id,precinct_name,SHAPE_idx,PART_idx,RES_idx
Bulloch,1,Lockhart,651.0,166.0,1745.0
Bulloch,14,Church,652.0,163.0,1750.0
Bulloch,5,Stilson,661.0,167.0,1756.0
Bulloch,12,Portal,662.0,175.0,1748.0
Bulloch,10,,657.0,162.0,1746.0
Bulloch,4,Brooklet,658.0,174.0,1755.0
Bulloch,15,Pittman Park,660.0,171.0,1751.0
Bulloch,2,Blitch,665.0,176.0,1753.0
Burke,10,Scotts Crossroads,678.0,188.0,2083.0
Burke,11,Telfair,672.0,193.0,2084.0
Burke,15,South Waynesboro,670.0,187.0,2088.0
Burke,2,Four Points,679.0,189.0,2075.0
Burke,12,St. Clair,675.0,191.0,2085.0
Burke,88888,Absentee (domestic),,179.0,
Burke,14,North Waynesboro,671.0,184.0,2087.0
Burke,7,Midville,667.0,180.0,2080.0
Burke,1,Alexander,669.0,192.0,2074.0
Burke,3,Girard,668.0,190.0,2076.0
Burke,5,Greenscut,674.0,183.0,2078.0
Burke,16,Blakeney,681.0,194.0,2089.0
Burke,9,Sardis,666.0,182.0,2082.0
Burke,13,Vidette,680.0,185.0,2086.0
Burke,4,Gough,673.0,186.0,2077.0
Burke,8,Munnerlyn,676.0,181.0,2081.0
Burke,6,Keysville,677.0,178.0,2079.0
Butts,88888,Absentee (domestic),,196.0,
Butts,BCAB,Butts County Admin Bldg,682.0,195.0,1682.0
Butts,99999,Absentee (outside US),,197.0,
Calhoun,2,Morgan,685.0,199.0,1559.0
Calhoun,4,Edison-Arlington,683.0,202.0,1561.0
Calhoun,5,Arlington,686.0,200.0,1562.0
Calhoun,3,Edison,687.0,201.0,1560.0
Calhoun,1,Leary,684.0,198.0,1558.0
Camden,13,Mush Bluff,697.0,218.0,803.0
Camden,88888,Absentee (domestic),,209.0,
Camden,99999,Absentee (outside US),,213.0,
Camden,5,Harrietts Bluff,688.0,216.0,795.0
Camden,10,North St Marys,691.0,206.0,800.0
Camden,14,West Saint Marys,689.0,208.0,804.0
Camden,3,Woodbine,696.0,205.0,793.0
Camden,4,Browntown,695.0,207.0,794.0
Camden,2,Waverly,690.0,204.0,792.0
Camden,9,East Kingsland,694.0,203.0,799.0
Camden,SM,St Marys,,,801.0
Camden,8,Kingsland,701.0,212.0,798.0
Camden,7,North Kingsland,700.0,214.0,797.0
Camden,11,Mary Lee Clark,699.0,211.0,
Camden,6,West Kingsland,693.0,215.0,796.0
Camden,1,Tarboro,692.0,217.0,791.0
Camden,12,South St Marys,698.0,210.0,802.0
Candler,88888,Absentee (domestic),,221.0,
Candler,1685,Metter - 1685,702.0,219.0,
Candler,1736,Candler - 1736,703.0,220.0,
Candler,JSCC,Jack Strickland Comm Center,,,1579.0
Carroll,Clem,Clem,711.0,233.0,1997.0
Carroll,714A5,County Admin Bldg,730.0,237.0,2014.0
Carroll,1496,Bowdon Junction,704.0,230.0,1998.0
Carroll,1371,Burwell,706.0,245.0,1996.0
Carroll,715,Oak Grove,707.0,232.0,2018.0
Carroll,1111,Bowdon,705.0,250.0,1992.0
Carroll,640,V R County South,710.0,241.0,2003.0
Carroll,1122,Sandhill,716.0,246.0,1993.0
Carroll,88888,Absentee (domestic),,228.0,
Carroll,714BN,Burson Center,731.0,235.0,2016.0
Carroll,714A6,Tabernacle Church,729.0,236.0,2015.0
Carroll,641,V R County North,709.0,223.0,2004.0
Carroll,501,Bethany,714.0,249.0,2002.0
Carroll,1152,Center Point,708.0,248.0,1994.0
Carroll,713,Roopville,719.0,231.0,2009.0
Carroll,642,Villa Rica City,712.0,224.0,2005.0
Carroll,714A1,West Carrollton,728.0,222.0,2010.0
Carroll,714A2,Lakeshore Rec Center,724.0,240.0,2011.0
Carroll,714A3,Bonner,726.0,239.0,2012.0
Carroll,649,Temple County,713.0,225.0,2006.0
Carroll,650,Temple City,715.0,226.0,2007.0
Carroll,Tyus,Tyus,727.0,244.0,1999.0
Carroll,99999,Absentee (outside US),,243.0,
Carroll,1540,Fairfield,721.0,251.0,2000.0
Carroll,1006,Kansas,725.0,229.0,1991.0
Carroll,714A4,University Of W. Ga,722.0,238.0,2013.0
Carroll,1542,Hulett,717.0,247.0,2001.0
Carroll,682,Whitesburg,723.0,227.0,2008.0
Carroll,1240,Mt Zion,720.0,242.0,1995.0
Carroll,714BW,Old Camp Church,718.0,234.0,2017.0
Catoosa,Westside,Westside,737.0,262.0,712.0
Catoosa,88888,Absentee (domestic),,258.0,
Catoosa,Ringgold,Ringgold,735.0,256.0,711.0
Catoosa,Graysville,Graysville,734.0,264.0,708.0
Catoosa,Boynton,Boynton,736.0,255.0,704.0
Catoosa,BLCK,Blackstock,733.0,254.0,703.0
Catoosa,Chambers,Chambers,732.0,252.0,706.0
Catoosa,POPS,Poplar Springs,742.0,260.0,710.0
Catoosa,FT O,Fort Oglethorpe,739.0,261.0,707.0
Catoosa,99999,Absentee (outside US),,263.0,
Catoosa,Lakeview,Lakeview,738.0,259.0,709.0
Catoosa,Woodstation,Woodstation,741.0,253.0,713.0
Catoosa,CAKT,Catoosa Keith,740.0,257.0,705.0
Charlton,3B,Ga Bend,745.0,267.0,1684.0
Charlton,3S,St. George,746.0,269.0,1685.0
Charlton,2,Folkston,747.0,271.0,1683.0
Charlton,5F,Folkston Fire Station,748.0,266.0,1688.0
Charlton,4A,American Legion,744.0,270.0,1686.0
Charlton,4H,Homeland,750.0,265.0,1687.0
Charlton,5R,Racepond,743.0,272.0,1689.0
Charlton,5W,Winokur,749.0,268.0,1690.0
Chatham,3-08C,Jenkins High School,477.0,307.0,1792.0
Chatham,3-05C,Aldersgate Youth Center,460.0,303.0,1791.0
Chatham,3-09C,Cokesbury Methodist Church,420.0,311.0,1793.0
Chatham,3-04C,First African Baptist Church,435.0,302.0,1790.0
Chatham,3-03C,Savannah High School,468.0,300.0,1789.0
Chatham,3-02C,Temple Mickve Israel,429.0,298.0,1788.0
Chatham,3-01C,Old Courthouse,446.0,293.0,1787.0
Chatham,Jb11,,,348.0,
Chatham,4-15C,Skidaway Island State Park,430.0,297.0,1811.0
Chatham,5-01C,Bartlett Middle School,469.0,281.0,1812.0
Chatham,6-03C,Crusader Community Center,485.0,361.0,1823.0
Chatham,3-10C,Bible Baptist Church,414.0,312.0,1794.0
Chatham,6-05C,Windsor Hall,496.0,352.0,1824.0
Chatham,3-11C,Southside Baptist Church,473.0,313.0,1795.0
Chatham,2-02C,Blackshear Community Center,442.0,318.0,1778.0
Chatham,3-12C,Thunderbolt Muni Complex,494.0,315.0,1796.0
Chatham,PRCG,Pooler Recreation Center Gymnasium,,,1844.0
Chatham,RCAI,Royal Cinemas And Imax,,,1858.0
Chatham,5-11C,Largo-Tibet Elementary,450.0,364.0,1820.0
Chatham,5-10C,Tatumville Community Center,466.0,355.0,1819.0
Chatham,FPNM(V,Fort Pulaski National Monument (no Voters,482.0,,
Chatham,5-08C,Savannah Primitive Baptist Church,475.0,353.0,1818.0
Chatham,99999,Absentee (outside US),,317.0,
Chatham,5-07C,Elks Lodge,451.0,350.0,1817.0
Chatham,5-06C,Seed Church,476.0,365.0,1816.0
Chatham,4-02C,Frank Murray Community Center,465.0,363.0,1800.0
Chatham,4-04C,Lighthouse Baptist Church,455.0,362.0,1801.0
Chatham,4-05C,Saint Francis Episcopal Church,432.0,360.0,1802.0
Chatham,5-05C,Liberty City Community Center,457.0,289.0,1815.0
Chatham,5-02C,Senior Citizens Center,423.0,277.0,1813.0
Chatham,4-06C,First Baptist Church Of The Island,440.0,349.0,1803.0
Chatham,6-01C,White Bluff Presbyterian Church,470.0,351.0,1821.0
Chatham,6-02C,Windsor Forest Baptist Church School,416.0,359.0,1822.0
Chatham,4-08C,Wilmington Island Presbyterian Church,444.0,291.0,1805.0
Chatham,4-10C,Guard House Comm Ctr,427.0,308.0,1806.0
Chatham,4-11C,Tybee Island School Cafe,463.0,306.0,1807.0
Chatham,4-12C,St Peters Episcopal,443.0,305.0,1808.0
Chatham,3-15C,Eli Whitney Complex,452.0,304.0,1782.0
Chatham,4-13C,Skidaway Island Pres Church,467.0,356.0,1809.0
Chatham,7-07C,Rothwell Baptist Church,449.0,330.0,1835.0
Chatham,4-14C,Skidaway Island Baptist,413.0,328.0,1810.0
Chatham,3-14C,Oglethorpe Charter Academy,437.0,292.0,1798.0
Chatham,5-03C,Butler Presbyterian Church Ed Bldg,471.0,286.0,1814.0
Chatham,3-13C,New Cov  Day Adv Ch,453.0,316.0,1797.0
Chatham,4-07C,Wilmington Island United Methodist Church,479.0,347.0,1804.0
Chatham,1-01C,First Presbyterian Church,418.0,338.0,1767.0
Chatham,7-06C,Pooler City Hall,421.0,332.0,1834.0
Chatham,1-05C,"Chatham,jea Building",486.0,337.0,1768.0
Chatham,2-09C,Salvation Army,417.0,345.0,1784.0
Chatham,2-11C,Stillwell Towers,474.0,336.0,1785.0
Chatham,1-14C,Compassion Christian Church,445.0,296.0,1775.0
Chatham,7-05C,Woodlawn Baptist Church,447.0,343.0,1833.0
Chatham,7-04C,Lake Shore Community Center,497.0,333.0,1832.0
Chatham,7-03C,Pb Edwards Gymnasium,484.0,334.0,1831.0
Chatham,1-16C,Ferguson Ave Baptist,433.0,295.0,1776.0
Chatham,7-01C,Garden City Senior Center,441.0,335.0,1857.0
Chatham,2-12C,Williams Court Apts,419.0,346.0,1786.0
Chatham,1-17C,Islands Christian Church,434.0,294.0,1777.0
Chatham,6-06C,The Light Church,472.0,326.0,1825.0
Chatham,6-08C,Christ Memorial Baptist Church,459.0,339.0,1826.0
Chatham,6-09C,Trinity Lutheran Church,456.0,340.0,1827.0
Chatham,2-07C,Christ Community Church At Morningside,495.0,341.0,1783.0
Chatham,88888,Absentee (domestic),,314.0,
Chatham,8-01C,Civic Center,412.0,280.0,1845.0
Chatham,6-11C,Bamboo Farms,426.0,331.0,1829.0
Chatham,8-02C,Hellenic Center,461.0,283.0,1846.0
Chatham,8-03C,Silk Hope Baptist Church,480.0,279.0,1847.0
Chatham,8-05C,West Broad Street Ymca,428.0,288.0,1848.0
Chatham,8-06C,Tompkins Recreation Center,439.0,285.0,1849.0
Chatham,8-07C,Woodville-Tompkins Technical Inst,490.0,282.0,1850.0
Chatham,8-08C,Resurrection Of Our Lord Catholic Church,499.0,290.0,1851.0
Chatham,8-09C,Moses Jackson Center,498.0,319.0,1852.0
Chatham,8-10C,Carver Heights Comm Ctr,422.0,278.0,1853.0
Chatham,8-11C,Butler Elementary Sc,410.0,273.0,1854.0
Chatham,8-12C,Beach High School,431.0,274.0,1855.0
Chatham,8-13C,Savannah Christian S,492.0,275.0,1856.0
Chatham,6-10C,Georgetown Elementar,491.0,342.0,1828.0
Chatham,7-15C,Rice Creek School,415.0,344.0,1843.0
Chatham,8-15C,Garden City Senior Ctr,481.0,276.0,1830.0
Chatham,2-05C,Holy Spirit Lutheran Church,458.0,357.0,1781.0
Chatham,1-13C,The Sanctuary,424.0,301.0,1774.0
Chatham,7-10C,Progressive Rec Center,454.0,325.0,1838.0
Chatham,2-06C,Eli Whitney Complex,478.0,358.0,1799.0
Chatham,7-11C,Seventh Day Adv Church,464.0,324.0,1839.0
Chatham,1-09C,Immanuel Baptist Church,438.0,287.0,1771.0
Chatham,7-12C,Pooler Church,489.0,323.0,1840.0
Chatham,1-08C,Grace United Methodist Church,409.0,354.0,1770.0
Chatham,2-04C,Fellowship Of Love Community Church,462.0,284.0,1780.0
Chatham,1-06C,Central Church Of Christ,488.0,320.0,1769.0
Chatham,1-10C,St. Thomas Episcopal Church,411.0,310.0,1772.0
Chatham,7-14C,Coastal Cathedral,436.0,321.0,1842.0
Chatham,7-09C,Savannah Holy Church Of God,483.0,327.0,1837.0
Chatham,7-08C,Bloomingdale Community Center,493.0,329.0,1836.0
Chatham,2-03C,W W Law Center,487.0,299.0,1779.0
Chatham,1-12C,Isle Of Hope Baptist,448.0,309.0,1773.0
Chatham,7-13C,Southside Fire Training Center,425.0,322.0,1841.0
Chattahoochee,88888,Absentee (domestic),,368.0,
Chattahoochee,99999,Absentee (outside US),,366.0,
Chattahoochee,FBMR(V,Fort Benning Military Reservation (no Vot,751.0,,
Chattahoochee,1,Activity Center,752.0,367.0,1884.0
Chattooga,962,Subligna,510.0,377.0,732.0
Chattooga,1484,Lyerly,508.0,381.0,726.0
Chattooga,99999,Absentee (outside US),,378.0,
Chattooga,870,Trion,500.0,379.0,727.0
Chattooga,1382,Haywood,502.0,373.0,725.0
Chattooga,968,Alpine,504.0,375.0,733.0
Chattooga,1216,Dirtseller,511.0,371.0,724.0
Chattooga,961,Seminole,509.0,369.0,731.0
Chattooga,925,Summerville,505.0,370.0,728.0
Chattooga,940,Dirttown,501.0,374.0,730.0
Chattooga,P-870,Pennville,507.0,380.0,735.0
Chattooga,1083,Coldwater,506.0,376.0,723.0
Chattooga,927,Teloga,,372.0,729.0
Chattooga,C-968,Clouldland-Teloga,503.0,382.0,734.0
Cherokee,36,Teasley,753.0,415.0,508.0
Cherokee,21,Hillside,786.0,399.0,493.0
Cherokee,4,Ball Ground,759.0,419.0,478.0
Cherokee,88888,Absentee (domestic),,388.0,
Cherokee,20,Hightower,756.0,396.0,492.0
Cherokee,29,Oak Grove,785.0,401.0,501.0
Cherokee,39,Univeter,773.0,411.0,511.0
Cherokee,28,Mountain Road,792.0,403.0,499.0
Cherokee,27,Macedonia,766.0,404.0,498.0
Cherokee,34,Sixes,778.0,425.0,506.0
Cherokee,35,Sutallee,755.0,416.0,507.0
Cherokee,1,Air Acres,791.0,397.0,475.0
Cherokee,24,Liberty,764.0,390.0,496.0
Cherokee,32,Rosecreek,794.0,422.0,504.0
Cherokee,22,Holly Springs,793.0,400.0,494.0
Cherokee,5,Bascomb,782.0,395.0,479.0
Cherokee,38,Union Hill,761.0,412.0,510.0
Cherokee,23,Kellogg,775.0,402.0,495.0
Cherokee,3,Avery,787.0,385.0,477.0
Cherokee,37,Toonigh,763.0,413.0,509.0
Cherokee,33,Salacoa,788.0,421.0,505.0
Cherokee,26,Little River,758.0,405.0,497.0
Cherokee,30,R M Moore,757.0,409.0,502.0
Cherokee,43,Woodlands,789.0,391.0,515.0
Cherokee,42,Wildcat,765.0,423.0,514.0
Cherokee,19,Hickory Flat,770.0,387.0,491.0
Cherokee,8,Bradshaw,780.0,393.0,482.0
Cherokee,9,Bridgemill,779.0,420.0,483.0
Cherokee,40,Victoria,783.0,414.0,512.0
Cherokee,3,,,407.0,
Cherokee,44,Neese,781.0,408.0,500.0
Cherokee,16,Dixie,790.0,383.0,489.0
Cherokee,15,Deer Run,769.0,410.0,488.0
Cherokee,18,Freehome,768.0,389.0,490.0
Cherokee,14,Conns Creek,762.0,426.0,487.0
Cherokee,7,Booth,760.0,384.0,481.0
Cherokee,2,Arnold Mill,777.0,386.0,476.0
Cherokee,12,Woodstock,776.0,394.0,516.0
Cherokee,10,Canton,754.0,398.0,484.0
Cherokee,11,Carmel,784.0,406.0,485.0
Cherokee,31,R T Jones,767.0,424.0,503.0
Cherokee,6,Bells,774.0,417.0,480.0
Cherokee,13,Clayton,771.0,392.0,486.0
Cherokee,41,Waleska,772.0,418.0,513.0
Clarke,3a,,807.0,446.0,1598.0
Clarke,1c,,814.0,429.0,1594.0
Clarke,3b,,803.0,445.0,1599.0
Clarke,5b,,812.0,438.0,1603.0
Clarke,6d,,802.0,444.0,1609.0
Clarke,1b,,795.0,452.0,1593.0
Clarke,5d,,799.0,440.0,1605.0
Clarke,6c,,817.0,443.0,1608.0
Clarke,6b,,797.0,442.0,1607.0
Clarke,4a,,804.0,435.0,1600.0
Clarke,6a,,796.0,441.0,1606.0
Clarke,5c,,809.0,439.0,1604.0
Clarke,7a,,798.0,449.0,1610.0
Clarke,7b,,811.0,433.0,1611.0
Clarke,5a,,816.0,437.0,1602.0
Clarke,7c,,806.0,448.0,1612.0
Clarke,1a,,805.0,451.0,1592.0
Clarke,1d,,800.0,428.0,1595.0
Clarke,4b,,810.0,436.0,1601.0
Clarke,8a,,815.0,427.0,1613.0
Clarke,8b,,813.0,431.0,1614.0
Clarke,88888,Absentee (domestic),,450.0,
Clarke,8c,,808.0,430.0,1615.0
Clarke,99999,Absentee (outside US),,432.0,
Clarke,2b,,818.0,434.0,1597.0
Clarke,2a,,801.0,447.0,1596.0
Clay,2,Zetto,820.0,455.0,1719.0
Clay,3,Court House,823.0,458.0,1720.0
Clay,5,Day's Cross Road,822.0,456.0,1722.0
Clay,88888,Absentee (domestic),,453.0,
Clay,4,Old Head Start,821.0,454.0,1721.0
Clay,1,Bluffton,819.0,457.0,1718.0
Clay,99999,Absentee (outside US),,459.0,
Clayton,JB05,Jonesboro 5,862.0,513.0,995.0
Clayton,RD02,Riverdale 2,839.0,483.0,1037.0
Clayton,JB06,Jonesboro 6,825.0,511.0,996.0
Clayton,JB04,Jonesboro 4,829.0,514.0,994.0
Clayton,MO9,Morrow 9,836.0,475.0,1026.0
Clayton,JB02,Jonesboro 2,843.0,516.0,992.0
Clayton,JB01,Jonesboro 1,858.0,517.0,991.0
Clayton,JB07,Jonesboro 7,851.0,506.0,997.0
Clayton,10,Morrow 10,,,1027.0
Clayton,OAK4,Oak 4,861.0,479.0,1032.0
Clayton,OAK3,Oak 3,845.0,478.0,1031.0
Clayton,OAK2,Oak 2,866.0,477.0,1030.0
Clayton,RD01,Riverdale 1,878.0,482.0,1036.0
Clayton,RD06,Riverdale 6,876.0,487.0,1041.0
Clayton,JB03,Jonesboro 3,824.0,515.0,993.0
Clayton,JB08,Jonesboro 8,875.0,505.0,998.0
Clayton,JB12,Jonesboro 12,863.0,500.0,1002.0
Clayton,JB10,Jonesboro 10,874.0,502.0,1000.0
Clayton,LC1,Lake City,832.0,508.0,1010.0
Clayton,PH2,Panhandle 2,833.0,481.0,1035.0
Clayton,PH1,Panhandle 1,834.0,480.0,1034.0
Clayton,RD04,Riverdale 4,852.0,485.0,1039.0
Clayton,JB18,Jonesboro 18,853.0,504.0,1008.0
Clayton,JB17,Jonesboro 17,873.0,498.0,1007.0
Clayton,19,Jonesboro 19,,,1009.0
Clayton,JB09,Jonesboro 9,881.0,503.0,999.0
Clayton,JB16,Jonesboro 16,864.0,497.0,1006.0
Clayton,JB14,Jonesboro 14,867.0,507.0,1004.0
Clayton,JB13,Jonesboro 13,856.0,499.0,1003.0
Clayton,RD05,Riverdale 5,831.0,486.0,1040.0
Clayton,6,Lovejoy 6,,,1016.0
Clayton,JB11,Jonesboro 11,826.0,501.0,1001.0
Clayton,7,Lovejoy 7,,,1017.0
Clayton,RD03,Riverdale 3,857.0,484.0,1038.0
Clayton,JB15,Jonesboro 15,870.0,519.0,1005.0
Clayton,LJ1,Lovejoy 1,835.0,518.0,1011.0
Clayton,OAK1,Oak 1,844.0,476.0,1029.0
