index,County,Precinct,Registered Voters,Mike Boyce (I) (Rep)_Election Day Votes,Mike Boyce (I) (Rep)_Advanced Voting Votes,Mike Boyce (I) (Rep)_Absentee by Mail Votes,Mike Boyce (I) (Rep)_Provisional Votes,Mike Boyce (I) (Rep)_Choice Total,Lisa Cupid (Dem)_Election Day Votes,Lisa Cupid (Dem)_Advanced Voting Votes,Lisa Cupid (Dem)_Absentee by Mail Votes,Lisa Cupid (Dem)_Provisional Votes,Lisa Cupid (Dem)_Choice Total,Total,
67,Cobb,Mableton 03,3010,187,383,334,1,905,182,550,500,2,1234,2139,
68,Cobb,Mableton 04,1581,139,235,229,0,603,70,279,305,0,654,1257,
69,Cobb,Mabry 01,1656,251,377,290,3,921,51,174,218,2,445,1366,
70,Cobb,Macland 01,4213,159,413,223,0,795,265,1073,786,2,2126,2921,
71,Cobb,Murdock 01,4059,449,714,780,0,1943,142,458,751,0,1351,3294,
72,Cobb,McEachern 01,3549,160,548,366,1,1075,136,791,641,0,1568,2643,
73,Cobb,McCleskey 01,1736,258,362,255,0,875,69,185,287,1,542,1417,
74,Cobb,McClure 01,3290,381,873,406,2,1662,116,376,405,1,898,2560,
75,Cobb,Marietta 1A,4468,204,341,227,1,773,321,686,526,6,1539,2312,
76,Cobb,Marietta 2A,2059,278,380,371,0,1029,116,279,284,0,679,1708,
77,Cobb,Marietta 2B,4447,265,533,454,3,1255,324,834,633,0,1791,3046,
78,Cobb,Marietta 3A,4388,341,683,594,1,1619,193,684,670,2,1549,3168,
79,Cobb,Marietta 3B,2218,49,110,89,0,248,176,482,428,1,1087,1335,
80,Cobb,Marietta 4A,1956,430,388,404,0,1222,68,165,203,1,437,1659,
81,Cobb,Marietta 4B,2056,192,288,277,0,757,110,319,317,1,747,1504,
82,Cobb,Marietta 4C,2781,305,686,428,0,1419,84,334,404,0,822,2241,
83,Cobb,Marietta 5A,3324,180,269,218,0,667,269,562,531,3,1365,2032,
84,Cobb,Marietta 5B,3084,141,155,118,0,414,266,528,410,3,1207,1621,
85,Cobb,Marietta 6A,2647,118,178,110,2,408,249,518,353,2,1122,1530,
86,Cobb,Marietta 6B,2910,254,453,372,0,1079,146,476,555,0,1177,2256,
87,Cobb,Marietta 7A,3745,109,160,111,0,380,268,743,408,4,1423,1803,
88,Cobb,Mars Hill 01,3633,425,1121,482,1,2029,104,272,301,0,677,2706,
89,Cobb,Mars Hill 02,2916,294,603,269,0,1166,125,399,371,0,895,2061,
90,Cobb,Mt Bethel 01,4125,424,817,883,4,2128,95,391,752,2,1240,3368,
91,Cobb,Mt Bethel 03,3294,232,716,565,0,1513,74,401,604,0,1079,2592,
92,Cobb,Mt Bethel 04,2981,278,611,646,0,1535,66,266,515,0,847,2382,
93,Cobb,North Cobb 01,2317,208,388,214,0,810,115,400,321,1,837,1647,
94,Cobb,Nickajack 01,4889,167,441,283,2,893,305,1330,908,3,2546,3439,
95,Cobb,Norton Park 01,4922,228,502,492,1,1223,368,747,759,7,1881,3104,
96,Cobb,Nicholson 01,2455,314,406,313,0,1033,113,304,355,0,772,1805,
97,Cobb,Oakdale 01,3944,283,527,506,0,1316,151,737,794,1,1683,2999,
98,Cobb,Oregon 01,1614,172,405,219,1,797,88,224,214,1,527,1324,
99,Cobb,Oregon 02,5671,222,407,375,0,1004,416,1246,1113,3,2778,3782,
100,Cobb,Oregon 03,5713,205,361,311,3,880,446,974,776,6,2202,3082,
101,Cobb,Oregon 04,4673,179,421,317,1,918,333,964,949,4,2250,3168,
102,Cobb,Oregon 05,3846,305,626,371,1,1303,171,892,659,0,1722,3025,
103,Cobb,Pebblebrook 01,5218,116,281,218,1,616,434,1300,909,6,2649,3265,
104,Cobb,Powers Ferry 01,3504,351,510,417,0,1278,183,460,555,3,1201,2479,
105,Cobb,Pine Mountain 01,3491,360,987,537,1,1885,124,393,392,4,913,2798,
106,Cobb,Pine Mountain 02,3127,409,873,603,0,1885,86,300,317,2,705,2590,
107,Cobb,Post Oak 01,3660,392,826,609,4,1831,114,415,543,0,1072,2903,
108,Cobb,Pope 01,3153,266,655,512,0,1433,112,383,573,0,1068,2501,
109,Cobb,Palmer 01,2760,295,484,376,0,1155,144,341,354,0,839,1994,
110,Cobb,Powders Springs 1A,4755,145,574,329,1,1049,194,1283,1028,4,2509,3558,
111,Cobb,Powders Springs 2A,3536,86,222,152,0,460,221,955,614,3,1793,2253,
112,Cobb,Powders Springs 3A,3991,121,388,217,0,726,256,1072,610,1,1939,2665,
113,Cobb,Pitner 01,2814,362,537,299,1,1199,165,364,352,1,882,2081,
114,Cobb,Rocky Mount 01,3390,471,659,434,1,1565,147,357,554,1,1059,2624,
115,Cobb,Riverside 01,2133,37,39,35,0,111,216,481,295,2,994,1105,
116,Cobb,Roswell 01,5374,527,1089,1072,1,2689,149,551,1086,0,1786,4475,
117,Cobb,Roswell 02,3701,412,694,713,3,1822,115,363,728,0,1206,3028,
118,Cobb,Sandy Plains 01,2933,323,479,404,0,1206,141,410,533,1,1085,2291,
119,Cobb,Shallowford Falls 01,3387,406,667,598,0,1671,119,378,612,1,1110,2781,
120,Cobb,Simpson 01,1868,187,400,279,1,867,62,265,274,0,601,1468,
121,Cobb,Sewell Mill 01,3493,359,619,557,0,1535,142,439,644,0,1225,2760,
122,Cobb,Sewell Mill 03,4759,380,479,522,3,1384,313,720,648,3,1684,3068,
123,Cobb,Smyrna 1A,4152,176,228,210,1,615,378,809,635,2,1824,2439,
124,Cobb,Smyrna 2A,5539,174,440,339,2,955,404,1288,973,0,2665,3620,
125,Cobb,Smyrna 3A,4573,225,540,364,0,1129,227,952,808,4,1991,3120,
126,Cobb,Smyrna 3B,2496,171,390,271,2,834,129,467,460,1,1057,1891,
127,Cobb,Smyrna 4A,5842,345,898,913,1,2157,225,994,1257,5,2481,4638,
128,Cobb,Smyrna 5A,4319,240,385,286,0,911,312,783,757,8,1860,2771,
129,Cobb,Smyrna 6A,5936,361,865,779,0,2005,267,1096,1114,8,2485,4490,
130,Cobb,Smyrna 7A,6378,238,763,628,0,1629,216,1677,1577,1,3471,5100,
131,Cobb,Sope Creek 01,2163,290,403,438,1,1132,86,207,383,0,676,1808,
132,Cobb,Sope Creek 02,4729,383,807,762,3,1955,175,664,778,1,1618,3573,
133,Cobb,Sope Creek 03,2886,353,556,488,0,1397,96,335,428,0,859,2256,
134,Cobb,Sweetwater 01,3235,193,424,263,0,880,200,721,480,1,1402,2282,
135,Cobb,Sweetwater 02,3367,89,170,189,4,452,263,610,576,16,1465,1917,
136,Cobb,Terrell Mill 01,5816,257,476,425,0,1158,444,1035,831,10,2320,3478,
137,Cobb,Timber Ridge 01,2448,281,482,460,0,1223,66,264,463,1,794,2017,
138,Cobb,Vaughan 01,3146,362,967,368,0,1697,96,382,325,0,803,2500,
139,Cobb,Vinings 01,3260,200,302,329,1,832,194,721,533,2,1450,2282,
140,Cobb,Vinings 02,6400,311,667,678,2,1658,386,1262,1054,4,2706,4364,
141,Cobb,Vinings 03,4407,173,546,468,3,1190,225,954,801,2,1982,3172,
142,Cobb,Vinings 04,3405,432,483,565,2,1482,182,479,459,0,1120,2602,
143,Cobb,Wade Green 02,4718,431,773,492,1,1697,241,784,724,0,1749,3446,
144,Cobb,Willeo 01,2836,362,548,498,1,1409,104,296,500,0,900,2309,
