index,County,Precinct,Registered Voters,Rebecca Keaton (I) (Rep)_Election Day Votes,Rebecca Keaton (I) (Rep)_Advanced Voting Votes,Rebecca Keaton (I) (Rep)_Absentee by Mail Votes,Rebecca Keaton (I) (Rep)_Provisional Votes,Rebecca Keaton (I) (Rep)_Choice Total,Connie Taylor (Dem)_Election Day Votes,Connie Taylor (Dem)_Advanced Voting Votes,Connie Taylor (Dem)_Absentee by Mail Votes,Connie Taylor (Dem)_Provisional Votes,Connie Taylor (Dem)_Choice Total,Total,
55,Cobb,Kell 01,2006,310,336,272,0,918,130,200,290,2,622,1540,
56,Cobb,Kemp 01,1960,258,514,338,0,1110,61,185,208,0,454,1564,
57,Cobb,Kemp 02,4049,401,861,638,4,1904,140,570,535,3,1248,3152,
58,Cobb,Kemp 03,3955,520,1180,606,2,2308,102,401,373,0,876,3184,
59,Cobb,Lassiter 01,3647,457,751,623,0,1831,114,439,552,2,1107,2938,
60,Cobb,Lindley 01,4797,196,415,352,0,963,273,1378,1087,0,2738,3701,
61,Cobb,Lost Mountain 01,3604,212,1064,551,1,1828,87,550,488,0,1125,2953,
62,Cobb,Lost Mountain 02,4121,365,1434,670,0,2469,99,519,394,0,1012,3481,
63,Cobb,Lost Mountain 03,5387,303,1743,764,1,2811,113,767,613,1,1494,4305,
64,Cobb,Lost Mountain 04,2629,259,761,370,1,1391,60,335,313,0,708,2099,
65,Cobb,Mableton 01,5127,144,513,446,4,1107,274,1135,987,0,2396,3503,
66,Cobb,Mableton 02,3330,136,227,192,0,555,252,602,526,0,1380,1935,
67,Cobb,Mableton 03,3010,192,411,351,0,954,180,521,471,3,1175,2129,
68,Cobb,Mableton 04,1581,141,243,240,0,624,66,270,291,0,627,1251,
69,Cobb,Mabry 01,1656,252,382,292,3,929,47,167,215,2,431,1360,
70,Cobb,Macland 01,4213,155,423,236,0,814,264,1065,777,2,2108,2922,
71,Cobb,Murdock 01,4059,455,724,812,0,1991,140,449,712,0,1301,3292,
72,Cobb,McEachern 01,3549,152,547,380,1,1080,141,792,620,0,1553,2633,
73,Cobb,McCleskey 01,1736,255,356,254,0,865,73,188,284,1,546,1411,
74,Cobb,McClure 01,3290,394,885,431,2,1712,108,370,381,1,860,2572,
75,Cobb,Marietta 1A,4468,216,359,254,1,830,323,677,504,6,1510,2340,
76,Cobb,Marietta 2A,2059,295,401,399,0,1095,101,262,256,0,619,1714,
77,Cobb,Marietta 2B,4447,272,544,489,2,1307,317,828,608,0,1753,3060,
78,Cobb,Marietta 3A,4388,348,702,611,2,1663,193,657,644,1,1495,3158,
79,Cobb,Marietta 3B,2218,52,115,99,0,266,173,483,418,1,1075,1341,
80,Cobb,Marietta 4A,1956,428,408,404,0,1240,69,142,197,1,409,1649,
81,Cobb,Marietta 4B,2056,208,301,287,0,796,95,313,302,1,711,1507,
82,Cobb,Marietta 4C,2781,308,707,439,0,1454,81,320,394,0,795,2249,
83,Cobb,Marietta 5A,3324,178,278,233,0,689,277,554,517,3,1351,2040,
84,Cobb,Marietta 5B,3084,136,157,127,1,421,273,527,400,2,1202,1623,
85,Cobb,Marietta 6A,2647,121,177,120,1,419,251,519,340,4,1114,1533,
86,Cobb,Marietta 6B,2910,255,458,399,0,1112,144,471,522,0,1137,2249,
87,Cobb,Marietta 7A,3745,113,155,130,0,398,270,751,388,4,1413,1811,
88,Cobb,Mars Hill 01,3633,435,1127,494,2,2058,96,274,293,0,663,2721,
89,Cobb,Mars Hill 02,2916,304,611,287,0,1202,125,396,352,0,873,2075,
90,Cobb,Mt Bethel 01,4125,417,807,882,5,2111,103,397,750,1,1251,3362,
91,Cobb,Mt Bethel 03,3294,228,719,571,0,1518,76,405,595,0,1076,2594,
92,Cobb,Mt Bethel 04,2981,277,597,643,0,1517,69,280,514,0,863,2380,
93,Cobb,North Cobb 01,2317,212,389,224,0,825,117,398,311,1,827,1652,
94,Cobb,Nickajack 01,4889,173,460,330,2,965,305,1321,855,3,2484,3449,
95,Cobb,Norton Park 01,4922,242,519,529,2,1292,358,727,733,6,1824,3116,
96,Cobb,Nicholson 01,2455,309,405,329,1,1044,120,308,339,0,767,1811,
97,Cobb,Oakdale 01,3944,277,540,558,0,1375,158,730,744,1,1633,3008,
98,Cobb,Oregon 01,1614,178,415,243,1,837,85,220,190,1,496,1333,
99,Cobb,Oregon 02,5671,237,422,428,1,1088,401,1232,1056,2,2691,3779,
100,Cobb,Oregon 03,5713,212,367,343,3,925,446,965,743,6,2160,3085,
101,Cobb,Oregon 04,4673,197,433,331,1,962,322,954,930,4,2210,3172,
102,Cobb,Oregon 05,3846,312,630,387,1,1330,167,886,636,0,1689,3019,
103,Cobb,Pebblebrook 01,5218,112,289,244,1,646,439,1292,878,6,2615,3261,
104,Cobb,Powers Ferry 01,3504,369,529,446,0,1344,170,450,523,3,1146,2490,
105,Cobb,Pine Mountain 01,3491,366,996,565,1,1928,115,393,363,5,876,2804,
106,Cobb,Pine Mountain 02,3127,409,878,610,0,1897,86,294,312,2,694,2591,
107,Cobb,Post Oak 01,3660,404,843,622,4,1873,106,404,523,0,1033,2906,
108,Cobb,Pope 01,3153,273,671,536,0,1480,108,376,537,0,1021,2501,
109,Cobb,Palmer 01,2760,299,496,387,0,1182,144,330,349,0,823,2005,
110,Cobb,Powders Springs 1A,4755,154,587,358,1,1100,191,1272,997,4,2464,3564,
111,Cobb,Powders Springs 2A,3536,89,240,164,0,493,219,936,605,3,1763,2256,
112,Cobb,Powders Springs 3A,3991,128,391,230,0,749,251,1076,598,1,1926,2675,
113,Cobb,Pitner 01,2814,361,536,306,1,1204,173,364,341,1,879,2083,
114,Cobb,Rocky Mount 01,3390,488,653,445,1,1587,134,363,539,1,1037,2624,
115,Cobb,Riverside 01,2133,45,49,34,0,128,209,473,297,2,981,1109,
116,Cobb,Roswell 01,5374,535,1087,1072,1,2695,141,557,1072,0,1770,4465,
117,Cobb,Roswell 02,3701,419,694,748,3,1864,112,363,689,0,1164,3028,
118,Cobb,Sandy Plains 01,2933,328,480,412,0,1220,138,412,521,2,1073,2293,
119,Cobb,Shallowford Falls 01,3387,422,677,611,0,1710,110,374,582,1,1067,2777,
120,Cobb,Simpson 01,1868,191,396,282,1,870,59,269,274,0,602,1472,
121,Cobb,Sewell Mill 01,3493,363,618,559,0,1540,143,447,646,0,1236,2776,
122,Cobb,Sewell Mill 03,4759,378,483,546,3,1410,313,719,621,3,1656,3066,
123,Cobb,Smyrna 1A,4152,186,234,242,1,663,377,810,604,3,1794,2457,
124,Cobb,Smyrna 2A,5539,181,465,373,1,1020,405,1272,932,1,2610,3630,
125,Cobb,Smyrna 3A,4573,228,552,400,1,1181,230,941,768,3,1942,3123,
126,Cobb,Smyrna 3B,2496,175,396,295,1,867,121,465,432,2,1020,1887,
127,Cobb,Smyrna 4A,5842,356,909,962,1,2228,216,983,1198,5,2402,4630,
128,Cobb,Smyrna 5A,4319,253,398,331,1,983,308,782,723,7,1820,2803,
129,Cobb,Smyrna 6A,5936,366,868,829,0,2063,266,1102,1074,8,2450,4513,
130,Cobb,Smyrna 7A,6378,247,785,700,0,1732,210,1671,1497,1,3379,5111,
131,Cobb,Sope Creek 01,2163,286,394,449,1,1130,90,218,366,0,674,1804,
132,Cobb,Sope Creek 02,4729,392,815,777,2,1986,167,665,765,2,1599,3585,
133,Cobb,Sope Creek 03,2886,351,537,482,0,1370,102,349,430,0,881,2251,
134,Cobb,Sweetwater 01,3235,195,443,269,0,907,198,704,469,1,1372,2279,
135,Cobb,Sweetwater 02,3367,98,174,199,4,475,258,612,572,16,1458,1933,
136,Cobb,Terrell Mill 01,5816,274,490,435,0,1199,434,1027,815,10,2286,3485,
137,Cobb,Timber Ridge 01,2448,286,481,453,0,1220,63,268,465,1,797,2017,
138,Cobb,Vaughan 01,3146,369,974,401,0,1744,92,380,296,0,768,2512,
139,Cobb,Vinings 01,3260,209,318,326,1,854,187,711,528,2,1428,2282,
140,Cobb,Vinings 02,6400,308,687,693,2,1690,391,1252,1029,4,2676,4366,
141,Cobb,Vinings 03,4407,180,566,485,3,1234,229,953,776,2,1960,3194,
142,Cobb,Vinings 04,3405,442,485,576,2,1505,174,481,439,0,1094,2599,
143,Cobb,Wade Green 02,4718,435,772,511,1,1719,246,789,710,0,1745,3464,
144,Cobb,Willeo 01,2836,363,551,510,1,1425,110,298,482,0,890,2315,
