index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
91,Cobb,Mt Bethel 03,3294,217,698,522,0,1437,70,402,624,1,1097,20,25,33,0,78,2612,
92,Cobb,Mt Bethel 04,2981,256,580,581,0,1417,65,277,558,0,900,28,24,34,0,86,2403,
93,Cobb,North Cobb 01,2317,199,364,197,0,760,101,392,319,1,813,28,34,17,0,79,1652,
94,Cobb,Nickajack 01,4889,150,403,269,1,823,295,1334,900,3,2532,27,50,31,0,108,3463,
95,Cobb,Norton Park 01,4922,211,472,449,2,1134,341,721,756,7,1825,50,47,66,0,163,3122,
96,Cobb,Nicholson 01,2455,287,382,290,1,960,108,297,355,0,760,35,36,25,0,96,1816,
97,Cobb,Oakdale 01,3944,255,516,459,0,1230,155,733,802,1,1691,21,26,38,1,86,3007,
98,Cobb,Oregon 01,1614,167,395,208,1,771,70,219,217,0,506,23,20,14,1,58,1335,
99,Cobb,Oregon 02,5671,205,375,371,1,952,398,1227,1065,2,2692,35,47,40,0,122,3766,
100,Cobb,Oregon 03,5713,190,325,284,2,801,420,946,754,6,2126,50,54,50,1,155,3082,
101,Cobb,Oregon 04,4673,170,387,284,1,842,317,946,948,4,2215,27,46,27,0,100,3157,
102,Cobb,Oregon 05,3846,293,605,340,1,1239,164,877,659,0,1700,20,30,32,0,82,3021,
103,Cobb,Pebblebrook 01,5218,107,262,214,2,585,421,1269,875,5,2570,22,43,34,0,99,3254,
104,Cobb,Powers Ferry 01,3504,327,479,384,0,1190,175,459,540,4,1178,42,37,43,0,122,2490,
105,Cobb,Pine Mountain 01,3491,338,956,507,1,1802,115,387,402,5,909,28,42,22,0,92,2803,
106,Cobb,Pine Mountain 02,3127,398,855,572,0,1825,76,285,325,1,687,21,29,23,1,74,2586,
