index,County,Precinct,Registered Voters,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Total,
17,Cobb,Fair Oaks 04,5322,92,146,118,0,356,270,326,310,1,907,1263,
18,Cobb,Ford 01,3161,320,999,456,1,1776,81,341,346,0,768,2544,
19,Cobb,Frey 01,2582,181,830,322,0,1333,64,318,297,1,680,2013,
20,Cobb,Harrison 01,3122,346,898,497,0,1741,96,328,331,0,755,2496,
21,Cobb,Hayes 01,4111,372,1092,646,0,2110,124,457,545,1,1127,3237,
22,Cobb,Kennesaw 1A,2499,217,362,203,9,791,196,407,235,6,844,1635,
23,Cobb,Kennesaw 2A,3944,324,711,357,2,1394,199,581,517,2,1299,2693,
24,Cobb,Kennesaw 3A,6477,299,869,442,3,1613,399,1246,971,4,2620,4233,
25,Cobb,Kennesaw 4A,3783,250,667,408,2,1327,188,589,561,1,1339,2666,
26,Cobb,Kennesaw 5A,5855,532,1061,469,0,2062,334,1120,911,2,2367,4429,
27,Cobb,Kemp 01,1960,253,502,337,0,1092,66,201,223,0,490,1582,
28,Cobb,Kemp 02,4049,407,853,617,4,1881,136,585,585,2,1308,3189,
29,Cobb,Kemp 03,3955,525,1182,587,1,2295,96,408,419,1,924,3219,
30,Cobb,Lost Mountain 01,3604,212,1064,533,1,1810,91,554,525,0,1170,2980,
31,Cobb,Lost Mountain 02,4121,378,1427,644,0,2449,98,537,463,0,1098,3547,
32,Cobb,Lost Mountain 03,5387,292,1719,731,2,2744,122,808,670,0,1600,4344,
33,Cobb,Lost Mountain 04,2629,259,750,355,1,1365,61,345,333,0,739,2104,
34,Cobb,McClure 01,3290,390,873,412,1,1676,112,386,414,1,913,2589,
35,Cobb,Marietta 1A,4468,196,334,221,1,752,340,704,535,5,1584,2336,
36,Cobb,Marietta 2A,2059,283,387,372,0,1042,116,280,291,0,687,1729,
37,Cobb,Marietta 2B,4447,261,527,448,2,1238,329,848,661,0,1838,3076,
38,Cobb,Marietta 3A,4388,335,679,564,1,1579,206,694,711,2,1613,3192,
39,Cobb,Marietta 3B,2218,50,104,91,0,245,174,491,429,1,1095,1340,
40,Cobb,Marietta 4A,1956,428,397,388,0,1213,73,160,235,1,469,1682,
41,Cobb,Marietta 4B,2056,190,291,272,0,753,109,324,336,1,770,1523,
42,Cobb,Marietta 4C,2781,301,693,416,0,1410,87,336,432,0,855,2265,
43,Cobb,Marietta 5A,3324,143,227,193,0,563,163,355,432,3,953,1516,
44,Cobb,Marietta 5B,3084,130,150,119,0,399,280,537,409,2,1228,1627,
45,Cobb,Marietta 6A,2647,53,82,53,0,188,183,372,235,2,792,980,
46,Cobb,Marietta 7A,3745,73,93,50,0,216,228,645,324,3,1200,1416,
47,Cobb,Mars Hill 01,3633,434,1113,484,2,2033,98,288,320,0,706,2739,
48,Cobb,Mars Hill 02,2916,303,598,265,0,1166,131,405,385,0,921,2087,
49,Cobb,North Cobb 01,2317,219,393,209,0,821,115,400,330,0,845,1666,
50,Cobb,Nickajack 01,4889,164,435,268,2,869,311,1354,949,2,2616,3485,
51,Cobb,Oakdale 01,3944,277,516,482,0,1275,161,762,842,1,1766,3041,
52,Cobb,Oregon 01,1614,182,404,223,0,809,81,233,221,1,536,1345,
53,Cobb,Oregon 03,5713,207,359,312,2,880,457,973,797,6,2233,3113,
54,Cobb,Oregon 05,3846,312,623,358,1,1294,170,895,684,0,1749,3043,
55,Cobb,Powers Ferry 01,3504,344,489,400,0,1233,172,449,543,1,1165,2398,
56,Cobb,Pine Mountain 01,3491,361,993,522,1,1877,124,406,421,4,955,2832,
57,Cobb,Pine Mountain 02,3127,415,868,595,0,1878,82,305,350,1,738,2616,
58,Cobb,Palmer 01,2760,130,226,183,0,539,52,190,186,0,428,967,
59,Cobb,Pitner 01,2814,359,526,297,0,1182,171,376,367,1,915,2097,
60,Cobb,Smyrna 1A,4152,168,217,199,1,585,395,829,657,3,1884,2469,
61,Cobb,Smyrna 2A,5539,177,432,318,0,927,408,1312,1006,1,2727,3654,
62,Cobb,Smyrna 3A,4573,114,271,200,0,585,126,554,545,2,1227,1812,
63,Cobb,Smyrna 4A,5842,0,0,0,0,0,0,1,1,0,2,2,
64,Cobb,Smyrna 6A,5936,309,751,693,0,1753,264,1088,1124,5,2481,4234,
65,Cobb,Smyrna 7A,6378,20,42,44,0,106,18,50,81,0,149,255,
66,Cobb,Terrell Mill 01,5816,261,469,409,1,1140,450,1055,865,7,2377,3517,
67,Cobb,Vaughan 01,3146,369,966,382,0,1717,96,388,322,0,806,2523,
68,Cobb,Vinings 01,3260,202,292,278,1,773,197,743,591,1,1532,2305,
69,Cobb,Vinings 02,6400,309,656,618,2,1585,396,1288,1143,4,2831,4416,
70,Cobb,Vinings 03,4407,172,532,444,3,1151,237,989,853,1,2080,3231,
71,Cobb,Vinings 04,3405,429,470,524,1,1424,188,501,519,0,1208,2632,
72,Cobb,Wade Green 02,4718,427,766,476,1,1670,254,793,752,0,1799,3469,
