index,County,Precinct,Registered Voters,Donald L. Perryman (I) (Rep)_Election Day Votes,Donald L. Perryman (I) (Rep)_Advanced Voting Votes,Donald L. Perryman (I) (Rep)_Absentee by Mail Votes,Donald L. Perryman (I) (Rep)_Provisional Votes,Donald L. Perryman (I) (Rep)_Choice Total,Total,
35,Cobb,Elizabeth 03,2767,379,652,753,1,1785,1785,
36,Cobb,Elizabeth 04,3011,416,522,517,1,1456,1456,
37,Cobb,Elizabeth 05,2884,419,684,635,0,1738,1738,
38,Cobb,East Piedmont 01,2627,391,546,468,1,1406,1406,
39,Cobb,Fair Oaks 02,5779,545,957,790,5,2297,2297,
40,Cobb,Fair Oaks 04,5322,585,656,603,4,1848,1848,
41,Cobb,Fullers Park 01,3452,437,883,888,0,2208,2208,
42,Cobb,Ford 01,3161,383,1177,616,1,2177,2177,
43,Cobb,Frey 01,2582,218,1003,472,0,1693,1693,
44,Cobb,Garrison Mill 01,2872,426,794,616,1,1837,1837,
45,Cobb,Gritters 01,4033,610,929,807,2,2348,2348,
46,Cobb,Harmony-Leland 01,6394,339,1458,947,4,2748,2748,
47,Cobb,Harrison 01,3122,409,1088,632,0,2129,2129,
48,Cobb,Hightower 01,4262,466,1021,1294,0,2781,2781,
49,Cobb,Hayes 01,4111,453,1319,873,1,2646,2646,
50,Cobb,Kennesaw 1A,2499,350,616,324,11,1301,1301,
51,Cobb,Kennesaw 2A,3944,454,1037,627,3,2121,2121,
52,Cobb,Kennesaw 3A,6477,549,1557,909,5,3020,3020,
53,Cobb,Kennesaw 4A,3783,373,1001,712,3,2089,2089,
54,Cobb,Kennesaw 5A,5855,751,1663,917,1,3332,3332,
55,Cobb,Kell 01,2006,391,454,424,1,1270,1270,
56,Cobb,Kemp 01,1960,297,620,440,0,1357,1357,
57,Cobb,Kemp 02,4049,483,1171,894,3,2551,2551,
58,Cobb,Kemp 03,3955,580,1386,778,2,2746,2746,
59,Cobb,Lassiter 01,3647,542,985,878,0,2405,2405,
60,Cobb,Lindley 01,4797,358,1135,897,0,2390,2390,
61,Cobb,Lost Mountain 01,3604,261,1350,745,1,2357,2357,
62,Cobb,Lost Mountain 02,4121,437,1694,839,0,2970,2970,
63,Cobb,Lost Mountain 03,5387,363,2134,1084,2,3583,3583,
64,Cobb,Lost Mountain 04,2629,301,940,524,1,1766,1766,
65,Cobb,Mableton 01,5127,316,1091,950,3,2360,2360,
66,Cobb,Mableton 02,3330,280,522,492,0,1294,1294,
67,Cobb,Mableton 03,3010,301,689,585,2,1577,1577,
68,Cobb,Mableton 04,1581,185,396,368,0,949,949,
69,Cobb,Mabry 01,1656,278,478,376,4,1136,1136,
70,Cobb,Macland 01,4213,302,977,631,1,1911,1911,
71,Cobb,Murdock 01,4059,544,960,1109,0,2613,2613,
72,Cobb,McEachern 01,3549,241,943,643,1,1828,1828,
73,Cobb,McCleskey 01,1736,294,467,389,0,1150,1150,
74,Cobb,McClure 01,3290,456,1101,597,3,2157,2157,
75,Cobb,Marietta 1A,4468,425,750,512,4,1691,1691,
76,Cobb,Marietta 2A,2059,353,530,514,0,1397,1397,
77,Cobb,Marietta 2B,4447,468,1006,756,1,2231,2231,
78,Cobb,Marietta 3A,4388,455,1070,867,1,2393,2393,
79,Cobb,Marietta 3B,2218,158,363,301,0,822,822,
80,Cobb,Marietta 4A,1956,465,471,482,0,1418,1418,
81,Cobb,Marietta 4B,2056,258,485,430,0,1173,1173,
82,Cobb,Marietta 4C,2781,356,893,606,0,1855,1855,
83,Cobb,Marietta 5A,3324,343,580,436,2,1361,1361,
84,Cobb,Marietta 5B,3084,311,459,347,3,1120,1120,
85,Cobb,Marietta 6A,2647,273,488,284,3,1048,1048,
86,Cobb,Marietta 6B,2910,339,739,651,0,1729,1729,
87,Cobb,Marietta 7A,3745,292,591,351,3,1237,1237,
88,Cobb,Mars Hill 01,3633,486,1278,635,2,2401,2401,
89,Cobb,Mars Hill 02,2916,390,840,478,0,1708,1708,
90,Cobb,Mt Bethel 01,4125,475,1024,1201,6,2706,2706,
91,Cobb,Mt Bethel 03,3294,269,952,862,0,2083,2083,
92,Cobb,Mt Bethel 04,2981,323,744,841,0,1908,1908,
93,Cobb,North Cobb 01,2317,287,624,381,0,1292,1292,
94,Cobb,Nickajack 01,4889,362,1173,722,2,2259,2259,
95,Cobb,Norton Park 01,4922,454,920,881,7,2262,2262,
96,Cobb,Nicholson 01,2455,391,588,487,1,1467,1467,
97,Cobb,Oakdale 01,3944,365,930,905,0,2200,2200,
98,Cobb,Oregon 01,1614,226,530,319,2,1077,1077,
99,Cobb,Oregon 02,5671,474,1077,951,2,2504,2504,
100,Cobb,Oregon 03,5713,499,892,713,8,2112,2112,
101,Cobb,Oregon 04,4673,369,958,775,2,2104,2104,
102,Cobb,Oregon 05,3846,416,1099,673,1,2189,2189,
103,Cobb,Pebblebrook 01,5218,380,1013,664,4,2061,2061,
104,Cobb,Powers Ferry 01,3504,462,772,702,1,1937,1937,
105,Cobb,Pine Mountain 01,3491,448,1211,746,2,2407,2407,
106,Cobb,Pine Mountain 02,3127,451,1035,740,2,2228,2228,
107,Cobb,Post Oak 01,3660,461,1073,863,4,2401,2401,
108,Cobb,Pope 01,3153,340,856,780,0,1976,1976,
109,Cobb,Palmer 01,2760,394,668,548,0,1610,1610,
110,Cobb,Powders Springs 1A,4755,253,1273,839,1,2366,2366,
111,Cobb,Powders Springs 2A,3536,227,717,429,1,1374,1374,
112,Cobb,Powders Springs 3A,3991,268,949,531,0,1748,1748,
113,Cobb,Pitner 01,2814,473,747,468,2,1690,1690,
114,Cobb,Rocky Mount 01,3390,570,854,710,1,2135,2135,
115,Cobb,Riverside 01,2133,163,304,178,0,645,645,
116,Cobb,Roswell 01,5374,615,1401,1535,1,3552,3552,
117,Cobb,Roswell 02,3701,497,897,1039,3,2436,2436,
118,Cobb,Sandy Plains 01,2933,407,718,651,0,1776,1776,
119,Cobb,Shallowford Falls 01,3387,487,878,882,1,2248,2248,
120,Cobb,Simpson 01,1868,224,545,414,1,1184,1184,
121,Cobb,Sewell Mill 01,3493,438,869,863,0,2170,2170,
122,Cobb,Sewell Mill 03,4759,563,917,833,4,2317,2317,
123,Cobb,Smyrna 1A,4152,413,712,556,1,1682,1682,
124,Cobb,Smyrna 2A,5539,448,1223,823,2,2496,2496,
125,Cobb,Smyrna 3A,4573,371,1106,813,3,2293,2293,
126,Cobb,Smyrna 3B,2496,248,665,524,2,1439,1439,
127,Cobb,Smyrna 4A,5842,490,1457,1507,4,3458,3458,
128,Cobb,Smyrna 5A,4319,440,853,715,5,2013,2013,
129,Cobb,Smyrna 6A,5936,529,1504,1330,5,3368,3368,
130,Cobb,Smyrna 7A,6378,364,1691,1411,0,3466,3466,
131,Cobb,Sope Creek 01,2163,338,520,612,1,1471,1471,
132,Cobb,Sope Creek 02,4729,495,1174,1096,3,2768,2768,
133,Cobb,Sope Creek 03,2886,409,742,686,0,1837,1837,
134,Cobb,Sweetwater 01,3235,297,786,475,1,1559,1559,
135,Cobb,Sweetwater 02,3367,238,477,480,13,1208,1208,
136,Cobb,Terrell Mill 01,5816,538,1033,831,2,2404,2404,
137,Cobb,Timber Ridge 01,2448,327,632,661,1,1621,1621,
138,Cobb,Vaughan 01,3146,426,1169,545,0,2140,2140,
139,Cobb,Vinings 01,3260,319,748,582,1,1650,1650,
140,Cobb,Vinings 02,6400,578,1449,1216,5,3248,3248,
141,Cobb,Vinings 03,4407,319,1110,874,5,2308,2308,
142,Cobb,Vinings 04,3405,545,760,794,2,2101,2101,
143,Cobb,Wade Green 02,4718,583,1218,838,1,2640,2640,
144,Cobb,Willeo 01,2836,437,717,737,1,1892,1892,
