index,County,Precinct,Registered Voters,Neil Warren (I) (Rep)_Election Day Votes,Neil Warren (I) (Rep)_Advanced Voting Votes,Neil Warren (I) (Rep)_Absentee by Mail Votes,Neil Warren (I) (Rep)_Provisional Votes,Neil Warren (I) (Rep)_Choice Total,Craig D. Owens (Dem)_Election Day Votes,Craig D. Owens (Dem)_Advanced Voting Votes,Craig D. Owens (Dem)_Absentee by Mail Votes,Craig D. Owens (Dem)_Provisional Votes,Craig D. Owens (Dem)_Choice Total,Total,
22,Cobb,Cooper 01,5252,124,299,228,0,651,423,1259,932,4,2618,3269,
23,Cobb,Chestnut Ridge 01,3162,334,636,610,0,1580,118,343,595,0,1056,2636,
24,Cobb,Dickerson 01,2828,257,572,463,3,1295,100,339,595,1,1035,2330,
25,Cobb,Dobbins 01,3024,108,132,109,4,353,248,428,352,7,1035,1388,
26,Cobb,Dobbins 02,3984,194,312,147,1,654,364,850,524,6,1744,2398,
27,Cobb,Dowell 01,3197,263,552,333,1,1149,167,585,573,3,1328,2477,
28,Cobb,Dodgen 01,2100,259,393,345,3,1000,85,243,401,0,729,1729,
29,Cobb,Durham 01,4256,406,1367,587,1,2361,88,504,497,1,1090,3451,
30,Cobb,Davis 01,2093,317,345,235,0,897,142,284,349,0,775,1672,
31,Cobb,Eastside 01,3040,334,551,563,3,1451,102,342,605,1,1050,2501,
32,Cobb,Eastside 02,4074,323,740,811,1,1875,130,458,842,1,1431,3306,
33,Cobb,Elizabeth 01,4065,231,335,176,2,744,323,813,551,3,1690,2434,
34,Cobb,Elizabeth 02,2434,247,380,400,2,1029,128,316,379,2,825,1854,
35,Cobb,Elizabeth 03,2767,297,449,502,1,1249,135,371,463,1,970,2219,
36,Cobb,Elizabeth 04,3011,258,272,230,1,761,268,471,518,0,1257,2018,
37,Cobb,Elizabeth 05,2884,342,466,377,0,1185,144,363,548,1,1056,2241,
38,Cobb,East Piedmont 01,2627,255,307,228,1,791,209,416,433,0,1058,1849,
39,Cobb,Fair Oaks 02,5779,224,391,303,5,923,515,1076,954,4,2549,3472,
40,Cobb,Fair Oaks 04,5322,257,300,269,1,827,532,653,632,8,1825,2652,
41,Cobb,Fullers Park 01,3452,346,632,531,0,1509,151,420,702,0,1273,2782,
42,Cobb,Ford 01,3161,322,968,432,1,1723,78,361,362,0,801,2524,
43,Cobb,Frey 01,2582,171,815,326,0,1312,72,332,287,1,692,2004,
44,Cobb,Garrison Mill 01,2872,336,572,376,1,1285,137,389,492,0,1018,2303,
45,Cobb,Gritters 01,4033,441,675,496,1,1613,251,481,605,1,1338,2951,
46,Cobb,Harmony-Leland 01,6394,126,353,227,0,706,355,1960,1459,5,3779,4485,
47,Cobb,Harrison 01,3122,344,878,466,0,1688,106,344,353,0,803,2491,
48,Cobb,Hightower 01,4262,398,772,846,0,2016,110,466,889,0,1465,3481,
49,Cobb,Hayes 01,4111,370,1075,620,0,2065,125,470,545,2,1142,3207,
50,Cobb,Kennesaw 1A,2499,199,352,191,7,749,212,421,242,9,884,1633,
51,Cobb,Kennesaw 2A,3944,299,699,343,1,1342,225,593,525,3,1346,2688,
52,Cobb,Kennesaw 3A,6477,298,857,444,2,1601,398,1268,961,4,2631,4232,
53,Cobb,Kennesaw 4A,3783,233,653,398,3,1287,202,602,563,0,1367,2654,
54,Cobb,Kennesaw 5A,5855,517,1033,459,0,2009,348,1144,891,1,2384,4393,
55,Cobb,Kell 01,2006,298,333,254,0,885,144,202,312,2,660,1545,
56,Cobb,Kemp 01,1960,243,503,303,0,1049,80,199,246,0,525,1574,
57,Cobb,Kemp 02,4049,378,826,579,5,1788,164,613,613,2,1392,3180,
58,Cobb,Kemp 03,3955,508,1149,564,2,2223,116,433,428,0,977,3200,
59,Cobb,Lassiter 01,3647,456,739,555,0,1750,121,457,629,2,1209,2959,
60,Cobb,Lindley 01,4797,179,379,279,0,837,292,1414,1165,0,2871,3708,
61,Cobb,Lost Mountain 01,3604,197,1022,504,1,1724,106,597,538,0,1241,2965,
62,Cobb,Lost Mountain 02,4121,354,1391,603,0,2348,114,571,471,0,1156,3504,
63,Cobb,Lost Mountain 03,5387,282,1685,700,1,2668,132,838,686,1,1657,4325,
64,Cobb,Lost Mountain 04,2629,253,733,342,1,1329,68,364,339,0,771,2100,
65,Cobb,Mableton 01,5127,141,477,388,4,1010,278,1183,1043,0,2504,3514,
66,Cobb,Mableton 02,3330,127,218,175,0,520,257,609,539,0,1405,1925,
67,Cobb,Mableton 03,3010,186,393,321,1,901,185,538,508,2,1233,2134,
68,Cobb,Mableton 04,1581,136,233,214,0,583,74,283,321,0,678,1261,
69,Cobb,Mabry 01,1656,249,363,277,4,893,53,188,235,1,477,1370,
70,Cobb,Macland 01,4213,138,407,205,0,750,282,1080,813,2,2177,2927,
71,Cobb,Murdock 01,4059,440,691,715,0,1846,157,483,818,0,1458,3304,
72,Cobb,McEachern 01,3549,152,526,359,1,1038,142,819,650,0,1611,2649,
73,Cobb,McCleskey 01,1736,252,345,228,0,825,80,201,316,1,598,1423,
74,Cobb,McClure 01,3290,383,859,388,2,1632,124,397,428,1,950,2582,
75,Cobb,Marietta 1A,4468,195,322,204,1,722,344,712,557,6,1619,2341,
76,Cobb,Marietta 2A,2059,282,368,348,0,998,118,298,306,0,722,1720,
77,Cobb,Marietta 2B,4447,250,527,422,2,1201,342,851,678,1,1872,3073,
78,Cobb,Marietta 3A,4388,313,648,529,1,1491,231,726,744,2,1703,3194,
79,Cobb,Marietta 3B,2218,41,100,84,0,225,185,502,435,1,1123,1348,
80,Cobb,Marietta 4A,1956,407,361,346,0,1114,92,191,267,1,551,1665,
81,Cobb,Marietta 4B,2056,197,291,254,0,742,109,326,342,1,778,1520,
82,Cobb,Marietta 4C,2781,287,676,392,0,1355,103,350,445,0,898,2253,
83,Cobb,Marietta 5A,3324,166,258,190,0,614,291,579,571,3,1444,2058,
84,Cobb,Marietta 5B,3084,136,144,114,1,395,275,540,415,2,1232,1627,
85,Cobb,Marietta 6A,2647,111,169,99,1,380,264,535,363,4,1166,1546,
86,Cobb,Marietta 6B,2910,247,451,343,0,1041,155,480,582,0,1217,2258,
87,Cobb,Marietta 7A,3745,109,158,99,0,366,269,752,421,4,1446,1812,
88,Cobb,Mars Hill 01,3633,423,1112,470,2,2007,109,288,318,0,715,2722,
89,Cobb,Mars Hill 02,2916,300,583,257,0,1140,130,427,383,0,940,2080,
90,Cobb,Mt Bethel 01,4125,411,779,773,4,1967,111,430,865,2,1408,3375,
91,Cobb,Mt Bethel 03,3294,225,689,534,0,1448,79,433,639,0,1151,2599,
92,Cobb,Mt Bethel 04,2981,268,579,574,0,1421,81,303,592,0,976,2397,
93,Cobb,North Cobb 01,2317,214,377,199,0,790,117,416,338,1,872,1662,
94,Cobb,Nickajack 01,4889,155,435,256,2,848,321,1346,944,3,2614,3462,
95,Cobb,Norton Park 01,4922,239,498,477,1,1215,359,756,791,7,1913,3128,
96,Cobb,Nicholson 01,2455,302,400,299,0,1001,126,315,374,0,815,1816,
97,Cobb,Oakdale 01,3944,272,512,467,0,1251,167,762,845,1,1775,3026,
98,Cobb,Oregon 01,1614,172,405,216,2,795,90,230,222,0,542,1337,
99,Cobb,Oregon 02,5671,213,387,380,0,980,429,1271,1114,3,2817,3797,
100,Cobb,Oregon 03,5713,195,349,300,2,846,469,995,797,8,2269,3115,
101,Cobb,Oregon 04,4673,177,412,310,0,899,340,982,970,5,2297,3196,
102,Cobb,Oregon 05,3846,302,596,344,1,1243,187,924,691,0,1802,3045,
103,Cobb,Pebblebrook 01,5218,101,264,219,1,585,452,1321,907,6,2686,3271,
104,Cobb,Powers Ferry 01,3504,342,497,406,0,1245,195,483,569,3,1250,2495,
105,Cobb,Pine Mountain 01,3491,354,977,507,1,1839,132,414,428,5,979,2818,
106,Cobb,Pine Mountain 02,3127,401,858,571,0,1830,96,317,356,2,771,2601,
107,Cobb,Post Oak 01,3660,384,819,572,4,1779,125,430,586,0,1141,2920,
108,Cobb,Pope 01,3153,269,655,493,0,1417,110,395,597,0,1102,2519,
109,Cobb,Palmer 01,2760,287,477,364,0,1128,156,348,371,0,875,2003,
110,Cobb,Powders Springs 1A,4755,139,539,315,1,994,202,1323,1051,4,2580,3574,
111,Cobb,Powders Springs 2A,3536,85,219,141,0,445,224,958,629,3,1814,2259,
112,Cobb,Powders Springs 3A,3991,119,375,215,0,709,263,1099,622,1,1985,2694,
113,Cobb,Pitner 01,2814,349,527,282,1,1159,182,376,370,1,929,2088,
114,Cobb,Rocky Mount 01,3390,468,623,405,1,1497,150,396,595,1,1142,2639,
115,Cobb,Riverside 01,2133,41,38,28,0,107,213,482,303,2,1000,1107,
116,Cobb,Roswell 01,5374,521,1075,1006,1,2603,156,571,1161,0,1888,4491,
117,Cobb,Roswell 02,3701,399,668,621,3,1691,135,398,818,0,1351,3042,
118,Cobb,Sandy Plains 01,2933,318,468,394,0,1180,150,427,549,2,1128,2308,
119,Cobb,Shallowford Falls 01,3387,409,662,538,0,1609,126,390,660,1,1177,2786,
120,Cobb,Simpson 01,1868,182,377,245,1,805,67,287,307,0,661,1466,
121,Cobb,Sewell Mill 01,3493,342,595,501,0,1438,165,474,697,0,1336,2774,
122,Cobb,Sewell Mill 03,4759,365,465,485,3,1318,335,740,691,3,1769,3087,
123,Cobb,Smyrna 1A,4152,162,220,196,1,579,405,824,652,2,1883,2462,
124,Cobb,Smyrna 2A,5539,169,434,307,1,911,417,1305,1002,1,2725,3636,
125,Cobb,Smyrna 3A,4573,217,516,324,1,1058,242,987,855,4,2088,3146,
126,Cobb,Smyrna 3B,2496,160,386,258,0,804,142,480,482,3,1107,1911,
127,Cobb,Smyrna 4A,5842,356,869,840,1,2066,221,1031,1341,5,2598,4664,
128,Cobb,Smyrna 5A,4319,236,366,290,1,893,326,822,771,8,1927,2820,
129,Cobb,Smyrna 6A,5936,358,835,719,0,1912,280,1140,1190,8,2618,4530,
130,Cobb,Smyrna 7A,6378,230,736,574,0,1540,228,1723,1644,1,3596,5136,
131,Cobb,Sope Creek 01,2163,276,390,397,1,1064,101,223,424,0,748,1812,
132,Cobb,Sope Creek 02,4729,374,783,685,3,1845,187,698,860,1,1746,3591,
133,Cobb,Sope Creek 03,2886,336,531,427,0,1294,116,357,486,0,959,2253,
134,Cobb,Sweetwater 01,3235,179,425,252,0,856,214,728,493,1,1436,2292,
135,Cobb,Sweetwater 02,3367,86,165,182,2,435,269,623,596,19,1507,1942,
136,Cobb,Terrell Mill 01,5816,256,454,390,0,1100,454,1067,862,10,2393,3493,
137,Cobb,Timber Ridge 01,2448,273,467,406,0,1146,72,285,512,1,870,2016,
138,Cobb,Vaughan 01,3146,349,964,366,0,1679,115,396,336,0,847,2526,
139,Cobb,Vinings 01,3260,194,295,275,1,765,201,738,584,2,1525,2290,
140,Cobb,Vinings 02,6400,295,650,609,2,1556,402,1291,1121,4,2818,4374,
141,Cobb,Vinings 03,4407,167,537,423,3,1130,236,979,860,2,2077,3207,
142,Cobb,Vinings 04,3405,434,465,532,2,1433,184,504,501,0,1189,2622,
143,Cobb,Wade Green 02,4718,419,744,462,1,1626,268,819,762,0,1849,3475,
144,Cobb,Willeo 01,2836,355,537,476,1,1369,117,315,528,0,960,2329,
