index,County,Precinct,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,
89,Cobb,Mars Hill 02,2916,135,389,358,0,882,295,615,285,0,1195,2077,
90,Cobb,Mt Bethel 01,4125,113,422,779,1,1315,407,787,860,5,2059,3374,
91,Cobb,Mt Bethel 03,3294,86,413,609,0,1108,219,708,568,0,1495,2603,
92,Cobb,Mt Bethel 04,2981,80,290,531,0,901,264,590,636,0,1490,2391,
93,Cobb,North Cobb 01,2317,121,402,313,1,837,209,385,223,0,817,1654,
94,Cobb,Nickajack 01,4889,302,1301,867,3,2473,170,478,333,1,982,3455,
95,Cobb,Norton Park 01,4922,352,710,734,7,1803,248,536,527,1,1312,3115,
96,Cobb,Nicholson 01,2455,120,308,335,0,763,308,406,335,1,1050,1813,
97,Cobb,Oakdale 01,3944,148,711,735,1,1595,287,558,572,0,1417,3012,
98,Cobb,Oregon 01,1614,85,223,188,1,497,178,411,241,1,831,1328,
99,Cobb,Oregon 02,5671,394,1182,1020,3,2599,247,477,468,0,1192,3791,
100,Cobb,Oregon 03,5713,441,944,740,6,2131,218,390,358,3,969,3100,
101,Cobb,Oregon 04,4673,312,924,895,4,2135,202,459,372,1,1034,3169,
102,Cobb,Oregon 05,3846,165,848,607,0,1620,312,672,426,1,1411,3031,
103,Cobb,Pebblebrook 01,5218,423,1233,854,6,2516,128,348,271,1,748,3264,
104,Cobb,Powers Ferry 01,3504,183,452,536,3,1174,354,525,437,0,1316,2490,
105,Cobb,Pine Mountain 01,3491,128,395,374,5,902,352,991,561,1,1905,2807,
106,Cobb,Pine Mountain 02,3127,91,295,297,2,685,404,877,630,0,1911,2596,
107,Cobb,Post Oak 01,3660,113,395,528,0,1036,395,850,625,4,1874,2910,
108,Cobb,Pope 01,3153,102,379,529,0,1010,276,667,556,0,1499,2509,
109,Cobb,Palmer 01,2760,132,319,336,0,787,305,505,401,0,1211,1998,
110,Cobb,Powders Springs 1A,4755,191,1246,957,3,2397,152,610,399,2,1163,3560,
111,Cobb,Powders Springs 2A,3536,208,900,573,3,1684,100,274,191,0,565,2249,
112,Cobb,Powders Springs 3A,3991,243,1031,575,1,1850,131,438,255,0,824,2674,
113,Cobb,Pitner 01,2814,183,369,344,1,897,346,531,311,1,1189,2086,
114,Cobb,Rocky Mount 01,3390,140,363,533,1,1037,476,651,461,1,1589,2626,
115,Cobb,Riverside 01,2133,199,462,288,2,951,52,61,45,0,158,1109,
116,Cobb,Roswell 01,5374,151,563,1079,0,1793,521,1078,1081,1,2681,4474,
117,Cobb,Roswell 02,3701,117,369,715,0,1201,412,693,734,3,1842,3043,
118,Cobb,Sandy Plains 01,2933,144,404,521,2,1071,322,488,414,0,1224,2295,
119,Cobb,Shallowford Falls 01,3387,119,381,616,1,1117,413,669,587,0,1669,2786,
120,Cobb,Simpson 01,1868,61,259,284,0,604,186,406,273,1,866,1470,
121,Cobb,Sewell Mill 01,3493,145,465,653,0,1263,362,597,553,0,1512,2775,
122,Cobb,Sewell Mill 03,4759,320,710,619,2,1651,376,492,544,4,1416,3067,
123,Cobb,Smyrna 1A,4152,380,784,610,3,1777,180,260,240,1,681,2458,
124,Cobb,Smyrna 2A,5539,384,1237,936,1,2558,199,498,371,1,1069,3627,
125,Cobb,Smyrna 3A,4573,222,909,765,3,1899,234,580,411,1,1226,3125,
126,Cobb,Smyrna 3B,2496,123,453,438,2,1016,177,409,292,1,879,1895,
127,Cobb,Smyrna 4A,5842,217,927,1193,5,2342,356,967,980,1,2304,4646,
128,Cobb,Smyrna 5A,4319,290,752,725,8,1775,268,428,332,1,1029,2804,
129,Cobb,Smyrna 6A,5936,264,1068,1042,9,2383,368,902,852,0,2122,4505,
130,Cobb,Smyrna 7A,6378,208,1607,1477,1,3293,249,852,737,0,1838,5131,
131,Cobb,Sope Creek 01,2163,97,229,373,0,699,280,382,444,1,1107,1806,
132,Cobb,Sope Creek 02,4729,183,666,780,1,1630,376,816,771,3,1966,3596,
133,Cobb,Sope Creek 03,2886,109,348,449,0,906,342,542,472,0,1356,2262,
134,Cobb,Sweetwater 01,3235,193,678,451,0,1322,198,473,290,1,962,2284,
135,Cobb,Sweetwater 02,3367,256,592,576,16,1440,101,191,196,5,493,1933,
136,Cobb,Terrell Mill 01,5816,428,1003,815,10,2256,278,514,440,1,1233,3489,
137,Cobb,Timber Ridge 01,2448,72,276,471,1,820,275,472,450,0,1197,2017,
138,Cobb,Vaughan 01,3146,93,386,299,0,778,369,970,404,0,1743,2521,
139,Cobb,Vinings 01,3260,184,700,523,2,1409,211,330,336,1,878,2287,
140,Cobb,Vinings 02,6400,365,1215,1030,4,2614,332,721,699,2,1754,4368,
141,Cobb,Vinings 03,4407,230,925,771,2,1928,176,589,503,3,1271,3199,
142,Cobb,Vinings 04,3405,178,476,441,0,1095,437,491,586,2,1516,2611,
143,Cobb,Wade Green 02,4718,250,766,713,0,1729,431,801,510,1,1743,3472,
144,Cobb,Willeo 01,2836,110,304,486,0,900,362,544,514,1,1421,2321,
