index,County,Precinct,Registered Voters,Carla Jackson (I) (Rep)_Election Day Votes,Carla Jackson (I) (Rep)_Advanced Voting Votes,Carla Jackson (I) (Rep)_Absentee by Mail Votes,Carla Jackson (I) (Rep)_Provisional Votes,Carla Jackson (I) (Rep)_Choice Total,Total,
38,Cobb,East Piedmont 01,2627,401,558,481,1,1441,1441,
39,Cobb,Fair Oaks 02,5779,559,996,824,6,2385,2385,
40,Cobb,Fair Oaks 04,5322,615,695,631,3,1944,1944,
41,Cobb,Fullers Park 01,3452,451,901,913,0,2265,2265,
42,Cobb,Ford 01,3161,383,1187,626,1,2197,2197,
43,Cobb,Frey 01,2582,222,1012,478,0,1712,1712,
44,Cobb,Garrison Mill 01,2872,431,800,625,1,1857,1857,
45,Cobb,Gritters 01,4033,621,944,835,2,2402,2402,
46,Cobb,Harmony-Leland 01,6394,342,1499,995,3,2839,2839,
47,Cobb,Harrison 01,3122,416,1110,647,0,2173,2173,
48,Cobb,Hightower 01,4262,472,1039,1319,0,2830,2830,
49,Cobb,Hayes 01,4111,460,1340,894,1,2695,2695,
50,Cobb,Kennesaw 1A,2499,355,618,331,12,1316,1316,
51,Cobb,Kennesaw 2A,3944,464,1053,642,3,2162,2162,
52,Cobb,Kennesaw 3A,6477,554,1580,943,6,3083,3083,
53,Cobb,Kennesaw 4A,3783,379,1009,722,3,2113,2113,
54,Cobb,Kennesaw 5A,5855,771,1694,955,1,3421,3421,
55,Cobb,Kell 01,2006,390,458,431,1,1280,1280,
56,Cobb,Kemp 01,1960,301,631,451,0,1383,1383,
57,Cobb,Kemp 02,4049,487,1193,911,5,2596,2596,
58,Cobb,Kemp 03,3955,586,1396,792,2,2776,2776,
59,Cobb,Lassiter 01,3647,550,991,903,0,2444,2444,
60,Cobb,Lindley 01,4797,373,1157,943,0,2473,2473,
61,Cobb,Lost Mountain 01,3604,268,1371,761,1,2401,2401,
62,Cobb,Lost Mountain 02,4121,439,1725,855,0,3019,3019,
63,Cobb,Lost Mountain 03,5387,371,2166,1111,2,3650,3650,
64,Cobb,Lost Mountain 04,2629,306,946,535,1,1788,1788,
65,Cobb,Mableton 01,5127,330,1119,999,3,2451,2451,
66,Cobb,Mableton 02,3330,286,543,506,0,1335,1335,
67,Cobb,Mableton 03,3010,308,711,595,3,1617,1617,
68,Cobb,Mableton 04,1581,185,402,383,0,970,970,
69,Cobb,Mabry 01,1656,276,483,379,4,1142,1142,
70,Cobb,Macland 01,4213,314,1015,666,1,1996,1996,
71,Cobb,Murdock 01,4059,550,977,1142,0,2669,2669,
72,Cobb,McEachern 01,3549,248,960,678,1,1887,1887,
73,Cobb,McCleskey 01,1736,300,477,400,0,1177,1177,
74,Cobb,McClure 01,3290,458,1107,612,3,2180,2180,
75,Cobb,Marietta 1A,4468,437,771,521,5,1734,1734,
76,Cobb,Marietta 2A,2059,360,538,529,0,1427,1427,
77,Cobb,Marietta 2B,4447,476,1027,793,3,2299,2299,
78,Cobb,Marietta 3A,4388,465,1095,908,2,2470,2470,
79,Cobb,Marietta 3B,2218,165,370,321,0,856,856,
80,Cobb,Marietta 4A,1956,472,472,500,0,1444,1444,
81,Cobb,Marietta 4B,2056,267,490,443,0,1200,1200,
82,Cobb,Marietta 4C,2781,360,903,625,0,1888,1888,
83,Cobb,Marietta 5A,3324,347,592,470,2,1411,1411,
84,Cobb,Marietta 5B,3084,317,473,353,3,1146,1146,
85,Cobb,Marietta 6A,2647,281,493,287,4,1065,1065,
86,Cobb,Marietta 6B,2910,350,754,681,0,1785,1785,
87,Cobb,Marietta 7A,3745,299,595,360,3,1257,1257,
88,Cobb,Mars Hill 01,3633,498,1282,643,2,2425,2425,
89,Cobb,Mars Hill 02,2916,395,850,495,0,1740,1740,
90,Cobb,Mt Bethel 01,4125,483,1031,1243,6,2763,2763,
91,Cobb,Mt Bethel 03,3294,277,966,884,0,2127,2127,
92,Cobb,Mt Bethel 04,2981,328,751,855,0,1934,1934,
93,Cobb,North Cobb 01,2317,288,618,391,0,1297,1297,
94,Cobb,Nickajack 01,4889,367,1194,751,3,2315,2315,
95,Cobb,Norton Park 01,4922,476,935,914,7,2332,2332,
96,Cobb,Nicholson 01,2455,400,596,488,0,1484,1484,
97,Cobb,Oakdale 01,3944,371,949,942,0,2262,2262,
98,Cobb,Oregon 01,1614,230,539,321,2,1092,1092,
99,Cobb,Oregon 02,5671,480,1105,994,3,2582,2582,
100,Cobb,Oregon 03,5713,516,915,746,8,2185,2185,
101,Cobb,Oregon 04,4673,388,981,814,2,2185,2185,
102,Cobb,Oregon 05,3846,419,1119,710,1,2249,2249,
103,Cobb,Pebblebrook 01,5218,399,1022,709,4,2134,2134,
104,Cobb,Powers Ferry 01,3504,481,790,722,1,1994,1994,
105,Cobb,Pine Mountain 01,3491,445,1240,756,3,2444,2444,
106,Cobb,Pine Mountain 02,3127,461,1050,764,2,2277,2277,
107,Cobb,Post Oak 01,3660,469,1088,883,4,2444,2444,
108,Cobb,Pope 01,3153,345,873,796,0,2014,2014,
109,Cobb,Palmer 01,2760,401,678,554,0,1633,1633,
110,Cobb,Powders Springs 1A,4755,267,1319,885,2,2473,2473,
111,Cobb,Powders Springs 2A,3536,235,727,451,1,1414,1414,
112,Cobb,Powders Springs 3A,3991,279,987,553,0,1819,1819,
113,Cobb,Pitner 01,2814,478,763,487,2,1730,1730,
114,Cobb,Rocky Mount 01,3390,578,867,734,1,2180,2180,
115,Cobb,Riverside 01,2133,173,316,192,0,681,681,
116,Cobb,Roswell 01,5374,626,1417,1585,1,3629,3629,
117,Cobb,Roswell 02,3701,503,921,1074,3,2501,2501,
118,Cobb,Sandy Plains 01,2933,412,726,673,0,1811,1811,
119,Cobb,Shallowford Falls 01,3387,492,886,916,1,2295,2295,
120,Cobb,Simpson 01,1868,236,551,428,1,1216,1216,
121,Cobb,Sewell Mill 01,3493,449,877,896,0,2222,2222,
122,Cobb,Sewell Mill 03,4759,576,927,867,3,2373,2373,
123,Cobb,Smyrna 1A,4152,421,711,583,1,1716,1716,
124,Cobb,Smyrna 2A,5539,461,1246,862,2,2571,2571,
125,Cobb,Smyrna 3A,4573,373,1116,846,3,2338,2338,
126,Cobb,Smyrna 3B,2496,254,666,544,2,1466,1466,
127,Cobb,Smyrna 4A,5842,496,1493,1560,5,3554,3554,
128,Cobb,Smyrna 5A,4319,446,876,750,6,2078,2078,
129,Cobb,Smyrna 6A,5936,541,1527,1376,5,3449,3449,
130,Cobb,Smyrna 7A,6378,378,1719,1460,0,3557,3557,
131,Cobb,Sope Creek 01,2163,343,523,621,1,1488,1488,
132,Cobb,Sope Creek 02,4729,502,1194,1131,3,2830,2830,
133,Cobb,Sope Creek 03,2886,418,760,707,0,1885,1885,
134,Cobb,Sweetwater 01,3235,306,819,498,1,1624,1624,
135,Cobb,Sweetwater 02,3367,245,494,487,14,1240,1240,
136,Cobb,Terrell Mill 01,5816,557,1057,862,2,2478,2478,
137,Cobb,Timber Ridge 01,2448,333,643,682,1,1659,1659,
138,Cobb,Vaughan 01,3146,427,1177,561,0,2165,2165,
139,Cobb,Vinings 01,3260,326,759,607,1,1693,1693,
140,Cobb,Vinings 02,6400,587,1465,1261,5,3318,3318,
141,Cobb,Vinings 03,4407,326,1122,908,5,2361,2361,
142,Cobb,Vinings 04,3405,553,766,822,2,2143,2143,
143,Cobb,Wade Green 02,4718,599,1234,858,1,2692,2692,
144,Cobb,Willeo 01,2836,437,722,748,1,1908,1908,
