index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
34,Cobb,Elizabeth 02,2434,257,382,393,3,1035,118,315,381,1,815,17,10,16,0,43,1893,
35,Cobb,Elizabeth 03,2767,303,447,490,2,1242,120,372,470,0,962,25,11,15,0,51,2255,
36,Cobb,Elizabeth 04,3011,252,265,216,1,734,264,471,507,0,1242,22,21,31,0,74,2050,
37,Cobb,Elizabeth 05,2884,337,458,360,0,1155,143,365,567,1,1076,25,20,17,0,62,2293,
38,Cobb,East Piedmont 01,2627,256,310,218,1,785,196,409,433,0,1038,23,15,17,0,55,1878,
39,Cobb,Fair Oaks 02,5779,226,385,295,5,911,509,1071,921,6,2507,27,31,32,1,91,3509,
40,Cobb,Fair Oaks 04,5322,270,296,246,0,812,510,647,606,10,1773,39,27,32,0,98,2683,
41,Cobb,Fullers Park 01,3452,344,620,521,0,1485,147,424,709,0,1280,24,24,36,0,84,2849,
42,Cobb,Ford 01,3161,313,971,435,1,1720,79,357,350,0,786,14,24,6,0,44,2550,
43,Cobb,Frey 01,2582,170,812,301,0,1283,67,330,294,1,692,11,24,15,0,50,2025,
44,Cobb,Garrison Mill 01,2872,328,567,349,1,1245,133,388,502,0,1023,24,17,21,0,62,2330,
45,Cobb,Gritters 01,4033,427,668,492,1,1588,236,472,590,1,1299,37,39,28,0,104,2991,
46,Cobb,Harmony-Leland 01,6394,118,334,226,0,678,359,1946,1413,4,3722,22,46,37,0,105,4505,
47,Cobb,Harrison 01,3122,334,879,464,0,1677,104,330,342,0,776,23,26,11,0,60,2513,
48,Cobb,Hightower 01,4262,387,746,814,0,1947,113,486,916,0,1515,20,27,32,0,79,3541,
49,Cobb,Hayes 01,4111,351,1081,608,0,2040,129,467,562,2,1160,28,20,14,0,62,3262,
50,Cobb,Kennesaw 1A,2499,204,341,190,8,743,194,419,225,8,846,23,24,16,0,63,1652,
51,Cobb,Kennesaw 2A,3944,304,695,344,1,1344,211,581,508,2,1302,20,40,22,0,82,2728,
52,Cobb,Kennesaw 3A,6477,284,840,411,5,1540,383,1244,946,2,2575,47,63,41,0,151,4266,
53,Cobb,Kennesaw 4A,3783,238,651,384,1,1274,197,584,537,0,1318,13,35,30,1,79,2671,
54,Cobb,Kennesaw 5A,5855,496,1015,443,0,1954,351,1145,906,2,2404,38,49,30,0,117,4475,
55,Cobb,Kell 01,2006,286,328,236,0,850,139,208,320,1,668,22,15,22,1,60,1578,
56,Cobb,Kemp 01,1960,245,490,312,0,1047,72,207,225,0,504,13,14,18,0,45,1596,
57,Cobb,Kemp 02,4049,385,844,572,4,1805,143,592,600,3,1338,25,25,13,0,63,3206,
58,Cobb,Kemp 03,3955,509,1168,551,2,2230,99,421,429,1,950,27,12,14,0,53,3233,
59,Cobb,Lassiter 01,3647,440,715,539,0,1694,130,472,615,2,1219,20,23,31,0,74,2987,
60,Cobb,Lindley 01,4797,174,370,268,0,812,274,1418,1148,2,2842,28,25,29,0,82,3736,
61,Cobb,Lost Mountain 01,3604,202,1051,511,1,1765,92,556,525,0,1173,15,28,17,0,60,2998,
62,Cobb,Lost Mountain 02,4121,358,1398,621,0,2377,102,555,461,0,1118,18,29,18,0,65,3560,
63,Cobb,Lost Mountain 03,5387,282,1698,659,1,2640,125,817,668,1,1611,18,38,40,0,96,4347,
64,Cobb,Lost Mountain 04,2629,248,733,337,0,1318,66,358,338,1,763,13,15,11,0,39,2120,
65,Cobb,Mableton 01,5127,135,491,384,3,1013,287,1151,1011,0,2449,15,40,43,0,98,3560,
66,Cobb,Mableton 02,3330,130,217,178,0,525,257,605,516,0,1378,10,22,17,0,49,1952,
67,Cobb,Mableton 03,3010,180,390,317,0,887,179,537,494,3,1213,20,19,18,0,57,2157,
68,Cobb,Mableton 04,1581,139,220,216,0,575,72,289,313,0,674,5,11,10,0,26,1275,
69,Cobb,Mabry 01,1656,245,365,266,3,879,55,189,240,1,485,9,5,10,1,25,1389,
70,Cobb,Macland 01,4213,147,388,201,0,736,269,1083,778,2,2132,19,29,21,0,69,2937,
71,Cobb,Murdock 01,4059,431,679,715,0,1825,165,487,811,0,1463,20,25,28,0,73,3361,
72,Cobb,McEachern 01,3549,152,526,360,1,1039,142,815,645,0,1602,11,23,14,0,48,2689,
73,Cobb,McCleskey 01,1736,251,349,232,0,832,78,188,301,1,568,12,12,13,0,37,1437,
74,Cobb,McClure 01,3290,370,859,398,2,1629,122,387,410,1,920,25,17,24,0,66,2615,
75,Cobb,Marietta 1A,4468,188,321,209,1,719,324,707,524,6,1561,39,22,24,0,85,2365,
76,Cobb,Marietta 2A,2059,271,362,342,0,975,121,291,294,0,706,15,16,16,0,47,1728,
77,Cobb,Marietta 2B,4447,251,513,417,3,1184,329,851,654,0,1834,25,29,24,0,78,3096,
78,Cobb,Marietta 3A,4388,319,650,536,2,1507,206,707,707,1,1621,29,32,34,0,95,3223,
79,Cobb,Marietta 3B,2218,49,99,78,0,226,174,490,424,1,1089,6,19,12,0,37,1352,
80,Cobb,Marietta 4A,1956,422,378,368,0,1168,67,173,242,1,483,17,12,11,0,40,1691,
81,Cobb,Marietta 4B,2056,192,281,259,0,732,107,333,329,1,770,10,12,20,0,42,1544,
82,Cobb,Marietta 4C,2781,288,687,387,0,1362,90,341,441,0,872,17,11,13,0,41,2275,
83,Cobb,Marietta 5A,3324,155,247,200,0,602,282,577,537,5,1401,26,22,21,1,70,2073,
84,Cobb,Marietta 5B,3084,124,142,97,0,363,281,533,417,3,1234,15,17,10,0,42,1639,
85,Cobb,Marietta 6A,2647,111,162,92,2,367,252,532,347,3,1134,14,23,18,0,55,1556,
86,Cobb,Marietta 6B,2910,247,439,329,0,1015,151,482,571,0,1204,17,20,32,0,69,2288,
87,Cobb,Marietta 7A,3745,101,149,91,0,341,264,747,399,4,1414,23,27,25,0,75,1830,
88,Cobb,Mars Hill 01,3633,420,1101,452,2,1975,98,283,317,0,698,24,34,19,0,77,2750,
89,Cobb,Mars Hill 02,2916,287,576,254,0,1117,131,402,365,0,898,24,41,29,0,94,2109,
90,Cobb,Mt Bethel 01,4125,405,772,755,3,1935,112,448,881,2,1443,18,16,38,1,73,3451,
91,Cobb,Mt Bethel 03,3294,215,671,507,0,1393,92,451,679,1,1223,14,18,17,0,49,2665,
92,Cobb,Mt Bethel 04,2981,267,574,553,0,1394,72,305,620,0,997,11,14,22,0,47,2438,
93,Cobb,North Cobb 01,2317,195,374,204,0,773,126,404,314,1,845,21,23,15,0,59,1677,
94,Cobb,Nickajack 01,4889,153,421,239,2,815,311,1354,928,3,2596,21,28,31,0,80,3491,
95,Cobb,Norton Park 01,4922,216,486,452,1,1155,369,754,773,8,1904,34,34,44,0,112,3171,
96,Cobb,Nicholson 01,2455,293,389,288,1,971,123,316,362,0,801,27,23,25,0,75,1847,
