County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Washington,Sandersville,6221.0,314.0,1267.0,375.0,1.0,1957.0,396.0,1024.0,917.0,0.0,2337.0,21.0,33.0,26.0,0.0,80.0,4374.0
Washington,Deepstep,554.0,195.0,84.0,27.0,1.0,307.0,28.0,32.0,52.0,0.0,112.0,3.0,1.0,1.0,0.0,5.0,424.0
Richmond,101,896.0,112.0,123.0,61.0,1.0,297.0,70.0,145.0,126.0,0.0,341.0,5.0,6.0,0.0,1.0,12.0,650.0
Richmond,102,1278.0,54.0,66.0,41.0,0.0,161.0,124.0,155.0,162.0,3.0,444.0,11.0,8.0,9.0,0.0,28.0,633.0
Richmond,103,1428.0,5.0,15.0,13.0,0.0,33.0,156.0,293.0,255.0,2.0,706.0,6.0,9.0,11.0,0.0,26.0,765.0
Richmond,104,2976.0,28.0,59.0,45.0,0.0,132.0,417.0,508.0,530.0,6.0,1461.0,16.0,9.0,13.0,0.0,38.0,1631.0
Richmond,105,832.0,9.0,17.0,11.0,0.0,37.0,110.0,214.0,163.0,1.0,488.0,3.0,8.0,4.0,0.0,15.0,540.0
Richmond,106,1182.0,40.0,53.0,36.0,0.0,129.0,138.0,101.0,111.0,2.0,352.0,5.0,6.0,6.0,0.0,17.0,498.0
Richmond,107,1800.0,180.0,264.0,148.0,0.0,592.0,131.0,254.0,281.0,1.0,667.0,8.0,8.0,7.0,0.0,23.0,1282.0
Richmond,108,517.0,17.0,14.0,18.0,0.0,49.0,59.0,107.0,105.0,0.0,271.0,2.0,3.0,3.0,0.0,8.0,328.0
Richmond,109,1052.0,28.0,46.0,29.0,0.0,103.0,98.0,230.0,158.0,1.0,487.0,8.0,15.0,14.0,0.0,37.0,627.0
Richmond,111,1578.0,57.0,85.0,45.0,0.0,187.0,163.0,245.0,264.0,1.0,673.0,8.0,8.0,8.0,0.0,24.0,884.0
Richmond,112,882.0,18.0,84.0,98.0,0.0,200.0,42.0,124.0,140.0,2.0,308.0,5.0,7.0,5.0,0.0,17.0,525.0
Richmond,114,856.0,26.0,14.0,17.0,0.0,57.0,102.0,136.0,136.0,1.0,375.0,5.0,5.0,3.0,0.0,13.0,445.0
Richmond,201,581.0,20.0,11.0,10.0,0.0,41.0,238.0,267.0,212.0,4.0,721.0,8.0,5.0,8.0,1.0,22.0,784.0
Richmond,115,1332.0,41.0,41.0,25.0,0.0,107.0,45.0,47.0,53.0,0.0,145.0,4.0,1.0,3.0,0.0,8.0,260.0
Richmond,202,4492.0,211.0,293.0,210.0,1.0,715.0,482.0,714.0,507.0,8.0,1711.0,32.0,28.0,22.0,0.0,82.0,2508.0
Richmond,203,991.0,6.0,7.0,5.0,3.0,21.0,139.0,169.0,188.0,0.0,496.0,4.0,5.0,2.0,0.0,11.0,528.0
Richmond,204,1578.0,176.0,211.0,123.0,1.0,511.0,113.0,240.0,182.0,1.0,536.0,17.0,11.0,10.0,1.0,39.0,1086.0
