County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Fulton,06L1,991.0,0.0,2.0,70.0,3.0,1.0,1.0,3.0,19.0,12.0,2.0,7.0,31.0,124.0,5.0,4.0,2.0,1.0,2.0,492.0,7.0,788.0
Fulton,06L2,726.0,1.0,7.0,63.0,1.0,0.0,0.0,2.0,20.0,4.0,3.0,6.0,23.0,108.0,2.0,10.0,0.0,0.0,2.0,320.0,2.0,574.0
Fulton,06N,1770.0,1.0,4.0,128.0,5.0,3.0,6.0,10.0,69.0,32.0,1.0,18.0,59.0,276.0,5.0,10.0,4.0,7.0,2.0,539.0,2.0,1181.0
Fulton,06Q,571.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,58.0,16.0,1.0,24.0,20.0,12.0,7.0,4.0,1.0,4.0,1.0,179.0,4.0,343.0
Fulton,06R,2015.0,1.0,11.0,99.0,5.0,2.0,2.0,9.0,58.0,13.0,2.0,16.0,67.0,191.0,12.0,8.0,3.0,7.0,1.0,837.0,13.0,1357.0
Fulton,07A,7691.0,10.0,18.0,777.0,15.0,30.0,18.0,52.0,364.0,100.0,22.0,112.0,270.0,1259.0,54.0,42.0,11.0,30.0,18.0,2121.0,18.0,5341.0
Fulton,07B,2952.0,4.0,11.0,469.0,7.0,6.0,4.0,17.0,60.0,5.0,5.0,10.0,82.0,936.0,5.0,11.0,1.0,5.0,3.0,804.0,3.0,2448.0
Fulton,07C,4512.0,5.0,21.0,481.0,7.0,12.0,8.0,24.0,179.0,51.0,5.0,40.0,131.0,810.0,26.0,17.0,8.0,16.0,20.0,1294.0,17.0,3172.0
Fulton,07D,4879.0,7.0,12.0,424.0,16.0,32.0,11.0,23.0,256.0,67.0,20.0,70.0,171.0,774.0,48.0,20.0,10.0,17.0,12.0,1192.0,18.0,3200.0
Fulton,07E,2247.0,4.0,7.0,193.0,9.0,4.0,2.0,8.0,101.0,27.0,1.0,29.0,77.0,315.0,22.0,17.0,5.0,7.0,8.0,851.0,9.0,1696.0
Fulton,07F,3790.0,7.0,15.0,378.0,9.0,7.0,6.0,22.0,171.0,38.0,8.0,32.0,133.0,752.0,18.0,23.0,9.0,21.0,10.0,1130.0,19.0,2808.0
Fulton,07H,2060.0,0.0,3.0,203.0,5.0,7.0,1.0,9.0,50.0,12.0,4.0,28.0,72.0,443.0,14.0,13.0,3.0,5.0,3.0,756.0,7.0,1638.0
Fulton,07J,3041.0,5.0,14.0,262.0,7.0,10.0,2.0,13.0,126.0,24.0,10.0,41.0,105.0,487.0,20.0,14.0,6.0,17.0,12.0,1054.0,15.0,2244.0
Fulton,07M,2401.0,7.0,9.0,147.0,6.0,13.0,3.0,11.0,128.0,40.0,4.0,52.0,72.0,278.0,23.0,17.0,2.0,8.0,8.0,634.0,7.0,1469.0
