County,Precinct,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total Votes
Chatham,4-13C Skidaway Island Pres Church2469,2469.0,533.0,560.0,652.0,2.0,1747.0,45.0,124.0,194.0,0.0,363.0,2110.0
Chatham,4-14C Skidaway Island Baptist 1744,1744.0,377.0,364.0,450.0,3.0,1194.0,40.0,86.0,167.0,0.0,293.0,1487.0
Chatham,4-15C Skidaway Island State Park0,0.0,320.0,373.0,585.0,4.0,1282.0,30.0,90.0,168.0,0.0,288.0,1570.0
Chatham,5-01C Bartlett Middle School,1063.0,71.0,50.0,47.0,0.0,168.0,137.0,176.0,124.0,0.0,437.0,605.0
Chatham,5-02C Senior Citizens Center,783.0,28.0,14.0,9.0,0.0,51.0,107.0,115.0,125.0,1.0,348.0,399.0
Chatham,5-03C Butler Presbyterian Church1078,1078.0,10.0,13.0,9.0,0.0,32.0,191.0,157.0,179.0,6.0,533.0,565.0
Chatham,5-05C Liberty City Comm Ctr,2574.0,23.0,28.0,25.0,1.0,77.0,419.0,553.0,573.0,2.0,1547.0,1624.0
Chatham,5-06C Seed Church,2598.0,82.0,82.0,47.0,2.0,213.0,262.0,429.0,335.0,7.0,1033.0,1246.0
Chatham,5-07C Station 1,1856.0,105.0,96.0,82.0,1.0,284.0,214.0,326.0,217.0,5.0,762.0,1046.0
Chatham,5-08C Savannah Primitive BC,1848.0,96.0,136.0,94.0,0.0,326.0,191.0,317.0,275.0,3.0,786.0,1112.0
Chatham,5-10C Tatumville Community Center3507,3507.0,31.0,45.0,42.0,0.0,118.0,541.0,673.0,656.0,5.0,1875.0,1993.0
Chatham,5-11C Largo-Tibet Elementary,3019.0,88.0,152.0,210.0,2.0,452.0,316.0,589.0,358.0,7.0,1270.0,1722.0
Chatham,6-01C White Bluff Presbyterian1919,1919.0,160.0,158.0,127.0,3.0,448.0,177.0,321.0,202.0,3.0,703.0,1151.0
Chatham,6-02C Windsor Forest Baptist,2290.0,413.0,457.0,296.0,0.0,1166.0,133.0,237.0,230.0,1.0,601.0,1767.0
Chatham,6-03C Crusader Comm Center,2736.0,281.0,372.0,214.0,1.0,868.0,228.0,432.0,393.0,1.0,1054.0,1922.0
Chatham,6-05C Windsor Hall,1993.0,148.0,187.0,145.0,0.0,480.0,206.0,316.0,230.0,0.0,752.0,1232.0
Chatham,6-06C The Light Church,1543.0,145.0,216.0,128.0,0.0,489.0,138.0,174.0,113.0,0.0,425.0,914.0
Chatham,6-08C Christ Memorial Baptist Church2194,2194.0,96.0,167.0,111.0,0.0,374.0,231.0,373.0,246.0,2.0,852.0,1226.0
Chatham,6-09C Trinity Lutheran Church 3319,3319.0,326.0,478.0,338.0,1.0,1143.0,262.0,495.0,332.0,7.0,1096.0,2239.0
Chatham,6-10C Station 3,4184.0,402.0,738.0,385.0,2.0,1527.0,250.0,596.0,540.0,5.0,1391.0,2918.0
Chatham,6-11C Bamboo Farms,5149.0,332.0,478.0,222.0,4.0,1036.0,437.0,960.0,625.0,6.0,2028.0,3064.0
Chatham,7-01C Garden City Senior Ctr,1542.0,199.0,196.0,120.0,0.0,515.0,105.0,133.0,132.0,0.0,370.0,885.0
Chatham,7-03C PB Edwards Gym,1290.0,311.0,138.0,86.0,0.0,535.0,95.0,54.0,73.0,0.0,222.0,757.0
Chatham,7-04C Lake Shore Comm Ctr,3067.0,199.0,192.0,67.0,0.0,458.0,397.0,709.0,347.0,1.0,1454.0,1912.0
Chatham,7-05C Woodlawn Baptist Church 1305,1305.0,134.0,139.0,47.0,0.0,320.0,140.0,173.0,106.0,0.0,419.0,739.0
Chatham,7-06C Pooler City Hall,3555.0,255.0,617.0,255.0,1.0,1128.0,174.0,501.0,393.0,1.0,1069.0,2197.0
Chatham,7-07C Rothwell Baptist Church 3932,3932.0,279.0,960.0,439.0,3.0,1681.0,124.0,424.0,359.0,5.0,912.0,2593.0
Chatham,7-08C Bloomingdale Comm Ctr,2733.0,508.0,654.0,235.0,0.0,1397.0,87.0,126.0,119.0,1.0,333.0,1730.0
Chatham,7-09C Savannah Holy C of G,2823.0,240.0,323.0,190.0,2.0,755.0,214.0,371.0,331.0,2.0,918.0,1673.0
Chatham,7-10C Progressive Rec Center,4288.0,278.0,471.0,211.0,2.0,962.0,329.0,755.0,497.0,6.0,1587.0,2549.0
Chatham,7-11C Seventh Day Adv Church,6469.0,480.0,770.0,307.0,7.0,1564.0,441.0,1190.0,755.0,6.0,2392.0,3956.0
Chatham,7-12C Pooler Church,3334.0,182.0,577.0,267.0,4.0,1030.0,174.0,671.0,490.0,0.0,1335.0,2365.0
Chatham,7-13C Southside Fire Trng Ctr 2513,2513.0,240.0,749.0,468.0,1.0,1458.0,63.0,238.0,313.0,0.0,614.0,2072.0
Chatham,7-14C Coastal Cathedral,7572.0,414.0,828.0,558.0,1.0,1801.0,560.0,1488.0,1112.0,9.0,3169.0,4970.0
Chatham,7-15C Rice Creek School,2564.0,269.0,216.0,85.0,3.0,573.0,259.0,432.0,255.0,2.0,948.0,1521.0
Chatham,7-16C Pooler Recreation Center Gymnasium3701,3701.0,232.0,887.0,462.0,6.0,1587.0,119.0,529.0,409.0,7.0,1064.0,2651.0
Chatham,8-01C Civic Center,850.0,21.0,43.0,26.0,0.0,90.0,61.0,88.0,78.0,3.0,230.0,320.0
Chatham,8-02C Hellenic Center,1709.0,83.0,90.0,70.0,0.0,243.0,187.0,339.0,218.0,1.0,745.0,988.0
Chatham,8-03C Silk Hope Baptist Church831,831.0,161.0,108.0,52.0,0.0,321.0,55.0,43.0,49.0,0.0,147.0,468.0
Chatham,8-05C W Broad St YMCA,1543.0,22.0,8.0,9.0,0.0,39.0,268.0,208.0,160.0,1.0,637.0,676.0
Chatham,8-06C Tompkins Rec Center,1055.0,15.0,9.0,7.0,0.0,31.0,190.0,147.0,157.0,4.0,498.0,529.0
Chatham,8-07C Woodville-Tompkins TI,630.0,12.0,7.0,7.0,0.0,26.0,121.0,100.0,82.0,1.0,304.0,330.0
Chatham,8-08C Resur of Our Lord Church1704,1704.0,13.0,11.0,17.0,0.0,41.0,315.0,253.0,267.0,4.0,839.0,880.0
Chatham,8-09C Moses Jackson Center,1362.0,14.0,9.0,7.0,1.0,31.0,259.0,192.0,200.0,7.0,658.0,689.0
Chatham,8-10C Carver Heights Comm Ctr 1784,1784.0,14.0,8.0,6.0,0.0,28.0,348.0,262.0,355.0,0.0,965.0,993.0
Chatham,8-11C Butler Elementary,1386.0,12.0,6.0,9.0,0.0,27.0,253.0,311.0,355.0,0.0,919.0,946.0
Chatham,8-12C Beach High School,1310.0,46.0,59.0,28.0,1.0,134.0,156.0,207.0,140.0,1.0,504.0,638.0
Chatham,8-13C Savannah Christian,1022.0,114.0,98.0,57.0,1.0,270.0,41.0,44.0,45.0,1.0,131.0,401.0
Chatham,8-15C Garden City Rec Center,1622.0,23.0,30.0,23.0,0.0,76.0,208.0,285.0,233.0,3.0,729.0,805.0
Chatham,8-16C Royal Cinemas and IMAX,3087.0,211.0,594.0,291.0,1.0,1097.0,142.0,487.0,413.0,2.0,1044.0,2141.0
