County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,PINCKNEYVILLE C,2082.0,263.0,296.0,299.0,0.0,858.0,110.0,327.0,322.0,4.0,763.0,1621.0
Gwinnett,PINCKNEYVILLE D,2264.0,87.0,146.0,86.0,2.0,321.0,251.0,429.0,211.0,3.0,894.0,1215.0
Gwinnett,SUGAR HILL A,4654.0,413.0,866.0,352.0,4.0,1635.0,238.0,644.0,453.0,1.0,1336.0,2971.0
Gwinnett,SUGAR HILL B,5596.0,516.0,1190.0,435.0,12.0,2153.0,277.0,908.0,568.0,4.0,1757.0,3910.0
Gwinnett,HOG MOUNTAIN A,5011.0,316.0,761.0,342.0,1.0,1420.0,317.0,1053.0,610.0,1.0,1981.0,3401.0
Gwinnett,HOG MOUNTAIN B,4583.0,389.0,1084.0,482.0,3.0,1958.0,175.0,734.0,593.0,2.0,1504.0,3462.0
Gwinnett,ROCKYCREEK A,5939.0,480.0,1507.0,447.0,0.0,2434.0,266.0,1101.0,602.0,3.0,1972.0,4406.0
Gwinnett,CATES B,1587.0,146.0,341.0,203.0,1.0,691.0,83.0,226.0,172.0,1.0,482.0,1173.0
Gwinnett,CATES C,2903.0,177.0,307.0,211.0,1.0,696.0,177.0,768.0,404.0,2.0,1351.0,2047.0
Gwinnett,HOG MOUNTAIN D,3179.0,283.0,688.0,276.0,1.0,1248.0,144.0,476.0,377.0,1.0,998.0,2246.0
Gwinnett,BERKSHIRE D,2945.0,150.0,527.0,357.0,1.0,1035.0,112.0,575.0,464.0,3.0,1154.0,2189.0
Gwinnett,BERKSHIRE E,1997.0,171.0,468.0,233.0,0.0,872.0,67.0,342.0,261.0,1.0,671.0,1543.0
Gwinnett,BERKSHIRE F,2254.0,171.0,224.0,178.0,0.0,573.0,185.0,362.0,293.0,1.0,841.0,1414.0
Gwinnett,CATES D,3755.0,234.0,646.0,363.0,0.0,1243.0,180.0,798.0,538.0,2.0,1518.0,2761.0
Gwinnett,CATES E,2942.0,227.0,584.0,359.0,1.0,1171.0,138.0,574.0,430.0,1.0,1143.0,2314.0
Gwinnett,PINCKNEYVILLE E,2184.0,119.0,118.0,68.0,3.0,308.0,225.0,474.0,267.0,6.0,972.0,1280.0
