County,Precinct,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total Votes
Columbia,Second Mt Moriah Baptist Church1027,1027.0,168.0,404.0,76.0,1.0,649.0,21.0,73.0,43.0,0.0,137.0,786.0
Columbia,Bessie Thomas Center,799.0,109.0,368.0,64.0,2.0,543.0,13.0,42.0,17.0,0.0,72.0,615.0
Columbia,Philadelphia Church,2355.0,221.0,642.0,131.0,1.0,995.0,113.0,404.0,180.0,0.0,697.0,1692.0
Columbia,Liberty Park-Grovetown,3410.0,297.0,663.0,138.0,2.0,1100.0,209.0,595.0,316.0,2.0,1122.0,2222.0
Columbia,Grovetown Methodist Church,2736.0,203.0,319.0,122.0,1.0,645.0,245.0,503.0,246.0,6.0,1000.0,1645.0
Columbia,G A Apostolic Church,1701.0,246.0,376.0,130.0,0.0,752.0,79.0,239.0,132.0,1.0,451.0,1203.0
Columbia,Grovetown Public Safety Station 23696,23696.0,259.0,687.0,160.0,1.0,1107.0,210.0,759.0,378.0,0.0,1347.0,2454.0
Columbia,Grove First Baptist Church,2954.0,187.0,550.0,91.0,1.0,829.0,152.0,649.0,308.0,0.0,1109.0,1938.0
Columbia,Eubank-Blanchard Center,1576.0,385.0,495.0,79.0,1.0,960.0,76.0,102.0,75.0,0.0,253.0,1213.0
Columbia,Second Mt Carmel Baptist Church731,731.0,99.0,138.0,25.0,0.0,262.0,126.0,74.0,83.0,0.0,283.0,545.0
Columbia,Damascus Baptist Church,1023.0,352.0,294.0,73.0,1.0,720.0,36.0,41.0,25.0,0.0,102.0,822.0
Columbia,Col Cty Bd of Edu,2143.0,230.0,716.0,161.0,3.0,1110.0,91.0,272.0,157.0,0.0,520.0,1630.0
Columbia,Greenbrier High,3369.0,508.0,1232.0,245.0,1.0,1986.0,89.0,346.0,245.0,0.0,680.0,2666.0
Columbia,Parkway Baptist Church,4596.0,605.0,1528.0,283.0,2.0,2418.0,150.0,711.0,327.0,1.0,1189.0,3607.0
Columbia,Riverview Church,1320.0,159.0,466.0,108.0,0.0,733.0,50.0,162.0,122.0,0.0,334.0,1067.0
Columbia,Grace Baptist Church,3558.0,425.0,1022.0,187.0,0.0,1634.0,125.0,617.0,328.0,0.0,1070.0,2704.0
Columbia,Christ Sanctified,2521.0,347.0,763.0,189.0,1.0,1300.0,108.0,266.0,166.0,0.0,540.0,1840.0
Columbia,Blanchard Park,2026.0,242.0,430.0,157.0,2.0,831.0,111.0,281.0,166.0,0.0,558.0,1389.0
Columbia,Belair Baptist Church,2440.0,350.0,608.0,183.0,1.0,1142.0,126.0,316.0,198.0,1.0,641.0,1783.0
Columbia,Marvin Methodist,1937.0,339.0,396.0,153.0,0.0,888.0,122.0,179.0,172.0,0.0,473.0,1361.0
Columbia,Westside Baptist Church,1516.0,286.0,417.0,194.0,0.0,897.0,71.0,113.0,124.0,0.0,308.0,1205.0
Columbia,Trinity Baptist Church,2836.0,459.0,789.0,278.0,2.0,1528.0,114.0,235.0,166.0,1.0,516.0,2044.0
Columbia,Abilene Baptist,2046.0,312.0,506.0,180.0,0.0,998.0,91.0,188.0,151.0,0.0,430.0,1428.0
Columbia,Augusta Christian,2179.0,321.0,543.0,197.0,1.0,1062.0,126.0,225.0,183.0,0.0,534.0,1596.0
Columbia,Savannah Rapids Pavilion,1549.0,141.0,629.0,285.0,0.0,1055.0,30.0,120.0,158.0,0.0,308.0,1363.0
Columbia,Gospel Water Branch,2096.0,267.0,676.0,169.0,2.0,1114.0,80.0,250.0,206.0,1.0,537.0,1651.0
Columbia,Genesis Church,1830.0,256.0,559.0,195.0,0.0,1010.0,71.0,174.0,159.0,1.0,405.0,1415.0
Columbia,Stevens Creek Church,2760.0,402.0,974.0,305.0,1.0,1682.0,74.0,284.0,244.0,0.0,602.0,2284.0
Columbia,Mtz Col Fire Hdqtr,1291.0,205.0,239.0,80.0,0.0,524.0,107.0,114.0,83.0,1.0,305.0,829.0
Columbia,Lakeside Middle,1923.0,269.0,516.0,108.0,0.0,893.0,103.0,224.0,133.0,1.0,461.0,1354.0
Columbia,Martinez Baptist,1962.0,340.0,348.0,123.0,0.0,811.0,142.0,215.0,136.0,0.0,493.0,1304.0
Columbia,Gold Cross EMS,1889.0,239.0,483.0,318.0,3.0,1043.0,66.0,144.0,113.0,1.0,324.0,1367.0
Columbia,Church of Our Savior,2310.0,323.0,494.0,207.0,2.0,1026.0,151.0,243.0,214.0,2.0,610.0,1636.0
Columbia,West Acres Baptist,2424.0,308.0,763.0,180.0,1.0,1252.0,92.0,257.0,199.0,0.0,548.0,1800.0
Columbia,Journey Comm Church,1268.0,167.0,516.0,158.0,3.0,844.0,34.0,103.0,77.0,0.0,214.0,1058.0
Columbia,Wesley Methodist,2434.0,334.0,833.0,209.0,3.0,1379.0,90.0,278.0,147.0,1.0,516.0,1895.0
Columbia,Col Cty Main Library,2106.0,204.0,699.0,158.0,0.0,1061.0,56.0,268.0,160.0,1.0,485.0,1546.0
Columbia,Christ Church Presbyterian,2081.0,293.0,766.0,159.0,1.0,1219.0,61.0,219.0,147.0,1.0,428.0,1647.0
Columbia,Blue Ridge Elementary,2301.0,284.0,629.0,162.0,0.0,1075.0,133.0,272.0,157.0,1.0,563.0,1638.0
Columbia,Christ The King Luth Church,2148.0,202.0,777.0,261.0,1.0,1241.0,48.0,237.0,197.0,0.0,482.0,1723.0
Burke,Alexander,389.0,85.0,61.0,16.0,0.0,162.0,24.0,15.0,65.0,0.0,104.0,266.0
Burke,Four Points,2558.0,458.0,496.0,144.0,0.0,1098.0,115.0,222.0,147.0,0.0,484.0,1582.0
Burke,Girard,733.0,110.0,82.0,41.0,0.0,233.0,96.0,55.0,82.0,0.0,233.0,466.0
Burke,Gough,434.0,43.0,59.0,17.0,0.0,119.0,47.0,38.0,93.0,0.0,178.0,297.0
Burke,Greenscut,1036.0,143.0,223.0,45.0,0.0,411.0,83.0,94.0,84.0,0.0,261.0,672.0
Burke,Keysville,476.0,63.0,42.0,14.0,0.0,119.0,98.0,11.0,32.0,0.0,141.0,260.0
Burke,Midville,492.0,91.0,20.0,12.0,0.0,123.0,87.0,25.0,63.0,0.0,175.0,298.0
Burke,Munnerlyn,299.0,63.0,46.0,6.0,0.0,115.0,22.0,26.0,28.0,0.0,76.0,191.0
Burke,Sardis,1049.0,208.0,121.0,60.0,0.0,389.0,124.0,76.0,48.0,0.0,248.0,637.0
Burke,Scotts Crossroads,294.0,39.0,18.0,5.0,0.0,62.0,36.0,40.0,45.0,0.0,121.0,183.0
Burke,Telfair,1121.0,150.0,177.0,56.0,0.0,383.0,67.0,120.0,113.0,0.0,300.0,683.0
Burke,St Clair,442.0,70.0,82.0,24.0,0.0,176.0,36.0,37.0,59.0,0.0,132.0,308.0
Burke,Vidette,313.0,69.0,22.0,13.0,0.0,104.0,42.0,18.0,41.0,0.0,101.0,205.0
Burke,North Waynesboro,2949.0,84.0,340.0,80.0,0.0,504.0,273.0,484.0,486.0,0.0,1243.0,1747.0
Burke,South Waynesboro,3290.0,224.0,924.0,171.0,0.0,1319.0,215.0,442.0,304.0,0.0,961.0,2280.0
Burke,Blakeney,681.0,34.0,120.0,11.0,0.0,165.0,71.0,87.0,70.0,0.0,228.0,393.0
