County,Precinct,Registered Voters,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Total Votes
Cherokee,Macedonia,4853.0,635.0,1890.0,600.0,0.0,3125.0,107.0,345.0,331.0,0.0,783.0,3908.0
Cherokee,Mountain Road,3078.0,551.0,903.0,349.0,1.0,1804.0,104.0,260.0,234.0,0.0,598.0,2402.0
Cherokee,Neese,7642.0,749.0,1871.0,800.0,1.0,3421.0,281.0,914.0,853.0,0.0,2048.0,5469.0
Cherokee,Oak Grove,3749.0,565.0,912.0,396.0,0.0,1873.0,143.0,290.0,297.0,0.0,730.0,2603.0
Cherokee,R M Moore,3468.0,667.0,1190.0,387.0,0.0,2244.0,61.0,118.0,124.0,0.0,303.0,2547.0
Cherokee,R T Jones,2525.0,189.0,667.0,178.0,1.0,1035.0,90.0,240.0,168.0,0.0,498.0,1533.0
Cherokee,Rosecreek,3748.0,497.0,1167.0,403.0,0.0,2067.0,127.0,374.0,326.0,0.0,827.0,2894.0
Cherokee,Salacoa,727.0,265.0,120.0,58.0,0.0,443.0,22.0,15.0,31.0,0.0,68.0,511.0
Cherokee,Sixes,3101.0,427.0,1005.0,419.0,0.0,1851.0,78.0,279.0,273.0,0.0,630.0,2481.0
Cherokee,Sutallee,2540.0,685.0,759.0,258.0,0.0,1702.0,88.0,112.0,97.0,1.0,298.0,2000.0
Cherokee,Teasley,7981.0,1073.0,2601.0,726.0,0.0,4400.0,285.0,732.0,556.0,1.0,1574.0,5974.0
Cherokee,Toonigh,6641.0,694.0,2158.0,696.0,0.0,3548.0,184.0,744.0,539.0,0.0,1467.0,5015.0
Cherokee,Union Hill,4207.0,813.0,1436.0,512.0,2.0,2763.0,97.0,257.0,272.0,0.0,626.0,3389.0
Cherokee,Univeter,5434.0,561.0,2023.0,616.0,0.0,3200.0,100.0,410.0,284.0,0.0,794.0,3994.0
Cherokee,Victoria,3132.0,545.0,873.0,292.0,0.0,1710.0,117.0,257.0,184.0,0.0,558.0,2268.0
Cherokee,Waleska,2875.0,562.0,772.0,392.0,0.0,1726.0,68.0,152.0,250.0,0.0,470.0,2196.0
Cherokee,Wildcat,3215.0,507.0,1010.0,256.0,0.0,1773.0,109.0,273.0,187.0,0.0,569.0,2342.0
Cherokee,Woodlands,3456.0,632.0,670.0,331.0,0.0,1633.0,244.0,371.0,367.0,0.0,982.0,2615.0
Cherokee,Woodstock,7345.0,641.0,1766.0,716.0,1.0,3124.0,291.0,973.0,686.0,2.0,1952.0,5076.0
Bartow,Adairsville,6995.0,815.0,2474.0,546.0,1.0,3836.0,148.0,408.0,318.0,1.0,875.0,4711.0
Bartow,Allatoona,4729.0,553.0,1133.0,275.0,0.0,1961.0,127.0,301.0,264.0,0.0,692.0,2653.0
Bartow,Cartersville East,6805.0,555.0,1742.0,579.0,0.0,2876.0,278.0,648.0,531.0,0.0,1457.0,4333.0
Bartow,Cartersville West,8129.0,585.0,2797.0,802.0,0.0,4184.0,217.0,794.0,571.0,1.0,1583.0,5767.0
Bartow,Cassville,4588.0,426.0,1260.0,591.0,2.0,2279.0,135.0,384.0,472.0,3.0,994.0,3273.0
Bartow,Center,4007.0,684.0,1250.0,401.0,2.0,2337.0,101.0,237.0,208.0,0.0,546.0,2883.0
Bartow,Emerson,3122.0,588.0,751.0,271.0,1.0,1611.0,97.0,139.0,161.0,0.0,397.0,2008.0
Bartow,Euharlee,5322.0,852.0,1667.0,361.0,1.0,2881.0,167.0,356.0,296.0,0.0,819.0,3700.0
Bartow,Folsom,1448.0,410.0,359.0,121.0,0.0,890.0,24.0,46.0,41.0,0.0,111.0,1001.0
Bartow,Hamilton Crossing,6598.0,715.0,2168.0,361.0,0.0,3244.0,166.0,473.0,245.0,1.0,885.0,4129.0
Bartow,Kingston,2674.0,641.0,684.0,236.0,0.0,1561.0,93.0,103.0,89.0,0.0,285.0,1846.0
Bartow,Mission Road,4012.0,445.0,1288.0,348.0,4.0,2085.0,94.0,333.0,247.0,0.0,674.0,2759.0
Bartow,Pine Log,2132.0,652.0,508.0,209.0,1.0,1370.0,55.0,71.0,58.0,0.0,184.0,1554.0
Bartow,Taylorsville,2829.0,792.0,801.0,262.0,0.0,1855.0,57.0,68.0,68.0,0.0,193.0,2048.0
Bartow,White,2723.0,661.0,755.0,247.0,1.0,1664.0,70.0,96.0,94.0,0.0,260.0,1924.0
Bartow,Zena Drive,6431.0,514.0,1425.0,473.0,5.0,2417.0,263.0,609.0,397.0,2.0,1271.0,3688.0
Bartow,Woodland,1865.0,313.0,492.0,166.0,1.0,972.0,47.0,135.0,112.0,0.0,294.0,1266.0
Cobb,Acworth 1A,5458.0,281.0,1093.0,626.0,0.0,2000.0,207.0,841.0,875.0,3.0,1926.0,3926.0
Cobb,Acworth 1B,5214.0,420.0,1006.0,568.0,2.0,1996.0,268.0,691.0,654.0,3.0,1616.0,3612.0
Cobb,Acworth 1C,5110.0,211.0,706.0,302.0,0.0,1219.0,296.0,1083.0,818.0,7.0,2204.0,3423.0
Cobb,Big Shanty 01,2385.0,227.0,367.0,270.0,4.0,868.0,137.0,298.0,275.0,1.0,711.0,1579.0
Cobb,Big Shanty 02,3236.0,301.0,591.0,402.0,3.0,1297.0,188.0,449.0,513.0,1.0,1151.0,2448.0
Cobb,Baker 01,4773.0,358.0,711.0,307.0,2.0,1378.0,301.0,971.0,645.0,7.0,1924.0,3302.0
Cobb,Chattahoochee 01,5969.0,143.0,308.0,163.0,0.0,614.0,158.0,570.0,497.0,2.0,1227.0,1841.0
Cobb,Cheatham Hill 02,3085.0,322.0,718.0,455.0,0.0,1495.0,116.0,383.0,491.0,1.0,991.0,2486.0
Cobb,Cheatham Hill 03,4029.0,329.0,843.0,564.0,1.0,1737.0,143.0,711.0,689.0,0.0,1543.0,3280.0
Cobb,Chalker 01,6065.0,328.0,640.0,427.0,0.0,1395.0,484.0,1142.0,790.0,3.0,2419.0,3814.0
Cobb,Dobbins 01,3024.0,112.0,135.0,115.0,5.0,367.0,246.0,425.0,348.0,5.0,1024.0,1391.0
Cobb,Dobbins 02,3984.0,199.0,306.0,149.0,1.0,655.0,353.0,853.0,526.0,3.0,1735.0,2390.0
Cobb,Dowell 01,3197.0,261.0,566.0,348.0,0.0,1175.0,166.0,575.0,567.0,3.0,1311.0,2486.0
Cobb,Durham 01,4256.0,411.0,1387.0,611.0,1.0,2410.0,83.0,489.0,485.0,1.0,1058.0,3468.0
Cobb,Elizabeth 01,4065.0,226.0,334.0,180.0,0.0,740.0,323.0,814.0,559.0,4.0,1700.0,2440.0
Cobb,East Piedmont 01,2627.0,216.0,253.0,190.0,1.0,660.0,169.0,371.0,384.0,0.0,924.0,1584.0
Cobb,Fair Oaks 02,5779.0,250.0,401.0,309.0,3.0,963.0,486.0,1058.0,940.0,3.0,2487.0,3450.0
Cobb,Fair Oaks 04,5322.0,92.0,146.0,118.0,0.0,356.0,270.0,326.0,310.0,1.0,907.0,1263.0
Cobb,Ford 01,3161.0,320.0,999.0,456.0,1.0,1776.0,81.0,341.0,346.0,0.0,768.0,2544.0
Cobb,Frey 01,2582.0,181.0,830.0,322.0,0.0,1333.0,64.0,318.0,297.0,1.0,680.0,2013.0
Cobb,Harrison 01,3122.0,346.0,898.0,497.0,0.0,1741.0,96.0,328.0,331.0,0.0,755.0,2496.0
Cobb,Hayes 01,4111.0,372.0,1092.0,646.0,0.0,2110.0,124.0,457.0,545.0,1.0,1127.0,3237.0
Cobb,Kennesaw 1A,2499.0,217.0,362.0,203.0,9.0,791.0,196.0,407.0,235.0,6.0,844.0,1635.0
Cobb,Kennesaw 2A,3944.0,324.0,711.0,357.0,2.0,1394.0,199.0,581.0,517.0,2.0,1299.0,2693.0
Cobb,Kennesaw 3A,6477.0,299.0,869.0,442.0,3.0,1613.0,399.0,1246.0,971.0,4.0,2620.0,4233.0
Cobb,Kennesaw 4A,3783.0,250.0,667.0,408.0,2.0,1327.0,188.0,589.0,561.0,1.0,1339.0,2666.0
Cobb,Kennesaw 5A,5855.0,532.0,1061.0,469.0,0.0,2062.0,334.0,1120.0,911.0,2.0,2367.0,4429.0
Cobb,Kemp 01,1960.0,253.0,502.0,337.0,0.0,1092.0,66.0,201.0,223.0,0.0,490.0,1582.0
Cobb,Kemp 02,4049.0,407.0,853.0,617.0,4.0,1881.0,136.0,585.0,585.0,2.0,1308.0,3189.0
Cobb,Kemp 03,3955.0,525.0,1182.0,587.0,1.0,2295.0,96.0,408.0,419.0,1.0,924.0,3219.0
Cobb,Lost Mountain 01,3604.0,212.0,1064.0,533.0,1.0,1810.0,91.0,554.0,525.0,0.0,1170.0,2980.0
Cobb,Lost Mountain 02,4121.0,378.0,1427.0,644.0,0.0,2449.0,98.0,537.0,463.0,0.0,1098.0,3547.0
Cobb,Lost Mountain 03,5387.0,292.0,1719.0,731.0,2.0,2744.0,122.0,808.0,670.0,0.0,1600.0,4344.0
Cobb,Lost Mountain 04,2629.0,259.0,750.0,355.0,1.0,1365.0,61.0,345.0,333.0,0.0,739.0,2104.0
Cobb,McClure 01,3290.0,390.0,873.0,412.0,1.0,1676.0,112.0,386.0,414.0,1.0,913.0,2589.0
Cobb,Marietta 1A,4468.0,196.0,334.0,221.0,1.0,752.0,340.0,704.0,535.0,5.0,1584.0,2336.0
Cobb,Marietta 2A,2059.0,283.0,387.0,372.0,0.0,1042.0,116.0,280.0,291.0,0.0,687.0,1729.0
Cobb,Marietta 2B,4447.0,261.0,527.0,448.0,2.0,1238.0,329.0,848.0,661.0,0.0,1838.0,3076.0
Cobb,Marietta 3A,4388.0,335.0,679.0,564.0,1.0,1579.0,206.0,694.0,711.0,2.0,1613.0,3192.0
Cobb,Marietta 3B,2218.0,50.0,104.0,91.0,0.0,245.0,174.0,491.0,429.0,1.0,1095.0,1340.0
Cobb,Marietta 4A,1956.0,428.0,397.0,388.0,0.0,1213.0,73.0,160.0,235.0,1.0,469.0,1682.0
Cobb,Marietta 4B,2056.0,190.0,291.0,272.0,0.0,753.0,109.0,324.0,336.0,1.0,770.0,1523.0
Cobb,Marietta 4C,2781.0,301.0,693.0,416.0,0.0,1410.0,87.0,336.0,432.0,0.0,855.0,2265.0
Cobb,Marietta 5A,3324.0,143.0,227.0,193.0,0.0,563.0,163.0,355.0,432.0,3.0,953.0,1516.0
Cobb,Marietta 5B,3084.0,130.0,150.0,119.0,0.0,399.0,280.0,537.0,409.0,2.0,1228.0,1627.0
Cobb,Marietta 6A,2647.0,53.0,82.0,53.0,0.0,188.0,183.0,372.0,235.0,2.0,792.0,980.0
Cobb,Marietta 7A,3745.0,73.0,93.0,50.0,0.0,216.0,228.0,645.0,324.0,3.0,1200.0,1416.0
Cobb,Mars Hill 01,3633.0,434.0,1113.0,484.0,2.0,2033.0,98.0,288.0,320.0,0.0,706.0,2739.0
Cobb,Mars Hill 02,2916.0,303.0,598.0,265.0,0.0,1166.0,131.0,405.0,385.0,0.0,921.0,2087.0
Cobb,North Cobb 01,2317.0,219.0,393.0,209.0,0.0,821.0,115.0,400.0,330.0,0.0,845.0,1666.0
Cobb,Nickajack 01,4889.0,164.0,435.0,268.0,2.0,869.0,311.0,1354.0,949.0,2.0,2616.0,3485.0
Cobb,Oakdale 01,3944.0,277.0,516.0,482.0,0.0,1275.0,161.0,762.0,842.0,1.0,1766.0,3041.0
Cobb,Oregon 01,1614.0,182.0,404.0,223.0,0.0,809.0,81.0,233.0,221.0,1.0,536.0,1345.0
Cobb,Oregon 03,5713.0,207.0,359.0,312.0,2.0,880.0,457.0,973.0,797.0,6.0,2233.0,3113.0
Cobb,Oregon 05,3846.0,312.0,623.0,358.0,1.0,1294.0,170.0,895.0,684.0,0.0,1749.0,3043.0
Cobb,Powers Ferry 01,3504.0,344.0,489.0,400.0,0.0,1233.0,172.0,449.0,543.0,1.0,1165.0,2398.0
Cobb,Pine Mountain 01,3491.0,361.0,993.0,522.0,1.0,1877.0,124.0,406.0,421.0,4.0,955.0,2832.0
Cobb,Pine Mountain 02,3127.0,415.0,868.0,595.0,0.0,1878.0,82.0,305.0,350.0,1.0,738.0,2616.0
Cobb,Palmer 01,2760.0,130.0,226.0,183.0,0.0,539.0,52.0,190.0,186.0,0.0,428.0,967.0
Cobb,Pitner 01,2814.0,359.0,526.0,297.0,0.0,1182.0,171.0,376.0,367.0,1.0,915.0,2097.0
Cobb,Smyrna 1A,4152.0,168.0,217.0,199.0,1.0,585.0,395.0,829.0,657.0,3.0,1884.0,2469.0
Cobb,Smyrna 2A,5539.0,177.0,432.0,318.0,0.0,927.0,408.0,1312.0,1006.0,1.0,2727.0,3654.0
Cobb,Smyrna 3A,4573.0,114.0,271.0,200.0,0.0,585.0,126.0,554.0,545.0,2.0,1227.0,1812.0
Cobb,Smyrna 4A,5842.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
Cobb,Smyrna 6A,5936.0,309.0,751.0,693.0,0.0,1753.0,264.0,1088.0,1124.0,5.0,2481.0,4234.0
Cobb,Smyrna 7A,6378.0,20.0,42.0,44.0,0.0,106.0,18.0,50.0,81.0,0.0,149.0,255.0
Cobb,Terrell Mill 01,5816.0,261.0,469.0,409.0,1.0,1140.0,450.0,1055.0,865.0,7.0,2377.0,3517.0
Cobb,Vaughan 01,3146.0,369.0,966.0,382.0,0.0,1717.0,96.0,388.0,322.0,0.0,806.0,2523.0
Cobb,Vinings 01,3260.0,202.0,292.0,278.0,1.0,773.0,197.0,743.0,591.0,1.0,1532.0,2305.0
Cobb,Vinings 02,6400.0,309.0,656.0,618.0,2.0,1585.0,396.0,1288.0,1143.0,4.0,2831.0,4416.0
Cobb,Vinings 03,4407.0,172.0,532.0,444.0,3.0,1151.0,237.0,989.0,853.0,1.0,2080.0,3231.0
Cobb,Vinings 04,3405.0,429.0,470.0,524.0,1.0,1424.0,188.0,501.0,519.0,0.0,1208.0,2632.0
Cobb,Wade Green 02,4718.0,427.0,766.0,476.0,1.0,1670.0,254.0,793.0,752.0,0.0,1799.0,3469.0
