County,Precinct,Registered Voters,Andrew Clyde (Rep)_Election Day Votes,Andrew Clyde (Rep)_Advanced Voting Votes,Andrew Clyde (Rep)_Absentee by Mail Votes,Andrew Clyde (Rep)_Provisional Votes,Andrew Clyde (Rep)_Choice Total,Devin Pandy (Dem)_Election Day Votes,Devin Pandy (Dem)_Advanced Voting Votes,Devin Pandy (Dem)_Absentee by Mail Votes,Devin Pandy (Dem)_Provisional Votes,Devin Pandy (Dem)_Choice Total,Total Votes
Elbert,Eliam,748.0,152.0,243.0,71.0,0.0,466.0,24.0,53.0,59.0,0.0,136.0,602.0
Elbert,Petersburg,377.0,105.0,91.0,47.0,0.0,243.0,9.0,11.0,28.0,0.0,48.0,291.0
Elbert,Wyche,1095.0,128.0,404.0,91.0,0.0,623.0,42.0,100.0,76.0,0.0,218.0,841.0
Elbert,Moss-Ruckersville,468.0,104.0,124.0,40.0,0.0,268.0,17.0,19.0,41.0,0.0,77.0,345.0
Elbert,Pike,1596.0,224.0,402.0,123.0,0.0,749.0,47.0,167.0,199.0,0.0,413.0,1162.0
Elbert,Gaines,570.0,182.0,126.0,61.0,0.0,369.0,14.0,20.0,21.0,0.0,55.0,424.0
Elbert,Goshen,1612.0,339.0,497.0,123.0,0.0,959.0,66.0,83.0,85.0,0.0,234.0,1193.0
Elbert,Webbsboro,408.0,89.0,117.0,36.0,0.0,242.0,15.0,37.0,27.0,0.0,79.0,321.0
Elbert,Centerville,1011.0,204.0,323.0,76.0,0.0,603.0,25.0,65.0,51.0,0.0,141.0,744.0
Stephens,Senior Center,0.0,1214.0,6720.0,1395.0,3.0,9332.0,292.0,1173.0,720.0,0.0,2185.0,11517.0
Franklin,Carnesville,2382.0,253.0,1089.0,219.0,0.0,1561.0,24.0,85.0,68.0,0.0,177.0,1738.0
Franklin,West Franklin,1764.0,316.0,570.0,168.0,0.0,1054.0,36.0,43.0,45.0,0.0,124.0,1178.0
Franklin,Northeast Franklin,2935.0,439.0,1001.0,311.0,2.0,1753.0,50.0,108.0,130.0,0.0,288.0,2041.0
Franklin,Lavonia,2355.0,301.0,737.0,187.0,0.0,1225.0,92.0,131.0,129.0,0.0,352.0,1577.0
Franklin,Canon,1244.0,286.0,403.0,112.0,0.0,801.0,30.0,42.0,29.0,0.0,101.0,902.0
Franklin,Royston,2034.0,292.0,633.0,215.0,0.0,1140.0,59.0,105.0,101.0,0.0,265.0,1405.0
Franklin,Southwest Franklin,2432.0,408.0,938.0,218.0,0.0,1564.0,20.0,81.0,62.0,0.0,163.0,1727.0
Union,Blairsville,2435.0,250.0,913.0,319.0,3.0,1485.0,25.0,141.0,166.0,0.0,332.0,1817.0
Union,Coosa,2294.0,387.0,930.0,242.0,0.0,1559.0,25.0,123.0,102.0,0.0,250.0,1809.0
Union,Choestoe,1377.0,266.0,486.0,140.0,1.0,893.0,26.0,84.0,82.0,0.0,192.0,1085.0
Union,Jones Creek,1945.0,389.0,705.0,232.0,2.0,1328.0,32.0,110.0,114.0,0.0,256.0,1584.0
Union,Owltown,1517.0,241.0,532.0,189.0,0.0,962.0,20.0,103.0,126.0,0.0,249.0,1211.0
Union,Ivy Log,2008.0,357.0,736.0,273.0,0.0,1366.0,27.0,121.0,112.0,0.0,260.0,1626.0
Union,Suches,611.0,228.0,83.0,55.0,0.0,366.0,23.0,18.0,50.0,0.0,91.0,457.0
Union,Trackrock,1110.0,195.0,383.0,127.0,0.0,705.0,15.0,78.0,72.0,0.0,165.0,870.0
Union,Dooley,1531.0,325.0,465.0,164.0,2.0,956.0,39.0,94.0,112.0,0.0,245.0,1201.0
Union,Gumlog,2143.0,374.0,776.0,257.0,1.0,1408.0,26.0,111.0,122.0,0.0,259.0,1667.0
Union,Pat Colwell,2230.0,318.0,901.0,260.0,2.0,1481.0,30.0,163.0,151.0,0.0,344.0,1825.0
Hart,Hartwell,6451.0,475.0,2179.0,581.0,1.0,3236.0,185.0,673.0,475.0,1.0,1334.0,4570.0
Hart,Goldmine,1901.0,353.0,587.0,166.0,0.0,1106.0,62.0,121.0,77.0,1.0,261.0,1367.0
Hart,Cokesbury,1162.0,144.0,283.0,67.0,0.0,494.0,85.0,135.0,100.0,0.0,320.0,814.0
Hart,Reed Creek,2990.0,453.0,1154.0,305.0,1.0,1913.0,69.0,164.0,178.0,0.0,411.0,2324.0
Hart,Bowersville,1395.0,329.0,412.0,71.0,0.0,812.0,39.0,84.0,38.0,0.0,161.0,973.0
Hart,Shoal Creek,1656.0,346.0,545.0,168.0,0.0,1059.0,43.0,60.0,73.0,0.0,176.0,1235.0
Hart,Bio,1374.0,233.0,460.0,94.0,0.0,787.0,41.0,126.0,81.0,0.0,248.0,1035.0
Forsyth,03 Browns Bridge,10740.0,397.0,2190.0,629.0,1.0,3217.0,53.0,385.0,225.0,2.0,665.0,3882.0
Forsyth,04 Chestatee,6776.0,581.0,3019.0,616.0,1.0,4217.0,80.0,436.0,314.0,1.0,831.0,5048.0
Forsyth,05 Coal Mountain,7852.0,595.0,3216.0,602.0,1.0,4414.0,158.0,873.0,437.0,1.0,1469.0,5883.0
Forsyth,06 Crossroads,7061.0,521.0,3015.0,488.0,1.0,4025.0,88.0,614.0,306.0,0.0,1008.0,5033.0
Forsyth,15 Heardsville,8091.0,611.0,3534.0,734.0,0.0,4879.0,145.0,728.0,497.0,0.0,1370.0,6249.0
Forsyth,16 Otwell,6333.0,123.0,786.0,142.0,0.0,1051.0,21.0,146.0,79.0,0.0,246.0,1297.0
Forsyth,27 Concord,9858.0,868.0,4414.0,766.0,3.0,6051.0,162.0,942.0,512.0,0.0,1616.0,7667.0
Forsyth,37 Sawnee,11952.0,82.0,733.0,152.0,0.0,967.0,24.0,156.0,93.0,0.0,273.0,1240.0
Towns,Young Harris,3323.0,366.0,1168.0,367.0,1.0,1902.0,58.0,232.0,221.0,1.0,512.0,2414.0
Towns,Macedonia,3828.0,327.0,1508.0,419.0,3.0,2257.0,36.0,204.0,222.0,0.0,462.0,2719.0
Towns,Hiawassee,3542.0,264.0,1417.0,421.0,4.0,2106.0,30.0,223.0,237.0,0.0,490.0,2596.0
White,Blue Creek,2352.0,412.0,768.0,246.0,0.0,1426.0,32.0,150.0,159.0,0.0,341.0,1767.0
White,Blue Ridge,929.0,172.0,263.0,115.0,1.0,551.0,15.0,33.0,35.0,0.0,83.0,634.0
White,Helen,609.0,116.0,135.0,51.0,0.0,302.0,18.0,47.0,36.0,0.0,101.0,403.0
White,Mossy Creek,3164.0,623.0,1053.0,301.0,0.0,1977.0,42.0,104.0,92.0,0.0,238.0,2215.0
White,Mt Yonah,4468.0,542.0,1564.0,473.0,2.0,2581.0,57.0,252.0,184.0,0.0,493.0,3074.0
White,Nacoochee,1552.0,211.0,467.0,202.0,1.0,881.0,53.0,138.0,145.0,0.0,336.0,1217.0
White,Robertstown,407.0,102.0,102.0,36.0,0.0,240.0,19.0,31.0,20.0,0.0,70.0,310.0
White,Shoal Creek,2538.0,450.0,770.0,228.0,0.0,1448.0,38.0,77.0,70.0,0.0,185.0,1633.0
White,Tesnatee,1231.0,185.0,409.0,143.0,0.0,737.0,27.0,74.0,47.0,0.0,148.0,885.0
White,Town Creek,1593.0,300.0,501.0,141.0,1.0,943.0,29.0,70.0,68.0,0.0,167.0,1110.0
White,White Creek,1779.0,360.0,610.0,182.0,0.0,1152.0,23.0,39.0,48.0,0.0,110.0,1262.0
Rabun,Rabun County,13072.0,1179.0,4580.0,1699.0,0.0,7458.0,185.0,835.0,834.0,0.0,1854.0,9312.0
Hall,Wilson,0.0,345.0,1678.0,947.0,0.0,2970.0,157.0,416.0,596.0,0.0,1169.0,4139.0
Hall,Chicopee,0.0,242.0,765.0,230.0,0.0,1237.0,178.0,487.0,262.0,0.0,927.0,2164.0
Hall,Oakwood I,0.0,229.0,576.0,189.0,0.0,994.0,144.0,350.0,158.0,0.0,652.0,1646.0
Hall,Oakwood II,0.0,407.0,1441.0,462.0,0.0,2310.0,89.0,346.0,248.0,0.0,683.0,2993.0
Hall,Flowery Branch I,0.0,437.0,1525.0,479.0,0.0,2441.0,85.0,361.0,304.0,0.0,750.0,3191.0
Hall,Flowery Branch II,0.0,402.0,1069.0,265.0,0.0,1736.0,104.0,325.0,242.0,0.0,671.0,2407.0
Hall,Roberts,0.0,501.0,1946.0,723.0,0.0,3170.0,122.0,439.0,402.0,0.0,963.0,4133.0
Hall,Morgan I,0.0,469.0,1597.0,369.0,0.0,2435.0,84.0,268.0,182.0,0.0,534.0,2969.0
Hall,Morgan II,0.0,359.0,1585.0,459.0,0.0,2403.0,147.0,506.0,304.0,0.0,957.0,3360.0
Hall,Candler,0.0,505.0,1713.0,491.0,0.0,2709.0,215.0,557.0,334.0,0.0,1106.0,3815.0
Hall,Tadmore,0.0,422.0,1030.0,334.0,0.0,1786.0,364.0,797.0,448.0,0.0,1609.0,3395.0
Hall,Glade,0.0,358.0,1180.0,309.0,0.0,1847.0,92.0,283.0,219.0,0.0,594.0,2441.0
Hall,Lula,0.0,556.0,1211.0,279.0,0.0,2046.0,71.0,140.0,122.0,0.0,333.0,2379.0
Hall,Clermont,0.0,424.0,1687.0,325.0,0.0,2436.0,27.0,144.0,90.0,0.0,261.0,2697.0
Hall,Quillians,0.0,233.0,1421.0,281.0,0.0,1935.0,24.0,135.0,84.0,0.0,243.0,2178.0
Hall,Bark Camp,0.0,474.0,2339.0,602.0,0.0,3415.0,87.0,373.0,290.0,0.0,750.0,4165.0
Hall,Chestatee,0.0,468.0,1393.0,437.0,0.0,2298.0,94.0,224.0,233.0,0.0,551.0,2849.0
Hall,Fork,0.0,512.0,1160.0,381.0,0.0,2053.0,78.0,229.0,206.0,0.0,513.0,2566.0
Hall,Whelchel,0.0,362.0,1719.0,467.0,0.0,2548.0,92.0,292.0,263.0,0.0,647.0,3195.0
Hall,West Whelchel,0.0,338.0,1451.0,657.0,0.0,2446.0,60.0,268.0,341.0,0.0,669.0,3115.0
Hall,Gainesville I,0.0,354.0,944.0,436.0,0.0,1734.0,139.0,445.0,360.0,0.0,944.0,2678.0
Hall,Gainesville II,0.0,66.0,112.0,79.0,0.0,257.0,279.0,551.0,496.0,0.0,1326.0,1583.0
Hall,Gainesville III,0.0,293.0,661.0,249.0,0.0,1203.0,325.0,577.0,326.0,0.0,1228.0,2431.0
Hall,Gainesville IV,0.0,183.0,583.0,223.0,0.0,989.0,118.0,347.0,232.0,0.0,697.0,1686.0
Hall,Gainesville V,0.0,132.0,332.0,109.0,0.0,573.0,69.0,153.0,117.0,0.0,339.0,912.0
Hall,Gillsville,0.0,315.0,354.0,76.0,0.0,745.0,31.0,61.0,38.0,0.0,130.0,875.0
Hall,Big Hickory,0.0,375.0,1817.0,419.0,0.0,2611.0,36.0,179.0,156.0,0.0,371.0,2982.0
Hall,Friendship I,0.0,526.0,3467.0,1223.0,0.0,5216.0,111.0,687.0,828.0,0.0,1626.0,6842.0
Hall,Friendship II,0.0,392.0,1194.0,256.0,0.0,1842.0,79.0,299.0,168.0,0.0,546.0,2388.0
Hall,Friendship III,0.0,340.0,1752.0,330.0,0.0,2422.0,108.0,460.0,290.0,0.0,858.0,3280.0
Hall,Friendship IV,0.0,187.0,1563.0,261.0,0.0,2011.0,35.0,461.0,245.0,0.0,741.0,2752.0
Banks,Anderson,1533.0,213.0,575.0,100.0,1.0,889.0,9.0,43.0,45.0,0.0,97.0,986.0
Banks,Baldwin,876.0,79.0,318.0,119.0,0.0,516.0,22.0,40.0,38.0,0.0,100.0,616.0
Banks,Berlin,415.0,45.0,188.0,29.0,1.0,263.0,1.0,16.0,5.0,0.0,22.0,285.0
Banks,Bushville,816.0,116.0,295.0,46.0,1.0,458.0,10.0,22.0,12.0,0.0,44.0,502.0
Banks,Columbia,363.0,62.0,165.0,30.0,0.0,257.0,5.0,8.0,6.0,1.0,20.0,277.0
Banks,Davids,1977.0,237.0,719.0,128.0,4.0,1088.0,27.0,85.0,51.0,0.0,163.0,1251.0
Banks,Golden Hill,1008.0,126.0,338.0,71.0,0.0,535.0,12.0,31.0,31.0,2.0,76.0,611.0
Banks,Grove River,600.0,89.0,231.0,65.0,0.0,385.0,11.0,14.0,9.0,0.0,34.0,419.0
Banks,Hollingsworth,667.0,85.0,284.0,50.0,1.0,420.0,4.0,20.0,28.0,0.0,52.0,472.0
Banks,Homer,1544.0,173.0,657.0,119.0,1.0,950.0,19.0,45.0,32.0,0.0,96.0,1046.0
Banks,Poplar Springs,1775.0,216.0,719.0,164.0,1.0,1100.0,21.0,47.0,43.0,0.0,111.0,1211.0
Banks,Washington,704.0,81.0,297.0,54.0,1.0,433.0,8.0,31.0,15.0,0.0,54.0,487.0
Banks,Wilmonts,620.0,73.0,261.0,53.0,0.0,387.0,4.0,15.0,10.0,0.0,29.0,416.0
Pickens,Yellow Creek,3571.0,786.0,972.0,322.0,0.0,2080.0,96.0,186.0,239.0,0.0,521.0,2601.0
Pickens,Sharptop,2616.0,595.0,686.0,318.0,1.0,1600.0,81.0,134.0,226.0,0.0,441.0,2041.0
Pickens,Appalachian,1933.0,390.0,579.0,159.0,0.0,1128.0,52.0,98.0,76.0,0.0,226.0,1354.0
Pickens,Refuge,2490.0,553.0,758.0,177.0,0.0,1488.0,46.0,98.0,77.0,0.0,221.0,1709.0
Pickens,Nelson,1474.0,413.0,359.0,92.0,0.0,864.0,42.0,57.0,52.0,0.0,151.0,1015.0
Pickens,Jasper,2517.0,439.0,628.0,157.0,1.0,1225.0,92.0,124.0,106.0,0.0,322.0,1547.0
Pickens,Tate,2651.0,210.0,225.0,56.0,1.0,492.0,18.0,22.0,28.0,0.0,68.0,560.0
Fannin,Colwell,1105.0,279.0,295.0,126.0,0.0,700.0,27.0,45.0,76.0,0.0,148.0,848.0
Fannin,Fairplay,1262.0,296.0,306.0,110.0,0.0,712.0,29.0,64.0,62.0,0.0,155.0,867.0
Fannin,Flinthill,3202.0,626.0,783.0,349.0,2.0,1760.0,71.0,89.0,124.0,0.0,284.0,2044.0
Fannin,Hemptown,1336.0,336.0,321.0,120.0,3.0,780.0,29.0,64.0,71.0,0.0,164.0,944.0
Fannin,Hothouse,1290.0,268.0,367.0,135.0,7.0,777.0,14.0,59.0,79.0,0.0,152.0,929.0
Fannin,Mineral Bluff,1817.0,346.0,583.0,229.0,0.0,1158.0,19.0,75.0,99.0,0.0,193.0,1351.0
Fannin,Mobile,1160.0,296.0,269.0,133.0,0.0,698.0,29.0,45.0,43.0,0.0,117.0,815.0
Fannin,Morganton,2067.0,443.0,567.0,238.0,2.0,1250.0,46.0,106.0,103.0,0.0,255.0,1505.0
Fannin,Noontootla,839.0,174.0,223.0,127.0,0.0,524.0,19.0,46.0,60.0,0.0,125.0,649.0
Fannin,Skeniah,331.0,110.0,57.0,39.0,2.0,208.0,11.0,18.0,25.0,0.0,54.0,262.0
Fannin,Sugar Creek,2437.0,385.0,775.0,265.0,0.0,1425.0,31.0,137.0,137.0,1.0,306.0,1731.0
Fannin,Toccoa,3553.0,486.0,1092.0,386.0,4.0,1968.0,43.0,209.0,192.0,0.0,444.0,2412.0
Jackson,Central Jackson,16263.0,1462.0,6560.0,1215.0,2.0,9239.0,268.0,1244.0,769.0,0.0,2281.0,11520.0
Jackson,North Jackson,12699.0,1259.0,4502.0,1172.0,1.0,6934.0,247.0,751.0,576.0,0.0,1574.0,8508.0
Jackson,West Jackson,14977.0,1444.0,6453.0,1408.0,2.0,9307.0,283.0,1051.0,788.0,1.0,2123.0,11430.0
Jackson,South Jackson,8012.0,865.0,2636.0,722.0,1.0,4224.0,172.0,547.0,470.0,0.0,1189.0,5413.0
