County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total Votes
Rockdale,MA,3180.0,224.0,517.0,196.0,0.0,937.0,168.0,692.0,379.0,1.0,1240.0,2177.0
Rockdale,MI,4226.0,99.0,320.0,107.0,0.0,526.0,250.0,1207.0,598.0,5.0,2060.0,2586.0
Rockdale,OT,6135.0,58.0,286.0,161.0,1.0,506.0,396.0,1814.0,866.0,5.0,3081.0,3587.0
Rockdale,RO,4633.0,113.0,481.0,183.0,0.0,777.0,268.0,1395.0,677.0,2.0,2342.0,3119.0
Rockdale,SM,4308.0,88.0,469.0,167.0,2.0,726.0,208.0,1433.0,681.0,3.0,2325.0,3051.0
Rockdale,SP,4781.0,95.0,439.0,186.0,0.0,720.0,269.0,1635.0,675.0,1.0,2580.0,3300.0
Rockdale,ST,3334.0,115.0,527.0,225.0,1.0,868.0,137.0,862.0,473.0,2.0,1474.0,2342.0
DeKalb,Allgood Elem,2858.0,46.0,71.0,70.0,1.0,188.0,227.0,872.0,589.0,4.0,1692.0,1880.0
DeKalb,Avondale,2906.0,212.0,219.0,151.0,0.0,582.0,229.0,919.0,751.0,1.0,1900.0,2482.0
DeKalb,Austin Drive,2536.0,21.0,25.0,30.0,2.0,78.0,189.0,626.0,447.0,13.0,1275.0,1353.0
DeKalb,Avondale High,3151.0,36.0,97.0,61.0,0.0,194.0,59.0,605.0,534.0,0.0,1198.0,1392.0
DeKalb,Brockett Elem,2752.0,81.0,275.0,203.0,1.0,560.0,133.0,721.0,498.0,6.0,1358.0,1918.0
DeKalb,Brockett,2681.0,145.0,247.0,151.0,1.0,544.0,168.0,679.0,480.0,7.0,1334.0,1878.0
DeKalb,Browns Mill Elem,3829.0,14.0,40.0,37.0,0.0,91.0,310.0,1449.0,878.0,5.0,2642.0,2733.0
DeKalb,Bethune Middle,4838.0,29.0,63.0,33.0,2.0,127.0,317.0,1335.0,976.0,12.0,2640.0,2767.0
DeKalb,Columbia Drive,2526.0,21.0,19.0,14.0,0.0,54.0,211.0,577.0,474.0,7.0,1269.0,1323.0
DeKalb,Canby Lane Elem,2004.0,11.0,22.0,26.0,1.0,60.0,218.0,531.0,433.0,8.0,1190.0,1250.0
DeKalb,Candler-Murphey Candler Elem,3712.0,30.0,73.0,43.0,1.0,147.0,277.0,1396.0,638.0,6.0,2317.0,2464.0
DeKalb,Chapel Hill Elem,3349.0,20.0,31.0,24.0,1.0,76.0,254.0,1206.0,695.0,4.0,2159.0,2235.0
DeKalb,Clairemont West,3264.0,79.0,184.0,146.0,0.0,409.0,107.0,1145.0,1070.0,3.0,2325.0,2734.0
DeKalb,Clairmont Road,3223.0,92.0,195.0,171.0,1.0,459.0,150.0,809.0,899.0,5.0,1863.0,2322.0
DeKalb,Clarkston,3878.0,47.0,81.0,43.0,0.0,171.0,360.0,916.0,415.0,13.0,1704.0,1875.0
DeKalb,Crossroads,2898.0,19.0,42.0,24.0,0.0,85.0,232.0,858.0,627.0,6.0,1723.0,1808.0
DeKalb,Covington Hwy,995.0,6.0,5.0,1.0,0.0,12.0,49.0,98.0,63.0,5.0,215.0,227.0
DeKalb,Covington,2376.0,42.0,72.0,42.0,0.0,156.0,114.0,670.0,357.0,3.0,1144.0,1300.0
DeKalb,Coralwood,3153.0,110.0,372.0,239.0,2.0,723.0,105.0,873.0,924.0,2.0,1904.0,2627.0
DeKalb,Clarkston Community Center,2495.0,56.0,90.0,51.0,1.0,198.0,193.0,583.0,380.0,7.0,1163.0,1361.0
DeKalb,Dunaire Elem,2268.0,34.0,65.0,59.0,1.0,159.0,175.0,611.0,411.0,6.0,1203.0,1362.0
DeKalb,Fairington Elem,5455.0,25.0,44.0,27.0,0.0,96.0,427.0,1566.0,648.0,15.0,2656.0,2752.0
DeKalb,Flat Shoals Parkway,3449.0,17.0,53.0,14.0,0.0,84.0,196.0,1297.0,761.0,4.0,2258.0,2342.0
DeKalb,Flat Rock Elem,3142.0,18.0,46.0,21.0,1.0,86.0,247.0,1314.0,533.0,6.0,2100.0,2186.0
DeKalb,Flakes Mill Fire Station,2103.0,8.0,32.0,19.0,0.0,59.0,119.0,735.0,424.0,5.0,1283.0,1342.0
DeKalb,Freedom Middle,3227.0,54.0,62.0,58.0,0.0,174.0,261.0,837.0,541.0,10.0,1649.0,1823.0
DeKalb,Glennwood,2715.0,15.0,64.0,49.0,0.0,128.0,31.0,469.0,347.0,1.0,848.0,976.0
DeKalb,Glenhaven,1880.0,34.0,34.0,33.0,0.0,101.0,215.0,474.0,312.0,4.0,1005.0,1106.0
DeKalb,Glenwood Road,2293.0,23.0,38.0,39.0,1.0,101.0,193.0,527.0,386.0,3.0,1109.0,1210.0
DeKalb,Hambrick Elem,3776.0,79.0,136.0,96.0,3.0,314.0,268.0,1032.0,606.0,7.0,1913.0,2227.0
DeKalb,Hugh Howell,1773.0,111.0,222.0,178.0,0.0,511.0,121.0,474.0,302.0,0.0,897.0,1408.0
DeKalb,Harris-Narvie J Harris Elem,4031.0,13.0,32.0,18.0,0.0,63.0,174.0,1596.0,788.0,6.0,2564.0,2627.0
DeKalb,Idlewood Elem,2472.0,93.0,132.0,79.0,1.0,305.0,176.0,693.0,392.0,6.0,1267.0,1572.0
DeKalb,Indian Creek,2318.0,53.0,70.0,58.0,3.0,184.0,142.0,480.0,353.0,11.0,986.0,1170.0
DeKalb,Jolly Elem,3679.0,85.0,161.0,118.0,3.0,367.0,231.0,840.0,605.0,12.0,1688.0,2055.0
DeKalb,Kelley Chapel Road,1337.0,13.0,10.0,8.0,0.0,31.0,118.0,456.0,320.0,1.0,895.0,926.0
DeKalb,Lithonia,1730.0,24.0,30.0,19.0,1.0,74.0,227.0,380.0,214.0,2.0,823.0,897.0
DeKalb,Lithonia High,3610.0,16.0,26.0,13.0,0.0,55.0,337.0,1065.0,538.0,11.0,1951.0,2006.0
DeKalb,Miller-Eldridge L Miller Elem 3455,3455.0,28.0,56.0,45.0,0.0,129.0,295.0,932.0,688.0,7.0,1922.0,2051.0
DeKalb,Marbut Elem,4234.0,19.0,34.0,14.0,1.0,68.0,315.0,1398.0,626.0,18.0,2357.0,2425.0
DeKalb,McLendon,3607.0,70.0,231.0,123.0,0.0,424.0,162.0,961.0,875.0,8.0,2006.0,2430.0
DeKalb,McWilliams,2517.0,17.0,27.0,8.0,0.0,52.0,143.0,963.0,560.0,3.0,1669.0,1721.0
DeKalb,Medlock,2208.0,77.0,142.0,108.0,1.0,328.0,120.0,653.0,661.0,1.0,1435.0,1763.0
DeKalb,Miller Grove,4747.0,17.0,41.0,26.0,1.0,85.0,337.0,1364.0,686.0,10.0,2397.0,2482.0
DeKalb,Montreal,2586.0,75.0,168.0,110.0,0.0,353.0,171.0,754.0,503.0,3.0,1431.0,1784.0
DeKalb,Memorial South,3138.0,38.0,58.0,31.0,2.0,129.0,229.0,679.0,372.0,18.0,1298.0,1427.0
DeKalb,Midway,3139.0,22.0,55.0,40.0,0.0,117.0,176.0,743.0,620.0,5.0,1544.0,1661.0
DeKalb,Mathis-Bob Mathis Elem,2789.0,15.0,34.0,37.0,0.0,86.0,216.0,931.0,699.0,3.0,1849.0,1935.0
DeKalb,Miller Grove Road,2151.0,14.0,38.0,10.0,0.0,62.0,171.0,728.0,502.0,5.0,1406.0,1468.0
DeKalb,Miller Grove High,3470.0,14.0,31.0,15.0,0.0,60.0,277.0,960.0,445.0,7.0,1689.0,1749.0
DeKalb,North Decatur,2166.0,42.0,82.0,70.0,1.0,195.0,105.0,600.0,505.0,11.0,1221.0,1416.0
DeKalb,North Hairston,2329.0,40.0,64.0,46.0,2.0,152.0,196.0,611.0,397.0,7.0,1211.0,1363.0
DeKalb,Northlake,1509.0,107.0,129.0,114.0,0.0,350.0,81.0,402.0,381.0,1.0,865.0,1215.0
DeKalb,Oak Grove Elem,2253.0,135.0,280.0,169.0,1.0,585.0,104.0,580.0,569.0,0.0,1253.0,1838.0
DeKalb,Peachcrest,2458.0,31.0,57.0,31.0,0.0,119.0,162.0,601.0,439.0,3.0,1205.0,1324.0
DeKalb,Princeton Elem,2376.0,14.0,35.0,12.0,0.0,61.0,163.0,843.0,453.0,1.0,1460.0,1521.0
DeKalb,Pine Lake,632.0,35.0,6.0,7.0,0.0,48.0,219.0,135.0,72.0,0.0,426.0,474.0
DeKalb,Panola,1586.0,14.0,31.0,19.0,0.0,64.0,128.0,462.0,326.0,2.0,918.0,982.0
DeKalb,Panola Way Elem,2252.0,13.0,22.0,10.0,0.0,45.0,198.0,575.0,318.0,21.0,1112.0,1157.0
DeKalb,Panola Road,2884.0,13.0,26.0,8.0,0.0,47.0,181.0,997.0,570.0,8.0,1756.0,1803.0
DeKalb,Rainbow Elem,3768.0,18.0,43.0,35.0,1.0,97.0,249.0,1192.0,849.0,7.0,2297.0,2394.0
DeKalb,Redan Elem,3020.0,19.0,33.0,14.0,1.0,67.0,196.0,1134.0,595.0,6.0,1931.0,1998.0
DeKalb,Rehoboth,1813.0,108.0,163.0,157.0,1.0,429.0,59.0,422.0,516.0,2.0,999.0,1428.0
DeKalb,Rockbridge Elem,3595.0,35.0,67.0,38.0,6.0,146.0,299.0,911.0,511.0,14.0,1735.0,1881.0
DeKalb,Rock Chapel Elem,2910.0,8.0,40.0,20.0,1.0,69.0,213.0,1099.0,511.0,5.0,1828.0,1897.0
DeKalb,Rowland Elem,3765.0,31.0,56.0,37.0,0.0,124.0,275.0,899.0,580.0,7.0,1761.0,1885.0
DeKalb,Redan-Trotti Library,3990.0,14.0,37.0,22.0,0.0,73.0,260.0,1251.0,747.0,20.0,2278.0,2351.0
DeKalb,Rockbridge Road,3965.0,30.0,59.0,35.0,1.0,125.0,281.0,1449.0,962.0,9.0,2701.0,2826.0
DeKalb,Rowland Road,2080.0,31.0,36.0,43.0,0.0,110.0,168.0,577.0,409.0,9.0,1163.0,1273.0
DeKalb,Redan Road,2932.0,18.0,29.0,24.0,1.0,72.0,219.0,882.0,508.0,12.0,1621.0,1693.0
DeKalb,Rock Chapel Road,4178.0,30.0,107.0,78.0,2.0,217.0,239.0,1568.0,780.0,16.0,2603.0,2820.0
DeKalb,Redan Middle,2496.0,16.0,50.0,25.0,1.0,92.0,147.0,842.0,520.0,4.0,1513.0,1605.0
DeKalb,Sagamore Hills Elem,2925.0,166.0,330.0,276.0,0.0,772.0,120.0,778.0,787.0,0.0,1685.0,2457.0
DeKalb,Scott,2805.0,68.0,161.0,127.0,2.0,358.0,89.0,754.0,875.0,0.0,1718.0,2076.0
DeKalb,Shaw-Robert Shaw Elem,2892.0,45.0,78.0,50.0,0.0,173.0,227.0,825.0,559.0,1.0,1612.0,1785.0
DeKalb,Stone Mountain Elem,2338.0,36.0,101.0,214.0,0.0,351.0,142.0,493.0,549.0,3.0,1187.0,1538.0
DeKalb,Snapfinger Elem,1894.0,17.0,20.0,18.0,1.0,56.0,159.0,608.0,504.0,0.0,1271.0,1327.0
DeKalb,Smoke Rise,2108.0,135.0,312.0,213.0,1.0,661.0,84.0,536.0,442.0,0.0,1062.0,1723.0
DeKalb,Stone Mtn Middle,3247.0,32.0,37.0,53.0,0.0,122.0,281.0,602.0,303.0,15.0,1201.0,1323.0
DeKalb,Stone Mill Elem,3714.0,35.0,51.0,36.0,0.0,122.0,318.0,645.0,437.0,13.0,1413.0,1535.0
DeKalb,Shadow Rock Elem,4347.0,29.0,51.0,49.0,0.0,129.0,276.0,1547.0,1022.0,7.0,2852.0,2981.0
DeKalb,Stoneview Elem,1988.0,10.0,30.0,17.0,0.0,57.0,162.0,480.0,247.0,10.0,899.0,956.0
DeKalb,Salem Middle,3519.0,19.0,45.0,21.0,0.0,85.0,213.0,1366.0,831.0,6.0,2416.0,2501.0
DeKalb,Shamrock,1600.0,77.0,134.0,91.0,0.0,302.0,116.0,414.0,471.0,5.0,1006.0,1308.0
DeKalb,South Deshon,3470.0,21.0,45.0,25.0,1.0,92.0,246.0,1249.0,627.0,10.0,2132.0,2224.0
DeKalb,Stone Mtn Champion,3098.0,63.0,63.0,51.0,0.0,177.0,273.0,742.0,451.0,8.0,1474.0,1651.0
DeKalb,Stone Mtn,1711.0,45.0,91.0,32.0,1.0,169.0,157.0,330.0,302.0,2.0,791.0,960.0
DeKalb,Snapfinger Road N,2705.0,12.0,37.0,22.0,0.0,71.0,232.0,663.0,474.0,5.0,1374.0,1445.0
DeKalb,Snapfinger Road S,1960.0,25.0,21.0,14.0,0.0,60.0,144.0,713.0,431.0,2.0,1290.0,1350.0
DeKalb,Stephenson Middle,3822.0,51.0,72.0,33.0,0.0,156.0,272.0,1361.0,772.0,1.0,2406.0,2562.0
DeKalb,South Hairston,3814.0,33.0,42.0,27.0,2.0,104.0,342.0,1068.0,630.0,12.0,2052.0,2156.0
DeKalb,Stephenson High,3555.0,22.0,80.0,32.0,1.0,135.0,246.0,1163.0,801.0,5.0,2215.0,2350.0
DeKalb,Stonecrest Library,3720.0,22.0,48.0,18.0,2.0,90.0,202.0,1508.0,549.0,10.0,2269.0,2359.0
DeKalb,Snapfinger Road,4872.0,11.0,67.0,18.0,0.0,96.0,212.0,2186.0,1087.0,7.0,3492.0,3588.0
DeKalb,Valley Brook,1037.0,48.0,55.0,45.0,2.0,150.0,107.0,279.0,244.0,4.0,634.0,784.0
DeKalb,Wadsworth,3159.0,9.0,26.0,15.0,0.0,50.0,202.0,609.0,445.0,4.0,1260.0,1310.0
DeKalb,Wesley Chapel Library,2922.0,9.0,36.0,20.0,0.0,65.0,197.0,1093.0,707.0,6.0,2003.0,2068.0
DeKalb,Woodrow Road,3493.0,15.0,50.0,38.0,0.0,103.0,241.0,1070.0,474.0,12.0,1797.0,1900.0
DeKalb,Winnona Park,2020.0,0.0,2.0,4.0,0.0,6.0,2.0,14.0,5.0,0.0,21.0,27.0
DeKalb,Woodridge Elem,3851.0,23.0,59.0,41.0,0.0,123.0,308.0,1013.0,755.0,11.0,2087.0,2210.0
DeKalb,White Oak,2951.0,19.0,15.0,13.0,1.0,48.0,300.0,725.0,427.0,4.0,1456.0,1504.0
DeKalb,Wynbrooke Elem,3496.0,30.0,69.0,33.0,0.0,132.0,270.0,1283.0,811.0,12.0,2376.0,2508.0
DeKalb,Young Road,1951.0,14.0,26.0,10.0,0.0,50.0,96.0,755.0,435.0,6.0,1292.0,1342.0
