County,Precinct,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total Votes
Cobb,Harrison 01,3122.0,100.0,313.0,307.0,0.0,720.0,343.0,904.0,515.0,0.0,1762.0,2482.0
Cobb,Hightower 01,4262.0,121.0,457.0,799.0,0.0,1377.0,388.0,782.0,938.0,0.0,2108.0,3485.0
Cobb,Hayes 01,4111.0,125.0,444.0,498.0,1.0,1068.0,372.0,1098.0,678.0,1.0,2149.0,3217.0
Cobb,Kennesaw 1A,2499.0,186.0,399.0,223.0,8.0,816.0,226.0,364.0,207.0,8.0,805.0,1621.0
Cobb,Kennesaw 2A,3944.0,200.0,576.0,483.0,2.0,1261.0,316.0,716.0,386.0,3.0,1421.0,2682.0
Cobb,Kennesaw 3A,6477.0,371.0,1194.0,918.0,3.0,2486.0,322.0,921.0,486.0,3.0,1732.0,4218.0
Cobb,Kennesaw 4A,3783.0,187.0,569.0,523.0,1.0,1280.0,244.0,686.0,437.0,2.0,1369.0,2649.0
Cobb,Kennesaw 5A,5855.0,332.0,1068.0,824.0,1.0,2225.0,533.0,1109.0,527.0,0.0,2169.0,4394.0
Cobb,Kell 01,2006.0,138.0,197.0,299.0,2.0,636.0,304.0,336.0,262.0,0.0,902.0,1538.0
Cobb,Kemp 01,1960.0,66.0,192.0,215.0,0.0,473.0,253.0,510.0,334.0,0.0,1097.0,1570.0
Cobb,Kemp 02,4049.0,146.0,541.0,509.0,1.0,1197.0,394.0,887.0,670.0,6.0,1957.0,3154.0
Cobb,Kemp 03,3955.0,103.0,404.0,372.0,0.0,879.0,519.0,1177.0,614.0,2.0,2312.0,3191.0
Cobb,Lassiter 01,3647.0,117.0,436.0,555.0,2.0,1110.0,454.0,755.0,630.0,0.0,1839.0,2949.0
Cobb,Lindley 01,4797.0,257.0,1328.0,1069.0,0.0,2654.0,213.0,457.0,384.0,0.0,1054.0,3708.0
Cobb,Lost Mountain 01,3604.0,95.0,520.0,488.0,0.0,1103.0,204.0,1096.0,552.0,1.0,1853.0,2956.0
Cobb,Lost Mountain 02,4121.0,99.0,517.0,388.0,0.0,1004.0,367.0,1437.0,684.0,0.0,2488.0,3492.0
Cobb,Lost Mountain 03,5387.0,123.0,771.0,586.0,0.0,1480.0,287.0,1737.0,796.0,2.0,2822.0,4302.0
Cobb,Lost Mountain 04,2629.0,67.0,318.0,303.0,0.0,688.0,250.0,777.0,384.0,0.0,1411.0,2099.0
Cobb,Mableton 01,5127.0,266.0,1068.0,937.0,0.0,2271.0,149.0,573.0,502.0,4.0,1228.0,3499.0
Cobb,Mableton 02,3330.0,243.0,569.0,505.0,0.0,1317.0,142.0,258.0,212.0,0.0,612.0,1929.0
Cobb,Mableton 03,3010.0,167.0,510.0,462.0,3.0,1142.0,202.0,420.0,367.0,0.0,989.0,2131.0
Cobb,Mableton 04,1581.0,66.0,254.0,289.0,0.0,609.0,142.0,257.0,246.0,0.0,645.0,1254.0
Cobb,Mabry 01,1656.0,58.0,172.0,207.0,1.0,438.0,244.0,380.0,301.0,4.0,929.0,1367.0
Cobb,Macland 01,4213.0,260.0,1013.0,733.0,2.0,2008.0,159.0,467.0,279.0,0.0,905.0,2913.0
Cobb,Murdock 01,4059.0,146.0,455.0,729.0,0.0,1330.0,447.0,720.0,804.0,0.0,1971.0,3301.0
Cobb,McEachern 01,3549.0,130.0,760.0,612.0,0.0,1502.0,166.0,578.0,401.0,1.0,1146.0,2648.0
Cobb,McCleskey 01,1736.0,81.0,189.0,282.0,1.0,553.0,247.0,354.0,261.0,0.0,862.0,1415.0
Cobb,McClure 01,3290.0,110.0,360.0,373.0,1.0,844.0,390.0,892.0,440.0,2.0,1724.0,2568.0
Cobb,Marietta 1A,4468.0,335.0,660.0,503.0,6.0,1504.0,204.0,374.0,257.0,1.0,836.0,2340.0
Cobb,Marietta 2A,2059.0,97.0,266.0,255.0,0.0,618.0,300.0,398.0,401.0,0.0,1099.0,1717.0
Cobb,Marietta 2B,4447.0,311.0,792.0,586.0,0.0,1689.0,276.0,577.0,508.0,3.0,1364.0,3053.0
Cobb,Marietta 3A,4388.0,198.0,622.0,628.0,2.0,1450.0,342.0,735.0,637.0,1.0,1715.0,3165.0
Cobb,Marietta 3B,2218.0,170.0,464.0,401.0,1.0,1036.0,54.0,132.0,118.0,0.0,304.0,1340.0
Cobb,Marietta 4A,1956.0,67.0,144.0,189.0,1.0,401.0,429.0,408.0,424.0,0.0,1261.0,1662.0
Cobb,Marietta 4B,2056.0,90.0,297.0,299.0,1.0,687.0,209.0,315.0,298.0,0.0,822.0,1509.0
Cobb,Marietta 4C,2781.0,82.0,321.0,387.0,0.0,790.0,304.0,706.0,454.0,0.0,1464.0,2254.0
Cobb,Marietta 5A,3324.0,259.0,534.0,496.0,3.0,1292.0,194.0,301.0,253.0,0.0,748.0,2040.0
Cobb,Marietta 5B,3084.0,261.0,502.0,378.0,2.0,1143.0,150.0,182.0,150.0,1.0,483.0,1626.0
Cobb,Marietta 6A,2647.0,252.0,507.0,340.0,3.0,1102.0,118.0,191.0,124.0,2.0,435.0,1537.0
Cobb,Marietta 6B,2910.0,143.0,461.0,525.0,0.0,1129.0,256.0,469.0,400.0,0.0,1125.0,2254.0
Cobb,Marietta 7A,3745.0,257.0,722.0,399.0,4.0,1382.0,123.0,185.0,124.0,0.0,432.0,1814.0
Cobb,Mars Hill 01,3633.0,110.0,298.0,295.0,0.0,703.0,422.0,1098.0,488.0,2.0,2010.0,2713.0
Cobb,Mars Hill 02,2916.0,135.0,389.0,358.0,0.0,882.0,295.0,615.0,285.0,0.0,1195.0,2077.0
Cobb,Mt Bethel 01,4125.0,113.0,422.0,779.0,1.0,1315.0,407.0,787.0,860.0,5.0,2059.0,3374.0
Cobb,Mt Bethel 03,3294.0,86.0,413.0,609.0,0.0,1108.0,219.0,708.0,568.0,0.0,1495.0,2603.0
Cobb,Mt Bethel 04,2981.0,80.0,290.0,531.0,0.0,901.0,264.0,590.0,636.0,0.0,1490.0,2391.0
Cobb,North Cobb 01,2317.0,121.0,402.0,313.0,1.0,837.0,209.0,385.0,223.0,0.0,817.0,1654.0
Cobb,Nickajack 01,4889.0,302.0,1301.0,867.0,3.0,2473.0,170.0,478.0,333.0,1.0,982.0,3455.0
Cobb,Norton Park 01,4922.0,352.0,710.0,734.0,7.0,1803.0,248.0,536.0,527.0,1.0,1312.0,3115.0
Cobb,Nicholson 01,2455.0,120.0,308.0,335.0,0.0,763.0,308.0,406.0,335.0,1.0,1050.0,1813.0
Cobb,Oakdale 01,3944.0,148.0,711.0,735.0,1.0,1595.0,287.0,558.0,572.0,0.0,1417.0,3012.0
Cobb,Oregon 01,1614.0,85.0,223.0,188.0,1.0,497.0,178.0,411.0,241.0,1.0,831.0,1328.0
Cobb,Oregon 02,5671.0,394.0,1182.0,1020.0,3.0,2599.0,247.0,477.0,468.0,0.0,1192.0,3791.0
Cobb,Oregon 03,5713.0,441.0,944.0,740.0,6.0,2131.0,218.0,390.0,358.0,3.0,969.0,3100.0
Cobb,Oregon 04,4673.0,312.0,924.0,895.0,4.0,2135.0,202.0,459.0,372.0,1.0,1034.0,3169.0
Cobb,Oregon 05,3846.0,165.0,848.0,607.0,0.0,1620.0,312.0,672.0,426.0,1.0,1411.0,3031.0
Cobb,Pebblebrook 01,5218.0,423.0,1233.0,854.0,6.0,2516.0,128.0,348.0,271.0,1.0,748.0,3264.0
Cobb,Powers Ferry 01,3504.0,183.0,452.0,536.0,3.0,1174.0,354.0,525.0,437.0,0.0,1316.0,2490.0
Cobb,Pine Mountain 01,3491.0,128.0,395.0,374.0,5.0,902.0,352.0,991.0,561.0,1.0,1905.0,2807.0
Cobb,Pine Mountain 02,3127.0,91.0,295.0,297.0,2.0,685.0,404.0,877.0,630.0,0.0,1911.0,2596.0
Cobb,Post Oak 01,3660.0,113.0,395.0,528.0,0.0,1036.0,395.0,850.0,625.0,4.0,1874.0,2910.0
Cobb,Pope 01,3153.0,102.0,379.0,529.0,0.0,1010.0,276.0,667.0,556.0,0.0,1499.0,2509.0
Cobb,Palmer 01,2760.0,132.0,319.0,336.0,0.0,787.0,305.0,505.0,401.0,0.0,1211.0,1998.0
Cobb,Powders Springs 1A,4755.0,191.0,1246.0,957.0,3.0,2397.0,152.0,610.0,399.0,2.0,1163.0,3560.0
Cobb,Powders Springs 2A,3536.0,208.0,900.0,573.0,3.0,1684.0,100.0,274.0,191.0,0.0,565.0,2249.0
Cobb,Powders Springs 3A,3991.0,243.0,1031.0,575.0,1.0,1850.0,131.0,438.0,255.0,0.0,824.0,2674.0
Cobb,Pitner 01,2814.0,183.0,369.0,344.0,1.0,897.0,346.0,531.0,311.0,1.0,1189.0,2086.0
Cobb,Rocky Mount 01,3390.0,140.0,363.0,533.0,1.0,1037.0,476.0,651.0,461.0,1.0,1589.0,2626.0
Cobb,Riverside 01,2133.0,199.0,462.0,288.0,2.0,951.0,52.0,61.0,45.0,0.0,158.0,1109.0
Cobb,Roswell 01,5374.0,151.0,563.0,1079.0,0.0,1793.0,521.0,1078.0,1081.0,1.0,2681.0,4474.0
Cobb,Roswell 02,3701.0,117.0,369.0,715.0,0.0,1201.0,412.0,693.0,734.0,3.0,1842.0,3043.0
Cobb,Sandy Plains 01,2933.0,144.0,404.0,521.0,2.0,1071.0,322.0,488.0,414.0,0.0,1224.0,2295.0
Cobb,Shallowford Falls 01,3387.0,119.0,381.0,616.0,1.0,1117.0,413.0,669.0,587.0,0.0,1669.0,2786.0
Cobb,Simpson 01,1868.0,61.0,259.0,284.0,0.0,604.0,186.0,406.0,273.0,1.0,866.0,1470.0
Cobb,Sewell Mill 01,3493.0,145.0,465.0,653.0,0.0,1263.0,362.0,597.0,553.0,0.0,1512.0,2775.0
Cobb,Sewell Mill 03,4759.0,320.0,710.0,619.0,2.0,1651.0,376.0,492.0,544.0,4.0,1416.0,3067.0
Cobb,Smyrna 1A,4152.0,380.0,784.0,610.0,3.0,1777.0,180.0,260.0,240.0,1.0,681.0,2458.0
Cobb,Smyrna 2A,5539.0,384.0,1237.0,936.0,1.0,2558.0,199.0,498.0,371.0,1.0,1069.0,3627.0
Cobb,Smyrna 3A,4573.0,222.0,909.0,765.0,3.0,1899.0,234.0,580.0,411.0,1.0,1226.0,3125.0
Cobb,Smyrna 3B,2496.0,123.0,453.0,438.0,2.0,1016.0,177.0,409.0,292.0,1.0,879.0,1895.0
Cobb,Smyrna 4A,5842.0,217.0,927.0,1193.0,5.0,2342.0,356.0,967.0,980.0,1.0,2304.0,4646.0
Cobb,Smyrna 5A,4319.0,290.0,752.0,725.0,8.0,1775.0,268.0,428.0,332.0,1.0,1029.0,2804.0
Cobb,Smyrna 6A,5936.0,264.0,1068.0,1042.0,9.0,2383.0,368.0,902.0,852.0,0.0,2122.0,4505.0
Cobb,Smyrna 7A,6378.0,208.0,1607.0,1477.0,1.0,3293.0,249.0,852.0,737.0,0.0,1838.0,5131.0
Cobb,Sope Creek 01,2163.0,97.0,229.0,373.0,0.0,699.0,280.0,382.0,444.0,1.0,1107.0,1806.0
Cobb,Sope Creek 02,4729.0,183.0,666.0,780.0,1.0,1630.0,376.0,816.0,771.0,3.0,1966.0,3596.0
Cobb,Sope Creek 03,2886.0,109.0,348.0,449.0,0.0,906.0,342.0,542.0,472.0,0.0,1356.0,2262.0
Cobb,Sweetwater 01,3235.0,193.0,678.0,451.0,0.0,1322.0,198.0,473.0,290.0,1.0,962.0,2284.0
Cobb,Sweetwater 02,3367.0,256.0,592.0,576.0,16.0,1440.0,101.0,191.0,196.0,5.0,493.0,1933.0
Cobb,Terrell Mill 01,5816.0,428.0,1003.0,815.0,10.0,2256.0,278.0,514.0,440.0,1.0,1233.0,3489.0
Cobb,Timber Ridge 01,2448.0,72.0,276.0,471.0,1.0,820.0,275.0,472.0,450.0,0.0,1197.0,2017.0
Cobb,Vaughan 01,3146.0,93.0,386.0,299.0,0.0,778.0,369.0,970.0,404.0,0.0,1743.0,2521.0
Cobb,Vinings 01,3260.0,184.0,700.0,523.0,2.0,1409.0,211.0,330.0,336.0,1.0,878.0,2287.0
Cobb,Vinings 02,6400.0,365.0,1215.0,1030.0,4.0,2614.0,332.0,721.0,699.0,2.0,1754.0,4368.0
Cobb,Vinings 03,4407.0,230.0,925.0,771.0,2.0,1928.0,176.0,589.0,503.0,3.0,1271.0,3199.0
Cobb,Vinings 04,3405.0,178.0,476.0,441.0,0.0,1095.0,437.0,491.0,586.0,2.0,1516.0,2611.0
Cobb,Wade Green 02,4718.0,250.0,766.0,713.0,0.0,1729.0,431.0,801.0,510.0,1.0,1743.0,3472.0
Cobb,Willeo 01,2836.0,110.0,304.0,486.0,0.0,900.0,362.0,544.0,514.0,1.0,1421.0,2321.0
