County,Precinct,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total Votes
Gwinnett,MARTINS E,6193.0,142.0,223.0,98.0,0.0,463.0,600.0,1420.0,699.0,5.0,2724.0,3187.0
Gwinnett,PINCKNEYVILLE P,2185.0,176.0,271.0,238.0,0.0,685.0,184.0,380.0,371.0,2.0,937.0,1622.0
Gwinnett,PINCKNEYVILLE Q,1915.0,73.0,70.0,39.0,1.0,183.0,279.0,430.0,222.0,2.0,933.0,1116.0
Gwinnett,GOODWINS C,5804.0,307.0,609.0,340.0,0.0,1256.0,405.0,1225.0,893.0,0.0,2523.0,3779.0
Gwinnett,BAYCREEK K,3824.0,162.0,677.0,347.0,0.0,1186.0,155.0,964.0,533.0,0.0,1652.0,2838.0
Gwinnett,CATES K,2810.0,259.0,504.0,253.0,3.0,1019.0,146.0,555.0,374.0,0.0,1075.0,2094.0
Gwinnett,DULUTH E,4814.0,215.0,531.0,246.0,1.0,993.0,407.0,1149.0,746.0,6.0,2308.0,3301.0
Gwinnett,GOODWINS D,4406.0,403.0,660.0,313.0,1.0,1377.0,324.0,727.0,569.0,1.0,1621.0,2998.0
Gwinnett,LAWRENCEVILLE G,3046.0,115.0,303.0,134.0,1.0,553.0,246.0,749.0,427.0,1.0,1423.0,1976.0
Gwinnett,LAWRENCEVILLE H,4296.0,302.0,791.0,373.0,2.0,1468.0,224.0,818.0,580.0,2.0,1624.0,3092.0
Gwinnett,MARTINS F,2570.0,132.0,154.0,102.0,2.0,390.0,238.0,478.0,344.0,4.0,1064.0,1454.0
Gwinnett,PINCKNEYVILLE S,3374.0,182.0,345.0,238.0,4.0,769.0,335.0,593.0,425.0,3.0,1356.0,2125.0
Gwinnett,SUGAR HILL E,3589.0,339.0,773.0,307.0,4.0,1423.0,144.0,649.0,396.0,3.0,1192.0,2615.0
Gwinnett,LAWRENCEVILLE I,3312.0,212.0,375.0,203.0,0.0,790.0,266.0,651.0,425.0,2.0,1344.0,2134.0
Gwinnett,BAYCREEK D,4609.0,312.0,861.0,356.0,0.0,1529.0,199.0,1040.0,611.0,0.0,1850.0,3379.0
Gwinnett,CATES M,3988.0,281.0,891.0,479.0,0.0,1651.0,160.0,798.0,581.0,2.0,1541.0,3192.0
Gwinnett,CATES N,2567.0,243.0,567.0,361.0,1.0,1172.0,124.0,377.0,292.0,0.0,793.0,1965.0
Gwinnett,DULUTH F,6161.0,197.0,391.0,274.0,6.0,868.0,469.0,1409.0,916.0,14.0,2808.0,3676.0
Gwinnett,DULUTH G,3067.0,292.0,529.0,340.0,1.0,1162.0,159.0,490.0,453.0,2.0,1104.0,2266.0
Gwinnett,GOODWINS E,5491.0,426.0,867.0,430.0,1.0,1724.0,321.0,1024.0,764.0,1.0,2110.0,3834.0
Gwinnett,GOODWINS F,3212.0,200.0,451.0,252.0,0.0,903.0,182.0,610.0,481.0,0.0,1273.0,2176.0
Gwinnett,PINCKNEYVILLE T,3201.0,204.0,330.0,254.0,1.0,789.0,224.0,585.0,423.0,2.0,1234.0,2023.0
Gwinnett,SUWANEE B,4656.0,256.0,1126.0,433.0,0.0,1815.0,124.0,975.0,613.0,0.0,1712.0,3527.0
Gwinnett,PINCKNEYVILLE U,2090.0,199.0,205.0,141.0,0.0,545.0,223.0,406.0,294.0,5.0,928.0,1473.0
Gwinnett,PUCKETTS B,3096.0,287.0,877.0,256.0,1.0,1421.0,118.0,492.0,293.0,0.0,903.0,2324.0
Gwinnett,BERKSHIRE L,3265.0,156.0,257.0,161.0,0.0,574.0,337.0,689.0,440.0,1.0,1467.0,2041.0
Gwinnett,SUGAR HILL F,4112.0,406.0,876.0,348.0,4.0,1634.0,194.0,604.0,477.0,3.0,1278.0,2912.0
Gwinnett,SUWANEE C,5675.0,355.0,1078.0,501.0,5.0,1939.0,207.0,988.0,866.0,1.0,2062.0,4001.0
Gwinnett,CATES O,1434.0,167.0,240.0,143.0,3.0,553.0,88.0,255.0,203.0,2.0,548.0,1101.0
Gwinnett,BERKSHIRE M,1864.0,178.0,335.0,196.0,2.0,711.0,101.0,329.0,256.0,1.0,687.0,1398.0
Gwinnett,MARTINS G,2425.0,128.0,182.0,103.0,1.0,414.0,263.0,508.0,280.0,0.0,1051.0,1465.0
Gwinnett,DULUTH H,2813.0,172.0,456.0,299.0,2.0,929.0,145.0,461.0,509.0,2.0,1117.0,2046.0
Gwinnett,PINCKNEYVILLE W,4253.0,237.0,516.0,387.0,1.0,1141.0,269.0,773.0,580.0,7.0,1629.0,2770.0
Gwinnett,MARTINS H,5037.0,244.0,516.0,359.0,6.0,1125.0,384.0,1049.0,692.0,7.0,2132.0,3257.0
Gwinnett,MARTINS I,4078.0,162.0,345.0,226.0,4.0,737.0,361.0,811.0,523.0,2.0,1697.0,2434.0
Gwinnett,MARTINS J,3923.0,149.0,235.0,116.0,3.0,503.0,460.0,938.0,509.0,5.0,1912.0,2415.0
Gwinnett,BERKSHIRE O,2589.0,187.0,519.0,309.0,0.0,1015.0,121.0,429.0,363.0,3.0,916.0,1931.0
Gwinnett,BERKSHIRE P,1476.0,100.0,140.0,78.0,1.0,319.0,122.0,246.0,181.0,1.0,550.0,869.0
Gwinnett,PINCKNEYVILLE X,3412.0,238.0,562.0,381.0,8.0,1189.0,169.0,623.0,640.0,9.0,1441.0,2630.0
Gwinnett,GOODWINS G,2661.0,145.0,269.0,96.0,3.0,513.0,252.0,578.0,358.0,1.0,1189.0,1702.0
Gwinnett,PINCKNEYVILLE Z,1898.0,304.0,365.0,300.0,0.0,969.0,88.0,211.0,339.0,0.0,638.0,1607.0
Gwinnett,PINCKNEYVILLE A1,2694.0,322.0,572.0,446.0,0.0,1340.0,86.0,366.0,494.0,0.0,946.0,2286.0
Gwinnett,LAWRENCEVILLE J,2249.0,144.0,218.0,96.0,0.0,458.0,189.0,550.0,301.0,3.0,1043.0,1501.0
Gwinnett,GOODWINS H,2796.0,222.0,477.0,190.0,1.0,890.0,162.0,549.0,384.0,1.0,1096.0,1986.0
Gwinnett,SUWANEE D,4732.0,437.0,1311.0,518.0,1.0,2267.0,159.0,717.0,619.0,1.0,1496.0,3763.0
Gwinnett,SUWANEE E,4256.0,362.0,1107.0,466.0,2.0,1937.0,127.0,755.0,556.0,1.0,1439.0,3376.0
Gwinnett,LAWRENCEVILLE K,3282.0,269.0,591.0,310.0,0.0,1170.0,170.0,634.0,464.0,0.0,1268.0,2438.0
Gwinnett,BAYCREEK F,4608.0,232.0,549.0,234.0,4.0,1019.0,280.0,1346.0,660.0,6.0,2292.0,3311.0
Gwinnett,PUCKETTS C,3367.0,259.0,882.0,240.0,1.0,1382.0,124.0,529.0,334.0,0.0,987.0,2369.0
Gwinnett,HOG MOUNTAIN C,4292.0,355.0,929.0,330.0,0.0,1614.0,189.0,696.0,501.0,2.0,1388.0,3002.0
Gwinnett,ROCKYCREEK B,5061.0,372.0,1246.0,375.0,0.0,1993.0,224.0,950.0,500.0,2.0,1676.0,3669.0
Gwinnett,DULUTH I,5105.0,299.0,955.0,654.0,0.0,1908.0,188.0,740.0,899.0,1.0,1828.0,3736.0
Gwinnett,MARTINS K,5352.0,214.0,400.0,268.0,0.0,882.0,473.0,1354.0,792.0,2.0,2621.0,3503.0
Gwinnett,SUWANEE H,3785.0,332.0,1163.0,493.0,0.0,1988.0,110.0,556.0,424.0,1.0,1091.0,3079.0
Gwinnett,SUGAR HILL G,2814.0,294.0,791.0,270.0,0.0,1355.0,74.0,395.0,366.0,1.0,836.0,2191.0
Gwinnett,SUWANEE F,3966.0,308.0,797.0,346.0,2.0,1453.0,165.0,737.0,548.0,1.0,1451.0,2904.0
Gwinnett,LAWRENCEVILLE L,4802.0,223.0,735.0,343.0,0.0,1301.0,280.0,1140.0,710.0,2.0,2132.0,3433.0
Gwinnett,LAWRENCEVILLE M,7255.0,233.0,560.0,279.0,2.0,1074.0,530.0,2036.0,1044.0,5.0,3615.0,4689.0
Gwinnett,BAYCREEK G,6241.0,266.0,797.0,300.0,0.0,1363.0,324.0,1936.0,896.0,1.0,3157.0,4520.0
Gwinnett,BAYCREEK H,6811.0,376.0,1360.0,530.0,1.0,2267.0,316.0,1738.0,899.0,3.0,2956.0,5223.0
Gwinnett,BAYCREEK I,5899.0,263.0,787.0,367.0,6.0,1423.0,316.0,1503.0,766.0,5.0,2590.0,4013.0
Gwinnett,GOODWINS I,2501.0,245.0,386.0,296.0,0.0,927.0,154.0,474.0,352.0,0.0,980.0,1907.0
Gwinnett,DULUTH K,2786.0,77.0,163.0,86.0,1.0,327.0,228.0,550.0,314.0,1.0,1093.0,1420.0
Gwinnett,LAWRENCEVILLE N,2573.0,169.0,295.0,153.0,0.0,617.0,206.0,461.0,286.0,6.0,959.0,1576.0
Gwinnett,PUCKETTS D,3622.0,261.0,977.0,337.0,2.0,1577.0,132.0,553.0,398.0,0.0,1083.0,2660.0
Gwinnett,SUWANEE G,3904.0,304.0,736.0,281.0,0.0,1321.0,209.0,822.0,555.0,1.0,1587.0,2908.0
