County,Precinct,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total Votes
Fulton,06L1,991.0,31.0,125.0,56.0,0.0,212.0,23.0,327.0,218.0,3.0,571.0,783.0
Fulton,06L2,726.0,35.0,106.0,41.0,0.0,182.0,12.0,233.0,135.0,1.0,381.0,563.0
Fulton,06N,1770.0,62.0,259.0,106.0,6.0,433.0,54.0,411.0,262.0,2.0,729.0,1162.0
Fulton,06Q,571.0,9.0,10.0,6.0,4.0,29.0,46.0,208.0,59.0,2.0,315.0,344.0
Fulton,06R,2015.0,42.0,190.0,97.0,2.0,331.0,42.0,604.0,343.0,2.0,991.0,1322.0
Fulton,07C,4512.0,173.0,689.0,494.0,10.0,1366.0,126.0,869.0,753.0,5.0,1753.0,3119.0
Fulton,07D,4879.0,203.0,902.0,234.0,14.0,1353.0,169.0,1112.0,526.0,13.0,1820.0,3173.0
Fulton,07E,2247.0,54.0,325.0,165.0,5.0,549.0,42.0,595.0,483.0,2.0,1122.0,1671.0
Fulton,07F,3790.0,178.0,735.0,266.0,25.0,1204.0,93.0,941.0,532.0,8.0,1574.0,2778.0
Fulton,07H,2060.0,101.0,445.0,153.0,0.0,699.0,41.0,499.0,367.0,0.0,907.0,1606.0
Fulton,07J,3041.0,123.0,511.0,196.0,7.0,837.0,101.0,818.0,446.0,6.0,1371.0,2208.0
Fulton,07M,2401.0,77.0,320.0,95.0,0.0,492.0,105.0,518.0,355.0,0.0,978.0,1470.0
Fulton,07N,2139.0,43.0,136.0,59.0,2.0,240.0,106.0,586.0,343.0,7.0,1042.0,1282.0
Fulton,08F1,2187.0,118.0,782.0,255.0,3.0,1158.0,20.0,392.0,249.0,1.0,662.0,1820.0
Fulton,08G,3086.0,117.0,461.0,219.0,0.0,797.0,92.0,565.0,477.0,5.0,1139.0,1936.0
Fulton,08H,2556.0,99.0,744.0,278.0,2.0,1123.0,35.0,467.0,401.0,1.0,904.0,2027.0
Fulton,08J,3344.0,150.0,826.0,211.0,4.0,1191.0,78.0,888.0,394.0,3.0,1363.0,2554.0
Fulton,08K,1049.0,66.0,189.0,69.0,0.0,324.0,32.0,289.0,172.0,0.0,493.0,817.0
Fulton,08L,4505.0,172.0,703.0,224.0,7.0,1106.0,125.0,1211.0,720.0,15.0,2071.0,3177.0
Fulton,08M,2295.0,140.0,704.0,206.0,4.0,1054.0,52.0,397.0,236.0,2.0,687.0,1741.0
Fulton,08P,1887.0,42.0,124.0,57.0,4.0,227.0,101.0,580.0,209.0,5.0,895.0,1122.0
Fulton,09A,3856.0,84.0,489.0,132.0,3.0,708.0,135.0,1306.0,533.0,6.0,1980.0,2688.0
Fulton,09B,464.0,2.0,3.0,1.0,0.0,6.0,27.0,76.0,69.0,0.0,172.0,178.0
Fulton,09C,3353.0,23.0,38.0,15.0,2.0,78.0,247.0,842.0,460.0,25.0,1574.0,1652.0
Fulton,09D,2299.0,14.0,18.0,13.0,1.0,46.0,214.0,428.0,291.0,9.0,942.0,988.0
Fulton,09E,3261.0,42.0,90.0,27.0,1.0,160.0,244.0,903.0,315.0,2.0,1464.0,1624.0
Fulton,09F,3917.0,128.0,804.0,269.0,6.0,1207.0,94.0,1059.0,549.0,1.0,1703.0,2910.0
Fulton,09G,3943.0,139.0,407.0,160.0,4.0,710.0,159.0,1312.0,569.0,8.0,2048.0,2758.0
Fulton,09H,1185.0,22.0,55.0,24.0,0.0,101.0,68.0,380.0,151.0,1.0,600.0,701.0
Fulton,09I,1397.0,18.0,21.0,7.0,0.0,46.0,126.0,245.0,168.0,2.0,541.0,587.0
Fulton,09K,4002.0,23.0,58.0,20.0,0.0,101.0,251.0,826.0,467.0,11.0,1555.0,1656.0
Fulton,09K1,1518.0,6.0,16.0,1.0,1.0,24.0,107.0,307.0,42.0,1.0,457.0,481.0
Fulton,09M,2578.0,49.0,268.0,68.0,0.0,385.0,83.0,1086.0,333.0,0.0,1502.0,1887.0
Fulton,10A,3186.0,15.0,32.0,15.0,0.0,62.0,229.0,931.0,525.0,16.0,1701.0,1763.0
Fulton,10B,3965.0,23.0,50.0,21.0,2.0,96.0,213.0,1470.0,879.0,8.0,2570.0,2666.0
Fulton,10C,2598.0,11.0,21.0,6.0,0.0,38.0,132.0,674.0,322.0,14.0,1142.0,1180.0
Fulton,10D,4968.0,30.0,46.0,24.0,15.0,115.0,290.0,1095.0,532.0,140.0,2057.0,2172.0
Fulton,10E,1084.0,6.0,15.0,4.0,0.0,25.0,92.0,290.0,181.0,4.0,567.0,592.0
Fulton,10F,1208.0,11.0,16.0,7.0,2.0,36.0,111.0,295.0,196.0,11.0,613.0,649.0
Fulton,10G,1332.0,10.0,13.0,12.0,1.0,36.0,93.0,506.0,232.0,2.0,833.0,869.0
Fulton,10H1,439.0,4.0,5.0,1.0,0.0,10.0,26.0,148.0,81.0,14.0,269.0,279.0
Fulton,10H2,2623.0,10.0,24.0,10.0,1.0,45.0,169.0,537.0,331.0,12.0,1049.0,1094.0
Fulton,10I,331.0,5.0,6.0,0.0,0.0,11.0,12.0,154.0,91.0,0.0,257.0,268.0
Fulton,10J,1238.0,11.0,8.0,6.0,1.0,26.0,137.0,187.0,124.0,14.0,462.0,488.0
Fulton,10K,1614.0,7.0,28.0,6.0,0.0,41.0,107.0,542.0,307.0,5.0,961.0,1002.0
Fulton,10M,2880.0,23.0,34.0,27.0,1.0,85.0,232.0,849.0,415.0,13.0,1509.0,1594.0
Fulton,10P,1607.0,10.0,19.0,6.0,0.0,35.0,143.0,323.0,233.0,3.0,702.0,737.0
Fulton,10R,928.0,9.0,11.0,0.0,0.0,20.0,88.0,189.0,84.0,11.0,372.0,392.0
Fulton,11B,4395.0,17.0,40.0,17.0,4.0,78.0,331.0,1327.0,837.0,25.0,2520.0,2598.0
Fulton,11B1,894.0,10.0,8.0,0.0,0.0,18.0,66.0,289.0,30.0,5.0,390.0,408.0
Fulton,11C,3149.0,10.0,43.0,8.0,2.0,63.0,152.0,1328.0,582.0,11.0,2073.0,2136.0
Fulton,11E1,1340.0,14.0,16.0,4.0,3.0,37.0,110.0,387.0,166.0,15.0,678.0,715.0
Fulton,11E2,1003.0,9.0,12.0,0.0,0.0,21.0,70.0,336.0,164.0,2.0,572.0,593.0
Fulton,11E3,3605.0,17.0,42.0,8.0,3.0,70.0,265.0,1353.0,351.0,13.0,1982.0,2052.0
Fulton,11G,2556.0,11.0,26.0,10.0,4.0,51.0,108.0,474.0,317.0,24.0,923.0,974.0
Fulton,11H,753.0,10.0,10.0,10.0,0.0,30.0,45.0,179.0,131.0,7.0,362.0,392.0
Fulton,11J,2092.0,13.0,22.0,8.0,2.0,45.0,179.0,493.0,332.0,20.0,1024.0,1069.0
Fulton,11K,2045.0,12.0,24.0,7.0,4.0,47.0,138.0,607.0,387.0,11.0,1143.0,1190.0
Fulton,11M,1380.0,14.0,14.0,5.0,1.0,34.0,94.0,564.0,356.0,7.0,1021.0,1055.0
Fulton,11M1,2190.0,7.0,24.0,0.0,2.0,33.0,138.0,514.0,54.0,24.0,730.0,763.0
Fulton,11N,2431.0,21.0,29.0,17.0,2.0,69.0,180.0,803.0,438.0,2.0,1423.0,1492.0
Fulton,11P,2095.0,7.0,15.0,12.0,2.0,36.0,127.0,539.0,389.0,14.0,1069.0,1105.0
Fulton,11R,2253.0,8.0,21.0,7.0,1.0,37.0,116.0,437.0,229.0,5.0,787.0,824.0
Fulton,12A,4971.0,48.0,115.0,45.0,2.0,210.0,262.0,1573.0,728.0,25.0,2588.0,2798.0
Fulton,12A1,690.0,8.0,18.0,2.0,0.0,28.0,35.0,290.0,21.0,8.0,354.0,382.0
Fulton,12D,1408.0,15.0,21.0,4.0,0.0,40.0,94.0,340.0,140.0,2.0,576.0,616.0
Fulton,12E1,1906.0,11.0,22.0,25.0,1.0,59.0,115.0,293.0,235.0,3.0,646.0,705.0
Fulton,12F,1229.0,6.0,14.0,4.0,0.0,24.0,107.0,294.0,87.0,2.0,490.0,514.0
Fulton,12G,885.0,6.0,17.0,10.0,0.0,33.0,53.0,173.0,182.0,1.0,409.0,442.0
Fulton,12H1,1170.0,9.0,15.0,6.0,1.0,31.0,93.0,163.0,76.0,13.0,345.0,376.0
Fulton,12H2,2998.0,19.0,28.0,11.0,1.0,59.0,272.0,678.0,394.0,9.0,1353.0,1412.0
Fulton,12I,1079.0,3.0,8.0,5.0,7.0,23.0,54.0,217.0,147.0,35.0,453.0,476.0
Fulton,12J,3154.0,28.0,34.0,12.0,2.0,76.0,243.0,689.0,340.0,30.0,1302.0,1378.0
Fulton,12K,3620.0,17.0,74.0,30.0,3.0,124.0,195.0,909.0,346.0,7.0,1457.0,1581.0
Fulton,12L,774.0,3.0,8.0,4.0,2.0,17.0,54.0,133.0,70.0,2.0,259.0,276.0
Fulton,12M,2990.0,32.0,27.0,8.0,2.0,69.0,344.0,627.0,305.0,20.0,1296.0,1365.0
Fulton,12N,1134.0,7.0,9.0,5.0,1.0,22.0,88.0,214.0,81.0,12.0,395.0,417.0
Fulton,12S,2079.0,8.0,24.0,7.0,1.0,40.0,160.0,560.0,237.0,13.0,970.0,1010.0
Fulton,CP011,1353.0,16.0,105.0,30.0,1.0,152.0,84.0,358.0,150.0,8.0,600.0,752.0
Fulton,CP012,1469.0,15.0,120.0,38.0,2.0,175.0,77.0,474.0,191.0,4.0,746.0,921.0
Fulton,CP01B,422.0,7.0,50.0,15.0,0.0,72.0,19.0,123.0,41.0,1.0,184.0,256.0
Fulton,CP02,1208.0,19.0,51.0,19.0,0.0,89.0,70.0,341.0,164.0,1.0,576.0,665.0
Fulton,CP04A,13.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0
Fulton,CP04B,38.0,0.0,2.0,1.0,0.0,3.0,2.0,6.0,8.0,0.0,16.0,19.0
Fulton,CP051,1756.0,10.0,24.0,7.0,0.0,41.0,143.0,517.0,245.0,0.0,905.0,946.0
Fulton,CP05B,153.0,2.0,3.0,1.0,1.0,7.0,18.0,36.0,9.0,3.0,66.0,73.0
Fulton,CP07B,7.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0
Fulton,CP07C,323.0,1.0,4.0,0.0,0.0,5.0,17.0,42.0,10.0,0.0,69.0,74.0
Fulton,CP07D,790.0,5.0,7.0,2.0,0.0,14.0,60.0,120.0,40.0,0.0,220.0,234.0
Fulton,CP07E,127.0,0.0,2.0,0.0,0.0,2.0,19.0,18.0,3.0,0.0,40.0,42.0
Fulton,CP07F,266.0,0.0,1.0,0.0,0.0,1.0,22.0,35.0,6.0,0.0,63.0,64.0
Fulton,EP01A,2978.0,32.0,94.0,37.0,1.0,164.0,166.0,940.0,333.0,14.0,1453.0,1617.0
Fulton,EP01B,3473.0,33.0,88.0,27.0,1.0,149.0,201.0,919.0,452.0,9.0,1581.0,1730.0
Fulton,EP02A,2407.0,20.0,39.0,18.0,3.0,80.0,146.0,528.0,311.0,19.0,1004.0,1084.0
Fulton,EP02B,1679.0,24.0,108.0,43.0,0.0,175.0,80.0,598.0,275.0,1.0,954.0,1129.0
Fulton,EP02C,522.0,6.0,29.0,14.0,0.0,49.0,15.0,180.0,63.0,0.0,258.0,307.0
Fulton,EP02D,420.0,3.0,8.0,2.0,0.0,13.0,30.0,153.0,49.0,0.0,232.0,245.0
Fulton,EP02E,1668.0,9.0,39.0,12.0,0.0,60.0,100.0,422.0,165.0,0.0,687.0,747.0
Fulton,EP03A,4925.0,44.0,82.0,60.0,1.0,187.0,292.0,1524.0,808.0,7.0,2631.0,2818.0
Fulton,EP03B,1547.0,10.0,39.0,13.0,0.0,62.0,70.0,596.0,345.0,6.0,1017.0,1079.0
Fulton,EP04A,5020.0,34.0,48.0,21.0,1.0,104.0,448.0,1314.0,673.0,27.0,2462.0,2566.0
Fulton,FC01,325.0,4.0,2.0,2.0,0.0,8.0,19.0,128.0,25.0,2.0,174.0,182.0
Fulton,FC02,585.0,4.0,5.0,2.0,0.0,11.0,11.0,28.0,7.0,2.0,48.0,59.0
Fulton,FC03,17.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,8.0,16.0,17.0
Fulton,HP01,3824.0,152.0,311.0,112.0,1.0,576.0,261.0,875.0,432.0,7.0,1575.0,2151.0
Fulton,SC01A,41.0,0.0,2.0,0.0,0.0,2.0,2.0,41.0,7.0,0.0,50.0,52.0
Fulton,SC01B,2088.0,11.0,27.0,9.0,2.0,49.0,117.0,1122.0,298.0,13.0,1550.0,1599.0
Fulton,SC01C,2249.0,3.0,35.0,23.0,0.0,61.0,84.0,1039.0,449.0,2.0,1574.0,1635.0
Fulton,SC02,1426.0,2.0,27.0,5.0,0.0,34.0,41.0,712.0,267.0,3.0,1023.0,1057.0
Fulton,SC14A,1030.0,6.0,17.0,0.0,0.0,23.0,63.0,312.0,103.0,0.0,478.0,501.0
Fulton,SC16A,5175.0,27.0,62.0,22.0,0.0,111.0,274.0,2425.0,869.0,0.0,3568.0,3679.0
Fulton,SC18A,570.0,3.0,16.0,1.0,0.0,20.0,39.0,212.0,121.0,0.0,372.0,392.0
Fulton,SC30A,157.0,0.0,2.0,0.0,1.0,3.0,5.0,43.0,59.0,8.0,115.0,118.0
Fulton,SC30B,1110.0,6.0,20.0,4.0,0.0,30.0,56.0,351.0,151.0,0.0,558.0,588.0
Clayton,Ellenwood 1,3020.0,27.0,61.0,31.0,0.0,119.0,215.0,1156.0,652.0,5.0,2028.0,2147.0
Clayton,Ellenwood 2,3273.0,34.0,99.0,48.0,0.0,181.0,233.0,1281.0,594.0,4.0,2112.0,2293.0
Clayton,Forest Park 1,3566.0,85.0,144.0,85.0,0.0,314.0,380.0,470.0,344.0,7.0,1201.0,1515.0
Clayton,Forest Park 2,2821.0,79.0,87.0,82.0,2.0,250.0,283.0,541.0,347.0,11.0,1182.0,1432.0
Clayton,Forest Park 3,2845.0,82.0,122.0,59.0,2.0,265.0,228.0,447.0,349.0,18.0,1042.0,1307.0
Clayton,Forest Park 4,1783.0,74.0,179.0,74.0,2.0,329.0,157.0,333.0,155.0,0.0,645.0,974.0
Clayton,Forest Park 5,3924.0,84.0,180.0,96.0,0.0,360.0,384.0,713.0,365.0,14.0,1476.0,1836.0
Clayton,Forest Park 6,1463.0,40.0,173.0,75.0,1.0,289.0,108.0,293.0,114.0,4.0,519.0,808.0
Clayton,Jonesboro 8,3947.0,56.0,87.0,30.0,0.0,173.0,396.0,980.0,368.0,4.0,1748.0,1921.0
Clayton,Lake City,3217.0,39.0,143.0,53.0,2.0,237.0,260.0,777.0,356.0,5.0,1398.0,1635.0
Clayton,Morrow 1,3328.0,59.0,77.0,58.0,1.0,195.0,385.0,717.0,344.0,1.0,1447.0,1642.0
Clayton,Morrow 2,2081.0,66.0,262.0,95.0,2.0,425.0,118.0,431.0,235.0,2.0,786.0,1211.0
Clayton,Morrow 3,2407.0,61.0,209.0,104.0,1.0,375.0,154.0,561.0,322.0,3.0,1040.0,1415.0
Clayton,Morrow 4,2112.0,52.0,133.0,66.0,0.0,251.0,182.0,442.0,253.0,2.0,879.0,1130.0
Clayton,Morrow 5,3056.0,50.0,118.0,81.0,0.0,249.0,261.0,1046.0,565.0,3.0,1875.0,2124.0
Clayton,Morrow 6,3030.0,66.0,160.0,97.0,0.0,323.0,276.0,884.0,397.0,5.0,1562.0,1885.0
Clayton,Morrow 7,2142.0,47.0,127.0,50.0,0.0,224.0,250.0,438.0,226.0,5.0,919.0,1143.0
Clayton,Morrow 8,3185.0,48.0,96.0,48.0,1.0,193.0,251.0,1076.0,528.0,9.0,1864.0,2057.0
Clayton,Morrow 9,1509.0,35.0,66.0,35.0,0.0,136.0,116.0,379.0,214.0,1.0,710.0,846.0
Clayton,Morrow 10,2342.0,44.0,163.0,42.0,1.0,250.0,141.0,748.0,270.0,2.0,1161.0,1411.0
Clayton,Morrow 11,2295.0,32.0,88.0,30.0,0.0,150.0,231.0,656.0,281.0,1.0,1169.0,1319.0
Clayton,Oak 1,2635.0,29.0,29.0,14.0,0.0,72.0,317.0,725.0,286.0,3.0,1331.0,1403.0
Clayton,Oak 2,1974.0,20.0,29.0,22.0,2.0,73.0,227.0,407.0,223.0,9.0,866.0,939.0
Clayton,Oak 3,2731.0,21.0,37.0,16.0,0.0,74.0,315.0,650.0,381.0,4.0,1350.0,1424.0
Clayton,Oak 4,4233.0,39.0,73.0,31.0,0.0,143.0,421.0,1093.0,484.0,7.0,2005.0,2148.0
Clayton,Oak 5,1795.0,17.0,26.0,7.0,1.0,51.0,170.0,388.0,82.0,5.0,645.0,696.0
DeKalb,Avondale High,3151.0,25.0,52.0,37.0,0.0,114.0,47.0,502.0,393.0,4.0,946.0,1060.0
DeKalb,Boulevard,4675.0,62.0,180.0,98.0,1.0,341.0,233.0,1813.0,1195.0,2.0,3243.0,3584.0
DeKalb,Briar Vista Elem,2965.0,134.0,225.0,148.0,1.0,508.0,136.0,766.0,798.0,0.0,1700.0,2208.0
DeKalb,Briarcliff,3122.0,158.0,349.0,295.0,4.0,806.0,99.0,636.0,718.0,2.0,1455.0,2261.0
DeKalb,Bouldercrest Road,2004.0,12.0,36.0,15.0,0.0,63.0,155.0,757.0,363.0,2.0,1277.0,1340.0
DeKalb,Burgess Elem,3493.0,47.0,115.0,61.0,1.0,224.0,169.0,1306.0,877.0,6.0,2358.0,2582.0
DeKalb,Columbia Elem,1794.0,5.0,22.0,9.0,0.0,36.0,145.0,318.0,242.0,9.0,714.0,750.0
DeKalb,Cedar Grove Elem,4097.0,26.0,47.0,22.0,1.0,96.0,283.0,1471.0,773.0,8.0,2535.0,2631.0
