County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Screven,Cooperville Fire Station,0.0,20.0,29.0,10.0,1.0,60.0,16.0,65.0,40.0,2.0,123.0,183.0
Tattnall,Cobbtown,761.0,209.0,159.0,69.0,0.0,437.0,35.0,26.0,26.0,0.0,87.0,524.0
Tattnall,Shiloh,1111.0,92.0,232.0,50.0,0.0,374.0,26.0,97.0,41.0,0.0,164.0,538.0
Tattnall,Collins,1482.0,193.0,488.0,97.0,0.0,778.0,29.0,106.0,60.0,0.0,195.0,973.0
Tattnall,Manassas,265.0,71.0,60.0,10.0,0.0,141.0,19.0,17.0,10.0,0.0,46.0,187.0
Tattnall,District II,2500.0,201.0,734.0,129.0,0.0,1064.0,85.0,300.0,100.0,0.0,485.0,1549.0
Tattnall,East Glennville,2506.0,285.0,870.0,246.0,0.0,1401.0,66.0,177.0,108.0,0.0,351.0,1752.0
Tattnall,District IV,2497.0,269.0,784.0,163.0,0.0,1216.0,104.0,224.0,138.0,0.0,466.0,1682.0
Tattnall,District V,1062.0,209.0,326.0,74.0,0.0,609.0,15.0,50.0,20.0,0.0,85.0,694.0
Bulloch,Lockhart,720.0,238.0,104.0,32.0,1.0,375.0,47.0,50.0,55.0,0.0,152.0,527.0
Bulloch,Emit,3360.0,550.0,861.0,254.0,0.0,1665.0,143.0,344.0,227.0,1.0,715.0,2380.0
Bulloch,Statesboro,6312.0,406.0,1179.0,389.0,3.0,1977.0,401.0,940.0,619.0,10.0,1970.0,3947.0
Bulloch,Portal,1735.0,434.0,283.0,120.0,0.0,837.0,90.0,96.0,110.0,0.0,296.0,1133.0
Bulloch,Fair,6335.0,511.0,1672.0,494.0,6.0,2683.0,247.0,855.0,492.0,5.0,1599.0,4282.0
Bulloch,Church,5793.0,394.0,1027.0,403.0,1.0,1825.0,370.0,860.0,657.0,7.0,1894.0,3719.0
Bulloch,Pittman Park,5279.0,319.0,565.0,178.0,0.0,1062.0,431.0,902.0,340.0,3.0,1676.0,2738.0
Bulloch,Leefield,1000.0,359.0,203.0,69.0,1.0,632.0,35.0,38.0,32.0,1.0,106.0,738.0
Bulloch,Blitch,1947.0,443.0,516.0,178.0,2.0,1139.0,62.0,173.0,139.0,1.0,375.0,1514.0
Bulloch,Hagin,2403.0,443.0,476.0,154.0,3.0,1076.0,136.0,214.0,203.0,1.0,554.0,1630.0
Bulloch,Brooklet,3351.0,688.0,962.0,254.0,2.0,1906.0,114.0,262.0,154.0,2.0,532.0,2438.0
Bulloch,Stilson,2137.0,617.0,429.0,144.0,1.0,1191.0,56.0,78.0,79.0,0.0,213.0,1404.0
Bulloch,Bay,1610.0,522.0,341.0,112.0,0.0,975.0,65.0,67.0,63.0,0.0,195.0,1170.0
Bulloch,Nevils,1299.0,380.0,258.0,106.0,1.0,745.0,48.0,55.0,50.0,0.0,153.0,898.0
Bulloch,Sinkhole,488.0,188.0,67.0,47.0,0.0,302.0,20.0,12.0,20.0,0.0,52.0,354.0
Bulloch,Register,969.0,217.0,146.0,58.0,2.0,423.0,72.0,72.0,63.0,0.0,207.0,630.0
Coffee,Douglas,17243.0,1022.0,4717.0,631.0,3.0,6373.0,710.0,1848.0,740.0,0.0,3298.0,9671.0
Coffee,Ambrose,2053.0,348.0,632.0,96.0,0.0,1076.0,73.0,125.0,40.0,3.0,241.0,1317.0
Coffee,Bridgetown,344.0,113.0,61.0,7.0,0.0,181.0,33.0,14.0,9.0,0.0,56.0,237.0
